# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gat.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.4737        885        255         30          3      0.012      0.091      0.757      0.434      0.494 
Train:          1     1.4737       3635        923        117         15      0.016      0.114      0.778      0.456      0.507 
All:          1     1.4737       4542       1156        148         17      0.014      0.103      0.778      0.450      0.504 
Test:          2     1.4065        897        243         25          8      0.032      0.242      0.772      0.515      0.626 
Train:          2     1.4065       3657        901         95         37      0.039      0.280      0.788      0.541      0.634 
All:          2     1.4065       4569       1129        121         44      0.038      0.267      0.787      0.534      0.632 
Test:          3     1.3284        920        220         19         14      0.060      0.424      0.796      0.616      0.709 
Train:          3     1.3284       3679        879         73         59      0.063      0.447      0.797      0.627      0.723 
All:          3     1.3284       4598       1100         92         73      0.062      0.442      0.797      0.625      0.720 
Test:          4     1.2779        926        214         15         18      0.078      0.545      0.805      0.679      0.748 
Train:          4     1.2779       3690        868         62         70      0.075      0.530      0.802      0.670      0.765 
All:          4     1.2779       4614       1084         76         89      0.076      0.539      0.802      0.675      0.762 
Test:          5     1.2166        936        204         14         19      0.085      0.576      0.814      0.698      0.766 
Train:          5     1.2166       3698        860         54         78      0.083      0.591      0.805      0.701      0.784 
All:          5     1.2166       4624       1074         66         99      0.084      0.600      0.806      0.706      0.780 
Test:          6     1.2054        938        202         13         20      0.090      0.606      0.817      0.714      0.778 
Train:          6     1.2054       3700        858         52         80      0.085      0.606      0.806      0.709      0.794 
All:          6     1.2054       4625       1073         65        100      0.085      0.606      0.806      0.709      0.791 
Test:          7     1.1542        936        204         13         20      0.089      0.606      0.815      0.714      0.786 
Train:          7     1.1542       3701        857         51         81      0.086      0.614      0.806      0.713      0.801 
All:          7     1.1542       4626       1072         64        101      0.086      0.612      0.806      0.712      0.798 
Test:          8     1.1346        949        191         16         17      0.082      0.515      0.824      0.674      0.799 
Train:          8     1.1346       3704        854         48         84      0.090      0.636      0.808      0.725      0.809 
All:          8     1.1346       4627       1071         63        102      0.087      0.618      0.807      0.715      0.806 
Test:          9     1.1208        952        188         16         17      0.083      0.515      0.826      0.675      0.799 
Train:          9     1.1208       3701        857         51         81      0.086      0.614      0.806      0.713      0.808 
All:          9     1.1208       4627       1071         63        102      0.087      0.618      0.807      0.715      0.806 
Test:         10     1.1199        951        189         14         19      0.091      0.576      0.827      0.705      0.792 
Train:         10     1.1199       3703        855         49         83      0.088      0.629      0.807      0.721      0.805 
All:         10     1.1199       4627       1071         63        102      0.087      0.618      0.807      0.715      0.802 
Test:         11      1.101        943        197         14         19      0.088      0.576      0.820      0.701      0.787 
Train:         11      1.101       3702        856         50         82      0.087      0.621      0.807      0.717      0.803 
All:         11      1.101       4627       1071         63        102      0.087      0.618      0.807      0.715      0.799 
Test:         12     1.1019        942        198         15         18      0.083      0.545      0.818      0.686      0.787 
Train:         12     1.1019       3701        857         51         81      0.086      0.614      0.806      0.713      0.802 
All:         12     1.1019       4625       1073         65        100      0.085      0.606      0.806      0.709      0.799 
Test:         13     1.0931        944        196         15         18      0.084      0.545      0.820      0.687      0.788 
Train:         13     1.0931       3700        858         52         80      0.085      0.606      0.806      0.709      0.804 
All:         13     1.0931       4625       1073         65        100      0.085      0.606      0.806      0.709      0.801 
Test:         14     1.0769        942        198         15         18      0.083      0.545      0.818      0.686      0.793 
Train:         14     1.0769       3699        859         53         79      0.084      0.598      0.806      0.705      0.808 
All:         14     1.0769       4623       1075         67         98      0.084      0.594      0.805      0.703      0.805 
Test:         15     1.0915        952        188         15         18      0.087      0.545      0.827      0.690      0.795 
Train:         15     1.0915       3702        856         50         82      0.087      0.621      0.807      0.717      0.811 
All:         15     1.0915       4626       1072         64        101      0.086      0.612      0.806      0.712      0.808 
Test:         16     1.0803        959        181         15         18      0.090      0.545      0.833      0.693      0.794 
Train:         16     1.0803       3701        857         51         81      0.086      0.614      0.806      0.713      0.808 
All:         16     1.0803       4625       1073         65        100      0.085      0.606      0.806      0.709      0.805 
Test:         17     1.0835        949        191         15         18      0.086      0.545      0.824      0.689      0.798 
Train:         17     1.0835       3701        857         51         81      0.086      0.614      0.806      0.713      0.805 
All:         17     1.0835       4624       1074         66         99      0.084      0.600      0.806      0.706      0.804 
Test:         18     1.0767        949        191         13         20      0.095      0.606      0.826      0.719      0.802 
Train:         18     1.0767       3700        858         52         80      0.085      0.606      0.806      0.709      0.805 
All:         18     1.0767       4625       1073         65        100      0.085      0.606      0.806      0.709      0.804 
Test:         19     1.0782        954        186         13         20      0.097      0.606      0.830      0.721      0.806 
