# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gat.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.4311       3667        891         84         48      0.051      0.364      0.792      0.584      0.697 
2     1.3587       3675        883         77         55      0.059      0.417      0.795      0.611      0.721 
3     1.2956       3682        876         70         62      0.066      0.470      0.798      0.639      0.734 
4     1.2943       3683        875         69         63      0.067      0.477      0.799      0.643      0.743 
5     1.2759       3687        871         65         67      0.071      0.508      0.800      0.658      0.749 
6     1.2627       3687        871         65         67      0.071      0.508      0.800      0.658      0.755 
7      1.219       3686        872         66         66      0.070      0.500      0.800      0.654      0.760 
8     1.2562       3688        870         64         68      0.072      0.515      0.801      0.662      0.765 
9     1.1869       3690        868         62         70      0.075      0.530      0.802      0.670      0.768 
10     1.1865       3690        868         62         70      0.075      0.530      0.802      0.670      0.772 
11     1.1814       3691        867         61         71      0.076      0.538      0.802      0.674      0.775 
12     1.1848       3693        865         59         73      0.078      0.553      0.803      0.682      0.779 
13     1.1615       3696        862         56         76      0.081      0.576      0.804      0.693      0.782 
14     1.1382       3697        861         55         77      0.082      0.583      0.805      0.697      0.787 
15     1.1304       3696        862         56         76      0.081      0.576      0.804      0.693      0.792 
16     1.1253       3698        860         54         78      0.083      0.591      0.805      0.701      0.797 
17     1.1118       3703        855         49         83      0.088      0.629      0.807      0.721      0.803 
18     1.1316       3701        857         51         81      0.086      0.614      0.806      0.713      0.809 
19     1.0821       3707        851         45         87      0.093      0.659      0.809      0.736      0.818 
20     1.0855       3712        846         40         92      0.098      0.697      0.811      0.756      0.827 
21     1.0681       3714        844         38         94      0.100      0.712      0.812      0.763      0.818 
22     1.1019       3713        845         39         93      0.099      0.705      0.812      0.760      0.819 
23     1.0677       3713        845         39         93      0.099      0.705      0.812      0.760      0.829 
24     1.0558       3710        848         42         90      0.096      0.682      0.810      0.748      0.827 
25     1.0542       3709        849         43         89      0.095      0.674      0.810      0.744      0.825 
26     1.0822       3708        850         44         88      0.094      0.667      0.809      0.740      0.822 
27     1.0413       3709        849         43         89      0.095      0.674      0.810      0.744      0.821 
28     1.0258       3708        850         44         88      0.094      0.667      0.809      0.740      0.821 
29     1.0383       3705        853         47         85      0.091      0.644      0.808      0.728      0.821 
30     1.0284       3705        853         47         85      0.091      0.644      0.808      0.728      0.822 
31     1.0342       3706        852         46         86      0.092      0.652      0.809      0.732      0.823 
32     1.0252       3709        849         43         89      0.095      0.674      0.810      0.744      0.825 
33     1.0232       3707        851         45         87      0.093      0.659      0.809      0.736      0.828 
34     1.0209       3707        851         45         87      0.093      0.659      0.809      0.736      0.831 
35     1.0239       3709        849         43         89      0.095      0.674      0.810      0.744      0.833 
36     1.0052       3710        848         42         90      0.096      0.682      0.810      0.748      0.837 
37     1.0041       3711        847         41         91      0.097      0.689      0.811      0.752      0.839 
38    0.98758       3711        847         41         91      0.097      0.689      0.811      0.752      0.842 
39    0.97524       3711        847         41         91      0.097      0.689      0.811      0.752      0.840 
40    0.99464       3712        846         40         92      0.098      0.697      0.811      0.756      0.842 
41     1.0053       3714        844         38         94      0.100      0.712      0.812      0.763      0.844 
42    0.97594       3715        843         37         95      0.101      0.720      0.812      0.767      0.848 
43    0.98949       3716        842         36         96      0.102      0.727      0.813      0.771      0.850 
44     0.9777       3713        845         39         93      0.099      0.705      0.812      0.760      0.850 
45    0.96329       3713        845         39         93      0.099      0.705      0.812      0.760      0.850 
46    0.95823       3713        845         39         93      0.099      0.705      0.812      0.760      0.851 
47    0.97418       3715        843         37         95      0.101      0.720      0.812      0.767      0.850 
48    0.99073       3715        843         37         95      0.101      0.720      0.812      0.767      0.850 
49    0.94108       3714        844         38         94      0.100      0.712      0.812      0.763      0.851 
50     0.9702       3714        844         38         94      0.100      0.712      0.812      0.763      0.852 
51     0.9703       3715        843         37         95      0.101      0.720      0.812      0.767      0.853 
52    0.96879       3714        844         38         94      0.100      0.712      0.812      0.763      0.854 
53    0.95306       3716        842         36         96      0.102      0.727      0.813      0.771      0.852 
54    0.94008       3715        843         37         95      0.101      0.720      0.812      0.767      0.849 
55    0.98498       3717        841         35         97      0.103      0.735      0.813      0.775      0.848 
56    0.95621       3715        843         37         95      0.101      0.720      0.812      0.767      0.848 
57    0.97539       3713        845         39         93      0.099      0.705      0.812      0.760      0.849 
58    0.94279       3713        845         39         93      0.099      0.705      0.812      0.760      0.849 
59    0.93568       3711        847         41         91      0.097      0.689      0.811      0.752      0.852 
60    0.96031       3713        845         39         93      0.099      0.705      0.812      0.760      0.853 
61    0.95259       3714        844         38         94      0.100      0.712      0.812      0.763      0.853 
62    0.93481       3715        843         37         95      0.101      0.720      0.812      0.767      0.854 
63    0.94757       3714        844         38         94      0.100      0.712      0.812      0.763      0.854 
64    0.95767       3716        842         36         96      0.102      0.727      0.813      0.771      0.854 
65    0.95719       3716        842         36         96      0.102      0.727      0.813      0.771      0.854 
66    0.94795       3716        842         36         96      0.102      0.727      0.813      0.771      0.855 
67    0.95606       3715        843         37         95      0.101      0.720      0.812      0.767      0.856 
68    0.92696       3716        842         36         96      0.102      0.727      0.813      0.771      0.856 
69    0.94101       3717        841         35         97      0.103      0.735      0.813      0.775      0.856 
70    0.94564       3719        839         33         99      0.106      0.750      0.814      0.783      0.856 
71    0.93895       3718        840         34         98      0.104      0.742      0.814      0.779      0.857 
72    0.93576       3718        840         34         98      0.104      0.742      0.814      0.779      0.857 
73    0.93627       3718        840         34         98      0.104      0.742      0.814      0.779      0.857 
74    0.95551       3717        841         35         97      0.103      0.735      0.813      0.775      0.857 
75    0.95064       3720        838         32        100      0.107      0.758      0.814      0.787      0.857 
76    0.95771       3719        839         33         99      0.106      0.750      0.814      0.783      0.856 
77    0.93667       3718        840         34         98      0.104      0.742      0.814      0.779      0.856 
78    0.93527       3720        838         32        100      0.107      0.758      0.814      0.787      0.854 
79    0.93925       3720        838         32        100      0.107      0.758      0.814      0.787      0.854 
80    0.94192       3721        837         31        101      0.108      0.765      0.815      0.791      0.857 
81    0.94175       3721        837         31        101      0.108      0.765      0.815      0.791      0.857 
82    0.93249       3716        842         36         96      0.102      0.727      0.813      0.771      0.847 
