# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gat.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     2.1471       4532       1166        158          7      0.006      0.042      0.774      0.419      0.324 
2     1.9646       4533       1165        157          8      0.007      0.048      0.775      0.422      0.350 
3     2.3944       4534       1164        156          9      0.008      0.055      0.775      0.425      0.385 
4     1.5043       4544       1154        146         19      0.016      0.115      0.778      0.456      0.447 
5     1.8504       4552       1146        138         27      0.023      0.164      0.781      0.481      0.498 
6     1.3848       4558       1140        132         33      0.028      0.200      0.783      0.500      0.538 
7     1.3555       4562       1136        128         37      0.032      0.224      0.784      0.512      0.574 
8     1.3339       4563       1135        127         38      0.032      0.230      0.785      0.516      0.606 
9     1.3231       4568       1130        122         43      0.037      0.261      0.786      0.531      0.633 
10      1.286       4570       1128        120         45      0.038      0.273      0.787      0.537      0.655 
11     1.2966       4572       1126        118         47      0.040      0.285      0.788      0.544      0.671 
12      1.304       4576       1122        114         51      0.043      0.309      0.789      0.556      0.683 
13      1.282       4577       1121        113         52      0.044      0.315      0.790      0.559      0.693 
14     1.2717       4579       1119        111         54      0.046      0.327      0.790      0.565      0.700 
15     1.2789       4581       1117        109         56      0.048      0.339      0.791      0.572      0.706 
16     1.2585       4582       1116        108         57      0.049      0.345      0.791      0.575      0.711 
17     1.2553       4583       1115        107         58      0.049      0.352      0.792      0.578      0.716 
18     1.2553       4585       1113        105         60      0.051      0.364      0.792      0.584      0.719 
19     1.2716       4586       1112        104         61      0.052      0.370      0.793      0.587      0.722 
20     1.2674       4592       1106         98         67      0.057      0.406      0.795      0.606      0.725 
21     1.2559       4593       1105         97         68      0.058      0.412      0.795      0.609      0.728 
22     1.2311       4594       1104         96         69      0.059      0.418      0.795      0.612      0.731 
23     1.2234       4596       1102         94         71      0.061      0.430      0.796      0.618      0.734 
24      1.229       4599       1099         91         74      0.063      0.448      0.797      0.628      0.736 
25     1.2295       4601       1097         89         76      0.065      0.461      0.798      0.634      0.739 
26     1.2286       4603       1095         87         78      0.066      0.473      0.798      0.640      0.741 
27     1.2395       4604       1094         86         79      0.067      0.479      0.799      0.643      0.744 
28     1.2288       4604       1094         86         79      0.067      0.479      0.799      0.643      0.747 
29     1.2171       4605       1093         85         80      0.068      0.485      0.799      0.647      0.750 
30     1.2251       4605       1093         85         80      0.068      0.485      0.799      0.647      0.754 
31     1.2006       4606       1092         84         81      0.069      0.491      0.799      0.650      0.757 
32     1.1872       4607       1091         83         82      0.070      0.497      0.800      0.653      0.760 
33     1.1789       4609       1089         81         84      0.072      0.509      0.800      0.659      0.763 
34     1.1735       4613       1085         77         88      0.075      0.533      0.802      0.671      0.766 
35      1.202       4612       1086         78         87      0.074      0.527      0.801      0.668      0.770 
36     1.1944       4611       1087         79         86      0.073      0.521      0.801      0.665      0.773 
37      1.166       4613       1085         77         88      0.075      0.533      0.802      0.671      0.776 
38      1.172       4613       1085         77         88      0.075      0.533      0.802      0.671      0.780 
39     1.1422       4615       1083         75         90      0.077      0.545      0.802      0.678      0.784 
40     1.1332       4617       1081         73         92      0.078      0.558      0.803      0.684      0.788 
41     1.1349       4619       1079         71         94      0.080      0.570      0.804      0.690      0.791 
42     1.1397       4619       1079         71         94      0.080      0.570      0.804      0.690      0.795 
43     1.1277       4622       1076         68         97      0.083      0.588      0.805      0.700      0.798 
44     1.1313       4621       1077         69         96      0.082      0.582      0.805      0.696      0.800 
45     1.1399       4621       1077         69         96      0.082      0.582      0.805      0.696      0.801 
46     1.1267       4624       1074         66         99      0.084      0.600      0.806      0.706      0.803 
47     1.1283       4625       1073         65        100      0.085      0.606      0.806      0.709      0.803 
48     1.1185       4625       1073         65        100      0.085      0.606      0.806      0.709      0.803 
49     1.1255       4625       1073         65        100      0.085      0.606      0.806      0.709      0.803 
50     1.1181       4626       1072         64        101      0.086      0.612      0.806      0.712      0.804 
51     1.1183       4628       1070         62        103      0.088      0.624      0.807      0.718      0.806 
52     1.1189       4631       1067         59        106      0.090      0.642      0.808      0.728      0.808 
53     1.0956       4629       1069         61        104      0.089      0.630      0.807      0.721      0.809 
54     1.1074       4629       1069         61        104      0.089      0.630      0.807      0.721      0.811 
55     1.1031       4630       1068         60        105      0.090      0.636      0.808      0.724      0.813 
56     1.0964       4631       1067         59        106      0.090      0.642      0.808      0.728      0.815 
57     1.0847       4633       1065         57        108      0.092      0.655      0.809      0.734      0.816 
58     1.0902       4632       1066         58        107      0.091      0.648      0.808      0.731      0.817 
59     1.0934       4634       1064         56        109      0.093      0.661      0.809      0.737      0.817 
60     1.1093       4633       1065         57        108      0.092      0.655      0.809      0.734      0.818 
61     1.0915       4634       1064         56        109      0.093      0.661      0.809      0.737      0.819 
62     1.0835       4635       1063         55        110      0.094      0.667      0.809      0.740      0.819 
63     1.0824       4633       1065         57        108      0.092      0.655      0.809      0.734      0.820 
64     1.0737       4632       1066         58        107      0.091      0.648      0.808      0.731      0.820 
65     1.0574       4632       1066         58        107      0.091      0.648      0.808      0.731      0.820 
66     1.0678       4632       1066         58        107      0.091      0.648      0.808      0.731      0.821 
67     1.0839       4631       1067         59        106      0.090      0.642      0.808      0.728      0.821 
68     1.0771       4631       1067         59        106      0.090      0.642      0.808      0.728      0.821 
69     1.0594       4631       1067         59        106      0.090      0.642      0.808      0.728      0.821 
70     1.0659       4631       1067         59        106      0.090      0.642      0.808      0.728      0.822 
71       1.06       4632       1066         58        107      0.091      0.648      0.808      0.731      0.822 
72     1.0462       4633       1065         57        108      0.092      0.655      0.809      0.734      0.822 
73     1.0557       4633       1065         57        108      0.092      0.655      0.809      0.734      0.823 
74     1.0715       4633       1065         57        108      0.092      0.655      0.809      0.734      0.823 
75     1.0701       4633       1065         57        108      0.092      0.655      0.809      0.734      0.823 
76     1.0556       4633       1065         57        108      0.092      0.655      0.809      0.734      0.823 
77     1.0596       4633       1065         57        108      0.092      0.655      0.809      0.734      0.823 
78     1.0571       4634       1064         56        109      0.093      0.661      0.809      0.737      0.823 
79     1.0693       4634       1064         56        109      0.093      0.661      0.809      0.737      0.824 
80     1.0621       4634       1064         56        109      0.093      0.661      0.809      0.737      0.824 
81     1.0539       4634       1064         56        109      0.093      0.661      0.809      0.737      0.824 
82     1.0455       4634       1064         56        109      0.093      0.661      0.809      0.737      0.824 
83     1.0805       4634       1064         56        109      0.093      0.661      0.809      0.737      0.824 
84     1.0511       4634       1064         56        109      0.093      0.661      0.809      0.737      0.824 
85     1.0517       4634       1064         56        109      0.093      0.661      0.809      0.737      0.824 
86     1.0739       4634       1064         56        109      0.093      0.661      0.809      0.737      0.824 
87     1.0624       4634       1064         56        109      0.093      0.661      0.809      0.737      0.825 
88     1.0448       4634       1064         56        109      0.093      0.661      0.809      0.737      0.825 
89     1.0475       4635       1063         55        110      0.094      0.667      0.809      0.740      0.825 
90     1.0531       4635       1063         55        110      0.094      0.667      0.809      0.740      0.825 
91     1.0727       4635       1063         55        110      0.094      0.667      0.809      0.740      0.825 
92     1.0491       4635       1063         55        110      0.094      0.667      0.809      0.740      0.825 
93     1.0591       4635       1063         55        110      0.094      0.667      0.809      0.740      0.825 
94     1.0473       4635       1063         55        110      0.094      0.667      0.809      0.740      0.825 
95     1.0651       4635       1063         55        110      0.094      0.667      0.809      0.740      0.826 
96     1.0458       4635       1063         55        110      0.094      0.667      0.809      0.740      0.826 
97     1.0559       4635       1063         55        110      0.094      0.667      0.809      0.740      0.826 
98     1.0413       4635       1063         55        110      0.094      0.667      0.809      0.740      0.826 
99     1.0532       4635       1063         55        110      0.094      0.667      0.809      0.740      0.826 
100     1.0509       4635       1063         55        110      0.094      0.667      0.809      0.740      0.826 
101     1.0562       4635       1063         55        110      0.094      0.667      0.809      0.740      0.826 
102     1.0524       4635       1063         55        110      0.094      0.667      0.809      0.740      0.826 
103     1.0347       4635       1063         55        110      0.094      0.667      0.809      0.740      0.826 
104     1.0615       4635       1063         55        110      0.094      0.667      0.809      0.740      0.827 
105     1.0377       4634       1064         56        109      0.093      0.661      0.809      0.737      0.827 
106     1.0444       4634       1064         56        109      0.093      0.661      0.809      0.737      0.827 
107     1.0453       4634       1064         56        109      0.093      0.661      0.809      0.737      0.827 
108     1.0375       4635       1063         55        110      0.094      0.667      0.809      0.740      0.827 
109     1.0451       4635       1063         55        110      0.094      0.667      0.809      0.740      0.827 
110     1.0454       4636       1062         54        111      0.095      0.673      0.810      0.743      0.828 
111     1.0487       4636       1062         54        111      0.095      0.673      0.810      0.743      0.828 
112     1.0423       4636       1062         54        111      0.095      0.673      0.810      0.743      0.828 
113      1.044       4636       1062         54        111      0.095      0.673      0.810      0.743      0.828 
114     1.0394       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
115     1.0469       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
116     1.0379       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
117     1.0458       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
118       1.03       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
119     1.0479       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
120      1.046       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
121     1.0421       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
122      1.037       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
123     1.0219       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
124      1.034       4634       1064         55        110      0.094      0.667      0.809      0.740      0.828 
125     1.0429       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
126     1.0489       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
127     1.0336       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
128     1.0403       4634       1064         55        110      0.094      0.667      0.809      0.740      0.828 
129     1.0166       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
130     1.0443       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
131     1.0446       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
132     1.0269       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
133     1.0353       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
134     1.0275       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
135     1.0269       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
136     1.0359       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
137     1.0287       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
138     1.0316       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
139     1.0362       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
140     1.0552       4635       1063         55        110      0.094      0.667      0.809      0.740      0.829 
141     1.0564       4635       1063         55        110      0.094      0.667      0.809      0.740      0.829 
142     1.0251       4635       1063         55        110      0.094      0.667      0.809      0.740      0.829 
143     1.0281       4635       1063         55        110      0.094      0.667      0.809      0.740      0.829 
144     1.0168       4635       1063         55        110      0.094      0.667      0.809      0.740      0.829 
