# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gat3h.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.5709        885        255         18         15      0.056      0.455      0.767      0.615      0.692 
Train:          1     1.5709       3676        882         76         56      0.060      0.424      0.796      0.615      0.721 
All:          1     1.5709       4595       1103         95         70      0.060      0.424      0.796      0.615      0.715 
Test:          2     1.4958        886        254         17         16      0.059      0.485      0.769      0.631      0.722 
Train:          2     1.4958       3676        882         76         56      0.060      0.424      0.796      0.615      0.738 
All:          2     1.4958       4596       1102         94         71      0.061      0.430      0.796      0.618      0.734 
Test:          3     1.3751        879        261         16         17      0.061      0.515      0.764      0.643      0.746 
Train:          3     1.3751       3682        876         70         62      0.066      0.470      0.798      0.639      0.761 
All:          3     1.3751       4602       1096         88         77      0.066      0.467      0.798      0.637      0.757 
Test:          4     1.2377        901        239         15         18      0.070      0.545      0.783      0.668      0.766 
Train:          4     1.2377       3694        864         58         74      0.079      0.561      0.803      0.686      0.782 
All:          4     1.2377       4616       1082         74         91      0.078      0.552      0.803      0.681      0.779 
Test:          5     1.2066        911        229         14         19      0.077      0.576      0.793      0.687      0.790 
Train:          5     1.2066       3699        859         53         79      0.084      0.598      0.806      0.705      0.793 
All:          5     1.2066       4621       1077         69         96      0.082      0.582      0.805      0.696      0.793 
Test:          6     1.1233        923        217         13         20      0.084      0.606      0.804      0.708      0.810 
Train:          6     1.1233       3700        858         52         80      0.085      0.606      0.806      0.709      0.805 
All:          6     1.1233       4625       1073         65        100      0.085      0.606      0.806      0.709      0.806 
Test:          7     1.1338        927        213         13         20      0.086      0.606      0.807      0.710      0.820 
Train:          7     1.1338       3700        858         52         80      0.085      0.606      0.806      0.709      0.811 
All:          7     1.1338       4625       1073         65        100      0.085      0.606      0.806      0.709      0.813 
Test:          8     1.1031        936        204         12         21      0.093      0.636      0.816      0.729      0.827 
Train:          8     1.1031       3702        856         50         82      0.087      0.621      0.807      0.717      0.813 
All:          8     1.1031       4629       1069         61        104      0.089      0.630      0.807      0.721      0.816 
Test:          9     1.0896        931        209         12         21      0.091      0.636      0.812      0.727      0.833 
Train:          9     1.0896       3705        853         47         85      0.091      0.644      0.808      0.728      0.816 
All:          9     1.0896       4631       1067         59        106      0.090      0.642      0.808      0.728      0.820 
Test:         10     1.0567        930        210         12         21      0.091      0.636      0.811      0.726      0.839 
Train:         10     1.0567       3708        850         44         88      0.094      0.667      0.809      0.740      0.823 
All:         10     1.0567       4634       1064         56        109      0.093      0.661      0.809      0.737      0.827 
Test:         11     1.0775        938        202         12         21      0.094      0.636      0.818      0.730      0.846 
Train:         11     1.0775       3709        849         43         89      0.095      0.674      0.810      0.744      0.826 
All:         11     1.0775       4637       1061         53        112      0.095      0.679      0.810      0.746      0.830 
Test:         12       1.06        942        198         11         22      0.100      0.667      0.822      0.746      0.852 
Train:         12       1.06       3711        847         41         91      0.097      0.689      0.811      0.752      0.827 
All:         12       1.06       4638       1060         52        113      0.096      0.685      0.810      0.749      0.832 
Test:         13     1.0239        945        195         10         23      0.106      0.697      0.825      0.763      0.858 
Train:         13     1.0239       3711        847         41         91      0.097      0.689      0.811      0.752      0.829 
All:         13     1.0239       4639       1059         51        114      0.097      0.691      0.811      0.753      0.835 
Test:         14     1.0474        943        197          9         24      0.109      0.727      0.824      0.777      0.864 
Train:         14     1.0474       3712        846         40         92      0.098      0.697      0.811      0.756      0.832 
All:         14     1.0474       4641       1057         49        116      0.099      0.703      0.811      0.759      0.838 
Test:         15     1.0097        940        200          9         24      0.107      0.727      0.822      0.776      0.867 
Train:         15     1.0097       3713        845         39         93      0.099      0.705      0.812      0.760      0.835 
All:         15     1.0097       4642       1056         48        117      0.100      0.709      0.812      0.762      0.841 
Test:         16     1.0086        945        195          9         24      0.110      0.727      0.826      0.778      0.869 
Train:         16     1.0086       3713        845         39         93      0.099      0.705      0.812      0.760      0.839 
All:         16     1.0086       4642       1056         48        117      0.100      0.709      0.812      0.762      0.845 
Test:         17     1.0485        931        209          7         26      0.111      0.788      0.816      0.802      0.871 
Train:         17     1.0485       3717        841         35         97      0.103      0.735      0.813      0.775      0.842 
All:         17     1.0485       4648       1050         42        123      0.105      0.745      0.814      0.781      0.848 
Test:         18    0.99547        922        218          6         27      0.110      0.818      0.809      0.813      0.872 
Train:         18    0.99547       3719        839         33         99      0.106      0.750      0.814      0.783      0.847 
All:         18    0.99547       4650       1048         40        125      0.107      0.758      0.814      0.787      0.852 
Test:         19    0.96919        916        224          7         26      0.104      0.788      0.803      0.796      0.870 
Train:         19    0.96919       3721        837         31        101      0.108      0.765      0.815      0.791      0.851 
All:         19    0.96919       4652       1046         38        127      0.108      0.770      0.815      0.793      0.854 
Test:         20    0.97859        910        230          6         27      0.105      0.818      0.799      0.808      0.866 
Train:         20    0.97859       3721        837         31        101      0.108      0.765      0.815      0.791      0.853 
All:         20    0.97859       4653       1045         37        128      0.109      0.776      0.815      0.796      0.855 
Test:         21    0.98849        911        229          7         26      0.102      0.788      0.799      0.794      0.865 
Train:         21    0.98849       3724        834         28        104      0.111      0.788      0.816      0.802      0.854 
All:         21    0.98849       4655       1043         35        130      0.111      0.788      0.816      0.802      0.855 
Test:         22     1.0541        919        221          7         26      0.105      0.788      0.806      0.797      0.866 
Train:         22     1.0541       3724        834         28        104      0.111      0.788      0.816      0.802      0.854 
All:         22     1.0541       4655       1043         35        130      0.111      0.788      0.816      0.802      0.856 
Test:         23     1.0003        915        225          7         26      0.104      0.788      0.802      0.795      0.870 
Train:         23     1.0003       3724        834         28        104      0.111      0.788      0.816      0.802      0.855 
All:         23     1.0003       4654       1044         36        129      0.110      0.782      0.816      0.799      0.857 
Test:         24    0.97397        915        225          7         26      0.104      0.788      0.802      0.795      0.871 
Train:         24    0.97397       3723        835         29        103      0.110      0.780      0.816      0.799      0.855 
All:         24    0.97397       4654       1044         36        129      0.110      0.782      0.816      0.799      0.858 
Test:         25    0.99875        913        227          7         26      0.103      0.788      0.801      0.794      0.873 
Train:         25    0.99875       3723        835         29        103      0.110      0.780      0.816      0.799      0.855 
All:         25    0.99875       4654       1044         36        129      0.110      0.782      0.816      0.799      0.858 
Test:         26    0.96401        915        225          7         26      0.104      0.788      0.802      0.795      0.874 
Train:         26    0.96401       3722        836         30        102      0.109      0.773      0.815      0.795      0.855 
All:         26    0.96401       4651       1047         39        126      0.107      0.764      0.815      0.790      0.859 
Test:         27     1.0181        917        223          7         26      0.104      0.788      0.804      0.796      0.873 
Train:         27     1.0181       3721        837         31        101      0.108      0.765      0.815      0.791      0.856 
All:         27     1.0181       4652       1046         38        127      0.108      0.770      0.815      0.793      0.859 
Test:         28    0.98393        919        221          7         26      0.105      0.788      0.806      0.797      0.870 
Train:         28    0.98393       3722        836         30        102      0.109      0.773      0.815      0.795      0.856 
All:         28    0.98393       4652       1046         38        127      0.108      0.770      0.815      0.793      0.859 
Test:         29    0.98564        919        221          7         26      0.105      0.788      0.806      0.797      0.868 
Train:         29    0.98564       3722        836         30        102      0.109      0.773      0.815      0.795      0.856 
All:         29    0.98564       4653       1045         37        128      0.109      0.776      0.815      0.796      0.859 
Test:         30    0.97512        919        221          8         25      0.102      0.758      0.805      0.782      0.867 
Train:         30    0.97512       3722        836         30        102      0.109      0.773      0.815      0.795      0.857 
All:         30    0.97512       4652       1046         38        127      0.108      0.770      0.815      0.793      0.859 
Test:         31    0.97324        918        222          8         25      0.101      0.758      0.804      0.781      0.866 
Train:         31    0.97324       3722        836         30        102      0.109      0.773      0.815      0.795      0.857 
All:         31    0.97324       4652       1046         38        127      0.108      0.770      0.815      0.793      0.859 
Test:         32    0.95337        917        223          8         25      0.101      0.758      0.803      0.781      0.866 
Train:         32    0.95337       3724        834         28        104      0.111      0.788      0.816      0.802      0.858 
All:         32    0.95337       4652       1046         38        127      0.108      0.770      0.815      0.793      0.860 
