# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gat3h.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1      1.354       3702        856         50         82      0.087      0.621      0.807      0.717      0.800 
2     1.1288       3702        856         50         82      0.087      0.621      0.807      0.717      0.805 
3     1.1137       3703        855         49         83      0.088      0.629      0.807      0.721      0.807 
4     1.1195       3704        854         48         84      0.090      0.636      0.808      0.725      0.807 
5     1.1041       3702        856         50         82      0.087      0.621      0.807      0.717      0.807 
6     1.1096       3702        856         50         82      0.087      0.621      0.807      0.717      0.808 
7     1.0882       3702        856         50         82      0.087      0.621      0.807      0.717      0.809 
8     1.1028       3703        855         49         83      0.088      0.629      0.807      0.721      0.810 
9     1.0947       3703        855         49         83      0.088      0.629      0.807      0.721      0.811 
10     1.0933       3704        854         48         84      0.090      0.636      0.808      0.725      0.813 
11     1.0769       3706        852         46         86      0.092      0.652      0.809      0.732      0.814 
12     1.0913       3707        851         45         87      0.093      0.659      0.809      0.736      0.815 
13     1.1065       3708        850         44         88      0.094      0.667      0.809      0.740      0.816 
14      1.083       3707        851         45         87      0.093      0.659      0.809      0.736      0.817 
15     1.0897       3707        851         45         87      0.093      0.659      0.809      0.736      0.818 
16     1.0824       3706        852         46         86      0.092      0.652      0.809      0.732      0.819 
17     1.0646       3707        851         45         87      0.093      0.659      0.809      0.736      0.819 
18     1.0724       3708        850         44         88      0.094      0.667      0.809      0.740      0.820 
19     1.0523       3708        850         44         88      0.094      0.667      0.809      0.740      0.820 
20     1.0325       3708        850         44         88      0.094      0.667      0.809      0.740      0.821 
21     1.0451       3709        849         43         89      0.095      0.674      0.810      0.744      0.822 
22     1.0504       3710        848         42         90      0.096      0.682      0.810      0.748      0.822 
23     1.0537       3710        848         42         90      0.096      0.682      0.810      0.748      0.823 
24      1.037       3711        847         41         91      0.097      0.689      0.811      0.752      0.824 
25     1.0422       3711        847         41         91      0.097      0.689      0.811      0.752      0.825 
26     1.0292       3710        848         42         90      0.096      0.682      0.810      0.748      0.826 
