# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gat3h.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1      1.351       4628       1070         62        103      0.088      0.624      0.807      0.718      0.798 
2     1.2505       4616       1082         74         91      0.078      0.552      0.803      0.681      0.788 
3     1.2124       4616       1082         74         91      0.078      0.552      0.803      0.681      0.792 
4     1.1454       4623       1075         67         98      0.084      0.594      0.805      0.703      0.803 
5     1.1142       4630       1068         60        105      0.090      0.636      0.808      0.724      0.806 
6     1.0917       4627       1071         63        102      0.087      0.618      0.807      0.715      0.809 
7     1.0687       4628       1070         62        103      0.088      0.624      0.807      0.718      0.810 
8     1.0466       4628       1070         62        103      0.088      0.624      0.807      0.718      0.810 
9     1.0493       4629       1069         61        104      0.089      0.630      0.807      0.721      0.814 
10     1.0467       4630       1068         60        105      0.090      0.636      0.808      0.724      0.819 
11     1.0205       4632       1066         58        107      0.091      0.648      0.808      0.731      0.822 
12     1.0164       4633       1065         57        108      0.092      0.655      0.809      0.734      0.823 
13       1.01       4633       1065         57        108      0.092      0.655      0.809      0.734      0.824 
14    0.99656       4634       1064         56        109      0.093      0.661      0.809      0.737      0.824 
15    0.99581       4636       1062         54        111      0.095      0.673      0.810      0.743      0.824 
16    0.99426       4637       1061         53        112      0.095      0.679      0.810      0.746      0.825 
17    0.97864       4635       1063         55        110      0.094      0.667      0.809      0.740      0.824 
18    0.97809       4635       1063         55        110      0.094      0.667      0.809      0.740      0.825 
19    0.96802       4636       1062         54        111      0.095      0.673      0.810      0.743      0.826 
20    0.97038       4639       1059         51        114      0.097      0.691      0.811      0.753      0.827 
21    0.96545       4638       1060         52        113      0.096      0.685      0.810      0.749      0.827 
22    0.96505       4637       1061         53        112      0.095      0.679      0.810      0.746      0.828 
23    0.97602       4638       1060         52        113      0.096      0.685      0.810      0.749      0.830 
24    0.96311       4640       1058         50        115      0.098      0.697      0.811      0.756      0.831 
25     0.9438       4639       1059         51        114      0.097      0.691      0.811      0.753      0.833 
26    0.95253       4638       1060         52        113      0.096      0.685      0.810      0.749      0.833 
27     0.9457       4638       1060         52        113      0.096      0.685      0.810      0.749      0.833 
28    0.94371       4639       1059         51        114      0.097      0.691      0.811      0.753      0.835 
29     0.9299       4639       1059         51        114      0.097      0.691      0.811      0.753      0.838 
30    0.93407       4640       1058         50        115      0.098      0.697      0.811      0.756      0.840 
31    0.93568       4642       1056         48        117      0.100      0.709      0.812      0.762      0.841 
32    0.93749       4641       1057         49        116      0.099      0.703      0.811      0.759      0.843 
33    0.93166       4641       1057         49        116      0.099      0.703      0.811      0.759      0.844 
34    0.93177       4642       1056         48        117      0.100      0.709      0.812      0.762      0.846 
