# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gcn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     2.5819        919        221         32          1      0.005      0.030      0.784      0.418      0.180 
Train:          1     2.5819       3625        933        127          5      0.005      0.038      0.774      0.417      0.200 
All:          1     2.5819       4531       1167        159          6      0.005      0.036      0.774      0.416      0.195 
Test:          2     2.2394        912        228         32          1      0.004      0.030      0.778      0.415      0.182 
Train:          2     2.2394       3626        932        126          6      0.006      0.045      0.774      0.420      0.223 
All:          2     2.2394       4532       1166        158          7      0.006      0.042      0.774      0.419      0.214 
Test:          3      1.854        899        241         31          2      0.008      0.061      0.768      0.425      0.204 
Train:          3      1.854       3631        927        121         11      0.012      0.083      0.777      0.440      0.292 
All:          3      1.854       4538       1160        152         13      0.011      0.079      0.776      0.438      0.274 
Test:          4      1.662        903        237         27          6      0.025      0.182      0.775      0.487      0.317 
Train:          4      1.662       3649        909        103         29      0.031      0.220      0.784      0.510      0.443 
All:          4      1.662       4560       1138        130         35      0.030      0.212      0.784      0.506      0.417 
Test:          5     1.5526        901        239         26          7      0.028      0.212      0.774      0.501      0.430 
Train:          5     1.5526       3661        897         91         41      0.044      0.311      0.789      0.557      0.561 
All:          5     1.5526       4573       1125        117         48      0.041      0.291      0.788      0.547      0.535 
Test:          6     1.4371        899        241         24          9      0.036      0.273      0.774      0.531      0.508 
Train:          6     1.4371       3673        885         79         53      0.057      0.402      0.794      0.604      0.615 
All:          6     1.4371       4587       1111        103         62      0.053      0.376      0.793      0.590      0.594 
Test:          7     1.4998        908        232         22         11      0.045      0.333      0.783      0.565      0.550 
Train:          7     1.4998       3680        878         72         60      0.064      0.455      0.797      0.631      0.645 
All:          7     1.4998       4596       1102         94         71      0.061      0.430      0.796      0.618      0.626 
Test:          8     1.5341        921        219         19         14      0.060      0.424      0.797      0.616      0.577 
Train:          8     1.5341       3683        875         69         63      0.067      0.477      0.799      0.643      0.666 
All:          8     1.5341       4602       1096         88         77      0.066      0.467      0.798      0.637      0.649 
Test:          9     1.5999        918        222         19         14      0.059      0.424      0.795      0.615      0.594 
Train:          9     1.5999       3684        874         68         64      0.068      0.485      0.799      0.647      0.683 
All:          9     1.5999       4603       1095         87         78      0.066      0.473      0.798      0.640      0.666 
Test:         10     1.5875        924        216         19         14      0.061      0.424      0.800      0.617      0.606 
Train:         10     1.5875       3686        872         66         66      0.070      0.500      0.800      0.654      0.696 
All:         10     1.5875       4605       1093         85         80      0.068      0.485      0.799      0.647      0.679 
Test:         11     1.5885        920        220         17         16      0.068      0.485      0.798      0.646      0.615 
Train:         11     1.5885       3687        871         65         67      0.071      0.508      0.800      0.658      0.705 
All:         11     1.5885       4608       1090         82         83      0.071      0.503      0.800      0.656      0.688 
Test:         12     1.5621        911        229         17         16      0.065      0.485      0.790      0.642      0.623 
Train:         12     1.5621       3687        871         65         67      0.071      0.508      0.800      0.658      0.712 
All:         12     1.5621       4608       1090         82         83      0.071      0.503      0.800      0.656      0.694 
Test:         13     1.5219        912        228         17         16      0.066      0.485      0.791      0.642      0.629 
Train:         13     1.5219       3687        871         65         67      0.071      0.508      0.800      0.658      0.716 
All:         13     1.5219       4608       1090         82         83      0.071      0.503      0.800      0.656      0.699 
Test:         14     1.5181        913        227         18         15      0.062      0.455      0.791      0.628      0.632 
Train:         14     1.5181       3687        871         65         67      0.071      0.508      0.800      0.658      0.719 
All:         14     1.5181       4607       1091         83         82      0.070      0.497      0.800      0.653      0.702 
Test:         15     1.4483        920        220         18         15      0.064      0.455      0.797      0.631      0.633 
Train:         15     1.4483       3687        871         65         67      0.071      0.508      0.800      0.658      0.720 
All:         15     1.4483       4607       1091         83         82      0.070      0.497      0.800      0.653      0.703 
Test:         16     1.4227        928        212         18         15      0.066      0.455      0.804      0.634      0.633 
Train:         16     1.4227       3687        871         65         67      0.071      0.508      0.800      0.658      0.720 
All:         16     1.4227       4607       1091         83         82      0.070      0.497      0.800      0.653      0.703 
Test:         17     1.3795        932        208         19         14      0.063      0.424      0.806      0.621      0.633 
Train:         17     1.3795       3687        871         65         67      0.071      0.508      0.800      0.658      0.718 
All:         17     1.3795       4606       1092         84         81      0.069      0.491      0.799      0.650      0.701 
Test:         18     1.3572        932        208         19         14      0.063      0.424      0.806      0.621      0.633 
Train:         18     1.3572       3686        872         66         66      0.070      0.500      0.800      0.654      0.715 
All:         18     1.3572       4605       1093         85         80      0.068      0.485      0.799      0.647      0.698 
Test:         19     1.3289        937        203         20         13      0.060      0.394      0.810      0.608      0.630 
Train:         19     1.3289       3685        873         67         65      0.069      0.492      0.800      0.650      0.711 
All:         19     1.3289       4604       1094         86         79      0.067      0.479      0.799      0.643      0.695 
Test:         20     1.3427        925        215         20         13      0.057      0.394      0.800      0.603      0.630 
Train:         20     1.3427       3685        873         67         65      0.069      0.492      0.800      0.650      0.707 
All:         20     1.3427       4603       1095         87         78      0.066      0.473      0.798      0.640      0.691 
Test:         21     1.3096        919        221         22         11      0.047      0.333      0.793      0.570      0.628 
Train:         21     1.3096       3684        874         68         64      0.068      0.485      0.799      0.647      0.701 
All:         21     1.3096       4600       1098         90         75      0.064      0.455      0.797      0.631      0.687 
Test:         22     1.3388        920        220         22         11      0.048      0.333      0.794      0.570      0.632 
Train:         22     1.3388       3681        877         71         61      0.065      0.462      0.798      0.635      0.697 
All:         22     1.3388       4597       1101         93         72      0.061      0.436      0.796      0.622      0.684 
Test:         23     1.3097        929        211         22         11      0.050      0.333      0.801      0.574      0.642 
Train:         23     1.3097       3675        883         77         55      0.059      0.417      0.795      0.611      0.697 
All:         23     1.3097       4591       1107         99         66      0.056      0.400      0.794      0.603      0.686 
Test:         24     1.3002        926        214         22         11      0.049      0.333      0.799      0.573      0.659 
Train:         24     1.3002       3678        880         74         58      0.062      0.439      0.797      0.623      0.700 
All:         24     1.3002       4597       1101         93         72      0.061      0.436      0.796      0.622      0.692 
Test:         25     1.3198        926        214         20         13      0.057      0.394      0.801      0.603      0.686 
Train:         25     1.3198       3683        875         69         63      0.067      0.477      0.799      0.643      0.713 
All:         25     1.3198       4602       1096         88         77      0.066      0.467      0.798      0.637      0.707 
Test:         26     1.3062        926        214         16         17      0.074      0.515      0.804      0.664      0.714 
Train:         26     1.3062       3684        874         68         64      0.068      0.485      0.799      0.647      0.731 
All:         26     1.3062       4606       1092         84         81      0.069      0.491      0.799      0.650      0.727 
Test:         27     1.2896        931        209         16         17      0.075      0.515      0.808      0.666      0.740 
Train:         27     1.2896       3693        865         59         73      0.078      0.553      0.803      0.682      0.752 
All:         27     1.2896       4615       1083         75         90      0.077      0.545      0.802      0.678      0.750 
Test:         28     1.2768        924        216         15         18      0.077      0.545      0.803      0.678      0.760 
Train:         28     1.2768       3702        856         50         82      0.087      0.621      0.807      0.717      0.774 
All:         28     1.2768       4624       1074         65        100      0.085      0.606      0.806      0.709      0.771 
Test:         29      1.296        928        212         14         19      0.082      0.576      0.807      0.695      0.774 
Train:         29      1.296       3705        853         47         85      0.091      0.644      0.808      0.728      0.791 
All:         29      1.296       4629       1069         61        104      0.089      0.630      0.807      0.721      0.788 
Test:         30     1.2632        928        212         13         20      0.086      0.606      0.808      0.710      0.784 
Train:         30     1.2632       3709        849         43         89      0.095      0.674      0.810      0.744      0.802 
All:         30     1.2632       4634       1064         56        109      0.093      0.661      0.809      0.737      0.798 
Test:         31     1.2545        930        210         12         21      0.091      0.636      0.811      0.726      0.790 
Train:         31     1.2545       3709        849         43         89      0.095      0.674      0.810      0.744      0.811 
All:         31     1.2545       4635       1063         55        110      0.094      0.667      0.809      0.740      0.806 
Test:         32     1.2304        924        216         12         21      0.089      0.636      0.806      0.723      0.795 
Train:         32     1.2304       3710        848         42         90      0.096      0.682      0.810      0.748      0.816 
All:         32     1.2304       4636       1062         54        111      0.095      0.673      0.810      0.743      0.812 
Test:         33     1.2566        928        212         11         22      0.094      0.667      0.810      0.740      0.798 
Train:         33     1.2566       3710        848         42         90      0.096      0.682      0.810      0.748      0.820 
All:         33     1.2566       4637       1061         53        112      0.095      0.679      0.810      0.746      0.816 
Test:         34     1.2292        935        205         11         22      0.097      0.667      0.816      0.743      0.801 
Train:         34     1.2292       3708        850         44         88      0.094      0.667      0.809      0.740      0.823 
All:         34     1.2292       4636       1062         54        111      0.095      0.673      0.810      0.743      0.818 
Test:         35      1.231        932        208         11         22      0.096      0.667      0.813      0.742      0.804 
Train:         35      1.231       3708        850         44         88      0.094      0.667      0.809      0.740      0.824 
All:         35      1.231       4635       1063         55        110      0.094      0.667      0.809      0.740      0.820 
Test:         36     1.2279        930        210         11         22      0.095      0.667      0.812      0.741      0.806 
Train:         36     1.2279       3709        849         43         89      0.095      0.674      0.810      0.744      0.825 
All:         36     1.2279       4636       1062         54        111      0.095      0.673      0.810      0.743      0.821 
Test:         37     1.2117        928        212         11         22      0.094      0.667      0.810      0.740      0.808 
Train:         37     1.2117       3710        848         42         90      0.096      0.682      0.810      0.748      0.826 
All:         37     1.2117       4637       1061         53        112      0.095      0.679      0.810      0.746      0.822 
Test:         38     1.2181        930        210         11         22      0.095      0.667      0.812      0.741      0.810 
Train:         38     1.2181       3710        848         42         90      0.096      0.682      0.810      0.748      0.826 
All:         38     1.2181       4637       1061         53        112      0.095      0.679      0.810      0.746      0.822 
Test:         39     1.2183        931        209         11         22      0.095      0.667      0.812      0.742      0.810 
Train:         39     1.2183       3710        848         42         90      0.096      0.682      0.810      0.748      0.825 
All:         39     1.2183       4637       1061         53        112      0.095      0.679      0.810      0.746      0.822 
Test:         40     1.2033        933        207         11         22      0.096      0.667      0.814      0.743      0.812 
Train:         40     1.2033       3711        847         41         91      0.097      0.689      0.811      0.752      0.824 
All:         40     1.2033       4638       1060         52        113      0.096      0.685      0.810      0.749      0.821 
Test:         41     1.2031        939        201         11         22      0.099      0.667      0.819      0.745      0.813 
Train:         41     1.2031       3711        847         41         91      0.097      0.689      0.811      0.752      0.822 
All:         41     1.2031       4639       1059         51        114      0.097      0.691      0.811      0.753      0.820 
Test:         42     1.2138        941        199         11         22      0.100      0.667      0.821      0.746      0.815 
Train:         42     1.2138       3711        847         41         91      0.097      0.689      0.811      0.752      0.820 
All:         42     1.2138       4639       1059         51        114      0.097      0.691      0.811      0.753      0.819 
Test:         43     1.1907        949        191         10         23      0.107      0.697      0.829      0.765      0.815 
Train:         43     1.1907       3711        847         41         91      0.097      0.689      0.811      0.752      0.817 
All:         43     1.1907       4640       1058         50        115      0.098      0.697      0.811      0.756      0.817 
Test:         44     1.2176        943        197         10         23      0.105      0.697      0.824      0.762      0.816 
Train:         44     1.2176       3713        845         39         93      0.099      0.705      0.812      0.760      0.815 
All:         44     1.2176       4641       1057         49        116      0.099      0.703      0.811      0.759      0.815 
Test:         45     1.1759        944        196         10         23      0.105      0.697      0.824      0.763      0.816 
Train:         45     1.1759       3712        846         40         92      0.098      0.697      0.811      0.756      0.812 
All:         45     1.1759       4640       1058         50        115      0.098      0.697      0.811      0.756      0.813 
Test:         46     1.1863        946        194         10         23      0.106      0.697      0.826      0.763      0.816 
Train:         46     1.1863       3710        848         42         90      0.096      0.682      0.810      0.748      0.809 
All:         46     1.1863       4638       1060         52        113      0.096      0.685      0.810      0.749      0.810 
Test:         47       1.17        947        193         10         23      0.106      0.697      0.827      0.764      0.816 
Train:         47       1.17       3709        849         43         89      0.095      0.674      0.810      0.744      0.806 
All:         47       1.17       4638       1060         52        113      0.096      0.685      0.810      0.749      0.808 
Test:         48     1.1704        951        189         10         23      0.108      0.697      0.830      0.766      0.816 
Train:         48     1.1704       3711        847         41         91      0.097      0.689      0.811      0.752      0.804 
All:         48     1.1704       4639       1059         51        114      0.097      0.691      0.811      0.753      0.807 
Test:         49     1.1733        949        191         10         23      0.107      0.697      0.829      0.765      0.817 
Train:         49     1.1733       3711        847         41         91      0.097      0.689      0.811      0.752      0.803 
All:         49     1.1733       4639       1059         51        114      0.097      0.691      0.811      0.753      0.806 
Test:         50     1.1719        948        192         10         23      0.107      0.697      0.828      0.764      0.817 
Train:         50     1.1719       3711        847         41         91      0.097      0.689      0.811      0.752      0.803 
All:         50     1.1719       4639       1059         51        114      0.097      0.691      0.811      0.753      0.806 
Test:         51     1.1753        949        191         10         23      0.107      0.697      0.829      0.765      0.818 
Train:         51     1.1753       3711        847         41         91      0.097      0.689      0.811      0.752      0.804 
All:         51     1.1753       4639       1059         51        114      0.097      0.691      0.811      0.753      0.807 
Test:         52     1.1608        949        191         10         23      0.107      0.697      0.829      0.765      0.819 
Train:         52     1.1608       3711        847         41         91      0.097      0.689      0.811      0.752      0.805 
All:         52     1.1608       4639       1059         51        114      0.097      0.691      0.811      0.753      0.808 
Test:         53     1.1617        950        190         10         23      0.108      0.697      0.829      0.765      0.821 
Train:         53     1.1617       3711        847         41         91      0.097      0.689      0.811      0.752      0.807 
All:         53     1.1617       4639       1059         51        114      0.097      0.691      0.811      0.753      0.810 
Test:         54      1.168        952        188         10         23      0.109      0.697      0.831      0.766      0.821 
Train:         54      1.168       3711        847         41         91      0.097      0.689      0.811      0.752      0.809 
All:         54      1.168       4640       1058         50        115      0.098      0.697      0.811      0.756      0.812 
Test:         55     1.1654        950        190         10         23      0.108      0.697      0.829      0.765      0.822 
Train:         55     1.1654       3712        846         40         92      0.098      0.697      0.811      0.756      0.811 
All:         55     1.1654       4640       1058         50        115      0.098      0.697      0.811      0.756      0.813 
Test:         56     1.1501        948        192         10         23      0.107      0.697      0.828      0.764      0.823 
Train:         56     1.1501       3712        846         40         92      0.098      0.697      0.811      0.756      0.812 
All:         56     1.1501       4640       1058         50        115      0.098      0.697      0.811      0.756      0.815 
Test:         57     1.1633        949        191         10         23      0.107      0.697      0.829      0.765      0.824 
Train:         57     1.1633       3712        846         40         92      0.098      0.697      0.811      0.756      0.814 
All:         57     1.1633       4640       1058         50        115      0.098      0.697      0.811      0.756      0.816 
Test:         58     1.1485        950        190         10         23      0.108      0.697      0.829      0.765      0.825 
Train:         58     1.1485       3712        846         40         92      0.098      0.697      0.811      0.756      0.815 
All:         58     1.1485       4640       1058         50        115      0.098      0.697      0.811      0.756      0.817 
Test:         59     1.1511        948        192         10         23      0.107      0.697      0.828      0.764      0.826 
Train:         59     1.1511       3712        846         40         92      0.098      0.697      0.811      0.756      0.815 
All:         59     1.1511       4640       1058         50        115      0.098      0.697      0.811      0.756      0.817 
Test:         60     1.1297        951        189         10         23      0.108      0.697      0.830      0.766      0.826 
Train:         60     1.1297       3712        846         40         92      0.098      0.697      0.811      0.756      0.815 
All:         60     1.1297       4640       1058         50        115      0.098      0.697      0.811      0.756      0.817 
Test:         61     1.1548        951        189         10         23      0.108      0.697      0.830      0.766      0.827 
Train:         61     1.1548       3712        846         40         92      0.098      0.697      0.811      0.756      0.815 
All:         61     1.1548       4640       1058         50        115      0.098      0.697      0.811      0.756      0.817 
Test:         62     1.1323        951        189         10         23      0.108      0.697      0.830      0.766      0.827 
Train:         62     1.1323       3712        846         40         92      0.098      0.697      0.811      0.756      0.814 
All:         62     1.1323       4640       1058         50        115      0.098      0.697      0.811      0.756      0.817 
Test:         63     1.1428        950        190         10         23      0.108      0.697      0.829      0.765      0.827 
Train:         63     1.1428       3712        846         40         92      0.098      0.697      0.811      0.756      0.813 
All:         63     1.1428       4640       1058         50        115      0.098      0.697      0.811      0.756      0.816 
Test:         64      1.138        949        191         10         23      0.107      0.697      0.829      0.765      0.827 
Train:         64      1.138       3712        846         40         92      0.098      0.697      0.811      0.756      0.812 
All:         64      1.138       4640       1058         50        115      0.098      0.697      0.811      0.756      0.815 
Test:         65     1.1423        946        194         10         23      0.106      0.697      0.826      0.763      0.828 
Train:         65     1.1423       3711        847         41         91      0.097      0.689      0.811      0.752      0.811 
All:         65     1.1423       4639       1059         51        114      0.097      0.691      0.811      0.753      0.814 
Test:         66     1.1339        947        193         10         23      0.106      0.697      0.827      0.764      0.828 
Train:         66     1.1339       3710        848         42         90      0.096      0.682      0.810      0.748      0.810 
All:         66     1.1339       4639       1059         51        114      0.097      0.691      0.811      0.753      0.814 
Test:         67     1.1257        948        192         10         23      0.107      0.697      0.828      0.764      0.829 
Train:         67     1.1257       3710        848         42         90      0.096      0.682      0.810      0.748      0.810 
All:         67     1.1257       4639       1059         51        114      0.097      0.691      0.811      0.753      0.814 
Test:         68     1.1273        947        193         10         23      0.106      0.697      0.827      0.764      0.829 
Train:         68     1.1273       3710        848         42         90      0.096      0.682      0.810      0.748      0.810 
All:         68     1.1273       4639       1059         51        114      0.097      0.691      0.811      0.753      0.814 
Test:         69     1.1306        948        192         10         23      0.107      0.697      0.828      0.764      0.829 
Train:         69     1.1306       3710        848         42         90      0.096      0.682      0.810      0.748      0.810 
All:         69     1.1306       4639       1059         51        114      0.097      0.691      0.811      0.753      0.814 
Test:         70     1.1194        947        193         10         23      0.106      0.697      0.827      0.764      0.830 
Train:         70     1.1194       3709        849         43         89      0.095      0.674      0.810      0.744      0.810 
All:         70     1.1194       4639       1059         51        114      0.097      0.691      0.811      0.753      0.815 
Test:         71     1.1343        949        191         10         23      0.107      0.697      0.829      0.765      0.831 
Train:         71     1.1343       3710        848         42         90      0.096      0.682      0.810      0.748      0.811 
All:         71     1.1343       4639       1059         51        114      0.097      0.691      0.811      0.753      0.815 
Test:         72     1.1181        949        191         10         23      0.107      0.697      0.829      0.765      0.832 
Train:         72     1.1181       3709        849         41         91      0.097      0.689      0.810      0.752      0.812 
All:         72     1.1181       4639       1059         51        114      0.097      0.691      0.811      0.753      0.816 
Test:         73     1.1168        949        191         10         23      0.107      0.697      0.829      0.765      0.833 
Train:         73     1.1168       3711        847         41         91      0.097      0.689      0.811      0.752      0.813 
All:         73     1.1168       4638       1060         51        114      0.097      0.691      0.811      0.752      0.817 
Test:         74     1.1199        946        194         10         23      0.106      0.697      0.826      0.763      0.833 
Train:         74     1.1199       3711        847         41         91      0.097      0.689      0.811      0.752      0.814 
All:         74     1.1199       4639       1059         51        114      0.097      0.691      0.811      0.753      0.818 
Test:         75     1.1294        948        192         10         23      0.107      0.697      0.828      0.764      0.834 
Train:         75     1.1294       3711        847         41         91      0.097      0.689      0.811      0.752      0.815 
All:         75     1.1294       4639       1059         51        114      0.097      0.691      0.811      0.753      0.819 
Test:         76     1.1161        950        190         10         23      0.108      0.697      0.829      0.765      0.835 
Train:         76     1.1161       3711        847         41         91      0.097      0.689      0.811      0.752      0.816 
