# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     2.2751       4532       1166        158          7      0.006      0.042      0.774      0.419      0.199 
2     1.9997       4533       1165        157          8      0.007      0.048      0.775      0.422      0.227 
3     1.7703       4540       1158        150         15      0.013      0.091      0.777      0.444      0.308 
4     1.5854       4550       1148        140         25      0.021      0.152      0.780      0.475      0.425 
5     1.5037       4569       1129        121         44      0.038      0.267      0.787      0.534      0.517 
6     1.5283       4579       1119        111         54      0.046      0.327      0.790      0.565      0.578 
7     1.5291       4587       1111        103         62      0.053      0.376      0.793      0.590      0.618 
8     1.5491       4587       1111        103         62      0.053      0.376      0.793      0.590      0.642 
9     1.5775       4588       1110        102         63      0.054      0.382      0.793      0.594      0.655 
10      1.571       4588       1110        102         63      0.054      0.382      0.793      0.594      0.663 
11      1.548       4589       1109        101         64      0.055      0.388      0.794      0.597      0.666 
12     1.5145       4589       1109        101         64      0.055      0.388      0.794      0.597      0.666 
13     1.4777       4590       1108        100         65      0.055      0.394      0.794      0.600      0.660 
14     1.4279       4589       1109        101         64      0.055      0.388      0.794      0.597      0.651 
15     1.4027       4588       1110        102         63      0.054      0.382      0.793      0.594      0.637 
16     1.3694       4584       1114        106         59      0.050      0.358      0.792      0.581      0.619 
17     1.3542       4579       1119        111         54      0.046      0.327      0.790      0.565      0.600 
18       1.37       4575       1123        115         50      0.043      0.303      0.789      0.553      0.580 
19     1.3391       4569       1129        121         44      0.038      0.267      0.787      0.534      0.563 
20     1.3598       4571       1127        119         46      0.039      0.279      0.787      0.540      0.554 
21     1.3491       4571       1127        119         46      0.039      0.279      0.787      0.540      0.558 
22     1.3383       4574       1124        116         49      0.042      0.297      0.789      0.550      0.574 
23     1.3458       4579       1119        111         54      0.046      0.327      0.790      0.565      0.600 
24     1.3467       4583       1115        107         58      0.049      0.352      0.792      0.578      0.633 
25     1.3043       4593       1105         97         68      0.058      0.412      0.795      0.609      0.664 
26     1.2934       4602       1096         88         77      0.066      0.467      0.798      0.637      0.691 
27     1.2887       4610       1088         80         85      0.072      0.515      0.801      0.662      0.713 
28     1.2727       4615       1083         75         90      0.077      0.545      0.802      0.678      0.730 
29     1.2653       4618       1080         72         93      0.079      0.564      0.804      0.687      0.743 
30     1.2656       4620       1078         70         95      0.081      0.576      0.804      0.693      0.752 
31     1.2632       4620       1078         70         95      0.081      0.576      0.804      0.693      0.760 
32     1.2555       4622       1076         68         97      0.083      0.588      0.805      0.700      0.765 
33     1.2595       4623       1075         67         98      0.084      0.594      0.805      0.703      0.769 
34     1.2453       4623       1075         67         98      0.084      0.594      0.805      0.703      0.771 
35     1.2395       4624       1074         66         99      0.084      0.600      0.806      0.706      0.771 
36     1.2251       4624       1074         66         99      0.084      0.600      0.806      0.706      0.770 
37     1.2286       4624       1074         66         99      0.084      0.600      0.806      0.706      0.768 
38     1.2239       4624       1074         66         99      0.084      0.600      0.806      0.706      0.766 
39     1.2053       4623       1075         67         98      0.084      0.594      0.805      0.703      0.763 
40      1.205       4626       1072         64        101      0.086      0.612      0.806      0.712      0.760 
41     1.2089       4627       1071         63        102      0.087      0.618      0.807      0.715      0.759 
42     1.1962       4626       1072         64        101      0.086      0.612      0.806      0.712      0.759 
43     1.2007       4627       1071         63        102      0.087      0.618      0.807      0.715      0.761 
44     1.2021       4627       1071         63        102      0.087      0.618      0.807      0.715      0.766 
45     1.1924       4627       1071         63        102      0.087      0.618      0.807      0.715      0.770 
46     1.1856       4628       1070         62        103      0.088      0.624      0.807      0.718      0.776 
47     1.1743       4629       1069         61        104      0.089      0.630      0.807      0.721      0.781 
48      1.169       4629       1069         61        104      0.089      0.630      0.807      0.721      0.786 
49     1.1728       4630       1068         60        105      0.090      0.636      0.808      0.724      0.790 
50     1.1624       4631       1067         59        106      0.090      0.642      0.808      0.728      0.792 
51     1.1624       4632       1066         58        107      0.091      0.648      0.808      0.731      0.794 
52     1.1564       4631       1067         59        106      0.090      0.642      0.808      0.728      0.795 
53      1.151       4632       1066         58        107      0.091      0.648      0.808      0.731      0.795 
54     1.1568       4632       1066         58        107      0.091      0.648      0.808      0.731      0.794 
55     1.1559       4632       1066         58        107      0.091      0.648      0.808      0.731      0.793 
56     1.1591       4632       1066         58        107      0.091      0.648      0.808      0.731      0.793 
57      1.139       4632       1066         58        107      0.091      0.648      0.808      0.731      0.792 
58     1.1587       4632       1066         58        107      0.091      0.648      0.808      0.731      0.793 
59     1.1439       4631       1067         59        106      0.090      0.642      0.808      0.728      0.795 
60     1.1331       4632       1066         58        107      0.091      0.648      0.808      0.731      0.797 
61     1.1487       4634       1064         56        109      0.093      0.661      0.809      0.737      0.800 
62     1.1175       4635       1063         55        110      0.094      0.667      0.809      0.740      0.802 
63     1.1223       4635       1063         55        110      0.094      0.667      0.809      0.740      0.804 
64     1.1116       4636       1062         54        111      0.095      0.673      0.810      0.743      0.806 
65     1.1142       4634       1064         56        109      0.093      0.661      0.809      0.737      0.806 
66     1.1169       4634       1064         56        109      0.093      0.661      0.809      0.737      0.807 
67     1.1155       4634       1064         56        109      0.093      0.661      0.809      0.737      0.807 
68     1.1049       4634       1064         56        109      0.093      0.661      0.809      0.737      0.807 
69      1.114       4634       1064         56        109      0.093      0.661      0.809      0.737      0.808 
70     1.1114       4634       1064         56        109      0.093      0.661      0.809      0.737      0.808 
71      1.109       4635       1063         55        110      0.094      0.667      0.809      0.740      0.808 
72     1.1003       4635       1063         55        110      0.094      0.667      0.809      0.740      0.808 
73     1.1001       4635       1063         55        110      0.094      0.667      0.809      0.740      0.809 
74     1.1006       4635       1063         55        110      0.094      0.667      0.809      0.740      0.810 
75     1.0999       4637       1061         53        112      0.095      0.679      0.810      0.746      0.811 
76     1.0889       4638       1060         52        113      0.096      0.685      0.810      0.749      0.813 
77     1.0938       4639       1059         51        114      0.097      0.691      0.811      0.753      0.814 
78     1.0882       4640       1058         50        115      0.098      0.697      0.811      0.756      0.816 
79       1.09       4640       1058         50        115      0.098      0.697      0.811      0.756      0.818 
80     1.0654       4640       1058         50        115      0.098      0.697      0.811      0.756      0.819 
81       1.08       4640       1058         50        115      0.098      0.697      0.811      0.756      0.819 
82     1.0836       4639       1059         51        114      0.097      0.691      0.811      0.753      0.819 
83     1.0915       4640       1058         50        115      0.098      0.697      0.811      0.756      0.818 
84     1.0726       4640       1058         50        115      0.098      0.697      0.811      0.756      0.818 
85     1.0873       4640       1058         50        115      0.098      0.697      0.811      0.756      0.818 
86     1.0697       4640       1058         50        115      0.098      0.697      0.811      0.756      0.818 
87     1.0835       4641       1057         49        116      0.099      0.703      0.811      0.759      0.819 
88     1.0816       4640       1058         50        115      0.098      0.697      0.811      0.756      0.820 
89     1.0713       4640       1058         50        115      0.098      0.697      0.811      0.756      0.822 
90     1.0798       4640       1058         50        115      0.098      0.697      0.811      0.756      0.823 
91     1.0678       4640       1058         50        115      0.098      0.697      0.811      0.756      0.823 
92     1.0554       4640       1058         50        115      0.098      0.697      0.811      0.756      0.823 
93     1.0628       4640       1058         50        115      0.098      0.697      0.811      0.756      0.823 
94     1.0665       4640       1058         50        115      0.098      0.697      0.811      0.756      0.822 
95     1.0477       4640       1058         50        115      0.098      0.697      0.811      0.756      0.822 
96     1.0633       4641       1057         49        116      0.099      0.703      0.811      0.759      0.822 
97     1.0584       4641       1057         49        116      0.099      0.703      0.811      0.759      0.823 
98     1.0589       4642       1056         48        117      0.100      0.709      0.812      0.762      0.824 
99     1.0589       4644       1054         46        119      0.101      0.721      0.812      0.768      0.826 
100     1.0645       4644       1054         46        119      0.101      0.721      0.812      0.768      0.827 
101     1.0526       4644       1054         46        119      0.101      0.721      0.812      0.768      0.827 
102     1.0521       4643       1055         47        118      0.101      0.715      0.812      0.765      0.827 
103     1.0502       4642       1056         48        117      0.100      0.709      0.812      0.762      0.827 
104     1.0551       4642       1056         48        117      0.100      0.709      0.812      0.762      0.826 
105     1.0605       4642       1056         48        117      0.100      0.709      0.812      0.762      0.826 
106     1.0505       4643       1055         47        118      0.101      0.715      0.812      0.765      0.827 
107     1.0476       4643       1055         47        118      0.101      0.715      0.812      0.765      0.828 
108     1.0475       4643       1055         47        118      0.101      0.715      0.812      0.765      0.829 
109     1.0487       4644       1054         46        119      0.101      0.721      0.812      0.768      0.830 
110     1.0423       4644       1054         46        119      0.101      0.721      0.812      0.768      0.830 
111     1.0423       4644       1054         46        119      0.101      0.721      0.812      0.768      0.830 
112     1.0541       4643       1055         47        118      0.101      0.715      0.812      0.765      0.830 
113     1.0333       4643       1055         47        118      0.101      0.715      0.812      0.765      0.829 
114     1.0372       4642       1056         48        117      0.100      0.709      0.812      0.762      0.829 
115     1.0332       4643       1055         47        118      0.101      0.715      0.812      0.765      0.830 
116     1.0392       4643       1055         47        118      0.101      0.715      0.812      0.765      0.831 
117     1.0401       4644       1054         46        119      0.101      0.721      0.812      0.768      0.832 
118     1.0313       4644       1054         46        119      0.101      0.721      0.812      0.768      0.832 
119     1.0286       4644       1054         46        119      0.101      0.721      0.812      0.768      0.832 
120     1.0359       4644       1054         46        119      0.101      0.721      0.812      0.768      0.832 
121     1.0367       4644       1054         46        119      0.101      0.721      0.812      0.768      0.833 
122      1.027       4644       1054         46        119      0.101      0.721      0.812      0.768      0.833 
123     1.0252       4644       1054         46        119      0.101      0.721      0.812      0.768      0.833 
124     1.0343       4643       1055         47        118      0.101      0.715      0.812      0.765      0.834 
125     1.0295       4643       1055         47        118      0.101      0.715      0.812      0.765      0.834 
126     1.0252       4643       1055         47        118      0.101      0.715      0.812      0.765      0.834 
127     1.0231       4643       1055         47        118      0.101      0.715      0.812      0.765      0.834 
128     1.0339       4643       1055         47        118      0.101      0.715      0.812      0.765      0.834 
129       1.03       4644       1054         46        119      0.101      0.721      0.812      0.768      0.834 
130     1.0287       4644       1054         46        119      0.101      0.721      0.812      0.768      0.834 
131     1.0251       4643       1055         47        118      0.101      0.715      0.812      0.765      0.835 
132     1.0276       4644       1054         46        119      0.101      0.721      0.812      0.768      0.835 
133     1.0211       4644       1054         46        119      0.101      0.721      0.812      0.768      0.836 
134      1.032       4644       1054         46        119      0.101      0.721      0.812      0.768      0.836 
135     1.0111       4644       1054         46        119      0.101      0.721      0.812      0.768      0.836 
136     1.0141       4644       1054         46        119      0.101      0.721      0.812      0.768      0.836 
137     1.0128       4644       1054         46        119      0.101      0.721      0.812      0.768      0.836 
138     1.0202       4644       1054         46        119      0.101      0.721      0.812      0.768      0.836 
139      1.034       4644       1054         46        119      0.101      0.721      0.812      0.768      0.836 
140      1.022       4644       1054         46        119      0.101      0.721      0.812      0.768      0.837 
141     1.0333       4644       1054         46        119      0.101      0.721      0.812      0.768      0.838 
142     1.0212       4644       1054         46        119      0.101      0.721      0.812      0.768      0.838 
143     1.0172       4644       1054         46        119      0.101      0.721      0.812      0.768      0.838 
144     1.0259       4644       1054         46        119      0.101      0.721      0.812      0.768      0.838 
145     1.0329       4643       1055         47        118      0.101      0.715      0.812      0.765      0.838 
146     1.0092       4644       1054         46        119      0.101      0.721      0.812      0.768      0.837 
147     1.0195       4644       1054         46        119      0.101      0.721      0.812      0.768      0.837 
148     1.0139       4644       1054         46        119      0.101      0.721      0.812      0.768      0.837 
149     1.0133       4644       1054         46        119      0.101      0.721      0.812      0.768      0.838 
150     1.0289       4644       1054         46        119      0.101      0.721      0.812      0.768      0.838 
151     1.0008       4644       1054         46        119      0.101      0.721      0.812      0.768      0.839 
152     1.0127       4644       1054         46        119      0.101      0.721      0.812      0.768      0.839 
153     1.0073       4644       1054         46        119      0.101      0.721      0.812      0.768      0.839 
154      1.027       4644       1054         46        119      0.101      0.721      0.812      0.768      0.839 
155     1.0071       4644       1054         46        119      0.101      0.721      0.812      0.768      0.839 
156     1.0186       4644       1054         46        119      0.101      0.721      0.812      0.768      0.839 
157     1.0047       4644       1054         46        119      0.101      0.721      0.812      0.768      0.839 
158     1.0149       4644       1054         46        119      0.101      0.721      0.812      0.768      0.840 
159     1.0056       4644       1054         46        119      0.101      0.721      0.812      0.768      0.840 
160     0.9936       4644       1054         46        119      0.101      0.721      0.812      0.768      0.840 
161    0.99884       4644       1054         46        119      0.101      0.721      0.812      0.768      0.840 
162     1.0138       4644       1054         46        119      0.101      0.721      0.812      0.768      0.840 
163     1.0048       4644       1054         46        119      0.101      0.721      0.812      0.768      0.840 
164     1.0063       4644       1054         46        119      0.101      0.721      0.812      0.768      0.841 
165    0.99104       4644       1054         46        119      0.101      0.721      0.812      0.768      0.841 
166     1.0007       4644       1054         46        119      0.101      0.721      0.812      0.768      0.841 
167     1.0056       4644       1054         46        119      0.101      0.721      0.812      0.768      0.841 
168    0.99191       4644       1054         46        119      0.101      0.721      0.812      0.768      0.841 
169    0.99675       4644       1054         46        119      0.101      0.721      0.812      0.768      0.841 
170    0.99632       4644       1054         46        119      0.101      0.721      0.812      0.768      0.841 
171    0.99874       4644       1054         46        119      0.101      0.721      0.812      0.768      0.841 
