# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     2.2751       3626        932        126          6      0.006      0.045      0.774      0.420      0.202 
2     1.9997       3627        931        125          7      0.007      0.053      0.775      0.424      0.228 
3     1.7703       3632        926        120         12      0.013      0.091      0.777      0.444      0.307 
4     1.5854       3640        918        112         20      0.021      0.152      0.780      0.475      0.423 
5     1.5037       3654        904         98         34      0.036      0.258      0.786      0.530      0.509 
6     1.5283       3662        896         90         42      0.045      0.318      0.790      0.561      0.568 
7     1.5291       3667        891         85         47      0.050      0.356      0.792      0.580      0.608 
8     1.5491       3668        890         84         48      0.051      0.364      0.792      0.584      0.631 
9     1.5775       3669        889         83         49      0.052      0.371      0.793      0.588      0.645 
10      1.571       3670        888         82         50      0.053      0.379      0.793      0.592      0.654 
11      1.548       3671        887         81         51      0.054      0.386      0.794      0.596      0.658 
12     1.5145       3670        888         82         50      0.053      0.379      0.793      0.592      0.658 
13     1.4777       3672        886         80         52      0.055      0.394      0.794      0.600      0.654 
14     1.4279       3672        886         80         52      0.055      0.394      0.794      0.600      0.646 
15     1.4027       3672        886         80         52      0.055      0.394      0.794      0.600      0.633 
16     1.3694       3669        889         83         49      0.052      0.371      0.793      0.588      0.618 
17     1.3542       3663        895         89         43      0.046      0.326      0.790      0.565      0.601 
18       1.37       3660        898         92         40      0.043      0.303      0.789      0.553      0.585 
19     1.3391       3657        901         95         37      0.039      0.280      0.788      0.541      0.571 
20     1.3598       3658        900         94         38      0.041      0.288      0.788      0.545      0.565 
21     1.3491       3659        899         93         39      0.042      0.295      0.788      0.549      0.570 
22     1.3383       3662        896         90         42      0.045      0.318      0.790      0.561      0.586 
23     1.3458       3665        893         87         45      0.048      0.341      0.791      0.572      0.609 
24     1.3467       3668        890         84         48      0.051      0.364      0.792      0.584      0.639 
25     1.3043       3676        882         76         56      0.060      0.424      0.796      0.615      0.668 
26     1.2934       3685        873         67         65      0.069      0.492      0.800      0.650      0.693 
27     1.2887       3689        869         63         69      0.074      0.523      0.801      0.666      0.713 
28     1.2727       3693        865         59         73      0.078      0.553      0.803      0.682      0.729 
29     1.2653       3696        862         56         76      0.081      0.576      0.804      0.693      0.741 
30     1.2656       3698        860         54         78      0.083      0.591      0.805      0.701      0.751 
31     1.2632       3698        860         54         78      0.083      0.591      0.805      0.701      0.758 
32     1.2555       3699        859         53         79      0.084      0.598      0.806      0.705      0.764 
33     1.2595       3700        858         52         80      0.085      0.606      0.806      0.709      0.767 
34     1.2453       3701        857         51         81      0.086      0.614      0.806      0.713      0.769 
35     1.2395       3700        858         52         80      0.085      0.606      0.806      0.709      0.770 
36     1.2251       3701        857         51         81      0.086      0.614      0.806      0.713      0.769 
37     1.2286       3701        857         51         81      0.086      0.614      0.806      0.713      0.767 
38     1.2239       3701        857         51         81      0.086      0.614      0.806      0.713      0.765 
39     1.2053       3700        858         52         80      0.085      0.606      0.806      0.709      0.763 
40      1.205       3702        856         50         82      0.087      0.621      0.807      0.717      0.761 
41     1.2089       3702        856         50         82      0.087      0.621      0.807      0.717      0.759 
42     1.1962       3702        856         50         82      0.087      0.621      0.807      0.717      0.760 
43     1.2007       3703        855         49         83      0.088      0.629      0.807      0.721      0.762 
44     1.2021       3703        855         49         83      0.088      0.629      0.807      0.721      0.765 
45     1.1924       3703        855         49         83      0.088      0.629      0.807      0.721      0.770 
46     1.1856       3703        855         49         83      0.088      0.629      0.807      0.721      0.775 
