# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gcn2.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.7056       4630       1068         60        105      0.090      0.636      0.808      0.724      0.800 
2     1.5472       4632       1066         58        107      0.091      0.648      0.808      0.731      0.806 
3     1.6687       4634       1064         56        109      0.093      0.661      0.809      0.737      0.806 
4     1.4772       4632       1066         58        107      0.091      0.648      0.808      0.731      0.794 
5     1.2731       4614       1084         76         89      0.076      0.539      0.802      0.675      0.727 
6     1.2888       4586       1112        104         61      0.052      0.370      0.793      0.587      0.599 
7     1.3645       4585       1113        105         60      0.051      0.364      0.792      0.584      0.620 
8     1.4396       4614       1084         76         89      0.076      0.539      0.802      0.675      0.734 
9     1.2577       4629       1069         61        104      0.089      0.630      0.807      0.721      0.789 
10     1.2394       4634       1064         56        109      0.093      0.661      0.809      0.737      0.807 
11      1.208       4637       1061         53        112      0.095      0.679      0.810      0.746      0.814 
12     1.2178       4635       1063         55        110      0.094      0.667      0.809      0.740      0.817 
13     1.2538       4634       1064         56        109      0.093      0.661      0.809      0.737      0.818 
14     1.2464       4636       1062         54        111      0.095      0.673      0.810      0.743      0.818 
15     1.2139       4635       1063         55        110      0.094      0.667      0.809      0.740      0.817 
16     1.1852       4633       1065         57        108      0.092      0.655      0.809      0.734      0.814 
17     1.1819       4633       1065         57        108      0.092      0.655      0.809      0.734      0.809 
18     1.1841       4632       1066         58        107      0.091      0.648      0.808      0.731      0.801 
19      1.171       4629       1069         61        104      0.089      0.630      0.807      0.721      0.793 
20      1.188       4629       1069         61        104      0.089      0.630      0.807      0.721      0.792 
21     1.1885       4630       1068         60        105      0.090      0.636      0.808      0.724      0.797 
22     1.1714       4632       1066         58        107      0.091      0.648      0.808      0.731      0.805 
23     1.1402       4632       1066         58        107      0.091      0.648      0.808      0.731      0.811 
24     1.1163       4633       1065         57        108      0.092      0.655      0.809      0.734      0.815 
25     1.1229       4632       1066         58        107      0.091      0.648      0.808      0.731      0.816 
26     1.1346       4632       1066         58        107      0.091      0.648      0.808      0.731      0.816 
27     1.1438       4631       1067         59        106      0.090      0.642      0.808      0.728      0.814 
28     1.1383       4630       1068         60        105      0.090      0.636      0.808      0.724      0.811 
29     1.1188       4630       1068         60        105      0.090      0.636      0.808      0.724      0.806 
30     1.1032       4628       1070         62        103      0.088      0.624      0.807      0.718      0.800 
31     1.0994       4627       1071         63        102      0.087      0.618      0.807      0.715      0.798 
32     1.1343       4627       1071         63        102      0.087      0.618      0.807      0.715      0.800 
33     1.0815       4628       1070         62        103      0.088      0.624      0.807      0.718      0.805 
34     1.0784       4628       1070         62        103      0.088      0.624      0.807      0.718      0.810 
35     1.0955       4629       1069         61        104      0.089      0.630      0.807      0.721      0.814 
36     1.0772       4631       1067         59        106      0.090      0.642      0.808      0.728      0.818 
37     1.0816       4633       1065         57        108      0.092      0.655      0.809      0.734      0.820 
38     1.0695       4634       1064         56        109      0.093      0.661      0.809      0.737      0.821 
39     1.0801       4633       1065         57        108      0.092      0.655      0.809      0.734      0.822 
40     1.0654       4635       1063         55        110      0.094      0.667      0.809      0.740      0.823 
41     1.0261       4635       1063         55        110      0.094      0.667      0.809      0.740      0.823 
42     1.0409       4635       1063         55        110      0.094      0.667      0.809      0.740      0.825 
43     1.0423       4635       1063         55        110      0.094      0.667      0.809      0.740      0.828 
44     1.0624       4636       1062         54        111      0.095      0.673      0.810      0.743      0.832 
45     1.0336       4637       1061         53        112      0.095      0.679      0.810      0.746      0.834 
46     1.0188       4638       1060         52        113      0.096      0.685      0.810      0.749      0.836 
47     1.0233       4638       1060         52        113      0.096      0.685      0.810      0.749      0.835 
48    0.99971       4639       1059         51        114      0.097      0.691      0.811      0.753      0.834 
49     1.0096       4639       1059         51        114      0.097      0.691      0.811      0.753      0.835 
50     1.0033       4639       1059         51        114      0.097      0.691      0.811      0.753      0.837 
51     1.0104       4638       1060         52        113      0.096      0.685      0.810      0.749      0.840 
52    0.95798       4638       1060         52        113      0.096      0.685      0.810      0.749      0.840 
53     1.0055       4639       1059         51        114      0.097      0.691      0.811      0.753      0.840 
54    0.97231       4640       1058         50        115      0.098      0.697      0.811      0.756      0.839 
55     0.9695       4640       1058         50        115      0.098      0.697      0.811      0.756      0.838 
56    0.95273       4639       1059         51        114      0.097      0.691      0.811      0.753      0.839 
57    0.96798       4642       1056         48        117      0.100      0.709      0.812      0.762      0.841 
58    0.99525       4642       1056         48        117      0.100      0.709      0.812      0.762      0.843 
59    0.98454       4643       1055         47        118      0.101      0.715      0.812      0.765      0.842 
60     1.0131       4643       1055         47        118      0.101      0.715      0.812      0.765      0.842 
61    0.96464       4644       1054         46        119      0.101      0.721      0.812      0.768      0.841 
62    0.98202       4644       1054         46        119      0.101      0.721      0.812      0.768      0.842 
63     1.0206       4643       1055         47        118      0.101      0.715      0.812      0.765      0.844 
64    0.95517       4643       1055         47        118      0.101      0.715      0.812      0.765      0.844 
65    0.98003       4644       1054         46        119      0.101      0.721      0.812      0.768      0.843 
66    0.96859       4644       1054         46        119      0.101      0.721      0.812      0.768      0.842 
67    0.95832       4644       1054         46        119      0.101      0.721      0.812      0.768      0.842 
