# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gcn2.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.4388       3665        893         87         45      0.048      0.341      0.791      0.572      0.606 
2      1.365       3701        857         51         81      0.086      0.614      0.806      0.713      0.798 
3     1.2767       3704        854         48         84      0.090      0.636      0.808      0.725      0.802 
4     1.2586       3704        854         48         84      0.090      0.636      0.808      0.725      0.784 
5     1.2069       3694        864         58         74      0.079      0.561      0.803      0.686      0.744 
6     1.2397       3698        860         54         78      0.083      0.591      0.805      0.701      0.756 
7     1.2007       3703        855         49         83      0.088      0.629      0.807      0.721      0.790 
8     1.1568       3707        851         45         87      0.093      0.659      0.809      0.736      0.811 
9     1.1714       3712        846         40         92      0.098      0.697      0.811      0.756      0.817 
10      1.186       3711        847         41         91      0.097      0.689      0.811      0.752      0.820 
11     1.1569       3710        848         42         90      0.096      0.682      0.810      0.748      0.822 
12     1.1285       3712        846         40         92      0.098      0.697      0.811      0.756      0.827 
13     1.1043       3712        846         40         92      0.098      0.697      0.811      0.756      0.836 
14     1.1315       3714        844         38         94      0.100      0.712      0.812      0.763      0.846 
15     1.1104       3715        843         37         95      0.101      0.720      0.812      0.767      0.851 
16     1.1081       3716        842         36         96      0.102      0.727      0.813      0.771      0.851 
17     1.0983       3716        842         36         96      0.102      0.727      0.813      0.771      0.847 
18     1.0571       3716        842         36         96      0.102      0.727      0.813      0.771      0.841 
19     1.0739       3716        842         36         96      0.102      0.727      0.813      0.771      0.842 
20     1.0627       3715        843         37         95      0.101      0.720      0.812      0.767      0.846 
21     1.0383       3716        842         36         96      0.102      0.727      0.813      0.771      0.849 
22     1.0511       3718        840         34         98      0.104      0.742      0.814      0.779      0.848 
23     1.0475       3719        839         33         99      0.106      0.750      0.814      0.783      0.846 
24      1.068       3715        843         37         95      0.101      0.720      0.812      0.767      0.845 
25     1.0486       3716        842         36         96      0.102      0.727      0.813      0.771      0.847 
26     1.0415       3715        843         37         95      0.101      0.720      0.812      0.767      0.848 
27     1.0141       3716        842         36         96      0.102      0.727      0.813      0.771      0.847 
28     1.0356       3716        842         36         96      0.102      0.727      0.813      0.771      0.845 
29     1.0301       3718        840         34         98      0.104      0.742      0.814      0.779      0.850 
30     1.0144       3718        840         34         98      0.104      0.742      0.814      0.779      0.853 
31     1.0048       3719        839         33         99      0.106      0.750      0.814      0.783      0.852 
32     0.9713       3719        839         33         99      0.106      0.750      0.814      0.783      0.849 
33    0.99998       3719        839         33         99      0.106      0.750      0.814      0.783      0.852 
34     1.0132       3718        840         34         98      0.104      0.742      0.814      0.779      0.858 
35     1.0023       3718        840         34         98      0.104      0.742      0.814      0.779      0.857 
36     1.0135       3719        839         33         99      0.106      0.750      0.814      0.783      0.854 
37     1.0171       3720        838         32        100      0.107      0.758      0.814      0.787      0.855 
38     1.0247       3719        839         33         99      0.106      0.750      0.814      0.783      0.859 
39     1.0122       3720        838         32        100      0.107      0.758      0.814      0.787      0.861 
40     1.0181       3720        838         32        100      0.107      0.758      0.814      0.787      0.859 
41    0.96507       3722        836         30        102      0.109      0.773      0.815      0.795      0.853 
42     1.0101       3723        835         29        103      0.110      0.780      0.816      0.799      0.857 
43    0.99276       3720        838         32        100      0.107      0.758      0.814      0.787      0.861 
44    0.96813       3720        838         32        100      0.107      0.758      0.814      0.787      0.861 
45     1.0065       3720        838         32        100      0.107      0.758      0.814      0.787      0.861 
46     0.9845       3722        836         30        102      0.109      0.773      0.815      0.795      0.858 
47    0.97255       3722        836         30        102      0.109      0.773      0.815      0.795      0.858 
