# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gcn2.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.5232        914        226         12         21      0.085      0.636      0.797      0.719      0.813 
Train:          1     1.5232       3688        870         64         68      0.072      0.515      0.801      0.662      0.764 
All:          1     1.5232       4614       1084         76         89      0.076      0.539      0.802      0.675      0.774 
Test:          2      1.523        919        221         13         20      0.083      0.606      0.801      0.706      0.834 
Train:          2      1.523       3690        868         62         70      0.075      0.530      0.802      0.670      0.760 
All:          2      1.523       4615       1083         75         90      0.077      0.545      0.802      0.678      0.775 
Test:          3       1.35        923        217         18         15      0.065      0.455      0.800      0.632      0.686 
Train:          3       1.35       3653        905         99         33      0.035      0.250      0.786      0.526      0.543 
All:          3       1.35       4573       1125        117         48      0.041      0.291      0.788      0.547      0.572 
Test:          4      1.361        910        230         15         18      0.073      0.545      0.791      0.672      0.736 
Train:          4      1.361       3664        894         88         44      0.047      0.333      0.791      0.569      0.620 
All:          4      1.361       4586       1112        104         61      0.052      0.370      0.793      0.587      0.644 
Test:          5      1.328        929        211          9         24      0.102      0.727      0.812      0.771      0.834 
Train:          5      1.328       3699        859         53         79      0.084      0.598      0.806      0.705      0.766 
All:          5      1.328       4628       1070         62        103      0.088      0.624      0.807      0.718      0.780 
Test:          6     1.2806        942        198          9         24      0.108      0.727      0.824      0.777      0.848 
Train:          6     1.2806       3701        857         51         81      0.086      0.614      0.806      0.713      0.796 
All:          6     1.2806       4630       1068         60        105      0.090      0.636      0.808      0.724      0.806 
Test:          7     1.2621        940        200          9         24      0.107      0.727      0.822      0.776      0.846 
Train:          7     1.2621       3702        856         50         82      0.087      0.621      0.807      0.717      0.798 
All:          7     1.2621       4632       1066         58        107      0.091      0.648      0.808      0.731      0.807 
Test:          8     1.2701        932        208         10         23      0.100      0.697      0.814      0.757      0.842 
Train:          8     1.2701       3701        857         51         81      0.086      0.614      0.806      0.713      0.790 
All:          8     1.2701       4630       1068         60        105      0.090      0.636      0.808      0.724      0.800 
Test:          9     1.2341        926        214         10         23      0.097      0.697      0.809      0.755      0.827 
Train:          9     1.2341       3699        859         53         79      0.084      0.598      0.806      0.705      0.770 
All:          9     1.2341       4627       1071         63        102      0.087      0.618      0.807      0.715      0.782 
Test:         10     1.2274        930        210         11         22      0.095      0.667      0.812      0.741      0.807 
Train:         10     1.2274       3691        867         61         71      0.076      0.538      0.802      0.674      0.742 
All:         10     1.2274       4618       1080         72         93      0.079      0.564      0.804      0.687      0.755 
Test:         11     1.2251        927        213         13         20      0.086      0.606      0.807      0.710      0.799 
Train:         11     1.2251       3686        872         66         66      0.070      0.500      0.800      0.654      0.733 
All:         11     1.2251       4611       1087         79         86      0.073      0.521      0.801      0.665      0.746 
Test:         12     1.2488        930        210         11         22      0.095      0.667      0.812      0.741      0.817 
Train:         12     1.2488       3697        861         55         77      0.082      0.583      0.805      0.697      0.759 
All:         12     1.2488       4624       1074         66         99      0.084      0.600      0.806      0.706      0.771 
Test:         13     1.1823        922        218         10         23      0.095      0.697      0.806      0.753      0.832 
Train:         13     1.1823       3702        856         50         82      0.087      0.621      0.807      0.717      0.781 
All:         13     1.1823       4630       1068         60        105      0.090      0.636      0.808      0.724      0.791 
Test:         14     1.1817        926        214          9         24      0.101      0.727      0.810      0.770      0.840 
Train:         14     1.1817       3703        855         49         83      0.088      0.629      0.807      0.721      0.792 
All:         14     1.1817       4632       1066         58        107      0.091      0.648      0.808      0.731      0.802 
Test:         15     1.2072        923        217          9         24      0.100      0.727      0.807      0.768      0.842 
Train:         15     1.2072       3706        852         46         86      0.092      0.652      0.809      0.732      0.796 
All:         15     1.2072       4635       1063         55        110      0.094      0.667      0.809      0.740      0.805 
Test:         16     1.1664        922        218         10         23      0.095      0.697      0.806      0.753      0.839 
Train:         16     1.1664       3706        852         46         86      0.092      0.652      0.809      0.732      0.791 
All:         16     1.1664       4634       1064         56        109      0.093      0.661      0.809      0.737      0.801 
Test:         17     1.1557        924        216         11         22      0.092      0.667      0.806      0.739      0.832 
Train:         17     1.1557       3701        857         51         81      0.086      0.614      0.806      0.713      0.782 
All:         17     1.1557       4627       1071         63        102      0.087      0.618      0.807      0.715      0.792 
Test:         18     1.1656        918        222         11         22      0.090      0.667      0.801      0.736      0.827 
Train:         18     1.1656       3697        861         55         77      0.082      0.583      0.805      0.697      0.775 
All:         18     1.1656       4624       1074         66         99      0.084      0.600      0.806      0.706      0.786 
Test:         19     1.1603        919        221         11         22      0.091      0.667      0.802      0.736      0.835 
Train:         19     1.1603       3702        856         50         82      0.087      0.621      0.807      0.717      0.786 
All:         19     1.1603       4629       1069         61        104      0.089      0.630      0.807      0.721      0.796 
Test:         20     1.1805        919        221         10         23      0.094      0.697      0.803      0.752      0.850 
Train:         20     1.1805       3708        850         44         88      0.094      0.667      0.809      0.740      0.809 
All:         20     1.1805       4635       1063         55        110      0.094      0.667      0.809      0.740      0.817 
Test:         21     1.1345        925        215          8         25      0.104      0.758      0.810      0.784      0.856 
Train:         21     1.1345       3711        847         41         91      0.097      0.689      0.811      0.752      0.820 
All:         21     1.1345       4641       1057         49        116      0.099      0.703      0.811      0.759      0.827 
Test:         22     1.1291        923        217          8         25      0.103      0.758      0.808      0.784      0.857 
Train:         22     1.1291       3711        847         41         91      0.097      0.689      0.811      0.752      0.822 
All:         22     1.1291       4641       1057         49        116      0.099      0.703      0.811      0.759      0.829 
Test:         23     1.1212        917        223          9         24      0.097      0.727      0.802      0.766      0.854 
