# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gin.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.3546       4616       1082         74         91      0.078      0.552      0.803      0.681      0.777 
2     1.2838       4620       1078         70         95      0.081      0.576      0.804      0.693      0.788 
3     1.2222       4622       1076         68         97      0.083      0.588      0.805      0.700      0.793 
4     1.1785       4624       1074         66         99      0.084      0.600      0.806      0.706      0.797 
5      1.138       4625       1073         65        100      0.085      0.606      0.806      0.709      0.800 
6     1.1095       4627       1071         63        102      0.087      0.618      0.807      0.715      0.804 
7     1.1062       4628       1070         62        103      0.088      0.624      0.807      0.718      0.809 
8     1.1063       4630       1068         60        105      0.090      0.636      0.808      0.724      0.814 
9     1.1003       4639       1059         51        114      0.097      0.691      0.811      0.753      0.822 
10     1.0479       4636       1062         54        111      0.095      0.673      0.810      0.743      0.824 
11     1.0848       4636       1062         54        111      0.095      0.673      0.810      0.743      0.820 
12      1.052       4637       1061         53        112      0.095      0.679      0.810      0.746      0.822 
13     1.0831       4638       1060         52        113      0.096      0.685      0.810      0.749      0.824 
14     1.0525       4638       1060         52        113      0.096      0.685      0.810      0.749      0.825 
15     1.0268       4640       1058         50        115      0.098      0.697      0.811      0.756      0.825 
16     1.0448       4641       1057         49        116      0.099      0.703      0.811      0.759      0.826 
17      1.043       4640       1058         50        115      0.098      0.697      0.811      0.756      0.828 
18     1.0026       4638       1060         52        113      0.096      0.685      0.810      0.749      0.829 
19     1.0252       4638       1060         52        113      0.096      0.685      0.810      0.749      0.831 
20     1.0013       4640       1058         50        115      0.098      0.697      0.811      0.756      0.832 
21     1.0218       4640       1058         50        115      0.098      0.697      0.811      0.756      0.833 
22     1.0163       4638       1060         52        113      0.096      0.685      0.810      0.749      0.835 
23     1.0127       4637       1061         53        112      0.095      0.679      0.810      0.746      0.836 
24     1.0012       4638       1060         52        113      0.096      0.685      0.810      0.749      0.835 
25    0.96451       4639       1059         51        114      0.097      0.691      0.811      0.753      0.834 
26    0.97501       4640       1058         50        115      0.098      0.697      0.811      0.756      0.834 
27    0.98891       4642       1056         48        117      0.100      0.709      0.812      0.762      0.839 
28    0.97874       4643       1055         47        118      0.101      0.715      0.812      0.765      0.841 
29    0.96188       4641       1057         49        116      0.099      0.703      0.811      0.759      0.840 
30    0.98324       4644       1054         46        119      0.101      0.721      0.812      0.768      0.842 
31    0.97743       4645       1053         45        120      0.102      0.727      0.813      0.771      0.843 
32    0.98278       4644       1054         46        119      0.101      0.721      0.812      0.768      0.845 
33    0.93429       4643       1055         47        118      0.101      0.715      0.812      0.765      0.847 
34    0.96864       4643       1055         47        118      0.101      0.715      0.812      0.765      0.848 
35    0.94501       4645       1053         45        120      0.102      0.727      0.813      0.771      0.851 
36    0.94423       4643       1055         47        118      0.101      0.715      0.812      0.765      0.849 
37    0.95236       4642       1056         48        117      0.100      0.709      0.812      0.762      0.849 
38    0.91091       4644       1054         46        119      0.101      0.721      0.812      0.768      0.851 
39    0.92315       4643       1055         47        118      0.101      0.715      0.812      0.765      0.850 
40    0.92312       4642       1056         48        117      0.100      0.709      0.812      0.762      0.853 
41    0.91181       4641       1057         49        116      0.099      0.703      0.811      0.759      0.854 
42    0.92496       4637       1061         53        112      0.095      0.679      0.810      0.746      0.841 
43    0.91987       4640       1058         50        115      0.098      0.697      0.811      0.756      0.854 
44    0.93091       4641       1057         49        116      0.099      0.703      0.811      0.759      0.853 
45    0.90378       4642       1056         48        117      0.100      0.709      0.812      0.762      0.849 
46    0.89271       4641       1057         49        116      0.099      0.703      0.811      0.759      0.844 
47    0.88592       4639       1059         51        114      0.097      0.691      0.811      0.753      0.844 
48     0.8833       4643       1055         47        118      0.101      0.715      0.812      0.765      0.853 
49    0.88913       4644       1054         46        119      0.101      0.721      0.812      0.768      0.857 
50    0.89428       4645       1053         45        120      0.102      0.727      0.813      0.771      0.853 
51    0.91875       4642       1056         48        117      0.100      0.709      0.812      0.762      0.859 
52    0.89283       4642       1056         48        117      0.100      0.709      0.812      0.762      0.857 
53    0.85402       4643       1055         47        118      0.101      0.715      0.812      0.765      0.862 
54    0.89833       4643       1055         47        118      0.101      0.715      0.812      0.765      0.863 
55    0.88107       4646       1052         43        122      0.104      0.739      0.813      0.777      0.864 
56    0.86524       4647       1051         43        122      0.104      0.739      0.813      0.777      0.864 
57    0.85626       4644       1054         46        119      0.101      0.721      0.812      0.768      0.863 
58    0.87882       4642       1056         48        117      0.100      0.709      0.812      0.762      0.864 
59    0.86826       4644       1054         46        119      0.101      0.721      0.812      0.768      0.864 
60    0.85878       4646       1052         44        121      0.103      0.733      0.813      0.774      0.864 
61    0.88204       4648       1050         42        123      0.105      0.745      0.814      0.781      0.864 
62    0.85736       4645       1053         45        120      0.102      0.727      0.813      0.771      0.866 
63    0.85267       4647       1051         43        122      0.104      0.739      0.813      0.777      0.868 
64     0.8195       4647       1051         43        122      0.104      0.739      0.813      0.777      0.867 
65    0.85804       4649       1049         41        124      0.106      0.752      0.814      0.784      0.867 
66    0.86893       4646       1052         44        121      0.103      0.733      0.813      0.774      0.856 
67    0.85435       4644       1054         46        119      0.101      0.721      0.812      0.768      0.868 
68    0.84762       4645       1053         45        120      0.102      0.727      0.813      0.771      0.868 
69    0.85254       4652       1046         38        127      0.108      0.770      0.815      0.793      0.874 
70    0.81461       4637       1061         53        112      0.095      0.679      0.810      0.746      0.838 
71    0.85297       4646       1052         44        121      0.103      0.733      0.813      0.774      0.867 
72    0.84498       4647       1051         43        122      0.104      0.739      0.813      0.777      0.872 
73    0.80261       4645       1053         45        120      0.102      0.727      0.813      0.771      0.871 
74    0.81538       4647       1051         43        122      0.104      0.739      0.813      0.777      0.874 
75    0.84014       4642       1056         48        117      0.100      0.709      0.812      0.762      0.864 
76    0.81323       4634       1064         56        109      0.093      0.661      0.809      0.737      0.827 
77    0.84032       4646       1052         44        121      0.103      0.733      0.813      0.774      0.871 
78    0.86877       4652       1046         38        127      0.108      0.770      0.815      0.793      0.874 
79    0.81894       4638       1060         52        113      0.096      0.685      0.810      0.749      0.832 
80    0.83133       4636       1062         54        111      0.095      0.673      0.810      0.743      0.819 
81    0.81924       4642       1056         48        117      0.100      0.709      0.812      0.762      0.838 
82    0.80413       4647       1051         43        122      0.104      0.739      0.813      0.777      0.873 
83    0.79439       4648       1050         42        123      0.105      0.745      0.814      0.781      0.877 
84    0.78717       4647       1051         43        122      0.104      0.739      0.813      0.777      0.877 
85    0.78411       4640       1058         50        115      0.098      0.697      0.811      0.756      0.862 
86    0.82167       4631       1067         59        106      0.090      0.642      0.808      0.728      0.764 
87    0.77112       4623       1075         67         98      0.084      0.594      0.805      0.703      0.758 
88    0.77899       4654       1044         36        129      0.110      0.782      0.816      0.799      0.876 
89    0.77598       4651       1047         39        126      0.107      0.764      0.815      0.790      0.882 
90    0.80331       4654       1044         36        129      0.110      0.782      0.816      0.799      0.883 
91    0.76524       4645       1053         45        120      0.102      0.727      0.813      0.771      0.854 
92     0.7626       4646       1052         44        121      0.103      0.733      0.813      0.774      0.858 
93    0.75418       4643       1055         47        118      0.101      0.715      0.812      0.765      0.834 
94    0.80243       4656       1042         34        131      0.112      0.794      0.816      0.806      0.882 
95    0.76837       4657       1041         33        132      0.113      0.800      0.817      0.809      0.878 
96    0.75759       4650       1048         40        125      0.107      0.758      0.814      0.787      0.878 
97    0.75984       4650       1048         40        125      0.107      0.758      0.814      0.787      0.872 
98    0.77192       4647       1051         43        122      0.104      0.739      0.813      0.777      0.862 
99     0.7757       4647       1051         43        122      0.104      0.739      0.813      0.777      0.854 
100    0.72132       4638       1060         52        113      0.096      0.685      0.810      0.749      0.811 
101    0.74524       4642       1056         47        118      0.101      0.715      0.812      0.765      0.829 
102    0.77024       4654       1044         36        129      0.110      0.782      0.816      0.799      0.882 
103    0.80695       4652       1046         38        127      0.108      0.770      0.815      0.793      0.878 
104    0.81221       4653       1045         37        128      0.109      0.776      0.815      0.796      0.878 
105    0.78285       4653       1045         37        128      0.109      0.776      0.815      0.796      0.876 
106    0.75919       4650       1048         40        125      0.107      0.758      0.814      0.787      0.878 
107      0.781       4650       1048         40        125      0.107      0.758      0.814      0.787      0.880 
108    0.78049       4658       1040         32        133      0.113      0.806      0.817      0.812      0.884 
109    0.77938       4658       1040         32        133      0.113      0.806      0.817      0.812      0.885 
110    0.76985       4654       1044         36        129      0.110      0.782      0.816      0.799      0.883 
111    0.72938       4651       1047         39        126      0.107      0.764      0.815      0.790      0.881 
112    0.80555       4656       1042         34        131      0.112      0.794      0.816      0.806      0.885 
113    0.75099       4655       1043         35        130      0.111      0.788      0.816      0.802      0.885 
114    0.76215       4647       1051         43        122      0.104      0.739      0.813      0.777      0.849 
115    0.75944       4652       1046         38        127      0.108      0.770      0.815      0.793      0.863 
116    0.72301       4650       1048         40        125      0.107      0.758      0.814      0.787      0.864 
117    0.75843       4646       1052         44        121      0.103      0.733      0.813      0.774      0.838 
118    0.74384       4650       1048         40        125      0.107      0.758      0.814      0.787      0.865 
119    0.72524       4641       1057         49        116      0.099      0.703      0.811      0.759      0.824 
120    0.78564       4645       1053         45        120      0.102      0.727      0.813      0.771      0.832 
121    0.69989       4656       1042         34        131      0.112      0.794      0.816      0.806      0.880 
122    0.73447       4661       1037         29        136      0.116      0.824      0.818      0.821      0.888 
123    0.72078       4662       1036         28        137      0.117      0.830      0.819      0.824      0.887 
124    0.72659       4647       1051         43        122      0.104      0.739      0.813      0.777      0.855 
125    0.68954       4637       1061         53        112      0.095      0.679      0.810      0.746      0.793 
126    0.73273       4639       1059         51        114      0.097      0.691      0.811      0.753      0.792 
127    0.72897       4649       1049         41        124      0.106      0.752      0.814      0.784      0.827 
128    0.67211       4652       1046         38        127      0.108      0.770      0.815      0.793      0.836 
129    0.68155       4646       1052         44        121      0.103      0.733      0.813      0.774      0.834 
130    0.67167       4662       1036         28        137      0.117      0.830      0.819      0.824      0.885 
131    0.68977       4637       1061         53        112      0.095      0.679      0.810      0.746      0.772 
132    0.69612       4655       1043         35        130      0.111      0.788      0.816      0.802      0.838 
133    0.69789       4646       1052         44        121      0.103      0.733      0.813      0.774      0.814 
134    0.69321       4624       1074         66         99      0.084      0.600      0.806      0.706      0.742 
135    0.70449       4660       1038         30        135      0.115      0.818      0.818      0.818      0.886 
136    0.67957       4659       1039         31        134      0.114      0.812      0.817      0.815      0.890 
137    0.72183       4657       1041         33        132      0.113      0.800      0.817      0.809      0.870 
138    0.69903       4661       1037         29        136      0.116      0.824      0.818      0.821      0.889 
