# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gin.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.3341       3701        857         51         81      0.086      0.614      0.806      0.713      0.819 
2     1.2172       3703        855         49         83      0.088      0.629      0.807      0.721      0.820 
3      1.167       3704        854         48         84      0.090      0.636      0.808      0.725      0.821 
4     1.1454       3704        854         48         84      0.090      0.636      0.808      0.725      0.824 
5     1.1347       3704        854         48         84      0.090      0.636      0.808      0.725      0.827 
6     1.1112       3706        852         46         86      0.092      0.652      0.809      0.732      0.829 
7     1.1009       3706        852         46         86      0.092      0.652      0.809      0.732      0.831 
8     1.0752       3706        852         46         86      0.092      0.652      0.809      0.732      0.834 
9      1.034       3708        850         44         88      0.094      0.667      0.809      0.740      0.836 
10     1.0385       3709        849         43         89      0.095      0.674      0.810      0.744      0.838 
11     1.0583       3710        848         42         90      0.096      0.682      0.810      0.748      0.840 
12     1.0238       3710        848         42         90      0.096      0.682      0.810      0.748      0.841 
13     1.0172       3710        848         42         90      0.096      0.682      0.810      0.748      0.843 
14     1.0398       3711        847         41         91      0.097      0.689      0.811      0.752      0.844 
15     1.0041       3712        846         40         92      0.098      0.697      0.811      0.756      0.846 
16     1.0113       3711        847         41         91      0.097      0.689      0.811      0.752      0.847 
17    0.97975       3713        845         39         93      0.099      0.705      0.812      0.760      0.848 
18    0.97704       3713        845         39         93      0.099      0.705      0.812      0.760      0.849 
19      1.001       3713        845         39         93      0.099      0.705      0.812      0.760      0.850 
20     1.0126       3714        844         38         94      0.100      0.712      0.812      0.763      0.851 
21    0.99799       3714        844         38         94      0.100      0.712      0.812      0.763      0.852 
22    0.97319       3714        844         38         94      0.100      0.712      0.812      0.763      0.854 
23    0.98732       3714        844         38         94      0.100      0.712      0.812      0.763      0.854 
24    0.96441       3713        845         39         93      0.099      0.705      0.812      0.760      0.854 
25    0.95616       3713        845         39         93      0.099      0.705      0.812      0.760      0.854 
26    0.93952       3713        845         39         93      0.099      0.705      0.812      0.760      0.856 
27    0.93646       3714        844         38         94      0.100      0.712      0.812      0.763      0.859 
28    0.91113       3713        845         39         93      0.099      0.705      0.812      0.760      0.859 
29    0.91967       3713        845         39         93      0.099      0.705      0.812      0.760      0.860 
30    0.88694       3713        845         39         93      0.099      0.705      0.812      0.760      0.861 
31    0.91419       3713        845         39         93      0.099      0.705      0.812      0.760      0.862 
32    0.89244       3713        845         39         93      0.099      0.705      0.812      0.760      0.864 
33    0.89681       3715        843         37         95      0.101      0.720      0.812      0.767      0.864 
34     0.8943       3715        843         37         95      0.101      0.720      0.812      0.767      0.865 
35    0.89683       3716        842         36         96      0.102      0.727      0.813      0.771      0.863 
36    0.86343       3715        843         37         95      0.101      0.720      0.812      0.767      0.864 
37    0.89797       3715        843         37         95      0.101      0.720      0.812      0.767      0.869 
38    0.89856       3712        846         40         92      0.098      0.697      0.811      0.756      0.868 
39    0.83673       3713        845         39         93      0.099      0.705      0.812      0.760      0.862 
40    0.90969       3712        846         40         92      0.098      0.697      0.811      0.756      0.867 
41    0.87803       3713        845         39         93      0.099      0.705      0.812      0.760      0.871 
42     0.8784       3714        844         38         94      0.100      0.712      0.812      0.763      0.873 
43    0.89706       3716        842         36         96      0.102      0.727      0.813      0.771      0.874 
44    0.87244       3716        842         36         96      0.102      0.727      0.813      0.771      0.874 
45    0.85646       3716        842         36         96      0.102      0.727      0.813      0.771      0.875 
46    0.83836       3716        842         36         96      0.102      0.727      0.813      0.771      0.875 
47    0.85537       3718        840         34         98      0.104      0.742      0.814      0.779      0.874 
48    0.86144       3715        843         37         95      0.101      0.720      0.812      0.767      0.873 
49    0.85296       3718        840         34         98      0.104      0.742      0.814      0.779      0.874 
50    0.86598       3715        843         37         95      0.101      0.720      0.812      0.767      0.874 
51    0.88741       3717        841         35         97      0.103      0.735      0.813      0.775      0.876 
52    0.90058       3717        841         35         97      0.103      0.735      0.813      0.775      0.879 
53    0.87932       3718        840         34         98      0.104      0.742      0.814      0.779      0.878 
54    0.86328       3717        841         35         97      0.103      0.735      0.813      0.775      0.875 
55    0.86891       3715        843         37         95      0.101      0.720      0.812      0.767      0.873 
56    0.82443       3715        843         37         95      0.101      0.720      0.812      0.767      0.871 
57    0.86947       3717        841         35         97      0.103      0.735      0.813      0.775      0.873 
58    0.86141       3717        841         35         97      0.103      0.735      0.813      0.775      0.877 
59    0.84592       3717        841         35         97      0.103      0.735      0.813      0.775      0.878 
60    0.83805       3719        839         33         99      0.106      0.750      0.814      0.783      0.879 
61    0.84836       3718        840         34         98      0.104      0.742      0.814      0.779      0.881 
62    0.88111       3719        839         33         99      0.106      0.750      0.814      0.783      0.883 
63    0.85726       3721        837         31        101      0.108      0.765      0.815      0.791      0.885 
64    0.84489       3720        838         32        100      0.107      0.758      0.814      0.787      0.884 
65    0.81937       3720        838         32        100      0.107      0.758      0.814      0.787      0.883 
66    0.83204       3718        840         34         98      0.104      0.742      0.814      0.779      0.880 
67    0.83523       3718        840         34         98      0.104      0.742      0.814      0.779      0.881 
68    0.82902       3720        838         32        100      0.107      0.758      0.814      0.787      0.884 
69    0.81234       3719        839         33         99      0.106      0.750      0.814      0.783      0.886 
70     0.7988       3720        838         32        100      0.107      0.758      0.814      0.787      0.885 
71    0.83237       3719        839         33         99      0.106      0.750      0.814      0.783      0.883 
72    0.82885       3718        840         34         98      0.104      0.742      0.814      0.779      0.883 
73    0.81204       3720        838         32        100      0.107      0.758      0.814      0.787      0.883 
74    0.81306       3721        837         31        101      0.108      0.765      0.815      0.791      0.885 
75    0.82496       3720        838         32        100      0.107      0.758      0.814      0.787      0.885 
76    0.80237       3720        838         31        101      0.108      0.765      0.815      0.791      0.883 
77    0.81556       3720        838         32        100      0.107      0.758      0.814      0.787      0.883 
78    0.80317       3720        838         32        100      0.107      0.758      0.814      0.787      0.890 
79    0.82662       3721        837         31        101      0.108      0.765      0.815      0.791      0.892 
80    0.81429       3721        837         31        101      0.108      0.765      0.815      0.791      0.890 
81      0.814       3721        837         31        101      0.108      0.765      0.815      0.791      0.888 
82     0.7928       3721        837         31        101      0.108      0.765      0.815      0.791      0.887 
83    0.80058       3720        838         32        100      0.107      0.758      0.814      0.787      0.891 
84    0.81759       3721        837         31        101      0.108      0.765      0.815      0.791      0.887 
85    0.81443       3722        836         30        102      0.109      0.773      0.815      0.795      0.885 
86    0.80338       3721        837         31        101      0.108      0.765      0.815      0.791      0.890 
87     0.7951       3724        834         28        104      0.111      0.788      0.816      0.802      0.896 
88    0.80195       3725        833         27        105      0.112      0.795      0.817      0.806      0.900 
89    0.81134       3727        831         25        107      0.114      0.811      0.817      0.814      0.897 
90    0.83579       3726        832         26        106      0.113      0.803      0.817      0.810      0.894 
91    0.77405       3724        834         28        104      0.111      0.788      0.816      0.802      0.895 
92    0.79211       3722        836         30        102      0.109      0.773      0.815      0.795      0.892 
93    0.80318       3722        836         30        102      0.109      0.773      0.815      0.795      0.894 
94      0.776       3723        835         29        103      0.110      0.780      0.816      0.799      0.897 
95    0.80546       3720        838         32        100      0.107      0.758      0.814      0.787      0.887 
96    0.77177       3724        834         28        104      0.111      0.788      0.816      0.802      0.898 
97    0.80716       3724        834         28        104      0.111      0.788      0.816      0.802      0.896 
98     0.8133       3724        834         28        104      0.111      0.788      0.816      0.802      0.895 
99     0.7655       3726        832         26        106      0.113      0.803      0.817      0.810      0.898 
100    0.79158       3727        831         25        107      0.114      0.811      0.817      0.814      0.900 
101    0.75411       3722        836         30        102      0.109      0.773      0.815      0.795      0.899 
102    0.78791       3723        835         29        103      0.110      0.780      0.816      0.799      0.897 
103    0.74881       3724        834         28        104      0.111      0.788      0.816      0.802      0.899 
104    0.78683       3724        834         28        104      0.111      0.788      0.816      0.802      0.899 
105    0.78053       3721        837         31        101      0.108      0.765      0.815      0.791      0.894 
106    0.81671       3726        832         26        106      0.113      0.803      0.817      0.810      0.898 
107    0.79347       3723        835         29        103      0.110      0.780      0.816      0.799      0.896 
108    0.74352       3727        831         25        107      0.114      0.811      0.817      0.814      0.904 
109    0.78956       3729        829         23        109      0.116      0.826      0.818      0.822      0.905 
110    0.77437       3727        831         25        107      0.114      0.811      0.817      0.814      0.902 
111    0.76181       3721        837         31        101      0.108      0.765      0.815      0.791      0.887 
112    0.75247       3728        830         24        108      0.115      0.818      0.818      0.818      0.902 
113    0.75107       3728        830         24        108      0.115      0.818      0.818      0.818      0.905 
114    0.75001       3731        827         21        111      0.118      0.841      0.819      0.830      0.908 
115    0.71029       3730        828         22        110      0.117      0.833      0.819      0.826      0.907 
116    0.77562       3728        830         24        108      0.115      0.818      0.818      0.818      0.904 
117    0.75223       3729        829         23        109      0.116      0.826      0.818      0.822      0.907 
