# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gin.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.3341        926        214         18         15      0.066      0.455      0.802      0.633      0.704 
Train:          1     1.3341       3701        857         51         81      0.086      0.614      0.806      0.713      0.819 
All:          1     1.3341       4621       1077         69         96      0.082      0.582      0.805      0.696      0.796 
Test:          2     1.2172        929        211         18         15      0.066      0.455      0.805      0.635      0.706 
Train:          2     1.2172       3703        855         49         83      0.088      0.629      0.807      0.721      0.820 
All:          2     1.2172       4623       1075         67         98      0.084      0.594      0.805      0.703      0.797 
Test:          3      1.167        928        212         18         15      0.066      0.455      0.804      0.634      0.710 
Train:          3      1.167       3704        854         48         84      0.090      0.636      0.808      0.725      0.821 
All:          3      1.167       4624       1074         66         99      0.084      0.600      0.806      0.706      0.799 
Test:          4     1.1454        929        211         18         15      0.066      0.455      0.805      0.635      0.715 
Train:          4     1.1454       3704        854         48         84      0.090      0.636      0.808      0.725      0.824 
All:          4     1.1454       4624       1074         66         99      0.084      0.600      0.806      0.706      0.802 
Test:          5     1.1347        928        212         18         15      0.066      0.455      0.804      0.634      0.721 
Train:          5     1.1347       3704        854         48         84      0.090      0.636      0.808      0.725      0.827 
All:          5     1.1347       4625       1073         65        100      0.085      0.606      0.806      0.709      0.806 
Test:          6     1.1112        928        212         18         15      0.066      0.455      0.804      0.634      0.726 
Train:          6     1.1112       3706        852         46         86      0.092      0.652      0.809      0.732      0.829 
All:          6     1.1112       4626       1072         64        101      0.086      0.612      0.806      0.712      0.808 
Test:          7     1.1009        931        209         18         15      0.067      0.455      0.806      0.636      0.730 
Train:          7     1.1009       3706        852         46         86      0.092      0.652      0.809      0.732      0.831 
All:          7     1.1009       4626       1072         64        101      0.086      0.612      0.806      0.712      0.811 
Test:          8     1.0752        933        207         17         16      0.072      0.485      0.809      0.652      0.734 
Train:          8     1.0752       3706        852         46         86      0.092      0.652      0.809      0.732      0.834 
All:          8     1.0752       4628       1070         62        103      0.088      0.624      0.807      0.718      0.814 
Test:          9      1.034        934        206         17         16      0.072      0.485      0.810      0.652      0.739 
Train:          9      1.034       3708        850         44         88      0.094      0.667      0.809      0.740      0.836 
All:          9      1.034       4630       1068         60        105      0.090      0.636      0.808      0.724      0.817 
Test:         10     1.0385        932        208         18         15      0.067      0.455      0.807      0.636      0.742 
Train:         10     1.0385       3709        849         43         89      0.095      0.674      0.810      0.744      0.838 
All:         10     1.0385       4629       1069         61        104      0.089      0.630      0.807      0.721      0.818 
Test:         11     1.0583        933        207         18         15      0.068      0.455      0.808      0.636      0.745 
Train:         11     1.0583       3710        848         42         90      0.096      0.682      0.810      0.748      0.840 
All:         11     1.0583       4630       1068         60        105      0.090      0.636      0.808      0.724      0.820 
Test:         12     1.0238        931        209         18         15      0.067      0.455      0.806      0.636      0.750 
Train:         12     1.0238       3710        848         42         90      0.096      0.682      0.810      0.748      0.841 
All:         12     1.0238       4630       1068         60        105      0.090      0.636      0.808      0.724      0.823 
Test:         13     1.0172        931        209         18         15      0.067      0.455      0.806      0.636      0.755 
Train:         13     1.0172       3710        848         42         90      0.096      0.682      0.810      0.748      0.843 
All:         13     1.0172       4630       1068         60        105      0.090      0.636      0.808      0.724      0.825 
Test:         14     1.0398        932        208         18         15      0.067      0.455      0.807      0.636      0.760 
Train:         14     1.0398       3711        847         41         91      0.097      0.689      0.811      0.752      0.844 
All:         14     1.0398       4631       1067         59        106      0.090      0.642      0.808      0.728      0.827 
Test:         15     1.0041        935        205         18         15      0.068      0.455      0.810      0.637      0.767 
