# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gtn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.6657       4623       1075         67         98      0.084      0.594      0.805      0.703      0.792 
2     3.3939       4621       1077         69         96      0.082      0.582      0.805      0.696      0.783 
3     1.7765       4619       1079         71         94      0.080      0.570      0.804      0.690      0.725 
4     1.2226       4603       1095         87         78      0.066      0.473      0.798      0.640      0.655 
5     1.5803       4608       1090         82         83      0.071      0.503      0.800      0.656      0.685 
6     1.5222       4621       1077         69         96      0.082      0.582      0.805      0.696      0.734 
7     1.2931       4628       1070         62        103      0.088      0.624      0.807      0.718      0.768 
8     1.1442       4631       1067         59        106      0.090      0.642      0.808      0.728      0.790 
9     1.1427       4633       1065         57        108      0.092      0.655      0.809      0.734      0.805 
10     1.1522       4637       1061         53        112      0.095      0.679      0.810      0.746      0.814 
11     1.1816       4636       1062         54        111      0.095      0.673      0.810      0.743      0.818 
12     1.1988       4637       1061         53        112      0.095      0.679      0.810      0.746      0.820 
13     1.1769       4638       1060         52        113      0.096      0.685      0.810      0.749      0.819 
14     1.1384       4637       1061         53        112      0.095      0.679      0.810      0.746      0.815 
15     1.1219       4637       1061         53        112      0.095      0.679      0.810      0.746      0.808 
16     1.0991       4635       1063         55        110      0.094      0.667      0.809      0.740      0.798 
17     1.0737       4632       1066         58        107      0.091      0.648      0.808      0.731      0.788 
18     1.0659       4629       1069         61        104      0.089      0.630      0.807      0.721      0.782 
19     1.0879       4629       1069         61        104      0.089      0.630      0.807      0.721      0.783 
20     1.0871       4631       1067         59        106      0.090      0.642      0.808      0.728      0.788 
21     1.0757       4635       1063         55        110      0.094      0.667      0.809      0.740      0.794 
22      1.071       4637       1061         53        112      0.095      0.679      0.810      0.746      0.800 
23     1.0785       4637       1061         53        112      0.095      0.679      0.810      0.746      0.805 
24     1.0515       4637       1061         53        112      0.095      0.679      0.810      0.746      0.809 
25     1.0285       4640       1058         50        115      0.098      0.697      0.811      0.756      0.812 
26     1.0376       4640       1058         50        115      0.098      0.697      0.811      0.756      0.815 
27     1.0383       4640       1058         50        115      0.098      0.697      0.811      0.756      0.818 
28     1.0506       4642       1056         48        117      0.100      0.709      0.812      0.762      0.821 
29     1.0471       4642       1056         48        117      0.100      0.709      0.812      0.762      0.824 
30     1.0113       4641       1057         49        116      0.099      0.703      0.811      0.759      0.826 
31    0.99513       4641       1057         49        116      0.099      0.703      0.811      0.759      0.828 
32     1.0252       4640       1058         50        115      0.098      0.697      0.811      0.756      0.830 
33      1.018       4640       1058         50        115      0.098      0.697      0.811      0.756      0.832 
34    0.99369       4639       1059         51        114      0.097      0.691      0.811      0.753      0.833 
35     1.0021       4641       1057         49        116      0.099      0.703      0.811      0.759      0.835 
36     1.0014       4642       1056         48        117      0.100      0.709      0.812      0.762      0.836 
37    0.99724       4642       1056         48        117      0.100      0.709      0.812      0.762      0.838 
38     1.0054       4643       1055         47        118      0.101      0.715      0.812      0.765      0.841 
