# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gtn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     2.1226       3681        877         71         61      0.065      0.462      0.798      0.635      0.754 
2     2.5504       3687        871         65         67      0.071      0.508      0.800      0.658      0.759 
3     1.6675       3685        873         67         65      0.069      0.492      0.800      0.650      0.704 
4     1.2924       3677        881         75         57      0.061      0.432      0.796      0.619      0.628 
5      1.343       3676        882         76         56      0.060      0.424      0.796      0.615      0.639 
6     1.3239       3686        872         66         66      0.070      0.500      0.800      0.654      0.671 
7      1.265       3689        869         63         69      0.074      0.523      0.801      0.666      0.700 
8     1.2147       3696        862         56         76      0.081      0.576      0.804      0.693      0.723 
9     1.1507       3698        860         54         78      0.083      0.591      0.805      0.701      0.738 
10     1.1475       3698        860         54         78      0.083      0.591      0.805      0.701      0.750 
11     1.1342       3699        859         53         79      0.084      0.598      0.806      0.705      0.759 
12     1.1455       3700        858         52         80      0.085      0.606      0.806      0.709      0.765 
13     1.1475       3700        858         52         80      0.085      0.606      0.806      0.709      0.770 
14     1.1286       3700        858         52         80      0.085      0.606      0.806      0.709      0.775 
15     1.1276       3700        858         52         80      0.085      0.606      0.806      0.709      0.780 
16     1.1199       3702        856         50         82      0.087      0.621      0.807      0.717      0.784 
17     1.1007       3704        854         48         84      0.090      0.636      0.808      0.725      0.788 
18     1.0669       3707        851         45         87      0.093      0.659      0.809      0.736      0.791 
19     1.0645       3707        851         45         87      0.093      0.659      0.809      0.736      0.793 
20     1.0631       3709        849         43         89      0.095      0.674      0.810      0.744      0.796 
21     1.0842       3710        848         42         90      0.096      0.682      0.810      0.748      0.798 
22     1.0786       3710        848         42         90      0.096      0.682      0.810      0.748      0.801 
23     1.0575       3709        849         43         89      0.095      0.674      0.810      0.744      0.805 
24     1.0356       3711        847         41         91      0.097      0.689      0.811      0.752      0.809 
25       1.02       3711        847         41         91      0.097      0.689      0.811      0.752      0.813 
26     1.0263       3711        847         41         91      0.097      0.689      0.811      0.752      0.817 
27      1.049       3712        846         40         92      0.098      0.697      0.811      0.756      0.821 
28     1.0452       3712        846         40         92      0.098      0.697      0.811      0.756      0.824 
29      1.003       3712        846         40         92      0.098      0.697      0.811      0.756      0.827 
30     1.0074       3713        845         39         93      0.099      0.705      0.812      0.760      0.830 
31    0.98971       3714        844         38         94      0.100      0.712      0.812      0.763      0.831 
32    0.98264       3714        844         38         94      0.100      0.712      0.812      0.763      0.833 
33     1.0054       3714        844         38         94      0.100      0.712      0.812      0.763      0.834 
34    0.98406       3713        845         39         93      0.099      0.705      0.812      0.760      0.835 
35     0.9897       3712        846         40         92      0.098      0.697      0.811      0.756      0.836 
36    0.98738       3712        846         40         92      0.098      0.697      0.811      0.756      0.838 
37    0.99811       3714        844         38         94      0.100      0.712      0.812      0.763      0.841 
38    0.99059       3714        844         38         94      0.100      0.712      0.812      0.763      0.845 
39    0.97131       3717        841         35         97      0.103      0.735      0.813      0.775      0.849 
40    0.94791       3719        839         33         99      0.106      0.750      0.814      0.783      0.853 
41    0.93816       3719        839         33         99      0.106      0.750      0.814      0.783      0.858 
42    0.94579       3719        839         33         99      0.106      0.750      0.814      0.783      0.863 
43    0.92239       3719        839         33         99      0.106      0.750      0.814      0.783      0.866 
44    0.93719       3719        839         33         99      0.106      0.750      0.814      0.783      0.868 
45    0.93965       3719        839         33         99      0.106      0.750      0.814      0.783      0.870 
46    0.92409       3721        837         31        101      0.108      0.765      0.815      0.791      0.873 
47    0.94297       3723        835         29        103      0.110      0.780      0.816      0.799      0.876 
48    0.91871       3725        833         27        105      0.112      0.795      0.817      0.806      0.879 
49    0.86492       3725        833         27        105      0.112      0.795      0.817      0.806      0.881 
50    0.88059       3725        833         27        105      0.112      0.795      0.817      0.806      0.884 
51    0.86581       3725        833         27        105      0.112      0.795      0.817      0.806      0.887 
52    0.88688       3726        832         26        106      0.113      0.803      0.817      0.810      0.889 
53    0.87542       3726        832         26        106      0.113      0.803      0.817      0.810      0.892 
54    0.88139       3727        831         25        107      0.114      0.811      0.817      0.814      0.894 
55    0.84518       3727        831         25        107      0.114      0.811      0.817      0.814      0.897 
56    0.82095       3727        831         25        107      0.114      0.811      0.817      0.814      0.898 
57    0.85972       3728        830         24        108      0.115      0.818      0.818      0.818      0.898 
58    0.82826       3730        828         22        110      0.117      0.833      0.819      0.826      0.900 
59    0.83907       3730        828         22        110      0.117      0.833      0.819      0.826      0.902 
60    0.84358       3732        826         20        112      0.119      0.848      0.820      0.834      0.909 
61    0.84155       3733        825         19        113      0.120      0.856      0.820      0.838      0.911 
62    0.78726       3731        827         21        111      0.118      0.841      0.819      0.830      0.910 
