# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gtn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.5138        939        201         32          1      0.005      0.030      0.801      0.427      0.361 
Train:          1     1.5138       3638        920        114         18      0.019      0.136      0.780      0.467      0.431 
All:          1     1.5138       4544       1154        146         19      0.016      0.115      0.778      0.456      0.417 
Test:          2     2.3455        918        222         17         16      0.067      0.485      0.796      0.645      0.651 
Train:          2     2.3455       3684        874         68         64      0.068      0.485      0.799      0.647      0.690 
All:          2     2.3455       4605       1093         85         80      0.068      0.485      0.799      0.647      0.682 
Test:          3     1.3086        912        228         11         22      0.088      0.667      0.796      0.733      0.808 
Train:          3     1.3086       3708        850         44         88      0.094      0.667      0.809      0.740      0.826 
All:          3     1.3086       4634       1064         56        109      0.093      0.661      0.809      0.737      0.823 
Test:          4     1.1193        921        219         11         22      0.091      0.667      0.804      0.737      0.823 
Train:          4     1.1193       3707        851         45         87      0.093      0.659      0.809      0.736      0.833 
All:          4     1.1193       4634       1064         56        109      0.093      0.661      0.809      0.737      0.832 
Test:          5     1.3364        923        217         12         21      0.088      0.636      0.805      0.723      0.813 
Train:          5     1.3364       3707        851         45         87      0.093      0.659      0.809      0.736      0.831 
All:          5     1.3364       4633       1065         57        108      0.092      0.655      0.809      0.734      0.827 
Test:          6     1.3127        924        216         11         22      0.092      0.667      0.806      0.739      0.798 
Train:          6     1.3127       3706        852         46         86      0.092      0.652      0.809      0.732      0.827 
All:          6     1.3127       4633       1065         57        108      0.092      0.655      0.809      0.734      0.821 
Test:          7     1.2505        920        220         15         18      0.076      0.545      0.800      0.676      0.740 
Train:          7     1.2505       3705        853         47         85      0.091      0.644      0.808      0.728      0.813 
All:          7     1.2505       4627       1071         63        102      0.087      0.618      0.807      0.715      0.799 
Test:          8     1.1613        923        217         19         14      0.061      0.424      0.799      0.617      0.630 
Train:          8     1.1613       3703        855         49         83      0.088      0.629      0.807      0.721      0.794 
All:          8     1.1613       4622       1076         68         97      0.083      0.588      0.805      0.700      0.762 
Test:          9      1.087        914        226         20         13      0.054      0.394      0.790      0.598      0.600 
Train:          9      1.087       3700        858         52         80      0.085      0.606      0.806      0.709      0.776 
All:          9      1.087       4618       1080         72         93      0.079      0.564      0.804      0.687      0.741 
Test:         10     1.0921        925        215         20         13      0.057      0.394      0.800      0.603      0.601 
Train:         10     1.0921       3699        859         53         79      0.084      0.598      0.806      0.705      0.771 
All:         10     1.0921       4617       1081         73         92      0.078      0.558      0.803      0.684      0.737 
Test:         11     1.1278        927        213         20         13      0.058      0.394      0.801      0.604      0.621 
Train:         11     1.1278       3700        858         52         80      0.085      0.606      0.806      0.709      0.778 
All:         11     1.1278       4618       1080         72         93      0.079      0.564      0.804      0.687      0.747 
Test:         12     1.1059        924        216         18         15      0.065      0.455      0.801      0.633      0.646 
Train:         12     1.1059       3701        857         51         81      0.086      0.614      0.806      0.713      0.794 
All:         12     1.1059       4621       1077         69         96      0.082      0.582      0.805      0.696      0.765 
Test:         13     1.1348        920        220         16         17      0.072      0.515      0.799      0.661      0.675 
Train:         13     1.1348       3704        854         48         84      0.090      0.636      0.808      0.725      0.810 
All:         13     1.1348       4626       1072         64        101      0.086      0.612      0.806      0.712      0.783 
Test:         14     1.0619        922        218         16         17      0.072      0.515      0.801      0.662      0.728 
Train:         14     1.0619       3707        851         45         87      0.093      0.659      0.809      0.736      0.823 
All:         14     1.0619       4629       1069         61        104      0.089      0.630      0.807      0.721      0.804 
Test:         15     1.0197        918        222         16         17      0.071      0.515      0.797      0.660      0.762 
Train:         15     1.0197       3711        847         41         91      0.097      0.689      0.811      0.752      0.833 
All:         15     1.0197       4633       1065         57        108      0.092      0.655      0.809      0.734      0.819 
Test:         16     0.9951        917        223         13         20      0.082      0.606      0.799      0.705      0.786 
Train:         16     0.9951       3714        844         38         94      0.100      0.712      0.812      0.763      0.841 
All:         16     0.9951       4639       1059         51        114      0.097      0.691      0.811      0.753      0.830 
Test:         17     1.0133        923        217         10         23      0.096      0.697      0.806      0.753      0.803 
Train:         17     1.0133       3714        844         38         94      0.100      0.712      0.812      0.763      0.846 
All:         17     1.0133       4642       1056         48        117      0.100      0.709      0.812      0.762      0.838 
Test:         18    0.99601        922        218          9         24      0.099      0.727      0.806      0.768      0.814 
Train:         18    0.99601       3717        841         35         97      0.103      0.735      0.813      0.775      0.851 
All:         18    0.99601       4645       1053         45        120      0.102      0.727      0.813      0.771      0.844 
Test:         19      1.017        918        222         10         23      0.094      0.697      0.802      0.751      0.821 
Train:         19      1.017       3717        841         35         97      0.103      0.735      0.813      0.775      0.855 
All:         19      1.017       4645       1053         45        120      0.102      0.727      0.813      0.771      0.849 
Test:         20    0.98141        916        224         10         23      0.093      0.697      0.801      0.750      0.823 
Train:         20    0.98141       3718        840         34         98      0.104      0.742      0.814      0.779      0.859 
All:         20    0.98141       4646       1052         44        121      0.103      0.733      0.813      0.774      0.852 
Test:         21    0.98528        924        216         11         22      0.092      0.667      0.806      0.739      0.823 
Train:         21    0.98528       3718        840         34         98      0.104      0.742      0.814      0.779      0.862 
All:         21    0.98528       4645       1053         45        120      0.102      0.727      0.813      0.771      0.854 
Test:         22    0.95989        919        221         12         21      0.087      0.636      0.801      0.721      0.819 
Train:         22    0.95989       3718        840         34         98      0.104      0.742      0.814      0.779      0.864 
All:         22    0.95989       4644       1054         46        119      0.101      0.721      0.812      0.768      0.856 
Test:         23    0.95574        920        220         13         20      0.083      0.606      0.801      0.707      0.812 
Train:         23    0.95574       3718        840         34         98      0.104      0.742      0.814      0.779      0.866 
All:         23    0.95574       4643       1055         47        118      0.101      0.715      0.812      0.765      0.856 
Test:         24    0.94581        920        220         13         20      0.083      0.606      0.801      0.707      0.803 
Train:         24    0.94581       3719        839         33         99      0.106      0.750      0.814      0.783      0.868 
All:         24    0.94581       4644       1054         46        119      0.101      0.721      0.812      0.768      0.855 
Test:         25    0.92143        928        212         14         19      0.082      0.576      0.807      0.695      0.794 
Train:         25    0.92143       3721        837         31        101      0.108      0.765      0.815      0.791      0.870 
All:         25    0.92143       4645       1053         45        120      0.102      0.727      0.813      0.771      0.855 
Test:         26    0.93567        936        204         15         18      0.081      0.545      0.813      0.683      0.786 
Train:         26    0.93567       3721        837         31        101      0.108      0.765      0.815      0.791      0.872 
All:         26    0.93567       4644       1054         46        119      0.101      0.721      0.812      0.768      0.855 
Test:         27    0.92791        936        204         15         18      0.081      0.545      0.813      0.683      0.777 
Train:         27    0.92791       3721        837         31        101      0.108      0.765      0.815      0.791      0.876 
All:         27    0.92791       4644       1054         46        119      0.101      0.721      0.812      0.768      0.856 
Test:         28    0.91509        932        208         16         17      0.076      0.515      0.809      0.666      0.765 
Train:         28    0.91509       3722        836         30        102      0.109      0.773      0.815      0.795      0.880 
All:         28    0.91509       4644       1054         46        119      0.101      0.721      0.812      0.768      0.857 
Test:         29    0.91987        936        204         17         16      0.073      0.485      0.812      0.653      0.755 
Train:         29    0.91987       3722        836         30        102      0.109      0.773      0.815      0.795      0.884 
All:         29    0.91987       4645       1053         45        120      0.102      0.727      0.813      0.771      0.858 
Test:         30    0.91302        931        209         17         16      0.071      0.485      0.807      0.651      0.749 
Train:         30    0.91302       3723        835         29        103      0.110      0.780      0.816      0.799      0.888 
All:         30    0.91302       4645       1053         45        120      0.102      0.727      0.813      0.771      0.860 
Test:         31    0.88849        933        207         16         17      0.076      0.515      0.810      0.667      0.745 
Train:         31    0.88849       3725        833         27        105      0.112      0.795      0.817      0.806      0.891 
All:         31    0.88849       4647       1051         43        122      0.104      0.739      0.813      0.777      0.862 
Test:         32    0.88046        939        201         16         17      0.078      0.515      0.815      0.669      0.743 
Train:         32    0.88046       3725        833         27        105      0.112      0.795      0.817      0.806      0.895 
All:         32    0.88046       4648       1050         42        123      0.105      0.745      0.814      0.781      0.864 
Test:         33    0.86591        938        202         15         18      0.082      0.545      0.815      0.684      0.743 
Train:         33    0.86591       3727        831         25        107      0.114      0.811      0.817      0.814      0.898 
All:         33    0.86591       4651       1047         39        126      0.107      0.764      0.815      0.790      0.867 
Test:         34    0.85043        942        198         15         18      0.083      0.545      0.818      0.686      0.745 
Train:         34    0.85043       3731        827         21        111      0.118      0.841      0.819      0.830      0.900 
All:         34    0.85043       4654       1044         36        129      0.110      0.782      0.816      0.799      0.869 
Test:         35    0.87331        942        198         14         19      0.088      0.576      0.819      0.701      0.747 
Train:         35    0.87331       3731        827         21        111      0.118      0.841      0.819      0.830      0.901 
All:         35    0.87331       4655       1043         35        130      0.111      0.788      0.816      0.802      0.871 
Test:         36    0.85823        940        200         14         19      0.087      0.576      0.818      0.700      0.746 
Train:         36    0.85823       3731        827         21        111      0.118      0.841      0.819      0.830      0.903 
All:         36    0.85823       4655       1043         35        130      0.111      0.788      0.816      0.802      0.871 
Test:         37    0.85307        938        202         14         19      0.086      0.576      0.816      0.699      0.745 
Train:         37    0.85307       3729        829         23        109      0.116      0.826      0.818      0.822      0.904 
All:         37    0.85307       4653       1045         37        128      0.109      0.776      0.815      0.796      0.872 
Test:         38    0.82399        938        202         14         19      0.086      0.576      0.816      0.699      0.745 
Train:         38    0.82399       3729        829         23        109      0.116      0.826      0.818      0.822      0.906 
All:         38    0.82399       4653       1045         37        128      0.109      0.776      0.815      0.796      0.874 
Test:         39    0.81309        940        200         14         19      0.087      0.576      0.818      0.700      0.743 
Train:         39    0.81309       3729        829         23        109      0.116      0.826      0.818      0.822      0.908 
All:         39    0.81309       4653       1045         37        128      0.109      0.776      0.815      0.796      0.875 
Test:         40    0.83314        947        193         14         19      0.090      0.576      0.824      0.703      0.742 
Train:         40    0.83314       3731        827         21        111      0.118      0.841      0.819      0.830      0.910 
All:         40    0.83314       4656       1042         34        131      0.112      0.794      0.816      0.806      0.877 
Test:         41    0.84738        945        195         15         18      0.085      0.545      0.821      0.687      0.744 
Train:         41    0.84738       3733        825         19        113      0.120      0.856      0.820      0.838      0.912 
All:         41    0.84738       4656       1042         34        131      0.112      0.794      0.816      0.806      0.878 
Test:         42    0.80241        949        191         15         18      0.086      0.545      0.824      0.689      0.741 
Train:         42    0.80241       3733        825         19        113      0.120      0.856      0.820      0.838      0.913 
