# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: hgcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.6462       3654        904         98         34      0.036      0.258      0.786      0.530      0.467 
2     1.3694       3692        866         60         72      0.077      0.545      0.803      0.678      0.737 
3      1.349       3699        859         53         79      0.084      0.598      0.806      0.705      0.792 
4     1.3798       3702        856         49         83      0.088      0.629      0.807      0.720      0.807 
5     1.3415       3708        850         44         88      0.094      0.667      0.809      0.740      0.815 
6     1.2968       3710        848         42         90      0.096      0.682      0.810      0.748      0.818 
7     1.2722       3712        846         40         92      0.098      0.697      0.811      0.756      0.816 
8     1.2553       3712        846         40         92      0.098      0.697      0.811      0.756      0.810 
9     1.2511       3709        849         43         89      0.095      0.674      0.810      0.744      0.804 
10     1.2448       3710        848         42         90      0.096      0.682      0.810      0.748      0.804 
11     1.2347       3711        847         41         91      0.097      0.689      0.811      0.752      0.806 
12     1.2167       3711        847         41         91      0.097      0.689      0.811      0.752      0.810 
13     1.1922       3711        847         41         91      0.097      0.689      0.811      0.752      0.814 
14     1.1908       3711        847         41         91      0.097      0.689      0.811      0.752      0.817 
15     1.1577       3712        846         40         92      0.098      0.697      0.811      0.756      0.819 
16     1.1668       3711        847         41         91      0.097      0.689      0.811      0.752      0.821 
17      1.146       3712        846         40         92      0.098      0.697      0.811      0.756      0.821 
18     1.1424       3709        849         43         89      0.095      0.674      0.810      0.744      0.821 
19     1.1165       3709        849         43         89      0.095      0.674      0.810      0.744      0.819 
20     1.0971       3708        850         44         88      0.094      0.667      0.809      0.740      0.816 
21     1.0867       3707        851         45         87      0.093      0.659      0.809      0.736      0.815 
22     1.0778       3708        850         44         88      0.094      0.667      0.809      0.740      0.816 
23     1.0679       3708        850         44         88      0.094      0.667      0.809      0.740      0.821 
24     1.0355       3709        849         43         89      0.095      0.674      0.810      0.744      0.826 
25     1.0347       3710        848         42         90      0.096      0.682      0.810      0.748      0.830 
26     1.0539       3710        848         42         90      0.096      0.682      0.810      0.748      0.833 
27     1.0301       3711        847         41         91      0.097      0.689      0.811      0.752      0.835 
28     1.0272       3712        846         40         92      0.098      0.697      0.811      0.756      0.837 
29    0.98764       3712        846         40         92      0.098      0.697      0.811      0.756      0.840 
30    0.96244       3713        845         39         93      0.099      0.705      0.812      0.760      0.843 
31     0.9841       3714        844         38         94      0.100      0.712      0.812      0.763      0.846 
32    0.97785       3714        844         38         94      0.100      0.712      0.812      0.763      0.848 
33    0.96642       3715        843         37         95      0.101      0.720      0.812      0.767      0.850 
34    0.97881       3716        842         36         96      0.102      0.727      0.813      0.771      0.850 
35    0.95247       3716        842         36         96      0.102      0.727      0.813      0.771      0.851 
36    0.97395       3717        841         35         97      0.103      0.735      0.813      0.775      0.851 
37    0.98711       3717        841         35         97      0.103      0.735      0.813      0.775      0.851 
38    0.96861       3719        839         33         99      0.106      0.750      0.814      0.783      0.851 
39    0.98456       3719        839         33         99      0.106      0.750      0.814      0.783      0.851 
40    0.97688       3719        839         33         99      0.106      0.750      0.814      0.783      0.851 
41    0.97638       3719        839         33         99      0.106      0.750      0.814      0.783      0.852 
42    0.96532       3719        839         33         99      0.106      0.750      0.814      0.783      0.853 
43    0.95279       3717        841         35         97      0.103      0.735      0.813      0.775      0.853 
44    0.96834       3717        841         35         97      0.103      0.735      0.813      0.775      0.854 
45    0.97355       3717        841         35         97      0.103      0.735      0.813      0.775      0.854 
46     0.9468       3717        841         35         97      0.103      0.735      0.813      0.775      0.855 
47    0.93002       3716        842         36         96      0.102      0.727      0.813      0.771      0.855 
48    0.92647       3716        842         36         96      0.102      0.727      0.813      0.771      0.855 
49    0.96169       3716        842         36         96      0.102      0.727      0.813      0.771      0.855 
50    0.95896       3715        843         37         95      0.101      0.720      0.812      0.767      0.855 
51    0.96246       3716        842         36         96      0.102      0.727      0.813      0.771      0.856 
52    0.95166       3717        841         35         97      0.103      0.735      0.813      0.775      0.856 
53    0.92721       3717        841         35         97      0.103      0.735      0.813      0.775      0.857 
54    0.96043       3717        841         35         97      0.103      0.735      0.813      0.775      0.857 
55    0.93577       3718        840         34         98      0.104      0.742      0.814      0.779      0.858 
56    0.96913       3718        840         34         98      0.104      0.742      0.814      0.779      0.858 
57    0.95194       3718        840         34         98      0.104      0.742      0.814      0.779      0.858 
58     0.9445       3718        840         34         98      0.104      0.742      0.814      0.779      0.859 
59    0.91621       3718        840         34         98      0.104      0.742      0.814      0.779      0.860 
60    0.94599       3718        840         34         98      0.104      0.742      0.814      0.779      0.860 
61     0.9191       3718        840         34         98      0.104      0.742      0.814      0.779      0.860 
62    0.93617       3719        839         33         99      0.106      0.750      0.814      0.783      0.860 
63    0.94404       3719        839         33         99      0.106      0.750      0.814      0.783      0.861 
64    0.94503       3719        839         33         99      0.106      0.750      0.814      0.783      0.861 
65    0.92681       3719        839         33         99      0.106      0.750      0.814      0.783      0.861 
