# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: hgcn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.3832        937        203         10         23      0.102      0.697      0.818      0.759      0.827 
Train:          1     1.3832       3696        862         55         77      0.082      0.583      0.804      0.697      0.757 
All:          1     1.3832       4625       1073         65        100      0.085      0.606      0.806      0.709      0.771 
Test:          2     1.3245        930        210         10         23      0.099      0.697      0.812      0.756      0.836 
Train:          2     1.3245       3701        857         51         81      0.086      0.614      0.806      0.713      0.789 
All:          2     1.3245       4629       1069         61        104      0.089      0.630      0.807      0.721      0.799 
Test:          3     1.2956        936        204         11         22      0.097      0.667      0.817      0.744      0.827 
Train:          3     1.2956       3704        854         48         84      0.090      0.636      0.808      0.725      0.789 
All:          3     1.2956       4632       1066         58        107      0.091      0.648      0.808      0.731      0.797 
Test:          4     1.2604        939        201         12         21      0.095      0.636      0.818      0.730      0.805 
Train:          4     1.2604       3701        857         51         81      0.086      0.614      0.806      0.713      0.774 
All:          4     1.2604       4627       1071         63        102      0.087      0.618      0.807      0.715      0.781 
Test:          5     1.2228        937        203         12         21      0.094      0.636      0.817      0.729      0.783 
Train:          5     1.2228       3694        864         58         74      0.079      0.561      0.803      0.686      0.755 
All:          5     1.2228       4620       1078         70         95      0.081      0.576      0.804      0.693      0.761 
Test:          6     1.2043        936        204         12         21      0.093      0.636      0.816      0.729      0.780 
Train:          6     1.2043       3694        864         58         74      0.079      0.561      0.803      0.686      0.756 
All:          6     1.2043       4620       1078         70         95      0.081      0.576      0.804      0.693      0.761 
Test:          7     1.1934        939        201         12         21      0.095      0.636      0.818      0.730      0.788 
Train:          7     1.1934       3698        860         54         78      0.083      0.591      0.805      0.701      0.771 
All:          7     1.1934       4624       1074         66         99      0.084      0.600      0.806      0.706      0.775 
Test:          8     1.1731        942        198         11         22      0.100      0.667      0.822      0.746      0.797 
Train:          8     1.1731       3702        856         50         82      0.087      0.621      0.807      0.717      0.789 
All:          8     1.1731       4630       1068         60        105      0.090      0.636      0.808      0.724      0.791 
Test:          9     1.1387        935        205         11         22      0.097      0.667      0.816      0.743      0.802 
Train:          9     1.1387       3703        855         49         83      0.088      0.629      0.807      0.721      0.799 
All:          9     1.1387       4630       1068         60        105      0.090      0.636      0.808      0.724      0.800 
Test:         10      1.149        933        207         11         22      0.096      0.667      0.814      0.743      0.801 
Train:         10      1.149       3705        853         47         85      0.091      0.644      0.808      0.728      0.803 
All:         10      1.149       4632       1066         58        107      0.091      0.648      0.808      0.731      0.803 
Test:         11     1.1214        933        207         12         21      0.092      0.636      0.813      0.727      0.797 
Train:         11     1.1214       3705        853         47         85      0.091      0.644      0.808      0.728      0.804 
All:         11     1.1214       4631       1067         59        106      0.090      0.642      0.808      0.728      0.803 
Test:         12     1.0939        930        210         12         21      0.091      0.636      0.811      0.726      0.795 
Train:         12     1.0939       3705        853         47         85      0.091      0.644      0.808      0.728      0.807 
All:         12     1.0939       4631       1067         59        106      0.090      0.642      0.808      0.728      0.805 
Test:         13     1.0634        931        209         12         21      0.091      0.636      0.812      0.727      0.798 
Train:         13     1.0634       3706        852         46         86      0.092      0.652      0.809      0.732      0.814 
All:         13     1.0634       4632       1066         58        107      0.091      0.648      0.808      0.731      0.811 
