# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: hgcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.3232       4626       1072         64        101      0.086      0.612      0.806      0.712      0.787 
2     1.2586       4630       1068         60        105      0.090      0.636      0.808      0.724      0.801 
3     1.2607       4630       1068         60        105      0.090      0.636      0.808      0.724      0.801 
4     1.2447       4630       1068         59        106      0.090      0.642      0.808      0.727      0.796 
5     1.2238       4625       1073         65        100      0.085      0.606      0.806      0.709      0.788 
6     1.1999       4623       1075         67         98      0.084      0.594      0.805      0.703      0.781 
7     1.1893       4621       1077         67         98      0.083      0.594      0.805      0.702      0.784 
8     1.1778       4625       1073         65        100      0.085      0.606      0.806      0.709      0.792 
9     1.1589       4625       1073         65        100      0.085      0.606      0.806      0.709      0.798 
10     1.1384       4626       1072         64        101      0.086      0.612      0.806      0.712      0.802 
11     1.1436       4627       1071         63        102      0.087      0.618      0.807      0.715      0.804 
12     1.1254       4626       1072         64        101      0.086      0.612      0.806      0.712      0.804 
13     1.1262       4625       1073         64        101      0.086      0.612      0.806      0.712      0.806 
14     1.1054       4630       1068         60        105      0.090      0.636      0.808      0.724      0.810 
15     1.0747       4630       1068         60        105      0.090      0.636      0.808      0.724      0.816 
16     1.0685       4635       1063         55        110      0.094      0.667      0.809      0.740      0.822 
17     1.0578       4638       1060         52        113      0.096      0.685      0.810      0.749      0.827 
18     1.0532       4639       1059         51        114      0.097      0.691      0.811      0.753      0.831 
19     1.0363       4639       1059         51        114      0.097      0.691      0.811      0.753      0.834 
20      1.041       4642       1056         48        117      0.100      0.709      0.812      0.762      0.838 
21     1.0274       4642       1056         48        117      0.100      0.709      0.812      0.762      0.840 
22     1.0222       4644       1054         46        119      0.101      0.721      0.812      0.768      0.842 
23     1.0415       4645       1053         45        120      0.102      0.727      0.813      0.771      0.844 
24     1.0106       4644       1054         46        119      0.101      0.721      0.812      0.768      0.844 
25     1.0116       4644       1054         46        119      0.101      0.721      0.812      0.768      0.843 
26     1.0181       4645       1053         45        120      0.102      0.727      0.813      0.771      0.844 
27     1.0095       4644       1054         46        119      0.101      0.721      0.812      0.768      0.845 
28     1.0142       4644       1054         46        119      0.101      0.721      0.812      0.768      0.845 
29       1.03       4645       1053         45        120      0.102      0.727      0.813      0.771      0.845 
30     1.0309       4645       1053         45        120      0.102      0.727      0.813      0.771      0.846 
31     0.9752       4646       1052         44        121      0.103      0.733      0.813      0.774      0.847 
32     1.0129       4646       1052         44        121      0.103      0.733      0.813      0.774      0.847 
33     1.0021       4646       1052         44        121      0.103      0.733      0.813      0.774      0.846 
34    0.99446       4645       1053         45        120      0.102      0.727      0.813      0.771      0.846 
35    0.99065       4645       1053         45        120      0.102      0.727      0.813      0.771      0.847 
36    0.99581       4646       1052         44        121      0.103      0.733      0.813      0.774      0.848 
37    0.97696       4644       1054         46        119      0.101      0.721      0.812      0.768      0.848 
38     1.0316       4644       1054         46        119      0.101      0.721      0.812      0.768      0.847 
39    0.97799       4644       1054         46        119      0.101      0.721      0.812      0.768      0.847 
40    0.98043       4645       1053         45        120      0.102      0.727      0.813      0.771      0.848 
41    0.98754       4645       1053         45        120      0.102      0.727      0.813      0.771      0.848 
42    0.98345       4645       1053         45        120      0.102      0.727      0.813      0.771      0.848 
43    0.99312       4645       1053         45        120      0.102      0.727      0.813      0.771      0.848 
44    0.96514       4645       1053         45        120      0.102      0.727      0.813      0.771      0.848 
45    0.96271       4646       1052         44        121      0.103      0.733      0.813      0.774      0.848 
46    0.98181       4647       1051         43        122      0.104      0.739      0.813      0.777      0.849 
47     1.0069       4647       1051         43        122      0.104      0.739      0.813      0.777      0.849 
48    0.97489       4647       1051         43        122      0.104      0.739      0.813      0.777      0.849 
49    0.97144       4647       1051         43        122      0.104      0.739      0.813      0.777      0.849 
50    0.96952       4646       1052         44        121      0.103      0.733      0.813      0.774      0.850 
51    0.98362       4647       1051         43        122      0.104      0.739      0.813      0.777      0.850 
52    0.98459       4648       1050         42        123      0.105      0.745      0.814      0.781      0.851 
53    0.97622       4647       1051         43        122      0.104      0.739      0.813      0.777      0.852 
54    0.94928       4648       1050         42        123      0.105      0.745      0.814      0.781      0.852 
55    0.96177       4649       1049         41        124      0.106      0.752      0.814      0.784      0.852 
56     0.9836       4648       1050         42        123      0.105      0.745      0.814      0.781      0.852 
57    0.96763       4649       1049         41        124      0.106      0.752      0.814      0.784      0.852 
58    0.95958       4648       1050         42        123      0.105      0.745      0.814      0.781      0.853 
59    0.97683       4648       1050         42        123      0.105      0.745      0.814      0.781      0.853 
60    0.97461       4649       1049         41        124      0.106      0.752      0.814      0.784      0.853 
61    0.96118       4648       1050         42        123      0.105      0.745      0.814      0.781      0.853 
62    0.98085       4648       1050         42        123      0.105      0.745      0.814      0.781      0.853 
63    0.96481       4647       1051         43        122      0.104      0.739      0.813      0.777      0.854 
64    0.96323       4646       1052         44        121      0.103      0.733      0.813      0.774      0.855 
65     0.9623       4646       1052         44        121      0.103      0.733      0.813      0.774      0.854 
66    0.95878       4646       1052         44        121      0.103      0.733      0.813      0.774      0.854 
67     1.0048       4647       1051         43        122      0.104      0.739      0.813      0.777      0.854 
68    0.98655       4647       1051         43        122      0.104      0.739      0.813      0.777      0.855 
69    0.96078       4647       1051         43        122      0.104      0.739      0.813      0.777      0.856 
70    0.97429       4646       1052         44        121      0.103      0.733      0.813      0.774      0.856 
71    0.96869       4646       1052         44        121      0.103      0.733      0.813      0.774      0.855 
72    0.96086       4647       1051         43        122      0.104      0.739      0.813      0.777      0.855 
73    0.97695       4647       1051         43        122      0.104      0.739      0.813      0.777      0.856 
74    0.96171       4647       1051         43        122      0.104      0.739      0.813      0.777      0.856 
75    0.97167       4647       1051         43        122      0.104      0.739      0.813      0.777      0.856 
76    0.96654       4647       1051         43        122      0.104      0.739      0.813      0.777      0.856 
77    0.96638       4647       1051         43        122      0.104      0.739      0.813      0.777      0.856 
78    0.96351       4647       1051         43        122      0.104      0.739      0.813      0.777      0.857 
79    0.94805       4647       1051         43        122      0.104      0.739      0.813      0.777      0.857 
80    0.95856       4647       1051         43        122      0.104      0.739      0.813      0.777      0.857 
81    0.95678       4647       1051         43        122      0.104      0.739      0.813      0.777      0.857 
82    0.96662       4647       1051         43        122      0.104      0.739      0.813      0.777      0.857 
83    0.94781       4647       1051         43        122      0.104      0.739      0.813      0.777      0.858 
84    0.92666       4646       1052         44        121      0.103      0.733      0.813      0.774      0.858 
85    0.95567       4646       1052         44        121      0.103      0.733      0.813      0.774      0.859 
86    0.94748       4646       1052         44        121      0.103      0.733      0.813      0.774      0.859 
87    0.95072       4647       1051         43        122      0.104      0.739      0.813      0.777      0.859 
88    0.92079       4647       1051         43        122      0.104      0.739      0.813      0.777      0.860 
89    0.95638       4647       1051         43        122      0.104      0.739      0.813      0.777      0.860 
90    0.95776       4647       1051         43        122      0.104      0.739      0.813      0.777      0.860 
91    0.96062       4646       1052         44        121      0.103      0.733      0.813      0.774      0.861 
