# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: phgcn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.3207        925        215         17         16      0.069      0.485      0.802      0.648      0.721 
Train:          1     1.3207       3703        855         49         83      0.088      0.629      0.807      0.721      0.789 
All:          1     1.3207       4624       1074         66         99      0.084      0.600      0.806      0.706      0.775 
Test:          2      1.253        930        210         15         18      0.079      0.545      0.808      0.681      0.749 
Train:          2      1.253       3705        853         47         85      0.091      0.644      0.808      0.728      0.809 
All:          2      1.253       4628       1070         62        103      0.088      0.624      0.807      0.718      0.797 
Test:          3     1.2496        933        207         15         18      0.080      0.545      0.811      0.682      0.747 
Train:          3     1.2496       3704        854         48         84      0.090      0.636      0.808      0.725      0.810 
All:          3     1.2496       4628       1070         62        103      0.088      0.624      0.807      0.718      0.797 
Test:          4     1.2364        930        210         16         17      0.075      0.515      0.807      0.665      0.734 
Train:          4     1.2364       3709        849         43         89      0.095      0.674      0.810      0.744      0.805 
All:          4     1.2364       4631       1067         59        106      0.090      0.642      0.808      0.728      0.791 
Test:          5     1.2105        927        213         17         16      0.070      0.485      0.804      0.649      0.715 
Train:          5     1.2105       3704        854         48         84      0.090      0.636      0.808      0.725      0.795 
All:          5     1.2105       4625       1073         65        100      0.085      0.606      0.806      0.709      0.779 
Test:          6      1.176        921        219         18         15      0.064      0.455      0.798      0.631      0.700 
Train:          6      1.176       3698        860         54         78      0.083      0.591      0.805      0.701      0.787 
All:          6      1.176       4618       1080         72         93      0.079      0.564      0.804      0.687      0.769 
Test:          7     1.1662        915        225         19         14      0.059      0.424      0.792      0.613      0.700 
Train:          7     1.1662       3701        857         51         81      0.086      0.614      0.806      0.713      0.789 
All:          7     1.1662       4620       1078         70         95      0.081      0.576      0.804      0.693      0.772 
Test:          8     1.1509        916        224         16         17      0.071      0.515      0.795      0.659      0.714 
Train:          8     1.1509       3705        853         47         85      0.091      0.644      0.808      0.728      0.801 
All:          8     1.1509       4627       1071         63        102      0.087      0.618      0.807      0.715      0.783 
Test:          9     1.1264        914        226         16         17      0.070      0.515      0.794      0.658      0.730 
Train:          9     1.1264       3710        848         42         90      0.096      0.682      0.810      0.748      0.813 
All:          9     1.1264       4632       1066         58        107      0.091      0.648      0.808      0.731      0.796 
Test:         10     1.0986        916        224         16         17      0.071      0.515      0.795      0.659      0.741 
Train:         10     1.0986       3711        847         41         91      0.097      0.689      0.811      0.752      0.822 
All:         10     1.0986       4633       1065         57        108      0.092      0.655      0.809      0.734      0.806 
Test:         11     1.0811        914        226         16         17      0.070      0.515      0.794      0.658      0.745 
Train:         11     1.0811       3712        846         40         92      0.098      0.697      0.811      0.756      0.826 
All:         11     1.0811       4634       1064         56        109      0.093      0.661      0.809      0.737      0.810 
Test:         12     1.0663        913        227         16         17      0.070      0.515      0.793      0.658      0.742 
Train:         12     1.0663       3714        844         38         94      0.100      0.712      0.812      0.763      0.827 
All:         12     1.0663       4636       1062         54        111      0.095      0.673      0.810      0.743      0.810 
Test:         13     1.0465        912        228         16         17      0.069      0.515      0.792      0.658      0.739 
Train:         13     1.0465       3712        846         40         92      0.098      0.697      0.811      0.756      0.827 
