# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: phgcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.3646       4624       1074         66         99      0.084      0.600      0.806      0.706      0.779 
2     1.2853       4631       1067         59        106      0.090      0.642      0.808      0.728      0.809 
3     1.2722       4634       1064         56        109      0.093      0.661      0.809      0.737      0.815 
4     1.2446       4633       1065         57        108      0.092      0.655      0.809      0.734      0.811 
5     1.2056       4632       1066         58        107      0.091      0.648      0.808      0.731      0.800 
6     1.1949       4629       1069         61        104      0.089      0.630      0.807      0.721      0.796 
7     1.2058       4630       1068         60        105      0.090      0.636      0.808      0.724      0.801 
8     1.1689       4632       1066         58        107      0.091      0.648      0.808      0.731      0.810 
9     1.1389       4632       1066         58        107      0.091      0.648      0.808      0.731      0.816 
10     1.1311       4634       1064         56        109      0.093      0.661      0.809      0.737      0.818 
11     1.0834       4634       1064         56        109      0.093      0.661      0.809      0.737      0.817 
12     1.0757       4635       1063         55        110      0.094      0.667      0.809      0.740      0.815 
13     1.0747       4635       1063         54        111      0.095      0.673      0.809      0.743      0.818 
14     1.0844       4636       1062         54        111      0.095      0.673      0.810      0.743      0.824 
15     1.0407       4638       1060         52        113      0.096      0.685      0.810      0.749      0.831 
16     1.0357       4638       1060         52        113      0.096      0.685      0.810      0.749      0.835 
17     1.0631       4638       1060         52        113      0.096      0.685      0.810      0.749      0.837 
18     1.0076       4639       1059         51        114      0.097      0.691      0.811      0.753      0.839 
19    0.99364       4641       1057         49        116      0.099      0.703      0.811      0.759      0.842 
20     1.0181       4642       1056         48        117      0.100      0.709      0.812      0.762      0.845 
21    0.99933       4641       1057         49        116      0.099      0.703      0.811      0.759      0.846 
22     1.0071       4642       1056         48        117      0.100      0.709      0.812      0.762      0.848 
23      1.025       4643       1055         47        118      0.101      0.715      0.812      0.765      0.848 
24     1.0095       4645       1053         45        120      0.102      0.727      0.813      0.771      0.849 
25     1.0286       4645       1053         45        120      0.102      0.727      0.813      0.771      0.850 
26     1.0205       4645       1053         45        120      0.102      0.727      0.813      0.771      0.850 
27    0.98647       4645       1053         45        120      0.102      0.727      0.813      0.771      0.850 
28    0.95502       4645       1053         45        120      0.102      0.727      0.813      0.771      0.851 
29    0.99342       4645       1053         45        120      0.102      0.727      0.813      0.771      0.852 
30    0.98937       4646       1052         44        121      0.103      0.733      0.813      0.774      0.852 
31     1.0141       4646       1052         44        121      0.103      0.733      0.813      0.774      0.852 
32    0.96806       4645       1053         45        120      0.102      0.727      0.813      0.771      0.852 
33    0.95191       4646       1052         44        121      0.103      0.733      0.813      0.774      0.852 
34    0.98919       4647       1051         43        122      0.104      0.739      0.813      0.777      0.852 
35     0.9717       4647       1051         43        122      0.104      0.739      0.813      0.777      0.852 
36    0.95273       4646       1052         44        121      0.103      0.733      0.813      0.774      0.852 
37     0.9813       4645       1053         45        120      0.102      0.727      0.813      0.771      0.852 
38    0.99105       4644       1054         46        119      0.101      0.721      0.812      0.768      0.852 
39    0.95981       4645       1053         45        120      0.102      0.727      0.813      0.771      0.853 
40    0.95888       4646       1052         44        121      0.103      0.733      0.813      0.774      0.853 
41     0.9865       4646       1052         44        121      0.103      0.733      0.813      0.774      0.853 
42    0.95792       4645       1053         45        120      0.102      0.727      0.813      0.771      0.854 
43    0.92703       4647       1051         43        122      0.104      0.739      0.813      0.777      0.854 
44    0.96504       4648       1050         42        123      0.105      0.745      0.814      0.781      0.854 
45    0.97452       4648       1050         42        123      0.105      0.745      0.814      0.781      0.855 
46    0.97711       4648       1050         42        123      0.105      0.745      0.814      0.781      0.855 
47    0.95089       4649       1049         41        124      0.106      0.752      0.814      0.784      0.855 
48    0.98289       4646       1052         44        121      0.103      0.733      0.813      0.774      0.855 
49    0.95947       4648       1050         42        123      0.105      0.745      0.814      0.781      0.856 
50    0.93786       4649       1049         41        124      0.106      0.752      0.814      0.784      0.856 
51    0.93831       4649       1049         41        124      0.106      0.752      0.814      0.784      0.857 
52    0.98769       4649       1049         41        124      0.106      0.752      0.814      0.784      0.857 
53    0.94348       4649       1049         41        124      0.106      0.752      0.814      0.784      0.857 
54    0.96846       4649       1049         41        124      0.106      0.752      0.814      0.784      0.857 
55    0.95833       4649       1049         41        124      0.106      0.752      0.814      0.784      0.858 
56    0.97034       4648       1050         42        123      0.105      0.745      0.814      0.781      0.858 
57    0.94515       4646       1052         44        121      0.103      0.733      0.813      0.774      0.858 
58    0.97499       4646       1052         44        121      0.103      0.733      0.813      0.774      0.858 
59    0.94494       4646       1052         44        121      0.103      0.733      0.813      0.774      0.859 
60    0.92295       4645       1053         45        120      0.102      0.727      0.813      0.771      0.859 
61    0.94377       4645       1053         45        120      0.102      0.727      0.813      0.771      0.858 
62    0.93735       4646       1052         44        121      0.103      0.733      0.813      0.774      0.858 
63    0.93165       4646       1052         44        121      0.103      0.733      0.813      0.774      0.858 
64    0.91994       4647       1051         43        122      0.104      0.739      0.813      0.777      0.858 
65    0.95599       4646       1052         44        121      0.103      0.733      0.813      0.774      0.859 
66    0.94635       4646       1052         44        121      0.103      0.733      0.813      0.774      0.859 
67    0.92578       4647       1051         43        122      0.104      0.739      0.813      0.777      0.859 
68    0.93585       4647       1051         43        122      0.104      0.739      0.813      0.777      0.861 
69    0.93256       4648       1050         42        123      0.105      0.745      0.814      0.781      0.861 
70    0.97021       4646       1052         44        121      0.103      0.733      0.813      0.774      0.861 
71    0.93514       4647       1051         43        122      0.104      0.739      0.813      0.777      0.860 
72     0.9296       4648       1050         42        123      0.105      0.745      0.814      0.781      0.860 
73    0.93565       4649       1049         41        124      0.106      0.752      0.814      0.784      0.862 
74    0.94959       4650       1048         40        125      0.107      0.758      0.814      0.787      0.862 
75    0.93556       4650       1048         40        125      0.107      0.758      0.814      0.787      0.862 
76    0.93464       4650       1048         40        125      0.107      0.758      0.814      0.787      0.862 
77     0.9503       4651       1047         39        126      0.107      0.764      0.815      0.790      0.861 
78    0.94441       4650       1048         40        125      0.107      0.758      0.814      0.787      0.862 
79    0.95353       4651       1047         39        126      0.107      0.764      0.815      0.790      0.862 
80    0.94211       4651       1047         39        126      0.107      0.764      0.815      0.790      0.862 
81    0.93152       4649       1049         41        124      0.106      0.752      0.814      0.784      0.862 
82    0.93795       4650       1048         40        125      0.107      0.758      0.814      0.787      0.862 
83    0.93902       4649       1049         41        124      0.106      0.752      0.814      0.784      0.862 
84    0.93467       4650       1048         39        126      0.107      0.764      0.815      0.790      0.863 
85     0.9431       4650       1048         40        125      0.107      0.758      0.814      0.787      0.863 
86    0.95062       4650       1048         40        125      0.107      0.758      0.814      0.787      0.863 
87    0.91475       4649       1049         41        124      0.106      0.752      0.814      0.784      0.863 
88    0.92211       4648       1050         42        123      0.105      0.745      0.814      0.781      0.863 
89    0.94299       4648       1050         42        123      0.105      0.745      0.814      0.781      0.863 
90    0.93604       4648       1050         42        123      0.105      0.745      0.814      0.781      0.864 
91    0.92145       4648       1050         42        123      0.105      0.745      0.814      0.781      0.864 
92    0.93472       4648       1050         42        123      0.105      0.745      0.814      0.781      0.863 
93    0.94806       4647       1051         43        122      0.104      0.739      0.813      0.777      0.863 
94    0.92941       4647       1051         43        122      0.104      0.739      0.813      0.777      0.863 
95     0.9466       4648       1050         42        123      0.105      0.745      0.814      0.781      0.864 
96    0.92463       4648       1050         42        123      0.105      0.745      0.814      0.781      0.864 
97    0.91161       4649       1049         41        124      0.106      0.752      0.814      0.784      0.865 
