# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: phgcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.3111       3709        849         43         89      0.095      0.674      0.810      0.744      0.803 
2     1.2631       3710        848         42         90      0.096      0.682      0.810      0.748      0.805 
3     1.2352       3706        852         46         86      0.092      0.652      0.809      0.732      0.800 
4     1.2226       3707        851         45         87      0.093      0.659      0.809      0.736      0.804 
5     1.1937       3708        850         44         88      0.094      0.667      0.809      0.740      0.811 
6     1.1614       3709        849         43         89      0.095      0.674      0.810      0.744      0.817 
7     1.1719       3711        847         41         91      0.097      0.689      0.811      0.752      0.820 
8     1.1125       3708        850         44         88      0.094      0.667      0.809      0.740      0.819 
9     1.1029       3709        849         43         89      0.095      0.674      0.810      0.744      0.823 
10     1.0797       3712        846         40         92      0.098      0.697      0.811      0.756      0.830 
11     1.0734       3713        845         39         93      0.099      0.705      0.812      0.760      0.835 
12     1.0423       3713        845         39         93      0.099      0.705      0.812      0.760      0.838 
13     1.0105       3714        844         38         94      0.100      0.712      0.812      0.763      0.841 
14    0.99862       3715        843         37         95      0.101      0.720      0.812      0.767      0.845 
15     1.0323       3714        844         38         94      0.100      0.712      0.812      0.763      0.848 
16    0.96735       3717        841         35         97      0.103      0.735      0.813      0.775      0.849 
17     1.0153       3716        842         36         96      0.102      0.727      0.813      0.771      0.850 
18     1.0092       3716        842         36         96      0.102      0.727      0.813      0.771      0.851 
19      1.039       3716        842         36         96      0.102      0.727      0.813      0.771      0.852 
20     1.0007       3716        842         36         96      0.102      0.727      0.813      0.771      0.853 
21    0.98849       3716        842         36         96      0.102      0.727      0.813      0.771      0.853 
22     1.0007       3715        843         37         95      0.101      0.720      0.812      0.767      0.854 
23     1.0034       3715        843         37         95      0.101      0.720      0.812      0.767      0.854 
24    0.97453       3716        842         36         96      0.102      0.727      0.813      0.771      0.854 
25     0.9859       3716        842         36         96      0.102      0.727      0.813      0.771      0.855 
26    0.96649       3717        841         35         97      0.103      0.735      0.813      0.775      0.856 
27    0.94655       3717        841         35         97      0.103      0.735      0.813      0.775      0.856 
28      0.986       3718        840         34         98      0.104      0.742      0.814      0.779      0.856 
29    0.97283       3718        840         34         98      0.104      0.742      0.814      0.779      0.856 
30    0.98442       3717        841         35         97      0.103      0.735      0.813      0.775      0.856 
31    0.95441       3716        842         36         96      0.102      0.727      0.813      0.771      0.856 
32    0.97097       3716        842         36         96      0.102      0.727      0.813      0.771      0.857 
33     0.9812       3717        841         35         97      0.103      0.735      0.813      0.775      0.857 
34    0.95815       3717        841         35         97      0.103      0.735      0.813      0.775      0.858 
35    0.96289       3718        840         34         98      0.104      0.742      0.814      0.779      0.859 
36    0.93359       3718        840         34         98      0.104      0.742      0.814      0.779      0.860 
37    0.93839       3718        840         34         98      0.104      0.742      0.814      0.779      0.860 
38    0.94959       3718        840         34         98      0.104      0.742      0.814      0.779      0.861 
39    0.98418       3718        840         34         98      0.104      0.742      0.814      0.779      0.861 
40    0.93768       3718        840         34         98      0.104      0.742      0.814      0.779      0.861 
41    0.93636       3718        840         34         98      0.104      0.742      0.814      0.779      0.862 
42    0.91139       3718        840         34         98      0.104      0.742      0.814      0.779      0.862 
43    0.93387       3718        840         34         98      0.104      0.742      0.814      0.779      0.863 
44    0.92523       3718        840         34         98      0.104      0.742      0.814      0.779      0.863 
45    0.93415       3717        841         35         97      0.103      0.735      0.813      0.775      0.863 
46    0.92138       3718        840         34         98      0.104      0.742      0.814      0.779      0.864 
47    0.89307       3719        839         33         99      0.106      0.750      0.814      0.783      0.865 
48     0.9351       3719        839         33         99      0.106      0.750      0.814      0.783      0.866 
49    0.90771       3719        839         33         99      0.106      0.750      0.814      0.783      0.866 
50    0.91706       3720        838         32        100      0.107      0.758      0.814      0.787      0.866 
51    0.95227       3720        838         32        100      0.107      0.758      0.814      0.787      0.867 
52    0.92866       3718        840         34         98      0.104      0.742      0.814      0.779      0.867 
53    0.92978       3719        839         33         99      0.106      0.750      0.814      0.783      0.868 
54    0.92185       3719        839         33         99      0.106      0.750      0.814      0.783      0.868 
55    0.92379       3720        838         32        100      0.107      0.758      0.814      0.787      0.868 
56    0.91133       3720        838         32        100      0.107      0.758      0.814      0.787      0.868 
57    0.92129       3720        838         32        100      0.107      0.758      0.814      0.787      0.869 
58    0.91838       3722        836         30        102      0.109      0.773      0.815      0.795      0.870 
59    0.91689       3721        837         31        101      0.108      0.765      0.815      0.791      0.870 
60    0.90666       3721        837         31        101      0.108      0.765      0.815      0.791      0.869 
61    0.90059       3720        838         32        100      0.107      0.758      0.814      0.787      0.870 
62    0.88131       3720        838         32        100      0.107      0.758      0.814      0.787      0.871 
63    0.91894       3719        839         33         99      0.106      0.750      0.814      0.783      0.871 
64    0.93169       3721        837         31        101      0.108      0.765      0.815      0.791      0.870 
65    0.89032       3721        837         31        101      0.108      0.765      0.815      0.791      0.871 
66    0.89634       3720        838         32        100      0.107      0.758      0.814      0.787      0.872 
67    0.89524       3721        837         31        101      0.108      0.765      0.815      0.791      0.872 
68    0.90511       3719        839         33         99      0.106      0.750      0.814      0.783      0.872 
69    0.88682       3719        839         33         99      0.106      0.750      0.814      0.783      0.872 
70    0.92675       3719        839         33         99      0.106      0.750      0.814      0.783      0.872 
71    0.91939       3720        838         32        100      0.107      0.758      0.814      0.787      0.873 
72    0.93563       3720        838         32        100      0.107      0.758      0.814      0.787      0.873 
73    0.91163       3721        837         31        101      0.108      0.765      0.815      0.791      0.873 
74    0.91686       3721        837         31        101      0.108      0.765      0.815      0.791      0.873 
75      0.927       3719        839         32        100      0.106      0.758      0.814      0.787      0.873 
76    0.90598       3719        839         33         99      0.106      0.750      0.814      0.783      0.874 
77    0.88671       3719        839         33         99      0.106      0.750      0.814      0.783      0.874 
78    0.89721       3719        839         33         99      0.106      0.750      0.814      0.783      0.874 
79    0.89201       3717        841         35         97      0.103      0.735      0.813      0.775      0.873 
80    0.91541       3717        841         35         97      0.103      0.735      0.813      0.775      0.873 
81    0.92223       3718        840         34         98      0.104      0.742      0.814      0.779      0.873 
82    0.88617       3719        839         33         99      0.106      0.750      0.814      0.783      0.874 
83    0.87646       3719        839         33         99      0.106      0.750      0.814      0.783      0.874 
84    0.91706       3718        840         34         98      0.104      0.742      0.814      0.779      0.874 
85    0.90833       3717        841         35         97      0.103      0.735      0.813      0.775      0.873 
86    0.93444       3720        838         32        100      0.107      0.758      0.814      0.787      0.874 
87    0.89553       3719        839         32        100      0.106      0.758      0.814      0.787      0.875 
88    0.88932       3720        838         32        100      0.107      0.758      0.814      0.787      0.875 
89    0.90661       3721        837         31        101      0.108      0.765      0.815      0.791      0.875 
90    0.89848       3719        839         33         99      0.106      0.750      0.814      0.783      0.875 
91     0.8776       3720        838         32        100      0.107      0.758      0.814      0.787      0.875 
92    0.91169       3720        838         32        100      0.107      0.758      0.814      0.787      0.875 
93    0.91664       3721        837         31        101      0.108      0.765      0.815      0.791      0.876 
94    0.90943       3721        837         31        101      0.108      0.765      0.815      0.791      0.876 
95    0.89495       3721        837         31        101      0.108      0.765      0.815      0.791      0.875 
96    0.89259       3721        837         31        101      0.108      0.765      0.815      0.791      0.875 
97    0.90413       3721        837         31        101      0.108      0.765      0.815      0.791      0.875 
98    0.89081       3721        837         31        101      0.108      0.765      0.815      0.791      0.875 
99    0.89884       3721        837         31        101      0.108      0.765      0.815      0.791      0.875 
100    0.89569       3721        837         31        101      0.108      0.765      0.815      0.791      0.876 
101    0.89201       3721        837         31        101      0.108      0.765      0.815      0.791      0.876 
102    0.90277       3722        836         30        102      0.109      0.773      0.815      0.795      0.877 
103    0.88737       3722        836         30        102      0.109      0.773      0.815      0.795      0.877 
104    0.88796       3723        835         29        103      0.110      0.780      0.816      0.799      0.877 
105    0.90391       3722        836         30        102      0.109      0.773      0.815      0.795      0.877 
106    0.90795       3721        837         31        101      0.108      0.765      0.815      0.791      0.877 
107    0.90155       3720        838         32        100      0.107      0.758      0.814      0.787      0.876 
108    0.88341       3721        837         31        101      0.108      0.765      0.815      0.791      0.876 
109    0.88593       3721        837         31        101      0.108      0.765      0.815      0.791      0.877 
110    0.88805       3721        837         31        101      0.108      0.765      0.815      0.791      0.877 
111    0.88125       3722        836         30        102      0.109      0.773      0.815      0.795      0.877 
112     0.9145       3722        836         30        102      0.109      0.773      0.815      0.795      0.877 
113     0.8964       3722        836         30        102      0.109      0.773      0.815      0.795      0.878 
