# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: sage.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.6034       4545       1153        145         20      0.017      0.121      0.779      0.459      0.351 
2     1.5585       4550       1148        140         25      0.021      0.152      0.780      0.475      0.401 
3     1.4831       4561       1137        129         36      0.031      0.218      0.784      0.509      0.466 
4      1.425       4568       1130        122         43      0.037      0.261      0.786      0.531      0.543 
5     1.3482       4582       1116        108         57      0.049      0.345      0.791      0.575      0.634 
6     1.3058       4601       1097         89         76      0.065      0.461      0.798      0.634      0.704 
7     1.2698       4614       1084         76         89      0.076      0.539      0.802      0.675      0.733 
8     1.2281       4613       1085         77         88      0.075      0.533      0.802      0.671      0.742 
9     1.1774       4612       1086         78         87      0.074      0.527      0.801      0.668      0.743 
10     1.2023       4615       1083         75         90      0.077      0.545      0.802      0.678      0.742 
11     1.2006       4615       1083         75         90      0.077      0.545      0.802      0.678      0.742 
12     1.2078       4614       1084         76         89      0.076      0.539      0.802      0.675      0.742 
13     1.1634       4614       1084         76         89      0.076      0.539      0.802      0.675      0.745 
14       1.21       4615       1083         75         90      0.077      0.545      0.802      0.678      0.752 
15     1.1845       4619       1079         71         94      0.080      0.570      0.804      0.690      0.761 
16     1.1739       4619       1079         71         94      0.080      0.570      0.804      0.690      0.768 
17     1.1435       4620       1078         70         95      0.081      0.576      0.804      0.693      0.772 
18     1.1626       4621       1077         69         96      0.082      0.582      0.805      0.696      0.777 
19      1.212       4624       1074         66         99      0.084      0.600      0.806      0.706      0.780 
20     1.1493       4627       1071         63        102      0.087      0.618      0.807      0.715      0.786 
21     1.1325       4628       1070         62        103      0.088      0.624      0.807      0.718      0.792 
22      1.124       4629       1069         61        104      0.089      0.630      0.807      0.721      0.798 
23     1.1206       4630       1068         60        105      0.090      0.636      0.808      0.724      0.803 
24     1.1114       4630       1068         60        105      0.090      0.636      0.808      0.724      0.807 
25     1.1188       4631       1067         59        106      0.090      0.642      0.808      0.728      0.809 
26     1.0718       4632       1066         58        107      0.091      0.648      0.808      0.731      0.810 
27     1.0978       4633       1065         57        108      0.092      0.655      0.809      0.734      0.812 
28     1.1327       4634       1064         56        109      0.093      0.661      0.809      0.737      0.813 
29     1.1009       4635       1063         55        110      0.094      0.667      0.809      0.740      0.815 
30     1.0913       4635       1063         55        110      0.094      0.667      0.809      0.740      0.817 
31     1.1149       4636       1062         54        111      0.095      0.673      0.810      0.743      0.818 
32     1.1165       4636       1062         54        111      0.095      0.673      0.810      0.743      0.820 
33     1.1462       4637       1061         53        112      0.095      0.679      0.810      0.746      0.822 
34     1.1137       4638       1060         52        113      0.096      0.685      0.810      0.749      0.823 
35     1.0939       4637       1061         53        112      0.095      0.679      0.810      0.746      0.825 
36      1.101       4638       1060         52        113      0.096      0.685      0.810      0.749      0.825 
37     1.0645       4639       1059         51        114      0.097      0.691      0.811      0.753      0.825 
38     1.1067       4637       1061         53        112      0.095      0.679      0.810      0.746      0.825 
39     1.1281       4637       1061         53        112      0.095      0.679      0.810      0.746      0.825 
40     1.1238       4638       1060         52        113      0.096      0.685      0.810      0.749      0.826 
41     1.0925       4638       1060         52        113      0.096      0.685      0.810      0.749      0.827 
42     1.1246       4640       1058         50        115      0.098      0.697      0.811      0.756      0.829 
43     1.0848       4641       1057         49        116      0.099      0.703      0.811      0.759      0.831 
44     1.0789       4641       1057         49        116      0.099      0.703      0.811      0.759      0.832 
45     1.0906       4641       1057         49        116      0.099      0.703      0.811      0.759      0.833 
46     1.0906       4641       1057         49        116      0.099      0.703      0.811      0.759      0.833 
47      1.079       4638       1060         52        113      0.096      0.685      0.810      0.749      0.833 
48     1.0683       4638       1060         52        113      0.096      0.685      0.810      0.749      0.833 
49     1.0604       4638       1060         52        113      0.096      0.685      0.810      0.749      0.833 
50     1.0715       4638       1060         52        113      0.096      0.685      0.810      0.749      0.834 
51     1.0749       4638       1060         52        113      0.096      0.685      0.810      0.749      0.835 
52     1.0837       4639       1059         51        114      0.097      0.691      0.811      0.753      0.836 
53     1.0327       4639       1059         51        114      0.097      0.691      0.811      0.753      0.838 
54     1.0749       4640       1058         50        115      0.098      0.697      0.811      0.756      0.839 
55     1.0728       4640       1058         50        115      0.098      0.697      0.811      0.756      0.840 
56     1.0634       4641       1057         49        116      0.099      0.703      0.811      0.759      0.841 
57     1.0624       4642       1056         48        117      0.100      0.709      0.812      0.762      0.842 
58     1.0882       4641       1057         49        116      0.099      0.703      0.811      0.759      0.842 
59     1.0384       4641       1057         49        116      0.099      0.703      0.811      0.759      0.842 
60     1.0341       4642       1056         48        117      0.100      0.709      0.812      0.762      0.843 
61     1.0387       4642       1056         48        117      0.100      0.709      0.812      0.762      0.844 
62     1.0737       4642       1056         48        117      0.100      0.709      0.812      0.762      0.845 
63     1.0344       4642       1056         48        117      0.100      0.709      0.812      0.762      0.847 
64     1.0633       4642       1056         48        117      0.100      0.709      0.812      0.762      0.848 
65     1.0432       4643       1055         47        118      0.101      0.715      0.812      0.765      0.849 
66     1.0495       4643       1055         47        118      0.101      0.715      0.812      0.765      0.850 
67     1.0255       4643       1055         47        118      0.101      0.715      0.812      0.765      0.850 
68     1.0378       4643       1055         47        118      0.101      0.715      0.812      0.765      0.851 
69     1.0571       4644       1054         46        119      0.101      0.721      0.812      0.768      0.851 
70     1.0644       4647       1051         43        122      0.104      0.739      0.813      0.777      0.852 
71     1.0409       4648       1050         42        123      0.105      0.745      0.814      0.781      0.853 
72      1.055       4648       1050         42        123      0.105      0.745      0.814      0.781      0.854 
73     1.0168       4647       1051         43        122      0.104      0.739      0.813      0.777      0.855 
74     1.0363       4648       1050         42        123      0.105      0.745      0.814      0.781      0.855 
75     1.0367       4649       1049         41        124      0.106      0.752      0.814      0.784      0.856 
76     1.0298       4650       1048         40        125      0.107      0.758      0.814      0.787      0.856 
77     1.0476       4650       1048         40        125      0.107      0.758      0.814      0.787      0.857 
78     1.0263       4650       1048         40        125      0.107      0.758      0.814      0.787      0.857 
79     1.0481       4651       1047         39        126      0.107      0.764      0.815      0.790      0.858 
80     1.0577       4651       1047         39        126      0.107      0.764      0.815      0.790      0.858 
81     1.0204       4652       1046         38        127      0.108      0.770      0.815      0.793      0.859 
82     1.0354       4652       1046         38        127      0.108      0.770      0.815      0.793      0.859 
83     1.0144       4652       1046         38        127      0.108      0.770      0.815      0.793      0.860 
84     1.0116       4653       1045         37        128      0.109      0.776      0.815      0.796      0.860 
85     1.0653       4654       1044         36        129      0.110      0.782      0.816      0.799      0.861 
86     1.0302       4653       1045         37        128      0.109      0.776      0.815      0.796      0.861 
87     1.0149       4653       1045         37        128      0.109      0.776      0.815      0.796      0.862 
88      1.047       4652       1046         38        127      0.108      0.770      0.815      0.793      0.862 
89     1.0129       4652       1046         38        127      0.108      0.770      0.815      0.793      0.863 
90     1.0476       4652       1046         38        127      0.108      0.770      0.815      0.793      0.863 
91    0.99729       4652       1046         38        127      0.108      0.770      0.815      0.793      0.864 
92     1.0057       4652       1046         38        127      0.108      0.770      0.815      0.793      0.865 
93     1.0237       4652       1046         38        127      0.108      0.770      0.815      0.793      0.865 
94     1.0162       4652       1046         38        127      0.108      0.770      0.815      0.793      0.865 
95     1.0069       4653       1045         37        128      0.109      0.776      0.815      0.796      0.865 
96    0.98304       4653       1045         37        128      0.109      0.776      0.815      0.796      0.865 
97    0.98626       4652       1046         38        127      0.108      0.770      0.815      0.793      0.865 
98     1.0591       4652       1046         38        127      0.108      0.770      0.815      0.793      0.866 
99    0.98634       4651       1047         39        126      0.107      0.764      0.815      0.790      0.866 
100     1.0218       4651       1047         39        126      0.107      0.764      0.815      0.790      0.866 
101     1.0059       4651       1047         39        126      0.107      0.764      0.815      0.790      0.866 
102     1.0366       4651       1047         39        126      0.107      0.764      0.815      0.790      0.866 
103     1.0002       4651       1047         39        126      0.107      0.764      0.815      0.790      0.866 
104    0.99464       4653       1045         37        128      0.109      0.776      0.815      0.796      0.866 
105     1.0392       4653       1045         37        128      0.109      0.776      0.815      0.796      0.866 
106     1.0075       4653       1045         37        128      0.109      0.776      0.815      0.796      0.867 
107    0.98826       4653       1045         37        128      0.109      0.776      0.815      0.796      0.867 
108      1.041       4654       1044         36        129      0.110      0.782      0.816      0.799      0.868 
109    0.98928       4654       1044         36        129      0.110      0.782      0.816      0.799      0.868 
110    0.98015       4654       1044         36        129      0.110      0.782      0.816      0.799      0.869 
111     1.0173       4654       1044         36        129      0.110      0.782      0.816      0.799      0.869 
112     1.0257       4655       1043         35        130      0.111      0.788      0.816      0.802      0.869 
113     1.0094       4655       1043         35        130      0.111      0.788      0.816      0.802      0.870 
114     1.0414       4655       1043         35        130      0.111      0.788      0.816      0.802      0.870 
115    0.99078       4656       1042         34        131      0.112      0.794      0.816      0.806      0.871 
116    0.97486       4657       1041         33        132      0.113      0.800      0.817      0.809      0.871 
117     1.0058       4657       1041         33        132      0.113      0.800      0.817      0.809      0.871 
118     1.0207       4657       1041         33        132      0.113      0.800      0.817      0.809      0.871 
119     1.0361       4657       1041         33        132      0.113      0.800      0.817      0.809      0.872 
120    0.98305       4657       1041         33        132      0.113      0.800      0.817      0.809      0.872 
121    0.99712       4658       1040         32        133      0.113      0.806      0.817      0.812      0.873 
122      1.005       4658       1040         32        133      0.113      0.806      0.817      0.812      0.873 
123    0.96457       4658       1040         32        133      0.113      0.806      0.817      0.812      0.873 
124     1.0069       4658       1040         32        133      0.113      0.806      0.817      0.812      0.874 
125     1.0108       4657       1041         33        132      0.113      0.800      0.817      0.809      0.874 
126    0.98145       4658       1040         32        133      0.113      0.806      0.817      0.812      0.874 
127     1.0081       4658       1040         32        133      0.113      0.806      0.817      0.812      0.874 
128     1.0124       4657       1041         33        132      0.113      0.800      0.817      0.809      0.874 
129    0.98631       4657       1041         33        132      0.113      0.800      0.817      0.809      0.874 
130     1.0065       4657       1041         33        132      0.113      0.800      0.817      0.809      0.874 
131     1.0014       4657       1041         33        132      0.113      0.800      0.817      0.809      0.874 
132    0.99367       4657       1041         33        132      0.113      0.800      0.817      0.809      0.875 
133    0.98974       4657       1041         33        132      0.113      0.800      0.817      0.809      0.875 
134     1.0325       4658       1040         32        133      0.113      0.806      0.817      0.812      0.875 
135     0.9834       4657       1041         33        132      0.113      0.800      0.817      0.809      0.875 
136     1.0066       4657       1041         33        132      0.113      0.800      0.817      0.809      0.875 
137    0.99308       4657       1041         33        132      0.113      0.800      0.817      0.809      0.876 
138     1.0074       4657       1041         33        132      0.113      0.800      0.817      0.809      0.876 
139     1.0042       4657       1041         33        132      0.113      0.800      0.817      0.809      0.876 
140    0.97866       4657       1041         33        132      0.113      0.800      0.817      0.809      0.877 
141    0.98374       4657       1041         33        132      0.113      0.800      0.817      0.809      0.877 
