# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: sage.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.2992       3696        862         56         76      0.081      0.576      0.804      0.693      0.728 
2     1.2368       3698        860         54         78      0.083      0.591      0.805      0.701      0.745 
3     1.2112       3697        861         55         77      0.082      0.583      0.805      0.697      0.749 
4     1.2477       3696        862         56         76      0.081      0.576      0.804      0.693      0.748 
5     1.2234       3697        861         55         77      0.082      0.583      0.805      0.697      0.751 
6     1.1689       3699        859         53         79      0.084      0.598      0.806      0.705      0.759 
7     1.1681       3699        859         53         79      0.084      0.598      0.806      0.705      0.765 
8     1.1929       3702        856         50         82      0.087      0.621      0.807      0.717      0.772 
9     1.1691       3701        857         51         81      0.086      0.614      0.806      0.713      0.776 
10     1.1681       3702        856         50         82      0.087      0.621      0.807      0.717      0.779 
11      1.152       3702        856         50         82      0.087      0.621      0.807      0.717      0.781 
12     1.1658       3702        856         50         82      0.087      0.621      0.807      0.717      0.784 
13     1.1403       3702        856         50         82      0.087      0.621      0.807      0.717      0.789 
14     1.1515       3703        855         49         83      0.088      0.629      0.807      0.721      0.794 
15     1.1966       3704        854         48         84      0.090      0.636      0.808      0.725      0.800 
16     1.1581       3702        856         50         82      0.087      0.621      0.807      0.717      0.804 
17     1.1246       3703        855         49         83      0.088      0.629      0.807      0.721      0.808 
18     1.1461       3705        853         47         85      0.091      0.644      0.808      0.728      0.811 
19     1.1178       3705        853         47         85      0.091      0.644      0.808      0.728      0.815 
20      1.144       3708        850         44         88      0.094      0.667      0.809      0.740      0.818 
21     1.1164       3709        849         43         89      0.095      0.674      0.810      0.744      0.821 
22     1.1179       3708        850         44         88      0.094      0.667      0.809      0.740      0.824 
23     1.1287       3708        850         44         88      0.094      0.667      0.809      0.740      0.826 
24     1.1062       3708        850         44         88      0.094      0.667      0.809      0.740      0.827 
25      1.119       3708        850         44         88      0.094      0.667      0.809      0.740      0.827 
26     1.1219       3707        851         45         87      0.093      0.659      0.809      0.736      0.828 
27      1.139       3707        851         45         87      0.093      0.659      0.809      0.736      0.830 
28     1.0968       3707        851         45         87      0.093      0.659      0.809      0.736      0.832 
29     1.1142       3707        851         45         87      0.093      0.659      0.809      0.736      0.834 
30     1.0786       3707        851         45         87      0.093      0.659      0.809      0.736      0.835 
31      1.096       3707        851         45         87      0.093      0.659      0.809      0.736      0.836 
32     1.1483       3707        851         45         87      0.093      0.659      0.809      0.736      0.836 
33     1.0754       3708        850         44         88      0.094      0.667      0.809      0.740      0.836 
34     1.0925       3708        850         44         88      0.094      0.667      0.809      0.740      0.837 
35     1.1277       3709        849         43         89      0.095      0.674      0.810      0.744      0.837 
36     1.0897       3709        849         43         89      0.095      0.674      0.810      0.744      0.838 
37     1.1128       3711        847         41         91      0.097      0.689      0.811      0.752      0.840 
38      1.123       3711        847         41         91      0.097      0.689      0.811      0.752      0.842 
39     1.0703       3712        846         40         92      0.098      0.697      0.811      0.756      0.844 
40     1.1243       3712        846         40         92      0.098      0.697      0.811      0.756      0.845 
41     1.0889       3712        846         40         92      0.098      0.697      0.811      0.756      0.846 
42     1.0809       3713        845         39         93      0.099      0.705      0.812      0.760      0.847 
43     1.0958       3713        845         39         93      0.099      0.705      0.812      0.760      0.848 
44     1.0935       3714        844         38         94      0.100      0.712      0.812      0.763      0.849 
45     1.0886       3714        844         38         94      0.100      0.712      0.812      0.763      0.851 
46     1.0949       3715        843         37         95      0.101      0.720      0.812      0.767      0.852 
47     1.0841       3716        842         36         96      0.102      0.727      0.813      0.771      0.854 
48     1.1181       3717        841         35         97      0.103      0.735      0.813      0.775      0.854 
49     1.0648       3718        840         34         98      0.104      0.742      0.814      0.779      0.855 
50     1.1244       3718        840         34         98      0.104      0.742      0.814      0.779      0.855 
51     1.1179       3718        840         34         98      0.104      0.742      0.814      0.779      0.856 
52     1.0757       3717        841         35         97      0.103      0.735      0.813      0.775      0.857 
53     1.0796       3717        841         35         97      0.103      0.735      0.813      0.775      0.858 
54     1.0794       3718        840         34         98      0.104      0.742      0.814      0.779      0.859 
55     1.0874       3717        841         35         97      0.103      0.735      0.813      0.775      0.859 
56     1.0633       3719        839         33         99      0.106      0.750      0.814      0.783      0.859 
57     1.0732       3720        838         32        100      0.107      0.758      0.814      0.787      0.859 
58     1.0614       3720        838         32        100      0.107      0.758      0.814      0.787      0.859 
59     1.0625       3720        838         32        100      0.107      0.758      0.814      0.787      0.860 
60     1.0848       3719        839         33         99      0.106      0.750      0.814      0.783      0.861 
61     1.0602       3719        839         33         99      0.106      0.750      0.814      0.783      0.862 
62      1.073       3720        838         32        100      0.107      0.758      0.814      0.787      0.862 
63     1.0626       3719        839         33         99      0.106      0.750      0.814      0.783      0.863 
64     1.0756       3718        840         34         98      0.104      0.742      0.814      0.779      0.863 
65     1.0596       3718        840         34         98      0.104      0.742      0.814      0.779      0.864 
66     1.0593       3718        840         34         98      0.104      0.742      0.814      0.779      0.864 
67     1.0794       3719        839         33         99      0.106      0.750      0.814      0.783      0.865 
68     1.0588       3720        838         32        100      0.107      0.758      0.814      0.787      0.866 
69     1.0312       3720        838         32        100      0.107      0.758      0.814      0.787      0.866 
70     1.0366       3722        836         30        102      0.109      0.773      0.815      0.795      0.866 
71     1.0808       3721        837         31        101      0.108      0.765      0.815      0.791      0.866 
72     1.0511       3721        837         31        101      0.108      0.765      0.815      0.791      0.867 
73     1.0783       3720        838         32        100      0.107      0.758      0.814      0.787      0.867 
74      1.081       3722        836         30        102      0.109      0.773      0.815      0.795      0.868 
75     1.0454       3723        835         29        103      0.110      0.780      0.816      0.799      0.869 
76      1.096       3723        835         29        103      0.110      0.780      0.816      0.799      0.870 
77     1.0861       3724        834         28        104      0.111      0.788      0.816      0.802      0.870 
78     1.0892       3724        834         28        104      0.111      0.788      0.816      0.802      0.870 
79     1.0706       3725        833         27        105      0.112      0.795      0.817      0.806      0.870 
80     1.0811       3725        833         27        105      0.112      0.795      0.817      0.806      0.871 
81     1.0546       3725        833         27        105      0.112      0.795      0.817      0.806      0.871 
82     1.0365       3726        832         26        106      0.113      0.803      0.817      0.810      0.872 
83     1.0813       3726        832         26        106      0.113      0.803      0.817      0.810      0.872 
84     1.0377       3726        832         26        106      0.113      0.803      0.817      0.810      0.872 
85     1.0478       3727        831         25        107      0.114      0.811      0.817      0.814      0.872 
86     1.0516       3727        831         25        107      0.114      0.811      0.817      0.814      0.872 
87     1.0582       3726        832         26        106      0.113      0.803      0.817      0.810      0.872 
88      1.053       3726        832         26        106      0.113      0.803      0.817      0.810      0.872 
89     1.0157       3726        832         26        106      0.113      0.803      0.817      0.810      0.872 
90     1.0533       3727        831         25        107      0.114      0.811      0.817      0.814      0.873 
91     1.0405       3727        831         25        107      0.114      0.811      0.817      0.814      0.873 
92     1.0726       3727        831         25        107      0.114      0.811      0.817      0.814      0.872 
93     1.0575       3725        833         27        105      0.112      0.795      0.817      0.806      0.872 
94     1.0386       3724        834         28        104      0.111      0.788      0.816      0.802      0.872 
95     1.0755       3724        834         28        104      0.111      0.788      0.816      0.802      0.872 
