# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: sage.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.4103        914        226         17         16      0.066      0.485      0.793      0.643      0.680 
Train:          1     1.4103       3668        890         84         48      0.051      0.364      0.792      0.584      0.637 
All:          1     1.4103       4589       1109        101         64      0.055      0.388      0.794      0.597      0.645 
Test:          2     1.3617        938        202         15         18      0.082      0.545      0.815      0.684      0.708 
Train:          2     1.3617       3678        880         74         58      0.062      0.439      0.797      0.623      0.667 
All:          2     1.3617       4601       1097         89         76      0.065      0.461      0.798      0.634      0.676 
Test:          3     1.3411        926        214         15         18      0.078      0.545      0.805      0.679      0.742 
Train:          3     1.3411       3680        878         72         60      0.064      0.455      0.797      0.631      0.697 
All:          3     1.3411       4603       1095         87         78      0.066      0.473      0.798      0.640      0.706 
Test:          4     1.3252        923        217         14         19      0.081      0.576      0.803      0.693      0.764 
Train:          4     1.3252       3685        873         67         65      0.069      0.492      0.800      0.650      0.711 
All:          4     1.3252       4609       1089         81         84      0.072      0.509      0.800      0.659      0.721 
Test:          5     1.3002        921        219         13         20      0.084      0.606      0.802      0.707      0.770 
Train:          5     1.3002       3686        872         66         66      0.070      0.500      0.800      0.654      0.711 
All:          5     1.3002       4611       1087         79         86      0.073      0.521      0.801      0.665      0.723 
Test:          6     1.2861        922        218         13         20      0.084      0.606      0.803      0.707      0.772 
Train:          6     1.2861       3687        871         65         67      0.071      0.508      0.800      0.658      0.709 
All:          6     1.2861       4612       1086         78         87      0.074      0.527      0.801      0.668      0.722 
Test:          7      1.271        926        214         13         20      0.085      0.606      0.806      0.709      0.771 
Train:          7      1.271       3688        870         64         68      0.072      0.515      0.801      0.662      0.705 
All:          7      1.271       4613       1085         77         88      0.075      0.533      0.802      0.671      0.719 
Test:          8     1.2413        927        213         13         20      0.086      0.606      0.807      0.710      0.778 
Train:          8     1.2413       3689        869         63         69      0.074      0.523      0.801      0.666      0.709 
All:          8     1.2413       4614       1084         76         89      0.076      0.539      0.802      0.675      0.723 
Test:          9      1.253        926        214         13         20      0.085      0.606      0.806      0.709      0.786 
Train:          9      1.253       3692        866         60         72      0.077      0.545      0.803      0.678      0.714 
All:          9      1.253       4617       1081         73         92      0.078      0.558      0.803      0.684      0.729 
Test:         10     1.2693        925        215         13         20      0.085      0.606      0.806      0.709      0.796 
Train:         10     1.2693       3693        865         59         73      0.078      0.553      0.803      0.682      0.721 
All:         10     1.2693       4618       1080         72         93      0.079      0.564      0.804      0.687      0.736 
Test:         11      1.235        921        219         12         21      0.087      0.636      0.803      0.722      0.804 
Train:         11      1.235       3694        864         58         74      0.079      0.561      0.803      0.686      0.727 
All:         11      1.235       4620       1078         70         95      0.081      0.576      0.804      0.693      0.743 
Test:         12     1.2198        921        219         12         21      0.087      0.636      0.803      0.722      0.816 
Train:         12     1.2198       3694        864         58         74      0.079      0.561      0.803      0.686      0.738 
All:         12     1.2198       4620       1078         70         95      0.081      0.576      0.804      0.693      0.754 
Test:         13     1.1824        921        219         11         22      0.091      0.667      0.804      0.737      0.824 
Train:         13     1.1824       3693        865         59         73      0.078      0.553      0.803      0.682      0.745 
