# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gat.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.2521       3520        772        232        166      0.177      0.417      0.786      0.619      0.688 
2     1.2033       3528        764        224        174      0.186      0.437      0.789      0.630      0.696 
3     1.2109       3527        765        225        173      0.184      0.435      0.789      0.628      0.702 
4     1.1976       3527        765        225        173      0.184      0.435      0.789      0.628      0.704 
5     1.2046       3529        763        223        175      0.187      0.440      0.790      0.631      0.706 
6     1.1798       3525        767        227        171      0.182      0.430      0.788      0.625      0.707 
7      1.177       3529        763        223        175      0.187      0.440      0.790      0.631      0.709 
8     1.1735       3531        761        221        177      0.189      0.445      0.791      0.634      0.710 
9     1.1683       3533        759        219        179      0.191      0.450      0.791      0.636      0.712 
10     1.1619       3527        765        225        173      0.184      0.435      0.789      0.628      0.712 
11     1.1625       3523        769        229        169      0.180      0.425      0.787      0.623      0.712 
12     1.1648       3519        773        233        165      0.176      0.415      0.786      0.617      0.713 
13      1.171       3519        773        233        165      0.176      0.415      0.786      0.617      0.714 
14      1.157       3518        774        234        164      0.175      0.412      0.785      0.616      0.714 
15      1.148       3521        771        231        167      0.178      0.420      0.786      0.620      0.713 
16     1.1556       3523        769        229        169      0.180      0.425      0.787      0.623      0.714 
17     1.1501       3526        766        226        172      0.183      0.432      0.788      0.627      0.714 
18     1.1424       3524        768        228        170      0.181      0.427      0.788      0.624      0.714 
19     1.1498       3525        767        227        171      0.182      0.430      0.788      0.625      0.714 
20      1.161       3524        768        228        170      0.181      0.427      0.788      0.624      0.715 
21     1.1487       3524        768        228        170      0.181      0.427      0.788      0.624      0.716 
22     1.1445       3523        769        229        169      0.180      0.425      0.787      0.623      0.717 
23     1.1453       3521        771        231        167      0.178      0.420      0.786      0.620      0.718 
24     1.1455       3521        771        231        167      0.178      0.420      0.786      0.620      0.720 
25     1.1437       3523        769        229        169      0.180      0.425      0.787      0.623      0.721 
26     1.1454       3528        764        224        174      0.186      0.437      0.789      0.630      0.721 
27     1.1354       3531        761        221        177      0.189      0.445      0.791      0.634      0.722 
28     1.1324       3532        760        220        178      0.190      0.447      0.791      0.635      0.722 
29     1.1431       3531        761        221        177      0.189      0.445      0.791      0.634      0.722 
30     1.1384       3534        758        218        180      0.192      0.452      0.792      0.638      0.722 
31     1.1299       3532        760        220        178      0.190      0.447      0.791      0.635      0.723 
32     1.1339       3535        757        217        181      0.193      0.455      0.792      0.639      0.723 
33     1.1307       3535        757        217        181      0.193      0.455      0.792      0.639      0.723 
34     1.1325       3536        756        216        182      0.194      0.457      0.793      0.641      0.723 
35     1.1347       3537        755        215        183      0.195      0.460      0.793      0.642      0.723 
36     1.1378       3536        756        216        182      0.194      0.457      0.793      0.641      0.724 
37     1.1315       3536        756        216        182      0.194      0.457      0.793      0.641      0.724 
38     1.1331       3535        757        217        181      0.193      0.455      0.792      0.639      0.724 
39     1.1281       3534        758        218        180      0.192      0.452      0.792      0.638      0.724 
40      1.136       3537        755        215        183      0.195      0.460      0.793      0.642      0.725 
41     1.1342       3537        755        214        184      0.196      0.462      0.793      0.643      0.725 
42     1.1243       3534        758        218        180      0.192      0.452      0.792      0.638      0.725 
43     1.1349       3537        755        215        183      0.195      0.460      0.793      0.642      0.726 
44     1.1314       3537        755        215        183      0.195      0.460      0.793      0.642      0.726 
45     1.1276       3538        754        214        184      0.196      0.462      0.794      0.643      0.726 
46     1.1294       3539        753        213        185      0.197      0.465      0.794      0.645      0.726 
47     1.1237       3538        754        214        184      0.196      0.462      0.794      0.643      0.726 
48     1.1238       3539        753        213        185      0.197      0.465      0.794      0.645      0.727 
49     1.1284       3538        754        214        184      0.196      0.462      0.794      0.643      0.727 
50      1.119       3541        751        211        187      0.199      0.470      0.795      0.647      0.727 
51     1.1259       3542        750        210        188      0.200      0.472      0.795      0.649      0.727 
52     1.1304       3539        753        213        185      0.197      0.465      0.794      0.645      0.727 
53     1.1249       3540        752        212        186      0.198      0.467      0.794      0.646      0.728 
54     1.1303       3540        752        212        186      0.198      0.467      0.794      0.646      0.728 
55     1.1329       3543        749        209        189      0.201      0.475      0.796      0.650      0.728 
56      1.127       3542        750        210        188      0.200      0.472      0.795      0.649      0.728 
57     1.1261       3542        750        210        188      0.200      0.472      0.795      0.649      0.728 
58     1.1182       3541        751        211        187      0.199      0.470      0.795      0.647      0.728 
59     1.1323       3542        750        210        188      0.200      0.472      0.795      0.649      0.729 
60     1.1256       3544        748        208        190      0.203      0.477      0.796      0.652      0.729 
61      1.131       3545        747        207        191      0.204      0.480      0.797      0.653      0.729 
62     1.1294       3544        748        208        190      0.203      0.477      0.796      0.652      0.729 
63     1.1211       3546        746        206        192      0.205      0.482      0.797      0.654      0.729 
64     1.1279       3545        747        207        191      0.204      0.480      0.797      0.653      0.730 
65      1.125       3544        748        208        190      0.203      0.477      0.796      0.652      0.730 
66     1.1298       3544        748        208        190      0.203      0.477      0.796      0.652      0.730 
67     1.1259       3546        746        206        192      0.205      0.482      0.797      0.654      0.730 
68     1.1319       3545        747        207        191      0.204      0.480      0.797      0.653      0.730 
69     1.1214       3545        747        207        191      0.204      0.480      0.797      0.653      0.730 
70     1.1224       3547        745        205        193      0.206      0.485      0.797      0.656      0.730 
71     1.1182       3546        746        206        192      0.205      0.482      0.797      0.654      0.730 
72     1.1205       3544        748        208        190      0.203      0.477      0.796      0.652      0.731 
73     1.1188       3544        748        208        190      0.203      0.477      0.796      0.652      0.730 
74     1.1206       3543        749        209        189      0.201      0.475      0.796      0.650      0.730 
75     1.1264       3544        748        208        190      0.203      0.477      0.796      0.652      0.731 
76     1.1289       3545        747        207        191      0.204      0.480      0.797      0.653      0.731 
77      1.136       3545        747        207        191      0.204      0.480      0.797      0.653      0.731 
78      1.133       3545        747        207        191      0.204      0.480      0.797      0.653      0.731 
79     1.1184       3546        746        206        192      0.205      0.482      0.797      0.654      0.731 
80     1.1226       3546        746        206        192      0.205      0.482      0.797      0.654      0.731 
81      1.116       3544        748        208        190      0.203      0.477      0.796      0.652      0.731 
82     1.1184       3546        746        206        192      0.205      0.482      0.797      0.654      0.732 
83      1.119       3545        747        207        191      0.204      0.480      0.797      0.653      0.732 
84      1.129       3546        746        206        192      0.205      0.482      0.797      0.654      0.731 
85     1.1275       3546        746        206        192      0.205      0.482      0.797      0.654      0.731 
86     1.1193       3543        749        209        189      0.201      0.475      0.796      0.650      0.732 
87     1.1155       3543        749        209        189      0.201      0.475      0.796      0.650      0.732 
88     1.1201       3543        749        209        189      0.201      0.475      0.796      0.650      0.732 
89     1.1253       3547        745        205        193      0.206      0.485      0.797      0.656      0.732 
90     1.1277       3546        746        206        192      0.205      0.482      0.797      0.654      0.732 
91     1.1202       3546        746        206        192      0.205      0.482      0.797      0.654      0.732 
92     1.1231       3547        745        205        193      0.206      0.485      0.797      0.656      0.733 
93     1.1223       3548        744        204        194      0.207      0.487      0.798      0.657      0.733 
94     1.1201       3548        744        204        194      0.207      0.487      0.798      0.657      0.733 
95     1.1209       3545        747        207        191      0.204      0.480      0.797      0.653      0.733 
96     1.1226       3548        744        204        194      0.207      0.487      0.798      0.657      0.734 
