# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gat.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.2507       4338       1027        352        146      0.124      0.293      0.765      0.551      0.615 
2       1.22       4363       1002        327        171      0.146      0.343      0.773      0.578      0.646 
3     1.2123       4371        994        319        179      0.153      0.359      0.776      0.587      0.661 
4     1.1798       4382        983        308        190      0.162      0.382      0.780      0.599      0.673 
5     1.1746       4395        970        295        203      0.173      0.408      0.784      0.613      0.686 
6     1.1698       4406        959        284        214      0.182      0.430      0.788      0.625      0.696 
7     1.1481       4407        958        283        215      0.183      0.432      0.788      0.627      0.704 
8     1.1543       4413        952        277        221      0.188      0.444      0.790      0.633      0.709 
9      1.144       4411        954        279        219      0.187      0.440      0.790      0.631      0.711 
10     1.1407       4410        955        280        218      0.186      0.438      0.789      0.630      0.712 
11     1.1567       4411        954        279        219      0.187      0.440      0.790      0.631      0.712 
12     1.1449       4409        956        281        217      0.185      0.436      0.789      0.629      0.712 
13     1.1503       4407        958        283        215      0.183      0.432      0.788      0.627      0.712 
14     1.1548       4406        959        284        214      0.182      0.430      0.788      0.625      0.712 
15     1.1534       4409        956        281        217      0.185      0.436      0.789      0.629      0.712 
16     1.1446       4408        957        282        216      0.184      0.434      0.789      0.628      0.712 
17      1.139       4408        957        282        216      0.184      0.434      0.789      0.628      0.712 
18     1.1435       4414        951        276        222      0.189      0.446      0.791      0.634      0.713 
19     1.1432       4415        950        275        223      0.190      0.448      0.791      0.635      0.713 
20     1.1467       4419        946        271        227      0.194      0.456      0.792      0.640      0.714 
21     1.1456       4421        944        269        229      0.195      0.460      0.793      0.642      0.715 
22      1.157       4420        945        270        228      0.194      0.458      0.793      0.641      0.715 
23     1.1435       4421        944        269        229      0.195      0.460      0.793      0.642      0.716 
24     1.1379       4424        941        265        233      0.198      0.468      0.794      0.646      0.718 
25     1.1353       4426        939        264        234      0.199      0.470      0.795      0.647      0.718 
26     1.1335       4427        938        263        235      0.200      0.472      0.795      0.649      0.719 
27     1.1408       4426        939        264        234      0.199      0.470      0.795      0.647      0.719 
28     1.1278       4427        938        263        235      0.200      0.472      0.795      0.649      0.719 
29     1.1397       4426        939        264        234      0.199      0.470      0.795      0.647      0.719 
30      1.132       4422        943        268        230      0.196      0.462      0.793      0.643      0.719 
31     1.1424       4423        942        267        231      0.197      0.464      0.794      0.644      0.719 
32     1.1369       4423        942        267        231      0.197      0.464      0.794      0.644      0.719 
33     1.1302       4422        943        268        230      0.196      0.462      0.793      0.643      0.719 
34     1.1319       4422        943        268        230      0.196      0.462      0.793      0.643      0.720 
35      1.143       4423        942        267        231      0.197      0.464      0.794      0.644      0.720 
36     1.1336       4423        942        267        231      0.197      0.464      0.794      0.644      0.720 
37     1.1374       4422        943        268        230      0.196      0.462      0.793      0.643      0.721 
38     1.1351       4423        942        267        231      0.197      0.464      0.794      0.644      0.721 
39     1.1283       4423        942        267        231      0.197      0.464      0.794      0.644      0.722 
40     1.1379       4423        942        267        231      0.197      0.464      0.794      0.644      0.722 
41     1.1213       4424        941        266        232      0.198      0.466      0.794      0.645      0.722 
42     1.1243       4429        936        261        237      0.202      0.476      0.796      0.651      0.722 
43     1.1328       4429        936        261        237      0.202      0.476      0.796      0.651      0.723 
44     1.1192       4428        937        262        236      0.201      0.474      0.795      0.650      0.723 
45     1.1314       4429        936        261        237      0.202      0.476      0.796      0.651      0.723 
46     1.1354       4430        935        260        238      0.203      0.478      0.796      0.652      0.723 
47     1.1339       4430        935        260        238      0.203      0.478      0.796      0.652      0.724 
48       1.12       4434        931        256        242      0.206      0.486      0.798      0.656      0.724 
49     1.1346       4432        933        258        240      0.205      0.482      0.797      0.654      0.724 
50     1.1304       4433        932        257        241      0.205      0.484      0.797      0.655      0.724 
51     1.1316       4432        933        258        240      0.205      0.482      0.797      0.654      0.724 
52     1.1303       4429        936        261        237      0.202      0.476      0.796      0.651      0.724 
53     1.1211       4428        937        262        236      0.201      0.474      0.795      0.650      0.724 
54     1.1321       4429        936        261        237      0.202      0.476      0.796      0.651      0.725 
55     1.1264       4430        935        260        238      0.203      0.478      0.796      0.652      0.725 
56     1.1165       4430        935        260        238      0.203      0.478      0.796      0.652      0.725 
57     1.1284       4430        935        260        238      0.203      0.478      0.796      0.652      0.726 
58     1.1261       4429        936        261        237      0.202      0.476      0.796      0.651      0.726 
59       1.13       4429        936        261        237      0.202      0.476      0.796      0.651      0.726 
60      1.115       4428        937        262        236      0.201      0.474      0.795      0.650      0.727 
61     1.1256       4428        937        262        236      0.201      0.474      0.795      0.650      0.727 
62     1.1187       4428        937        262        236      0.201      0.474      0.795      0.650      0.727 
63      1.117       4428        937        262        236      0.201      0.474      0.795      0.650      0.728 
64     1.1259       4427        938        263        235      0.200      0.472      0.795      0.649      0.728 
65     1.1259       4429        936        261        237      0.202      0.476      0.796      0.651      0.727 
66     1.1235       4431        934        259        239      0.204      0.480      0.797      0.653      0.727 
67     1.1307       4432        933        258        240      0.205      0.482      0.797      0.654      0.727 
68     1.1178       4430        935        260        238      0.203      0.478      0.796      0.652      0.727 
69     1.1137       4431        934        259        239      0.204      0.480      0.797      0.653      0.727 
70      1.126       4427        938        263        235      0.200      0.472      0.795      0.649      0.727 
71     1.1195       4428        937        262        236      0.201      0.474      0.795      0.650      0.727 
72     1.1219       4429        936        261        237      0.202      0.476      0.796      0.651      0.727 
73     1.1288       4431        934        259        239      0.204      0.480      0.797      0.653      0.727 
74     1.1272       4431        934        259        239      0.204      0.480      0.797      0.653      0.726 
75     1.1194       4430        935        260        238      0.203      0.478      0.796      0.652      0.726 
76     1.1209       4427        938        263        235      0.200      0.472      0.795      0.649      0.726 
77     1.1199       4427        938        263        235      0.200      0.472      0.795      0.649      0.726 
78      1.121       4430        935        260        238      0.203      0.478      0.796      0.652      0.726 
79     1.1141       4428        937        262        236      0.201      0.474      0.795      0.650      0.726 
80     1.1127       4429        936        261        237      0.202      0.476      0.796      0.651      0.726 
81     1.1185       4430        935        260        238      0.203      0.478      0.796      0.652      0.726 
82     1.1263       4429        936        261        237      0.202      0.476      0.796      0.651      0.727 
83     1.1252       4427        938        263        235      0.200      0.472      0.795      0.649      0.727 
84     1.1174       4428        937        262        236      0.201      0.474      0.795      0.650      0.728 
85      1.117       4428        937        262        236      0.201      0.474      0.795      0.650      0.728 
86      1.112       4430        935        260        238      0.203      0.478      0.796      0.652      0.729 
87     1.1223       4430        935        260        238      0.203      0.478      0.796      0.652      0.729 
88     1.1125       4428        937        262        236      0.201      0.474      0.795      0.650      0.729 
89     1.1215       4429        936        261        237      0.202      0.476      0.796      0.651      0.729 
90     1.1088       4427        938        263        235      0.200      0.472      0.795      0.649      0.729 
91     1.1207       4426        939        264        234      0.199      0.470      0.795      0.647      0.729 
92     1.1194       4429        936        261        237      0.202      0.476      0.796      0.651      0.729 
93     1.1072       4428        937        262        236      0.201      0.474      0.795      0.650      0.729 
94     1.1137       4429        936        261        237      0.202      0.476      0.796      0.651      0.729 
95      1.121       4429        936        261        237      0.202      0.476      0.796      0.651      0.729 
96     1.1242       4428        937        262        236      0.201      0.474      0.795      0.650      0.729 
97     1.1092       4431        934        259        239      0.204      0.480      0.797      0.653      0.729 
98     1.1097       4431        934        259        239      0.204      0.480      0.797      0.653      0.729 
99     1.1093       4429        936        261        237      0.202      0.476      0.796      0.651      0.729 
100     1.1195       4432        933        258        240      0.205      0.482      0.797      0.654      0.729 
101     1.1262       4433        932        257        241      0.205      0.484      0.797      0.655      0.729 
102     1.1161       4434        931        256        242      0.206      0.486      0.798      0.656      0.729 
103     1.1132       4435        930        255        243      0.207      0.488      0.798      0.657      0.729 
104     1.1164       4436        929        254        244      0.208      0.490      0.798      0.658      0.729 
105     1.1059       4435        930        255        243      0.207      0.488      0.798      0.657      0.729 
106     1.1192       4435        930        255        243      0.207      0.488      0.798      0.657      0.729 
107     1.1123       4435        930        255        243      0.207      0.488      0.798      0.657      0.729 
108     1.1121       4435        930        255        243      0.207      0.488      0.798      0.657      0.729 
109     1.1187       4435        930        255        243      0.207      0.488      0.798      0.657      0.729 
110      1.112       4434        931        256        242      0.206      0.486      0.798      0.656      0.729 
111     1.1124       4434        931        256        242      0.206      0.486      0.798      0.656      0.729 
