# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gat.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.9577        865        208         93          7      0.033      0.070      0.743      0.438      0.409 
Train:          1     1.9577       3386        906        366         32      0.034      0.080      0.729      0.435      0.387 
All:          1     1.9577       4232       1133        458         40      0.034      0.080      0.729      0.435      0.391 
Test:          2     1.7527        864        209         92          8      0.037      0.080      0.743      0.443      0.424 
Train:          2     1.7527       3388        904        364         34      0.036      0.085      0.730      0.437      0.408 
All:          2     1.7527       4234       1131        456         42      0.036      0.084      0.729      0.437      0.411 
Test:          3     1.6074        867        206         90         10      0.046      0.100      0.748      0.454      0.430 
Train:          3     1.6074       3395        897        357         41      0.044      0.103      0.733      0.447      0.424 
All:          3     1.6074       4244       1121        446         52      0.044      0.104      0.733      0.448      0.425 
Test:          4     1.5547        871        202         87         13      0.060      0.130      0.754      0.471      0.430 
Train:          4     1.5547       3401        891        351         47      0.050      0.118      0.735      0.455      0.435 
All:          4     1.5547       4252       1113        438         60      0.051      0.120      0.735      0.457      0.434 
Test:          5     1.4917        866        207         85         15      0.068      0.150      0.751      0.479      0.429 
Train:          5     1.4917       3407        885        345         53      0.057      0.133      0.738      0.463      0.449 
All:          5     1.4917       4264       1101        426         72      0.061      0.145      0.740      0.470      0.445 
Test:          6     1.4081        864        209         81         19      0.083      0.190      0.753      0.498      0.434 
Train:          6     1.4081       3416        876        336         62      0.066      0.156      0.742      0.476      0.467 
All:          6     1.4081       4273       1092        417         81      0.069      0.163      0.743      0.480      0.461 
Test:          7      1.396        854        219         81         19      0.080      0.190      0.744      0.493      0.442 
Train:          7      1.396       3426        866        326         72      0.077      0.181      0.746      0.490      0.489 
All:          7      1.396       4283       1082        407         91      0.078      0.183      0.746      0.491      0.480 
Test:          8     1.3561        856        217         80         20      0.084      0.200      0.747      0.499      0.453 
Train:          8     1.3561       3436        856        316         82      0.087      0.206      0.750      0.503      0.512 
All:          8     1.3561       4293       1072        396        102      0.087      0.205      0.750      0.503      0.500 
Test:          9      1.342        861        212         79         21      0.090      0.210      0.752      0.506      0.466 
Train:          9      1.342       3452        840        300         98      0.104      0.246      0.757      0.525      0.536 
All:          9      1.342       4311       1054        379        119      0.101      0.239      0.756      0.521      0.522 
Test:         10     1.3223        869        204         76         24      0.105      0.240      0.761      0.525      0.483 
Train:         10     1.3223       3463        829        289        109      0.116      0.274      0.762      0.540      0.561 
All:         10     1.3223       4325       1040        365        133      0.113      0.267      0.760      0.537      0.545 
Test:         11     1.2917        879        194         76         24      0.110      0.240      0.770      0.530      0.502 
Train:         11     1.2917       3474        818        278        120      0.128      0.302      0.766      0.555      0.585 
All:         11     1.2917       4340       1025        350        148      0.126      0.297      0.765      0.553      0.569 
Test:         12     1.2874        876        197         74         26      0.117      0.260      0.769      0.538      0.527 
Train:         12     1.2874       3482        810        270        128      0.136      0.322      0.770      0.566      0.606 
All:         12     1.2874       4347       1018        343        155      0.132      0.311      0.768      0.561      0.590 
Test:         13     1.2756        871        202         73         27      0.118      0.270      0.766      0.541      0.549 
Train:         13     1.2756       3486        806        266        132      0.141      0.332      0.771      0.572      0.623 
All:         13     1.2756       4352       1013        338        160      0.136      0.321      0.770      0.566      0.609 
Test:         14     1.2609        863        210         74         26      0.110      0.260      0.758      0.532      0.568 
Train:         14     1.2609       3496        796        256        142      0.151      0.357      0.776      0.586      0.636 
All:         14     1.2609       4360       1005        330        168      0.143      0.337      0.772      0.575      0.623 
Test:         15     1.2362        859        214         72         28      0.116      0.280      0.756      0.540      0.586 
Train:         15     1.2362       3498        794        254        144      0.154      0.362      0.777      0.588      0.646 
All:         15     1.2362       4364       1001        326        172      0.147      0.345      0.774      0.579      0.635 
Test:         16     1.2298        858        215         73         27      0.112      0.270      0.754      0.535      0.599 
Train:         16     1.2298       3494        798        258        140      0.149      0.352      0.775      0.583      0.654 
All:         16     1.2298       4359       1006        331        167      0.142      0.335      0.772      0.574      0.643 
Test:         17     1.2262        853        220         71         29      0.116      0.290      0.752      0.542      0.608 
Train:         17     1.2262       3495        797        257        141      0.150      0.354      0.775      0.584      0.660 
All:         17     1.2262       4358       1007        332        166      0.142      0.333      0.772      0.573      0.650 
Test:         18     1.2218        854        219         71         29      0.117      0.290      0.753      0.543      0.614 
Train:         18     1.2218       3497        795        255        143      0.152      0.359      0.776      0.587      0.665 
All:         18     1.2218       4360       1005        330        168      0.143      0.337      0.772      0.575      0.655 
Test:         19      1.218        859        214         73         27      0.112      0.270      0.755      0.535      0.621 
Train:         19      1.218       3496        796        256        142      0.151      0.357      0.776      0.586      0.669 
All:         19      1.218       4360       1005        330        168      0.143      0.337      0.772      0.575      0.659 
Test:         20     1.2072        862        211         72         28      0.117      0.280      0.759      0.542      0.627 
Train:         20     1.2072       3499        793        253        145      0.155      0.364      0.777      0.590      0.671 
All:         20     1.2072       4365       1000        325        173      0.147      0.347      0.774      0.580      0.663 
Test:         21     1.2044        862        211         73         27      0.113      0.270      0.758      0.537      0.631 
Train:         21     1.2044       3500        792        252        146      0.156      0.367      0.777      0.591      0.674 
All:         21     1.2044       4365       1000        325        173      0.147      0.347      0.774      0.580      0.665 
Test:         22     1.1999        858        215         72         28      0.115      0.280      0.755      0.540      0.635 
Train:         22     1.1999       3503        789        249        149      0.159      0.374      0.779      0.595      0.676 
All:         22     1.1999       4367        998        323        175      0.149      0.351      0.775      0.583      0.668 
Test:         23     1.1996        861        212         71         29      0.120      0.290      0.759      0.546      0.638 
Train:         23     1.1996       3503        789        249        149      0.159      0.374      0.779      0.595      0.677 
All:         23     1.1996       4369        996        321        177      0.151      0.355      0.775      0.585      0.670 
Test:         24     1.1975        862        211         70         30      0.124      0.300      0.760      0.552      0.641 
Train:         24     1.1975       3501        791        251        147      0.157      0.369      0.778      0.593      0.678 
All:         24     1.1975       4367        998        323        175      0.149      0.351      0.775      0.583      0.671 
Test:         25     1.1944        866        207         70         30      0.127      0.300      0.764      0.554      0.643 
Train:         25     1.1944       3502        790        250        148      0.158      0.372      0.778      0.594      0.680 
All:         25     1.1944       4370        995        320        178      0.152      0.357      0.776      0.586      0.672 
