# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gat3h.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.4012       4366        999        324        174      0.148      0.349      0.774      0.582      0.656 
2     1.2498       4367        998        323        175      0.149      0.351      0.775      0.583      0.677 
3       1.26       4370        995        320        178      0.152      0.357      0.776      0.586      0.687 
4     1.1934       4379        986        311        187      0.159      0.376      0.779      0.596      0.696 
5     1.1782       4380        985        310        188      0.160      0.378      0.779      0.597      0.682 
6     1.1731       4350       1015        340        158      0.135      0.317      0.769      0.564      0.645 
7     1.1926       4350       1015        340        158      0.135      0.317      0.769      0.564      0.638 
8     1.1769       4356       1009        334        164      0.140      0.329      0.771      0.571      0.653 
9     1.1702       4370        995        320        178      0.152      0.357      0.776      0.586      0.678 
10     1.1591       4395        970        295        203      0.173      0.408      0.784      0.613      0.699 
11     1.1727       4408        957        282        216      0.184      0.434      0.789      0.628      0.712 
12     1.1485       4417        948        273        225      0.192      0.452      0.792      0.638      0.717 
13     1.1598       4421        944        269        229      0.195      0.460      0.793      0.642      0.719 
14     1.1598       4421        944        269        229      0.195      0.460      0.793      0.642      0.721 
15     1.1489       4417        948        273        225      0.192      0.452      0.792      0.638      0.721 
16     1.1374       4415        950        275        223      0.190      0.448      0.791      0.635      0.719 
17     1.1448       4412        953        278        220      0.188      0.442      0.790      0.632      0.718 
18     1.1129       4407        958        283        215      0.183      0.432      0.788      0.627      0.718 
19     1.1569       4410        955        280        218      0.186      0.438      0.789      0.630      0.720 
20     1.1229       4415        950        275        223      0.190      0.448      0.791      0.635      0.722 
21     1.1285       4417        948        273        225      0.192      0.452      0.792      0.638      0.723 
22     1.1401       4416        949        274        224      0.191      0.450      0.791      0.636      0.723 
23     1.1415       4414        951        276        222      0.189      0.446      0.791      0.634      0.723 
24     1.1426       4414        951        276        222      0.189      0.446      0.791      0.634      0.722 
25     1.1193       4410        955        280        218      0.186      0.438      0.789      0.630      0.721 
