# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gat3h.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     2.0767        872        201         62         38      0.159      0.380      0.776      0.596      0.636 
Train:          1     2.0767       3491        801        261        137      0.146      0.344      0.774      0.579      0.633 
All:          1     2.0767       4366        999        324        174      0.148      0.349      0.774      0.582      0.633 
Test:          2      1.418        864        209         60         40      0.161      0.400      0.771      0.603      0.676 
Train:          2      1.418       3496        796        256        142      0.151      0.357      0.776      0.586      0.675 
All:          2      1.418       4371        994        319        179      0.153      0.359      0.776      0.587      0.676 
Test:          3     1.2655        865        208         62         38      0.154      0.380      0.770      0.593      0.688 
Train:          3     1.2655       3501        791        251        147      0.157      0.369      0.778      0.593      0.685 
All:          3     1.2655       4376        989        314        184      0.157      0.369      0.778      0.593      0.686 
Test:          4     1.2482        869        204         62         38      0.157      0.380      0.773      0.595      0.695 
Train:          4     1.2482       3503        789        249        149      0.159      0.374      0.779      0.595      0.689 
All:          4     1.2482       4379        986        311        187      0.159      0.376      0.779      0.596      0.691 
Test:          5      1.235        869        204         62         38      0.157      0.380      0.773      0.595      0.699 
Train:          5      1.235       3508        784        244        154      0.164      0.387      0.781      0.602      0.692 
All:          5      1.235       4383        982        307        191      0.163      0.384      0.780      0.600      0.694 
Test:          6     1.2306        874        199         62         38      0.160      0.380      0.777      0.597      0.702 
Train:          6     1.2306       3510        782        242        156      0.166      0.392      0.782      0.605      0.695 
All:          6     1.2306       4386        979        304        194      0.165      0.390      0.781      0.604      0.696 
Test:          7     1.2398        875        198         61         39      0.165      0.390      0.779      0.603      0.705 
Train:          7     1.2398       3509        783        243        155      0.165      0.389      0.781      0.604      0.697 
All:          7     1.2398       4386        979        304        194      0.165      0.390      0.781      0.604      0.698 
Test:          8     1.2178        876        197         60         40      0.169      0.400      0.781      0.608      0.708 
Train:          8     1.2178       3510        782        242        156      0.166      0.392      0.782      0.605      0.698 
All:          8     1.2178       4388        977        302        196      0.167      0.394      0.782      0.606      0.700 
Test:          9     1.2429        875        198         59         41      0.172      0.410      0.781      0.613      0.711 
Train:          9     1.2429       3509        783        243        155      0.165      0.389      0.781      0.604      0.699 
All:          9     1.2429       4388        977        302        196      0.167      0.394      0.782      0.606      0.702 
Test:         10     1.2263        875        198         59         41      0.172      0.410      0.781      0.613      0.713 
Train:         10     1.2263       3510        782        242        156      0.166      0.392      0.782      0.605      0.700 
All:         10     1.2263       4388        977        302        196      0.167      0.394      0.782      0.606      0.703 
Test:         11     1.2166        875        198         58         42      0.175      0.420      0.782      0.618      0.716 
Train:         11     1.2166       3512        780        240        158      0.168      0.397      0.783      0.608      0.702 
All:         11     1.2166       4392        973        298        200      0.171      0.402      0.783      0.610      0.705 
Test:         12     1.2007        875        198         59         41      0.172      0.410      0.781      0.613      0.719 
Train:         12     1.2007       3514        778        238        160      0.171      0.402      0.783      0.610      0.704 
All:         12     1.2007       4392        973        298        200      0.171      0.402      0.783      0.610      0.707 
Test:         13     1.1924        877        196         58         42      0.176      0.420      0.783      0.619      0.722 
Train:         13     1.1924       3515        777        237        161      0.172      0.405      0.784      0.612      0.706 
All:         13     1.1924       4394        971        296        202      0.172      0.406      0.784      0.612      0.709 
Test:         14     1.2178        880        193         57         43      0.182      0.430      0.787      0.625      0.724 
Train:         14     1.2178       3519        773        233        165      0.176      0.415      0.786      0.617      0.707 
All:         14     1.2178       4400        965        290        208      0.177      0.418      0.786      0.619      0.710 
Test:         15     1.1944        881        192         57         43      0.183      0.430      0.788      0.626      0.726 
