# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gat3h.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.6316       3420        872        332         66      0.070      0.166      0.743      0.481      0.505 
2     1.3565       3483        809        269        129      0.138      0.324      0.770      0.568      0.658 
3     1.2404       3502        790        250        148      0.158      0.372      0.778      0.594      0.680 
4     1.2163       3515        777        237        161      0.172      0.405      0.784      0.612      0.685 
5     1.2037       3517        775        235        163      0.174      0.410      0.785      0.614      0.686 
6     1.2241       3515        777        237        161      0.172      0.405      0.784      0.612      0.686 
7     1.2329       3514        778        238        160      0.171      0.402      0.783      0.610      0.686 
8     1.2273       3514        778        238        160      0.171      0.402      0.783      0.610      0.686 
9       1.23       3515        777        237        161      0.172      0.405      0.784      0.612      0.687 
10       1.23       3514        778        238        160      0.171      0.402      0.783      0.610      0.688 
11     1.1908       3510        782        242        156      0.166      0.392      0.782      0.605      0.683 
12     1.1977       3500        792        252        146      0.156      0.367      0.777      0.591      0.682 
13     1.2049       3500        792        252        146      0.156      0.367      0.777      0.591      0.683 
14     1.1999       3502        790        250        148      0.158      0.372      0.778      0.594      0.687 
15     1.1828       3506        786        246        152      0.162      0.382      0.780      0.599      0.691 
16     1.1948       3513        779        239        159      0.170      0.399      0.783      0.609      0.697 
17     1.1716       3513        779        239        159      0.170      0.399      0.783      0.609      0.700 
18     1.1687       3520        772        232        166      0.177      0.417      0.786      0.619      0.701 
19     1.1677       3525        767        227        171      0.182      0.430      0.788      0.625      0.702 
20     1.1694       3527        765        225        173      0.184      0.435      0.789      0.628      0.702 
21     1.1684       3526        766        226        172      0.183      0.432      0.788      0.627      0.702 
22     1.1714       3524        768        228        170      0.181      0.427      0.788      0.624      0.702 
23     1.1687       3521        771        231        167      0.178      0.420      0.786      0.620      0.702 
24     1.1574       3523        769        229        169      0.180      0.425      0.787      0.623      0.702 
25     1.1643       3525        767        227        171      0.182      0.430      0.788      0.625      0.703 
26     1.1603       3526        766        226        172      0.183      0.432      0.788      0.627      0.704 
27     1.1663       3523        769        229        169      0.180      0.425      0.787      0.623      0.706 
28     1.1627       3525        767        227        171      0.182      0.430      0.788      0.625      0.707 
29     1.1543       3525        767        227        171      0.182      0.430      0.788      0.625      0.708 
30     1.1631       3524        768        228        170      0.181      0.427      0.788      0.624      0.709 
31     1.1518       3524        768        228        170      0.181      0.427      0.788      0.624      0.709 
32     1.1509       3521        771        231        167      0.178      0.420      0.786      0.620      0.709 
33     1.1575       3518        774        234        164      0.175      0.412      0.785      0.616      0.708 
34     1.1552       3517        775        235        163      0.174      0.410      0.785      0.614      0.708 
35     1.1536       3518        774        234        164      0.175      0.412      0.785      0.616      0.709 
36     1.1567       3519        773        233        165      0.176      0.415      0.786      0.617      0.709 
37     1.1597       3521        771        231        167      0.178      0.420      0.786      0.620      0.709 
38     1.1456       3522        770        230        168      0.179      0.422      0.787      0.621      0.709 
39     1.1454       3524        768        228        170      0.181      0.427      0.788      0.624      0.709 
40     1.1547       3523        769        229        169      0.180      0.425      0.787      0.623      0.709 
41     1.1455       3524        768        228        170      0.181      0.427      0.788      0.624      0.709 
42     1.1466       3525        767        227        171      0.182      0.430      0.788      0.625      0.709 
43     1.1477       3526        766        226        172      0.183      0.432      0.788      0.627      0.710 
44     1.1482       3524        768        228        170      0.181      0.427      0.788      0.624      0.710 
45     1.1442       3522        770        230        168      0.179      0.422      0.787      0.621      0.711 
46     1.1529       3522        770        230        168      0.179      0.422      0.787      0.621      0.711 
47      1.144       3522        770        230        168      0.179      0.422      0.787      0.621      0.710 
48     1.1539       3523        769        229        169      0.180      0.425      0.787      0.623      0.710 
49     1.1487       3522        770        230        168      0.179      0.422      0.787      0.621      0.711 
50     1.1365       3521        771        231        167      0.178      0.420      0.786      0.620      0.712 
51     1.1405       3522        770        230        168      0.179      0.422      0.787      0.621      0.713 
52     1.1389       3525        767        227        171      0.182      0.430      0.788      0.625      0.713 
53     1.1395       3525        767        227        171      0.182      0.430      0.788      0.625      0.714 
54      1.146       3522        770        230        168      0.179      0.422      0.787      0.621      0.714 
55      1.134       3522        770        230        168      0.179      0.422      0.787      0.621      0.714 
56     1.1429       3523        769        229        169      0.180      0.425      0.787      0.623      0.715 
57     1.1456       3524        768        228        170      0.181      0.427      0.788      0.624      0.716 
58     1.1385       3523        769        229        169      0.180      0.425      0.787      0.623      0.716 
59     1.1421       3522        770        230        168      0.179      0.422      0.787      0.621      0.717 
60     1.1383       3525        767        227        171      0.182      0.430      0.788      0.625      0.717 
61     1.1404       3527        765        225        173      0.184      0.435      0.789      0.628      0.718 
62     1.1364       3523        769        229        169      0.180      0.425      0.787      0.623      0.718 
63     1.1466       3527        765        225        173      0.184      0.435      0.789      0.628      0.718 
64     1.1424       3528        764        224        174      0.186      0.437      0.789      0.630      0.718 
65      1.128       3528        764        224        174      0.186      0.437      0.789      0.630      0.719 
66     1.1285       3524        768        228        170      0.181      0.427      0.788      0.624      0.719 
67     1.1339       3523        769        229        169      0.180      0.425      0.787      0.623      0.720 
68     1.1378       3527        765        225        173      0.184      0.435      0.789      0.628      0.720 
69      1.143       3528        764        224        174      0.186      0.437      0.789      0.630      0.721 
70     1.1382       3525        767        227        171      0.182      0.430      0.788      0.625      0.721 
71     1.1334       3528        764        224        174      0.186      0.437      0.789      0.630      0.721 
72     1.1335       3529        763        223        175      0.187      0.440      0.790      0.631      0.721 
73     1.1353       3530        762        222        176      0.188      0.442      0.790      0.632      0.722 
74     1.1222       3527        765        225        173      0.184      0.435      0.789      0.628      0.723 
75     1.1257       3526        766        226        172      0.183      0.432      0.788      0.627      0.723 
76     1.1347       3527        765        225        173      0.184      0.435      0.789      0.628      0.724 
77     1.1247       3527        765        225        173      0.184      0.435      0.789      0.628      0.724 
78     1.1307       3529        763        223        175      0.187      0.440      0.790      0.631      0.724 
79      1.134       3530        762        222        176      0.188      0.442      0.790      0.632      0.725 
80     1.1277       3532        760        220        178      0.190      0.447      0.791      0.635      0.725 
81     1.1314       3530        762        222        176      0.188      0.442      0.790      0.632      0.725 
82     1.1346       3528        764        224        174      0.186      0.437      0.789      0.630      0.726 
83     1.1254       3529        763        223        175      0.187      0.440      0.790      0.631      0.726 
84     1.1204       3529        763        223        175      0.187      0.440      0.790      0.631      0.727 
85     1.1282       3532        760        220        178      0.190      0.447      0.791      0.635      0.727 
86      1.125       3535        757        217        181      0.193      0.455      0.792      0.639      0.728 
87     1.1277       3534        758        218        180      0.192      0.452      0.792      0.638      0.728 
88      1.124       3537        755        215        183      0.195      0.460      0.793      0.642      0.729 
89     1.1248       3537        755        215        183      0.195      0.460      0.793      0.642      0.729 
90     1.1234       3538        754        214        184      0.196      0.462      0.794      0.643      0.730 
91     1.1242       3539        753        213        185      0.197      0.465      0.794      0.645      0.730 
92     1.1258       3539        753        213        185      0.197      0.465      0.794      0.645      0.731 
93     1.1175       3538        754        214        184      0.196      0.462      0.794      0.643      0.731 
94     1.1242       3541        751        211        187      0.199      0.470      0.795      0.647      0.731 
95      1.124       3540        752        212        186      0.198      0.467      0.794      0.646      0.731 
96     1.1235       3541        751        211        187      0.199      0.470      0.795      0.647      0.732 
97     1.1195       3542        750        210        188      0.200      0.472      0.795      0.649      0.733 
98     1.1227       3540        752        212        186      0.198      0.467      0.794      0.646      0.733 
99     1.1277       3540        752        212        186      0.198      0.467      0.794      0.646      0.733 
100      1.119       3539        753        213        185      0.197      0.465      0.794      0.645      0.733 
101     1.1124       3539        753        213        185      0.197      0.465      0.794      0.645      0.733 
102     1.1126       3542        750        210        188      0.200      0.472      0.795      0.649      0.733 
103     1.1125       3542        750        210        188      0.200      0.472      0.795      0.649      0.734 
104     1.1151       3540        752        212        186      0.198      0.467      0.794      0.646      0.734 
105     1.1201       3536        756        216        182      0.194      0.457      0.793      0.641      0.735 
106     1.1112       3541        751        211        187      0.199      0.470      0.795      0.647      0.735 
107     1.1172       3541        751        211        187      0.199      0.470      0.795      0.647      0.735 
108     1.1124       3541        751        211        187      0.199      0.470      0.795      0.647      0.735 
109     1.1159       3540        752        212        186      0.198      0.467      0.794      0.646      0.735 
110     1.1135       3539        753        213        185      0.197      0.465      0.794      0.645      0.735 
111     1.1124       3538        754        214        184      0.196      0.462      0.794      0.643      0.736 
112     1.1154       3541        751        211        187      0.199      0.470      0.795      0.647      0.737 
113     1.1146       3542        750        210        188      0.200      0.472      0.795      0.649      0.737 
114     1.1089       3542        750        210        188      0.200      0.472      0.795      0.649      0.738 
115     1.1136       3542        750        210        188      0.200      0.472      0.795      0.649      0.738 
116     1.1097       3540        752        212        186      0.198      0.467      0.794      0.646      0.738 
