# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     2.0467       4234       1131        456         42      0.036      0.084      0.729      0.437      0.359 
2     1.8698       4245       1120        445         53      0.045      0.106      0.733      0.449      0.379 
3     1.6445       4256       1109        434         64      0.055      0.129      0.737      0.461      0.409 
4     1.4578       4277       1088        413         85      0.072      0.171      0.744      0.484      0.452 
5     1.3579       4307       1058        383        115      0.098      0.231      0.754      0.517      0.518 
6     1.3086       4342       1023        348        150      0.128      0.301      0.766      0.555      0.587 
7     1.2781       4366        999        324        174      0.148      0.349      0.774      0.582      0.629 
8     1.2683       4371        994        319        179      0.153      0.359      0.776      0.587      0.651 
9     1.3199       4379        986        311        187      0.159      0.376      0.779      0.596      0.664 
10     1.3352       4382        983        308        190      0.162      0.382      0.780      0.599      0.672 
11     1.3629       4384        981        306        192      0.164      0.386      0.780      0.601      0.677 
12     1.3561       4387        978        303        195      0.166      0.392      0.782      0.605      0.682 
13      1.343       4390        975        300        198      0.169      0.398      0.783      0.608      0.685 
14      1.338       4393        972        297        201      0.171      0.404      0.784      0.611      0.687 
15     1.3231       4401        964        289        209      0.178      0.420      0.786      0.620      0.688 
16      1.306       4401        964        289        209      0.178      0.420      0.786      0.620      0.689 
17     1.2783       4399        966        291        207      0.176      0.416      0.786      0.618      0.688 
18     1.2598       4403        962        287        211      0.180      0.424      0.787      0.622      0.686 
19     1.2627       4401        964        289        209      0.178      0.420      0.786      0.620      0.681 
20     1.2386       4397        968        293        205      0.175      0.412      0.785      0.616      0.674 
21     1.2278       4388        977        302        196      0.167      0.394      0.782      0.606      0.664 
22     1.2365       4380        985        310        188      0.160      0.378      0.779      0.597      0.654 
23     1.2334       4376        989        314        184      0.157      0.369      0.778      0.593      0.645 
24     1.2566       4375        990        315        183      0.156      0.367      0.777      0.591      0.640 
25     1.2311       4378        987        312        186      0.159      0.373      0.778      0.595      0.638 
26     1.2486       4377        988        313        185      0.158      0.371      0.778      0.594      0.639 
27     1.2508       4375        990        315        183      0.156      0.367      0.777      0.591      0.644 
28     1.2286       4379        986        311        187      0.159      0.376      0.779      0.596      0.651 
29     1.2186       4386        979        304        194      0.165      0.390      0.781      0.604      0.659 
30     1.2172       4398        967        292        206      0.176      0.414      0.785      0.617      0.669 
31     1.2354       4409        956        281        217      0.185      0.436      0.789      0.629      0.679 
32      1.221       4412        953        278        220      0.188      0.442      0.790      0.632      0.688 
33     1.2247       4419        946        271        227      0.194      0.456      0.792      0.640      0.696 
34      1.217       4421        944        269        229      0.195      0.460      0.793      0.642      0.703 
35     1.2185       4423        942        267        231      0.197      0.464      0.794      0.644      0.708 
36     1.1987       4425        940        265        233      0.199      0.468      0.794      0.646      0.712 
37     1.2198       4427        938        263        235      0.200      0.472      0.795      0.649      0.714 
38      1.226       4428        937        262        236      0.201      0.474      0.795      0.650      0.716 
39     1.2027       4432        933        258        240      0.205      0.482      0.797      0.654      0.717 
40     1.2229       4432        933        258        240      0.205      0.482      0.797      0.654      0.718 
41     1.2041       4432        933        258        240      0.205      0.482      0.797      0.654      0.719 
42     1.1914       4433        932        257        241      0.205      0.484      0.797      0.655      0.718 
43     1.2124       4432        933        258        240      0.205      0.482      0.797      0.654      0.718 
44     1.2015       4431        934        259        239      0.204      0.480      0.797      0.653      0.717 
45     1.1883       4430        935        260        238      0.203      0.478      0.796      0.652      0.716 
46     1.1981       4430        935        260        238      0.203      0.478      0.796      0.652      0.714 
47     1.1948       4429        936        261        237      0.202      0.476      0.796      0.651      0.713 
48     1.1955       4425        940        265        233      0.199      0.468      0.794      0.646      0.711 
49     1.2084       4423        942        267        231      0.197      0.464      0.794      0.644      0.709 
50     1.1818       4424        941        266        232      0.198      0.466      0.794      0.645      0.707 
51     1.1852       4419        946        271        227      0.194      0.456      0.792      0.640      0.706 
52     1.1896       4417        948        273        225      0.192      0.452      0.792      0.638      0.705 
53      1.196       4418        947        272        226      0.193      0.454      0.792      0.639      0.705 
54     1.1991       4417        948        273        225      0.192      0.452      0.792      0.638      0.705 
55     1.1997       4419        946        271        227      0.194      0.456      0.792      0.640      0.705 
