# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     2.0467       3390        902        362         36      0.038      0.090      0.730      0.440      0.369 
2     1.8698       3400        892        352         46      0.049      0.116      0.735      0.454      0.389 
3     1.6445       3410        882        342         56      0.060      0.141      0.739      0.468      0.419 
4     1.4578       3427        865        325         73      0.078      0.183      0.746      0.491      0.460 
5     1.3579       3450        842        302         96      0.102      0.241      0.756      0.523      0.522 
6     1.3086       3477        815        274        124      0.132      0.312      0.768      0.561      0.590 
7     1.2781       3498        794        254        144      0.154      0.362      0.777      0.588      0.630 
8     1.2683       3500        792        252        146      0.156      0.367      0.777      0.591      0.650 
9     1.3199       3505        787        247        151      0.161      0.379      0.780      0.598      0.662 
10     1.3352       3507        785        245        153      0.163      0.384      0.780      0.601      0.670 
11     1.3629       3509        783        243        155      0.165      0.389      0.781      0.604      0.675 
12     1.3561       3511        781        241        157      0.167      0.394      0.782      0.606      0.678 
13      1.343       3514        778        238        160      0.171      0.402      0.783      0.610      0.681 
14      1.338       3518        774        234        164      0.175      0.412      0.785      0.616      0.684 
15     1.3231       3525        767        227        171      0.182      0.430      0.788      0.625      0.685 
16      1.306       3526        766        226        172      0.183      0.432      0.788      0.627      0.685 
17     1.2783       3523        769        229        169      0.180      0.425      0.787      0.623      0.685 
18     1.2598       3524        768        228        170      0.181      0.427      0.788      0.624      0.682 
19     1.2627       3522        770        229        169      0.180      0.425      0.787      0.623      0.678 
20     1.2386       3523        769        229        169      0.180      0.425      0.787      0.623      0.672 
21     1.2278       3510        782        242        156      0.166      0.392      0.782      0.605      0.662 
22     1.2365       3508        784        244        154      0.164      0.387      0.781      0.602      0.651 
23     1.2334       3501        791        251        147      0.157      0.369      0.778      0.593      0.642 
24     1.2566       3498        794        254        144      0.154      0.362      0.777      0.588      0.637 
25     1.2311       3501        791        251        147      0.157      0.369      0.778      0.593      0.634 
26     1.2486       3500        792        252        146      0.156      0.367      0.777      0.591      0.635 
27     1.2508       3499        793        253        145      0.155      0.364      0.777      0.590      0.640 
28     1.2286       3504        788        248        150      0.160      0.377      0.779      0.597      0.647 
29     1.2186       3508        784        244        154      0.164      0.387      0.781      0.602      0.656 
30     1.2172       3515        777        237        161      0.172      0.405      0.784      0.612      0.665 
31     1.2354       3525        767        227        171      0.182      0.430      0.788      0.625      0.674 
32      1.221       3528        764        224        174      0.186      0.437      0.789      0.630      0.683 
33     1.2247       3531        761        221        177      0.189      0.445      0.791      0.634      0.690 
34      1.217       3535        757        217        181      0.193      0.455      0.792      0.639      0.696 
35     1.2185       3535        757        217        181      0.193      0.455      0.792      0.639      0.701 
36     1.1987       3537        755        215        183      0.195      0.460      0.793      0.642      0.704 
37     1.2198       3540        752        212        186      0.198      0.467      0.794      0.646      0.706 
38      1.226       3542        750        210        188      0.200      0.472      0.795      0.649      0.708 
39     1.2027       3544        748        208        190      0.203      0.477      0.796      0.652      0.708 
40     1.2229       3544        748        208        190      0.203      0.477      0.796      0.652      0.709 
41     1.2041       3544        748        208        190      0.203      0.477      0.796      0.652      0.709 
42     1.1914       3546        746        206        192      0.205      0.482      0.797      0.654      0.709 
43     1.2124       3545        747        207        191      0.204      0.480      0.797      0.653      0.709 
44     1.2015       3543        749        209        189      0.201      0.475      0.796      0.650      0.708 
45     1.1883       3542        750        210        188      0.200      0.472      0.795      0.649      0.707 
46     1.1981       3541        751        211        187      0.199      0.470      0.795      0.647      0.705 
47     1.1948       3539        753        213        185      0.197      0.465      0.794      0.645      0.704 
48     1.1955       3535        757        217        181      0.193      0.455      0.792      0.639      0.702 
49     1.2084       3535        757        217        181      0.193      0.455      0.792      0.639      0.701 
50     1.1818       3534        758        218        180      0.192      0.452      0.792      0.638      0.699 
51     1.1852       3530        762        222        176      0.188      0.442      0.790      0.632      0.698 
52     1.1896       3531        761        221        177      0.189      0.445      0.791      0.634      0.697 
53      1.196       3530        762        222        176      0.188      0.442      0.790      0.632      0.697 
54     1.1991       3531        761        221        177      0.189      0.445      0.791      0.634      0.697 
55     1.1997       3531        761        221        177      0.189      0.445      0.791      0.634      0.697 
56     1.1977       3531        761        221        177      0.189      0.445      0.791      0.634      0.698 
57     1.1814       3531        761        221        177      0.189      0.445      0.791      0.634      0.700 
58       1.19       3533        759        219        179      0.191      0.450      0.791      0.636      0.701 
59     1.1941       3534        758        218        180      0.192      0.452      0.792      0.638      0.702 
60     1.1871       3536        756        216        182      0.194      0.457      0.793      0.641      0.703 
61     1.1834       3536        756        216        182      0.194      0.457      0.793      0.641      0.704 
62     1.1964       3538        754        214        184      0.196      0.462      0.794      0.643      0.705 
63     1.2009       3540        752        212        186      0.198      0.467      0.794      0.646      0.705 
64     1.1912       3540        752        212        186      0.198      0.467      0.794      0.646      0.706 
65     1.1867       3540        752        212        186      0.198      0.467      0.794      0.646      0.706 
66     1.1739       3540        752        212        186      0.198      0.467      0.794      0.646      0.706 
67     1.1809       3540        752        212        186      0.198      0.467      0.794      0.646      0.706 
68      1.181       3540        752        212        186      0.198      0.467      0.794      0.646      0.706 
69     1.1764       3539        753        213        185      0.197      0.465      0.794      0.645      0.705 
70     1.1852       3538        754        214        184      0.196      0.462      0.794      0.643      0.705 
71     1.1698       3538        754        214        184      0.196      0.462      0.794      0.643      0.704 
72     1.1892       3538        754        214        184      0.196      0.462      0.794      0.643      0.704 
73     1.1768       3537        755        215        183      0.195      0.460      0.793      0.642      0.703 
74     1.1796       3537        755        215        183      0.195      0.460      0.793      0.642      0.703 
75     1.1832       3537        755        215        183      0.195      0.460      0.793      0.642      0.703 
76     1.1727       3537        755        215        183      0.195      0.460      0.793      0.642      0.703 
77     1.1796       3538        754        214        184      0.196      0.462      0.794      0.643      0.704 
78     1.1942       3539        753        213        185      0.197      0.465      0.794      0.645      0.704 
79     1.1798       3539        753        213        185      0.197      0.465      0.794      0.645      0.705 
80     1.1675       3540        752        212        186      0.198      0.467      0.794      0.646      0.705 
81     1.1814       3541        751        211        187      0.199      0.470      0.795      0.647      0.706 
82     1.1798       3541        751        211        187      0.199      0.470      0.795      0.647      0.706 
83     1.1729       3543        749        209        189      0.201      0.475      0.796      0.650      0.706 
84     1.1671       3543        749        209        189      0.201      0.475      0.796      0.650      0.707 
85     1.1771       3544        748        208        190      0.203      0.477      0.796      0.652      0.707 
86     1.1627       3544        748        208        190      0.203      0.477      0.796      0.652      0.707 
87     1.1823       3543        749        208        190      0.202      0.477      0.796      0.651      0.707 
88     1.1556       3544        748        208        190      0.203      0.477      0.796      0.652      0.707 
89     1.1632       3543        749        209        189      0.201      0.475      0.796      0.650      0.707 
90     1.1653       3542        750        210        188      0.200      0.472      0.795      0.649      0.707 
91       1.17       3543        749        209        189      0.201      0.475      0.796      0.650      0.707 
92     1.1682       3543        749        209        189      0.201      0.475      0.796      0.650      0.707 
93     1.1637       3543        749        209        189      0.201      0.475      0.796      0.650      0.707 
94     1.1668       3543        749        209        189      0.201      0.475      0.796      0.650      0.707 
95     1.1831       3543        749        209        189      0.201      0.475      0.796      0.650      0.707 
96     1.1657       3543        749        209        189      0.201      0.475      0.796      0.650      0.707 
97     1.1819       3543        749        209        189      0.201      0.475      0.796      0.650      0.707 
98     1.1665       3543        749        209        189      0.201      0.475      0.796      0.650      0.708 
99     1.1909       3543        749        209        189      0.201      0.475      0.796      0.650      0.708 
100     1.1603       3543        749        209        189      0.201      0.475      0.796      0.650      0.708 
101     1.1642       3543        749        209        189      0.201      0.475      0.796      0.650      0.709 
102       1.16       3543        749        209        189      0.201      0.475      0.796      0.650      0.709 
103     1.1599       3543        749        209        189      0.201      0.475      0.796      0.650      0.709 
104     1.1795       3543        749        209        189      0.201      0.475      0.796      0.650      0.709 
105      1.165       3543        749        209        189      0.201      0.475      0.796      0.650      0.709 
106     1.1542       3544        748        208        190      0.203      0.477      0.796      0.652      0.709 
107     1.1695       3545        747        207        191      0.204      0.480      0.797      0.653      0.709 
108     1.1632       3545        747        207        191      0.204      0.480      0.797      0.653      0.709 
109     1.1675       3545        747        207        191      0.204      0.480      0.797      0.653      0.708 
110     1.1562       3545        747        207        191      0.204      0.480      0.797      0.653      0.708 
111     1.1575       3546        746        206        192      0.205      0.482      0.797      0.654      0.709 
112     1.1641       3546        746        206        192      0.205      0.482      0.797      0.654      0.709 
113     1.1662       3546        746        206        192      0.205      0.482      0.797      0.654      0.709 
114     1.1621       3546        746        206        192      0.205      0.482      0.797      0.654      0.709 
115      1.166       3545        747        207        191      0.204      0.480      0.797      0.653      0.709 
116     1.1642       3544        748        208        190      0.203      0.477      0.796      0.652      0.710 
117     1.1595       3543        749        209        189      0.201      0.475      0.796      0.650      0.710 
118      1.139       3543        749        209        189      0.201      0.475      0.796      0.650      0.710 
119     1.1513       3544        748        208        190      0.203      0.477      0.796      0.652      0.711 
120     1.1782       3545        747        207        191      0.204      0.480      0.797      0.653      0.711 
121     1.1686       3546        746        206        192      0.205      0.482      0.797      0.654      0.711 
122     1.1478       3546        746        206        192      0.205      0.482      0.797      0.654      0.711 
123     1.1579       3544        748        208        190      0.203      0.477      0.796      0.652      0.711 
124      1.157       3543        749        209        189      0.201      0.475      0.796      0.650      0.711 
125     1.1635       3544        748        208        190      0.203      0.477      0.796      0.652      0.711 
126     1.1491       3544        748        208        190      0.203      0.477      0.796      0.652      0.711 
127     1.1588       3544        748        208        190      0.203      0.477      0.796      0.652      0.710 
128     1.1493       3543        749        209        189      0.201      0.475      0.796      0.650      0.710 
129     1.1563       3544        748        208        190      0.203      0.477      0.796      0.652      0.710 
130     1.1449       3544        748        208        190      0.203      0.477      0.796      0.652      0.710 
131     1.1536       3544        748        208        190      0.203      0.477      0.796      0.652      0.710 
132     1.1559       3545        747        207        191      0.204      0.480      0.797      0.653      0.711 
133     1.1495       3545        747        207        191      0.204      0.480      0.797      0.653      0.711 
134     1.1522       3545        747        207        191      0.204      0.480      0.797      0.653      0.711 
135     1.1565       3546        746        206        192      0.205      0.482      0.797      0.654      0.711 
136     1.1445       3549        743        203        195      0.208      0.490      0.798      0.658      0.712 
137     1.1593       3549        743        203        195      0.208      0.490      0.798      0.658      0.712 
138     1.1545       3550        742        202        196      0.209      0.492      0.799      0.660      0.712 
139     1.1495       3550        742        202        196      0.209      0.492      0.799      0.660      0.712 
140     1.1545       3550        742        202        196      0.209      0.492      0.799      0.660      0.712 
141     1.1492       3550        742        202        196      0.209      0.492      0.799      0.660      0.712 
142     1.1419       3549        743        203        195      0.208      0.490      0.798      0.658      0.712 
143     1.1486       3548        744        204        194      0.207      0.487      0.798      0.657      0.712 
144     1.1436       3547        745        205        193      0.206      0.485      0.797      0.656      0.712 
145     1.1547       3547        745        205        193      0.206      0.485      0.797      0.656      0.712 
146     1.1609       3548        744        204        194      0.207      0.487      0.798      0.657      0.711 
147     1.1467       3547        745        205        193      0.206      0.485      0.797      0.656      0.712 
148      1.154       3548        744        204        194      0.207      0.487      0.798      0.657      0.712 
149     1.1374       3549        743        203        195      0.208      0.490      0.798      0.658      0.712 
150     1.1504       3550        742        202        196      0.209      0.492      0.799      0.660      0.713 
151     1.1469       3550        742        202        196      0.209      0.492      0.799      0.660      0.713 
152     1.1498       3551        741        201        197      0.210      0.495      0.799      0.661      0.713 
153     1.1579       3551        741        201        197      0.210      0.495      0.799      0.661      0.713 
154     1.1408       3551        741        201        197      0.210      0.495      0.799      0.661      0.713 
155     1.1472       3551        741        201        197      0.210      0.495      0.799      0.661      0.713 
156     1.1528       3551        741        201        197      0.210      0.495      0.799      0.661      0.713 
157     1.1459       3550        742        202        196      0.209      0.492      0.799      0.660      0.713 
158      1.154       3549        743        203        195      0.208      0.490      0.798      0.658      0.713 
159     1.1593       3549        743        203        195      0.208      0.490      0.798      0.658      0.713 
160     1.1457       3550        742        202        196      0.209      0.492      0.799      0.660      0.713 
161     1.1485       3550        742        202        196      0.209      0.492      0.799      0.660      0.713 
162     1.1492       3551        741        201        197      0.210      0.495      0.799      0.661      0.713 
163     1.1486       3551        741        201        197      0.210      0.495      0.799      0.661      0.713 
164     1.1371       3551        741        201        197      0.210      0.495      0.799      0.661      0.714 
165      1.146       3552        740        200        198      0.211      0.497      0.800      0.663      0.714 
166     1.1556       3552        740        200        198      0.211      0.497      0.800      0.663      0.714 
167     1.1414       3552        740        200        198      0.211      0.497      0.800      0.663      0.714 
168     1.1373       3552        740        200        198      0.211      0.497      0.800      0.663      0.714 
169     1.1421       3552        740        200        198      0.211      0.497      0.800      0.663      0.714 
170     1.1471       3552        740        200        198      0.211      0.497      0.800      0.663      0.714 
171     1.1467       3552        740        200        198      0.211      0.497      0.800      0.663      0.714 
172     1.1432       3552        740        200        198      0.211      0.497      0.800      0.663      0.714 
173     1.1347       3551        741        201        197      0.210      0.495      0.799      0.661      0.714 
174     1.1368       3551        741        201        197      0.210      0.495      0.799      0.661      0.714 
175     1.1465       3551        741        201        197      0.210      0.495      0.799      0.661      0.714 
176     1.1534       3551        741        201        197      0.210      0.495      0.799      0.661      0.714 
177      1.147       3551        741        201        197      0.210      0.495      0.799      0.661      0.714 
178     1.1494       3551        741        201        197      0.210      0.495      0.799      0.661      0.714 
179      1.152       3551        741        201        197      0.210      0.495      0.799      0.661      0.714 
180     1.1369       3551        741        201        197      0.210      0.495      0.799      0.661      0.714 
181     1.1493       3552        740        200        198      0.211      0.497      0.800      0.663      0.714 
182     1.1584       3552        740        200        198      0.211      0.497      0.800      0.663      0.715 
183     1.1557       3552        740        200        198      0.211      0.497      0.800      0.663      0.715 
184     1.1355       3551        741        201        197      0.210      0.495      0.799      0.661      0.715 
185     1.1376       3551        741        201        197      0.210      0.495      0.799      0.661      0.715 
186      1.141       3551        741        201        197      0.210      0.495      0.799      0.661      0.715 
187      1.145       3551        741        201        197      0.210      0.495      0.799      0.661      0.715 
188     1.1463       3551        741        201        197      0.210      0.495      0.799      0.661      0.715 
189     1.1503       3551        741        201        197      0.210      0.495      0.799      0.661      0.715 
190     1.1353       3551        741        201        197      0.210      0.495      0.799      0.661      0.715 
191     1.1494       3551        741        201        197      0.210      0.495      0.799      0.661      0.715 
192     1.1354       3551        741        201        197      0.210      0.495      0.799      0.661      0.715 
