# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gcn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     2.0467        834        239         93          7      0.028      0.070      0.717      0.424      0.322 
Train:          1     2.0467       3390        902        362         36      0.038      0.090      0.730      0.440      0.369 
All:          1     2.0467       4234       1131        456         42      0.036      0.084      0.729      0.437      0.359 
Test:          2     1.8698        837        236         93          7      0.029      0.070      0.720      0.425      0.338 
Train:          2     1.8698       3400        892        352         46      0.049      0.116      0.735      0.454      0.389 
All:          2     1.8698       4245       1120        445         53      0.045      0.106      0.733      0.449      0.379 
Test:          3     1.6445        836        237         91          9      0.037      0.090      0.720      0.435      0.368 
Train:          3     1.6445       3410        882        342         56      0.060      0.141      0.739      0.468      0.419 
All:          3     1.6445       4256       1109        434         64      0.055      0.129      0.737      0.461      0.409 
Test:          4     1.4578        837        236         86         14      0.056      0.140      0.725      0.460      0.417 
Train:          4     1.4578       3427        865        325         73      0.078      0.183      0.746      0.491      0.460 
All:          4     1.4578       4277       1088        413         85      0.072      0.171      0.744      0.484      0.452 
Test:          5     1.3579        847        226         79         21      0.085      0.210      0.740      0.500      0.500 
Train:          5     1.3579       3450        842        302         96      0.102      0.241      0.756      0.523      0.522 
All:          5     1.3579       4307       1058        383        115      0.098      0.231      0.754      0.517      0.518 
Test:          6     1.3086        857        216         73         27      0.111      0.270      0.754      0.534      0.575 
Train:          6     1.3086       3477        815        274        124      0.132      0.312      0.768      0.561      0.590 
All:          6     1.3086       4342       1023        348        150      0.128      0.301      0.766      0.555      0.587 
Test:          7     1.2781        866        207         70         30      0.127      0.300      0.764      0.554      0.627 
Train:          7     1.2781       3498        794        254        144      0.154      0.362      0.777      0.588      0.630 
All:          7     1.2781       4366        999        324        174      0.148      0.349      0.774      0.582      0.629 
Test:          8     1.2683        866        207         66         34      0.141      0.340      0.767      0.574      0.654 
Train:          8     1.2683       3500        792        252        146      0.156      0.367      0.777      0.591      0.650 
All:          8     1.2683       4371        994        319        179      0.153      0.359      0.776      0.587      0.651 
Test:          9     1.3199        870        203         63         37      0.154      0.370      0.773      0.590      0.670 
Train:          9     1.3199       3505        787        247        151      0.161      0.379      0.780      0.598      0.662 
All:          9     1.3199       4379        986        311        187      0.159      0.376      0.779      0.596      0.664 
Test:         10     1.3352        872        201         63         37      0.155      0.370      0.775      0.591      0.681 
Train:         10     1.3352       3507        785        245        153      0.163      0.384      0.780      0.601      0.670 
All:         10     1.3352       4382        983        308        190      0.162      0.382      0.780      0.599      0.672 
Test:         11     1.3629        872        201         63         37      0.155      0.370      0.775      0.591      0.688 
Train:         11     1.3629       3509        783        243        155      0.165      0.389      0.781      0.604      0.675 
All:         11     1.3629       4384        981        306        192      0.164      0.386      0.780      0.601      0.677 
Test:         12     1.3561        872        201         62         38      0.159      0.380      0.776      0.596      0.693 
Train:         12     1.3561       3511        781        241        157      0.167      0.394      0.782      0.606      0.678 
All:         12     1.3561       4387        978        303        195      0.166      0.392      0.782      0.605      0.682 
Test:         13      1.343        870        203         62         38      0.158      0.380      0.774      0.595      0.698 
Train:         13      1.343       3514        778        238        160      0.171      0.402      0.783      0.610      0.681 
All:         13      1.343       4390        975        300        198      0.169      0.398      0.783      0.608      0.685 
Test:         14      1.338        871        202         62         38      0.158      0.380      0.775      0.596      0.701 
Train:         14      1.338       3518        774        234        164      0.175      0.412      0.785      0.616      0.684 
All:         14      1.338       4393        972        297        201      0.171      0.404      0.784      0.611      0.687 
Test:         15     1.3231        865        208         62         38      0.154      0.380      0.770      0.593      0.702 
Train:         15     1.3231       3525        767        227        171      0.182      0.430      0.788      0.625      0.685 
All:         15     1.3231       4401        964        289        209      0.178      0.420      0.786      0.620      0.688 
Test:         16      1.306        869        204         63         37      0.154      0.370      0.772      0.590      0.703 
Train:         16      1.306       3526        766        226        172      0.183      0.432      0.788      0.627      0.685 
All:         16      1.306       4401        964        289        209      0.178      0.420      0.786      0.620      0.689 
Test:         17     1.2783        870        203         60         40      0.165      0.400      0.776      0.605      0.702 
Train:         17     1.2783       3523        769        229        169      0.180      0.425      0.787      0.623      0.685 
All:         17     1.2783       4399        966        291        207      0.176      0.416      0.786      0.618      0.688 
Test:         18     1.2598        875        198         59         41      0.172      0.410      0.781      0.613      0.698 
Train:         18     1.2598       3524        768        228        170      0.181      0.427      0.788      0.624      0.682 
All:         18     1.2598       4403        962        287        211      0.180      0.424      0.787      0.622      0.686 
Test:         19     1.2627        870        203         59         41      0.168      0.410      0.777      0.610      0.691 
Train:         19     1.2627       3522        770        229        169      0.180      0.425      0.787      0.623      0.678 
All:         19     1.2627       4401        964        289        209      0.178      0.420      0.786      0.620      0.681 
Test:         20     1.2386        863        210         59         41      0.163      0.410      0.771      0.607      0.681 
Train:         20     1.2386       3523        769        229        169      0.180      0.425      0.787      0.623      0.672 
All:         20     1.2386       4397        968        293        205      0.175      0.412      0.785      0.616      0.674 
Test:         21     1.2278        855        218         59         41      0.158      0.410      0.764      0.603      0.671 
Train:         21     1.2278       3510        782        242        156      0.166      0.392      0.782      0.605      0.662 
All:         21     1.2278       4388        977        302        196      0.167      0.394      0.782      0.606      0.664 
Test:         22     1.2365        853        220         59         41      0.157      0.410      0.762      0.602      0.662 
Train:         22     1.2365       3508        784        244        154      0.164      0.387      0.781      0.602      0.651 
All:         22     1.2365       4380        985        310        188      0.160      0.378      0.779      0.597      0.654 
Test:         23     1.2334        846        227         59         41      0.153      0.410      0.756      0.599      0.656 
Train:         23     1.2334       3501        791        251        147      0.157      0.369      0.778      0.593      0.642 
All:         23     1.2334       4376        989        314        184      0.157      0.369      0.778      0.593      0.645 
Test:         24     1.2566        847        226         60         40      0.150      0.400      0.756      0.595      0.653 
Train:         24     1.2566       3498        794        254        144      0.154      0.362      0.777      0.588      0.637 
All:         24     1.2566       4375        990        315        183      0.156      0.367      0.777      0.591      0.640 
Test:         25     1.2311        848        225         60         40      0.151      0.400      0.757      0.595      0.651 
Train:         25     1.2311       3501        791        251        147      0.157      0.369      0.778      0.593      0.634 
All:         25     1.2311       4378        987        312        186      0.159      0.373      0.778      0.595      0.638 
Test:         26     1.2486        849        224         60         40      0.152      0.400      0.758      0.596      0.653 
Train:         26     1.2486       3500        792        252        146      0.156      0.367      0.777      0.591      0.635 
All:         26     1.2486       4377        988        313        185      0.158      0.371      0.778      0.594      0.639 
Test:         27     1.2508        847        226         58         42      0.157      0.420      0.758      0.605      0.659 
Train:         27     1.2508       3499        793        253        145      0.155      0.364      0.777      0.590      0.640 
All:         27     1.2508       4375        990        315        183      0.156      0.367      0.777      0.591      0.644 
Test:         28     1.2286        849        224         58         42      0.158      0.420      0.760      0.606      0.666 
Train:         28     1.2286       3504        788        248        150      0.160      0.377      0.779      0.597      0.647 
All:         28     1.2286       4379        986        311        187      0.159      0.376      0.779      0.596      0.651 
Test:         29     1.2186        852        221         56         44      0.166      0.440      0.764      0.617      0.675 
Train:         29     1.2186       3508        784        244        154      0.164      0.387      0.781      0.602      0.656 
All:         29     1.2186       4386        979        304        194      0.165      0.390      0.781      0.604      0.659 
Test:         30     1.2172        858        215         53         47      0.179      0.470      0.772      0.635      0.685 
Train:         30     1.2172       3515        777        237        161      0.172      0.405      0.784      0.612      0.665 
All:         30     1.2172       4398        967        292        206      0.176      0.414      0.785      0.617      0.669 
Test:         31     1.2354        862        211         51         49      0.188      0.490      0.777      0.647      0.696 
Train:         31     1.2354       3525        767        227        171      0.182      0.430      0.788      0.625      0.674 
All:         31     1.2354       4409        956        281        217      0.185      0.436      0.789      0.629      0.679 
Test:         32      1.221        862        211         50         50      0.192      0.500      0.777      0.652      0.707 
Train:         32      1.221       3528        764        224        174      0.186      0.437      0.789      0.630      0.683 
All:         32      1.221       4412        953        278        220      0.188      0.442      0.790      0.632      0.688 
Test:         33     1.2247        869        204         49         51      0.200      0.510      0.784      0.660      0.718 
Train:         33     1.2247       3531        761        221        177      0.189      0.445      0.791      0.634      0.690 
All:         33     1.2247       4419        946        271        227      0.194      0.456      0.792      0.640      0.696 
Test:         34      1.217        876        197         49         51      0.206      0.510      0.790      0.663      0.728 
Train:         34      1.217       3535        757        217        181      0.193      0.455      0.792      0.639      0.696 
All:         34      1.217       4421        944        269        229      0.195      0.460      0.793      0.642      0.703 
Test:         35     1.2185        880        193         49         51      0.209      0.510      0.794      0.665      0.736 
Train:         35     1.2185       3535        757        217        181      0.193      0.455      0.792      0.639      0.701 
All:         35     1.2185       4423        942        267        231      0.197      0.464      0.794      0.644      0.708 
Test:         36     1.1987        879        194         50         50      0.205      0.500      0.792      0.660      0.742 
