# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gcn2.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     2.3224       4285       1080        405         93      0.079      0.187      0.747      0.493      0.437 
2     1.4217       4414        951        276        222      0.189      0.446      0.791      0.634      0.713 
3     1.3227       4420        945        270        228      0.194      0.458      0.793      0.641      0.719 
4     1.5139       4417        948        273        225      0.192      0.452      0.792      0.638      0.720 
5     1.5232       4422        943        268        230      0.196      0.462      0.793      0.643      0.720 
6     1.4091       4416        949        274        224      0.191      0.450      0.791      0.636      0.720 
7     1.2762       4417        948        273        225      0.192      0.452      0.792      0.638      0.716 
8     1.2125       4401        964        289        209      0.178      0.420      0.786      0.620      0.698 
9     1.2072       4363       1002        327        171      0.146      0.343      0.773      0.578      0.639 
10     1.2503       4338       1027        352        146      0.124      0.293      0.765      0.551      0.582 
11     1.2854       4338       1027        352        146      0.124      0.293      0.765      0.551      0.570 
12     1.2903       4347       1018        343        155      0.132      0.311      0.768      0.561      0.596 
13     1.2907       4365       1000        325        173      0.147      0.347      0.774      0.580      0.641 
14     1.2578       4386        979        304        194      0.165      0.390      0.781      0.604      0.678 
15     1.2124       4403        962        287        211      0.180      0.424      0.787      0.622      0.696 
16     1.2001       4404        961        286        212      0.181      0.426      0.787      0.623      0.703 
17     1.1903       4406        959        284        214      0.182      0.430      0.788      0.625      0.707 
18     1.1915       4413        952        277        221      0.188      0.444      0.790      0.633      0.709 
19     1.2019       4416        949        274        224      0.191      0.450      0.791      0.636      0.710 
20     1.2009       4419        946        271        227      0.194      0.456      0.792      0.640      0.710 
21      1.205       4418        947        272        226      0.193      0.454      0.792      0.639      0.710 
22     1.2045       4414        951        276        222      0.189      0.446      0.791      0.634      0.710 
23     1.1909       4411        954        279        219      0.187      0.440      0.790      0.631      0.709 
24     1.1929       4412        953        278        220      0.188      0.442      0.790      0.632      0.707 
25     1.1814       4409        956        281        217      0.185      0.436      0.789      0.629      0.705 
26      1.167       4409        956        281        217      0.185      0.436      0.789      0.629      0.702 
27      1.179       4406        959        284        214      0.182      0.430      0.788      0.625      0.699 
28     1.1759       4406        959        284        214      0.182      0.430      0.788      0.625      0.696 
29     1.1794       4405        960        285        213      0.182      0.428      0.788      0.624      0.694 
30     1.1794       4407        958        283        215      0.183      0.432      0.788      0.627      0.694 
31     1.1714       4408        957        282        216      0.184      0.434      0.789      0.628      0.695 
32     1.1748       4408        957        282        216      0.184      0.434      0.789      0.628      0.697 
33     1.1717       4408        957        282        216      0.184      0.434      0.789      0.628      0.699 
34     1.1782       4409        956        281        217      0.185      0.436      0.789      0.629      0.702 
35     1.1676       4411        954        279        219      0.187      0.440      0.790      0.631      0.705 
36     1.1703       4411        954        279        219      0.187      0.440      0.790      0.631      0.707 
37     1.1696       4415        950        275        223      0.190      0.448      0.791      0.635      0.708 
38     1.1675       4417        948        273        225      0.192      0.452      0.792      0.638      0.709 
39     1.1612       4418        947        272        226      0.193      0.454      0.792      0.639      0.710 
40     1.1684       4417        948        273        225      0.192      0.452      0.792      0.638      0.710 
41     1.1692       4414        951        276        222      0.189      0.446      0.791      0.634      0.710 
42     1.1619       4413        952        277        221      0.188      0.444      0.790      0.633      0.709 
43     1.1533       4413        952        277        221      0.188      0.444      0.790      0.633      0.708 
44     1.1712       4412        953        278        220      0.188      0.442      0.790      0.632      0.708 
45     1.1647       4414        951        276        222      0.189      0.446      0.791      0.634      0.708 
46     1.1615       4414        951        276        222      0.189      0.446      0.791      0.634      0.708 
47     1.1567       4413        952        277        221      0.188      0.444      0.790      0.633      0.709 
48     1.1642       4415        950        275        223      0.190      0.448      0.791      0.635      0.710 
49     1.1496       4417        948        273        225      0.192      0.452      0.792      0.638      0.711 
50     1.1411       4417        948        273        225      0.192      0.452      0.792      0.638      0.712 
51     1.1592       4419        946        271        227      0.194      0.456      0.792      0.640      0.713 
52     1.1479       4421        944        269        229      0.195      0.460      0.793      0.642      0.714 
53     1.1434       4419        946        271        227      0.194      0.456      0.792      0.640      0.715 
54     1.1506       4420        945        270        228      0.194      0.458      0.793      0.641      0.715 
55      1.153       4422        943        268        230      0.196      0.462      0.793      0.643      0.716 
56     1.1549       4423        942        267        231      0.197      0.464      0.794      0.644      0.716 
57     1.1485       4423        942        267        231      0.197      0.464      0.794      0.644      0.716 
58      1.141       4423        942        267        231      0.197      0.464      0.794      0.644      0.716 
59     1.1496       4422        943        268        230      0.196      0.462      0.793      0.643      0.715 
60     1.1524       4423        942        267        231      0.197      0.464      0.794      0.644      0.716 
61     1.1514       4424        941        266        232      0.198      0.466      0.794      0.645      0.716 
62     1.1392       4425        940        265        233      0.199      0.468      0.794      0.646      0.717 
63     1.1386       4426        939        264        234      0.199      0.470      0.795      0.647      0.717 
64     1.1462       4423        942        267        231      0.197      0.464      0.794      0.644      0.717 
65     1.1378       4423        942        267        231      0.197      0.464      0.794      0.644      0.718 
66     1.1529       4422        943        268        230      0.196      0.462      0.793      0.643      0.718 
67     1.1483       4421        944        269        229      0.195      0.460      0.793      0.642      0.718 
68     1.1276       4422        943        268        230      0.196      0.462      0.793      0.643      0.718 
69     1.1462       4423        942        267        231      0.197      0.464      0.794      0.644      0.718 
70     1.1528       4423        942        267        231      0.197      0.464      0.794      0.644      0.718 
71     1.1388       4425        940        265        233      0.199      0.468      0.794      0.646      0.719 
72     1.1472       4425        940        265        233      0.199      0.468      0.794      0.646      0.719 
73     1.1468       4426        939        264        234      0.199      0.470      0.795      0.647      0.719 
74     1.1427       4426        939        264        234      0.199      0.470      0.795      0.647      0.719 
75     1.1476       4428        937        262        236      0.201      0.474      0.795      0.650      0.720 
76     1.1529       4431        934        259        239      0.204      0.480      0.797      0.653      0.720 
77     1.1444       4430        935        260        238      0.203      0.478      0.796      0.652      0.720 
78     1.1377       4432        933        258        240      0.205      0.482      0.797      0.654      0.720 
79     1.1447       4432        933        258        240      0.205      0.482      0.797      0.654      0.720 
80     1.1368       4433        932        257        241      0.205      0.484      0.797      0.655      0.721 
81     1.1453       4433        932        257        241      0.205      0.484      0.797      0.655      0.721 
82     1.1386       4433        932        257        241      0.205      0.484      0.797      0.655      0.721 
83     1.1388       4432        933        258        240      0.205      0.482      0.797      0.654      0.721 
