# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gcn2.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     2.3224       3432        860        320         78      0.083      0.196      0.748      0.498      0.443 
2     1.4217       3528        764        224        174      0.186      0.437      0.789      0.630      0.711 
3     1.3227       3533        759        219        179      0.191      0.450      0.791      0.636      0.717 
4     1.5139       3530        762        222        176      0.188      0.442      0.790      0.632      0.718 
5     1.5232       3534        758        218        180      0.192      0.452      0.792      0.638      0.718 
6     1.4091       3531        761        221        177      0.189      0.445      0.791      0.634      0.717 
7     1.2762       3530        762        222        176      0.188      0.442      0.790      0.632      0.713 
8     1.2125       3519        773        233        165      0.176      0.415      0.786      0.617      0.694 
9     1.2072       3490        802        262        136      0.145      0.342      0.773      0.577      0.634 
10     1.2503       3472        820        280        118      0.126      0.296      0.765      0.553      0.576 
11     1.2854       3474        818        278        120      0.128      0.302      0.766      0.555      0.565 
12     1.2903       3477        815        275        123      0.131      0.309      0.768      0.560      0.590 
13     1.2907       3491        801        261        137      0.146      0.344      0.774      0.579      0.636 
14     1.2578       3510        782        242        156      0.166      0.392      0.782      0.605      0.675 
15     1.2124       3523        769        229        169      0.180      0.425      0.787      0.623      0.694 
16     1.2001       3522        770        230        168      0.179      0.422      0.787      0.621      0.702 
17     1.1903       3522        770        230        168      0.179      0.422      0.787      0.621      0.706 
18     1.1915       3527        765        225        173      0.184      0.435      0.789      0.628      0.708 
19     1.2019       3529        763        223        175      0.187      0.440      0.790      0.631      0.709 
20     1.2009       3530        762        222        176      0.188      0.442      0.790      0.632      0.710 
21      1.205       3530        762        222        176      0.188      0.442      0.790      0.632      0.710 
22     1.2045       3528        764        224        174      0.186      0.437      0.789      0.630      0.709 
23     1.1909       3525        767        227        171      0.182      0.430      0.788      0.625      0.708 
24     1.1929       3525        767        227        171      0.182      0.430      0.788      0.625      0.707 
25     1.1814       3525        767        227        171      0.182      0.430      0.788      0.625      0.704 
26      1.167       3525        767        227        171      0.182      0.430      0.788      0.625      0.702 
27      1.179       3525        767        227        171      0.182      0.430      0.788      0.625      0.699 
28     1.1759       3525        767        227        171      0.182      0.430      0.788      0.625      0.696 
29     1.1794       3523        769        229        169      0.180      0.425      0.787      0.623      0.694 
30     1.1794       3526        766        226        172      0.183      0.432      0.788      0.627      0.694 
31     1.1714       3527        765        225        173      0.184      0.435      0.789      0.628      0.695 
32     1.1748       3525        767        227        171      0.182      0.430      0.788      0.625      0.697 
33     1.1717       3526        766        226        172      0.183      0.432      0.788      0.627      0.700 
34     1.1782       3526        766        226        172      0.183      0.432      0.788      0.627      0.702 
35     1.1676       3529        763        223        175      0.187      0.440      0.790      0.631      0.705 
36     1.1703       3529        763        223        175      0.187      0.440      0.790      0.631      0.707 
37     1.1696       3532        760        220        178      0.190      0.447      0.791      0.635      0.708 
