# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gcn2.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.5698        867        206         66         34      0.142      0.340      0.768      0.574      0.603 
Train:          1     1.5698       3480        812        272        126      0.134      0.317      0.769      0.564      0.617 
All:          1     1.5698       4352       1013        338        160      0.136      0.321      0.770      0.566      0.614 
Test:          2     1.2696        857        216         79         21      0.089      0.210      0.749      0.504      0.440 
Train:          2     1.2696       3431        861        321         77      0.082      0.193      0.748      0.496      0.463 
All:          2     1.2696       4289       1076        401         97      0.083      0.195      0.748      0.497      0.459 
Test:          3     1.3964        859        214         75         25      0.105      0.250      0.754      0.525      0.517 
Train:          3     1.3964       3464        828        288        110      0.117      0.276      0.762      0.542      0.577 
All:          3     1.3964       4327       1038        363        135      0.115      0.271      0.761      0.539      0.565 
Test:          4     1.2797        859        214         60         40      0.157      0.400      0.766      0.600      0.666 
Train:          4     1.2797       3514        778        238        160      0.171      0.402      0.783      0.610      0.702 
All:          4     1.2797       4391        974        299        199      0.170      0.400      0.783      0.609      0.694 
Test:          5      1.225        861        212         52         48      0.185      0.480      0.775      0.641      0.682 
Train:          5      1.225       3530        762        222        176      0.188      0.442      0.790      0.632      0.722 
All:          5      1.225       4411        954        279        219      0.187      0.440      0.790      0.631      0.714 
Test:          6     1.2336        861        212         51         49      0.188      0.490      0.776      0.646      0.688 
Train:          6     1.2336       3535        757        217        181      0.193      0.455      0.792      0.639      0.726 
All:          6     1.2336       4420        945        270        228      0.194      0.458      0.793      0.641      0.718 
Test:          7     1.2622        858        215         51         49      0.186      0.490      0.773      0.645      0.689 
Train:          7     1.2622       3538        754        214        184      0.196      0.462      0.794      0.643      0.726 
All:          7     1.2622       4420        945        270        228      0.194      0.458      0.793      0.641      0.719 
Test:          8     1.2677        859        214         52         48      0.183      0.480      0.773      0.640      0.689 
Train:          8     1.2677       3536        756        216        182      0.194      0.457      0.793      0.641      0.725 
All:          8     1.2677       4419        946        271        227      0.194      0.456      0.792      0.640      0.718 
Test:          9     1.2336        858        215         54         46      0.176      0.460      0.771      0.630      0.687 
Train:          9     1.2336       3532        760        220        178      0.190      0.447      0.791      0.635      0.721 
All:          9     1.2336       4411        954        279        219      0.187      0.440      0.790      0.631      0.714 
Test:         10     1.2131        852        221         57         43      0.163      0.430      0.763      0.612      0.682 
Train:         10     1.2131       3522        770        230        168      0.179      0.422      0.787      0.621      0.709 
All:         10     1.2131       4400        965        290        208      0.177      0.418      0.786      0.619      0.704 
Test:         11     1.2102        848        225         57         43      0.160      0.430      0.760      0.610      0.673 
Train:         11     1.2102       3514        778        238        160      0.171      0.402      0.783      0.610      0.691 
All:         11     1.2102       4392        973        298        200      0.171      0.402      0.783      0.610      0.688 
Test:         12      1.213        856        217         58         42      0.162      0.420      0.766      0.609      0.667 
Train:         12      1.213       3516        776        236        162      0.173      0.407      0.784      0.613      0.679 
All:         12      1.213       4391        974        299        199      0.170      0.400      0.783      0.609      0.677 
Test:         13     1.2164        856        217         58         42      0.162      0.420      0.766      0.609      0.672 
Train:         13     1.2164       3521        771        231        167      0.178      0.420      0.786      0.620      0.683 
All:         13     1.2164       4397        968        293        205      0.175      0.412      0.785      0.616      0.681 
Test:         14     1.2213        853        220         57         43      0.163      0.430      0.764      0.612      0.681 
Train:         14     1.2213       3524        768        228        170      0.181      0.427      0.788      0.624      0.695 
All:         14     1.2213       4403        962        287        211      0.180      0.424      0.787      0.622      0.692 
Test:         15     1.1949        863        210         56         44      0.173      0.440      0.773      0.622      0.688 
Train:         15     1.1949       3526        766        226        172      0.183      0.432      0.788      0.627      0.704 
All:         15     1.1949       4407        958        283        215      0.183      0.432      0.788      0.627      0.700 
Test:         16     1.1838        868        205         54         46      0.183      0.460      0.779      0.634      0.690 
Train:         16     1.1838       3534        758        218        180      0.192      0.452      0.792      0.638      0.710 
All:         16     1.1838       4415        950        275        223      0.190      0.448      0.791      0.635      0.706 
Test:         17     1.1789        866        207         53         47      0.185      0.470      0.778      0.639      0.691 
Train:         17     1.1789       3536        756        216        182      0.194      0.457      0.793      0.641      0.712 
All:         17     1.1789       4417        948        273        225      0.192      0.452      0.792      0.638      0.708 
Test:         18     1.1904        866        207         52         48      0.188      0.480      0.779      0.644      0.691 
Train:         18     1.1904       3534        758        218        180      0.192      0.452      0.792      0.638      0.713 
All:         18     1.1904       4418        947        272        226      0.193      0.454      0.792      0.639      0.708 
Test:         19     1.1891        869        204         54         46      0.184      0.460      0.780      0.635      0.690 
Train:         19     1.1891       3531        761        221        177      0.189      0.445      0.791      0.634      0.711 
All:         19     1.1891       4415        950        275        223      0.190      0.448      0.791      0.635      0.707 
Test:         20     1.1875        870        203         54         46      0.185      0.460      0.781      0.635      0.688 
Train:         20     1.1875       3529        763        223        175      0.187      0.440      0.790      0.631      0.708 
All:         20     1.1875       4411        954        279        219      0.187      0.440      0.790      0.631      0.704 
Test:         21      1.185        867        206         56         44      0.176      0.440      0.777      0.624      0.685 
Train:         21      1.185       3524        768        228        170      0.181      0.427      0.788      0.624      0.702 
All:         21      1.185       4406        959        284        214      0.182      0.430      0.788      0.625      0.699 
Test:         22      1.171        873        200         60         40      0.167      0.400      0.778      0.607      0.681 
Train:         22      1.171       3519        773        233        165      0.176      0.415      0.786      0.617      0.696 
All:         22      1.171       4396        969        294        204      0.174      0.410      0.785      0.615      0.693 
Test:         23      1.167        871        202         60         40      0.165      0.400      0.777      0.606      0.678 
Train:         23      1.167       3520        772        232        166      0.177      0.417      0.786      0.619      0.692 
All:         23      1.167       4396        969        294        204      0.174      0.410      0.785      0.615      0.689 
Test:         24      1.173        871        202         61         39      0.162      0.390      0.776      0.601      0.678 
Train:         24      1.173       3519        773        233        165      0.176      0.415      0.786      0.617      0.691 
All:         24      1.173       4394        971        296        202      0.172      0.406      0.784      0.612      0.689 
Test:         25     1.1758        874        199         59         41      0.171      0.410      0.780      0.612      0.680 
Train:         25     1.1758       3519        773        233        165      0.176      0.415      0.786      0.617      0.695 
All:         25     1.1758       4398        967        292        206      0.176      0.414      0.785      0.617      0.692 
Test:         26     1.1757        869        204         57         43      0.174      0.430      0.777      0.620      0.684 
Train:         26     1.1757       3526        766        226        172      0.183      0.432      0.788      0.627      0.700 
All:         26     1.1757       4406        959        284        214      0.182      0.430      0.788      0.625      0.697 
Test:         27      1.168        866        207         54         46      0.182      0.460      0.777      0.634      0.688 
Train:         27      1.168       3528        764        224        174      0.186      0.437      0.789      0.630      0.707 
All:         27      1.168       4410        955        280        218      0.186      0.438      0.789      0.630      0.703 
Test:         28     1.1685        869        204         54         46      0.184      0.460      0.780      0.635      0.690 
Train:         28     1.1685       3531        761        221        177      0.189      0.445      0.791      0.634      0.711 
All:         28     1.1685       4414        951        276        222      0.189      0.446      0.791      0.634      0.707 
Test:         29     1.1684        863        210         54         46      0.180      0.460      0.775      0.632      0.691 
Train:         29     1.1684       3535        757        217        181      0.193      0.455      0.792      0.639      0.714 
All:         29     1.1684       4416        949        274        224      0.191      0.450      0.791      0.636      0.709 
Test:         30      1.164        866        207         54         46      0.182      0.460      0.777      0.634      0.692 
Train:         30      1.164       3537        755        215        183      0.195      0.460      0.793      0.642      0.715 
All:         30      1.164       4419        946        271        227      0.194      0.456      0.792      0.640      0.710 
