# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gin.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.3017        897        176         49         51      0.225      0.510      0.808      0.673      0.702 
Train:          1     1.3017       3529        763        223        175      0.187      0.440      0.790      0.631      0.641 
All:          1     1.3017       4418        947        272        226      0.193      0.454      0.792      0.639      0.654 
Test:          2     1.2635        900        173         50         50      0.224      0.500      0.810      0.669      0.753 
Train:          2     1.2635       3533        759        219        179      0.191      0.450      0.791      0.636      0.693 
All:          2     1.2635       4422        943        268        230      0.196      0.462      0.793      0.643      0.705 
Test:          3     1.2307        895        178         48         52      0.226      0.520      0.807      0.677      0.759 
Train:          3     1.2307       3532        760        220        178      0.190      0.447      0.791      0.635      0.697 
All:          3     1.2307       4422        943        268        230      0.196      0.462      0.793      0.643      0.709 
Test:          4     1.2021        893        180         48         52      0.224      0.520      0.806      0.676      0.766 
Train:          4     1.2021       3532        760        220        178      0.190      0.447      0.791      0.635      0.697 
All:          4     1.2021       4423        942        267        231      0.197      0.464      0.794      0.644      0.711 
Test:          5     1.1834        888        185         47         53      0.223      0.530      0.802      0.679      0.768 
Train:          5     1.1834       3534        758        218        180      0.192      0.452      0.792      0.638      0.697 
All:          5     1.1834       4424        941        266        232      0.198      0.466      0.794      0.645      0.712 
Test:          6     1.1835        887        186         43         57      0.235      0.570      0.805      0.698      0.769 
Train:          6     1.1835       3535        757        217        181      0.193      0.455      0.792      0.639      0.700 
All:          6     1.1835       4429        936        261        237      0.202      0.476      0.796      0.651      0.714 
Test:          7     1.1722        887        186         45         55      0.228      0.550      0.803      0.688      0.770 
Train:          7     1.1722       3536        756        216        182      0.194      0.457      0.793      0.641      0.704 
All:          7     1.1722       4429        936        261        237      0.202      0.476      0.796      0.651      0.718 
Test:          8     1.1649        877        196         42         58      0.228      0.580      0.797      0.699      0.772 
Train:          8     1.1649       3540        752        212        186      0.198      0.467      0.794      0.646      0.711 
All:          8     1.1649       4433        932        257        241      0.205      0.484      0.797      0.655      0.724 
Test:          9     1.1611        876        197         41         59      0.230      0.590      0.797      0.703      0.771 
Train:          9     1.1611       3546        746        206        192      0.205      0.482      0.797      0.654      0.719 
All:          9     1.1611       4443        922        247        251      0.214      0.504      0.801      0.666      0.730 
Test:         10     1.1583        893        180         47         53      0.227      0.530      0.806      0.681      0.749 
Train:         10     1.1583       3538        754        214        184      0.196      0.462      0.794      0.643      0.719 
All:         10     1.1583       4431        934        259        239      0.204      0.480      0.797      0.653      0.725 
Test:         11      1.139        888        185         50         50      0.213      0.500      0.800      0.664      0.686 
Train:         11      1.139       3515        777        237        161      0.172      0.405      0.784      0.612      0.670 
All:         11      1.139       4403        962        287        211      0.180      0.424      0.787      0.622      0.673 
Test:         12     1.1379        870        203         61         39      0.161      0.390      0.775      0.600      0.628 
Train:         12     1.1379       3500        792        252        146      0.156      0.367      0.777      0.591      0.631 
All:         12     1.1379       4376        989        314        184      0.157      0.369      0.778      0.593      0.631 
Test:         13     1.1379        867        206         65         35      0.145      0.350      0.769      0.579      0.598 
Train:         13     1.1379       3495        797        257        141      0.150      0.354      0.775      0.584      0.613 
All:         13     1.1379       4368        997        322        176      0.150      0.353      0.775      0.584      0.610 
Test:         14     1.1318        868        205         62         38      0.156      0.380      0.772      0.594      0.611 
Train:         14     1.1318       3502        790        250        148      0.158      0.372      0.778      0.594      0.623 
All:         14     1.1318       4376        989        314        184      0.157      0.369      0.778      0.593      0.621 
Test:         15     1.1354        885        188         54         46      0.197      0.460      0.794      0.642      0.673 
Train:         15     1.1354       3517        775        235        163      0.174      0.410      0.785      0.614      0.668 
All:         15     1.1354       4401        964        289        209      0.178      0.420      0.786      0.620      0.669 
Test:         16     1.1346        886        187         48         52      0.218      0.520      0.800      0.673      0.725 
Train:         16     1.1346       3538        754        214        184      0.196      0.462      0.794      0.643      0.719 
All:         16     1.1346       4428        937        262        236      0.201      0.474      0.795      0.650      0.720 
Test:         17     1.1411        890        183         45         55      0.231      0.550      0.806      0.690      0.748 
Train:         17     1.1411       3548        744        204        194      0.207      0.487      0.798      0.657      0.731 
All:         17     1.1411       4441        924        249        249      0.212      0.500      0.800      0.664      0.734 
Test:         18     1.1213        883        190         46         54      0.221      0.540      0.799      0.681      0.758 
Train:         18     1.1213       3549        743        203        195      0.208      0.490      0.798      0.658      0.735 
All:         18     1.1213       4441        924        249        249      0.212      0.500      0.800      0.664      0.740 
Test:         19     1.1181        882        191         44         56      0.227      0.560      0.800      0.691      0.763 
Train:         19     1.1181       3557        735        195        203      0.216      0.510      0.802      0.669      0.738 
All:         19     1.1181       4449        916        241        257      0.219      0.516      0.803      0.673      0.743 
Test:         20     1.1106        882        191         44         56      0.227      0.560      0.800      0.691      0.765 
Train:         20     1.1106       3559        733        193        205      0.219      0.515      0.803      0.672      0.740 
All:         20     1.1106       4452        913        238        260      0.222      0.522      0.804      0.676      0.745 
Test:         21     1.1222        882        191         44         56      0.227      0.560      0.800      0.691      0.766 
Train:         21     1.1222       3560        732        192        206      0.220      0.518      0.803      0.674      0.742 
All:         21     1.1222       4453        912        237        261      0.223      0.524      0.804      0.677      0.747 
Test:         22      1.119        876        197         44         56      0.221      0.560      0.795      0.688      0.769 
Train:         22      1.119       3562        730        190        208      0.222      0.523      0.804      0.676      0.743 
All:         22      1.119       4454        911        236        262      0.223      0.526      0.804      0.678      0.748 
Test:         23     1.1085        874        199         42         58      0.226      0.580      0.795      0.697      0.773 
Train:         23     1.1085       3559        733        193        205      0.219      0.515      0.803      0.672      0.743 
All:         23     1.1085       4453        912        237        261      0.223      0.524      0.804      0.677      0.749 
Test:         24     1.1138        881        192         41         59      0.235      0.590      0.801      0.706      0.776 
Train:         24     1.1138       3559        733        193        205      0.219      0.515      0.803      0.672      0.742 
All:         24     1.1138       4451        914        239        259      0.221      0.520      0.803      0.675      0.749 
Test:         25     1.1087        884        189         42         58      0.235      0.580      0.803      0.702      0.777 
Train:         25     1.1087       3557        735        195        203      0.216      0.510      0.802      0.669      0.744 
All:         25     1.1087       4450        915        240        258      0.220      0.518      0.803      0.674      0.750 
Test:         26     1.1124        876        197         41         59      0.230      0.590      0.797      0.703      0.774 
Train:         26     1.1124       3554        738        198        200      0.213      0.503      0.800      0.665      0.745 
All:         26     1.1124       4448        917        242        256      0.218      0.514      0.802      0.672      0.751 
Test:         27     1.1088        880        193         43         57      0.228      0.570      0.799      0.695      0.779 
Train:         27     1.1088       3551        741        201        197      0.210      0.495      0.799      0.661      0.741 
All:         27     1.1088       4444        921        246        252      0.215      0.506      0.801      0.667      0.749 
Test:         28     1.1018        878        195         42         58      0.229      0.580      0.798      0.699      0.775 
Train:         28     1.1018       3549        743        203        195      0.208      0.490      0.798      0.658      0.744 
All:         28     1.1018       4445        920        245        253      0.216      0.508      0.801      0.668      0.751 
Test:         29     1.0947        868        205         42         58      0.221      0.580      0.789      0.694      0.774 
Train:         29     1.0947       3558        734        194        204      0.217      0.513      0.802      0.671      0.748 
All:         29     1.0947       4450        915        240        258      0.220      0.518      0.803      0.674      0.754 
Test:         30     1.0992        879        194         41         59      0.233      0.590      0.800      0.705      0.783 
Train:         30     1.0992       3551        741        201        197      0.210      0.495      0.799      0.661      0.742 
All:         30     1.0992       4447        918        243        255      0.217      0.512      0.802      0.670      0.751 
Test:         31     1.1006        881        192         41         59      0.235      0.590      0.801      0.706      0.784 
Train:         31     1.1006       3552        740        200        198      0.211      0.497      0.800      0.663      0.743 
All:         31     1.1006       4449        916        241        257      0.219      0.516      0.803      0.673      0.751 
