# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gin.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.2723       4331       1034        359        139      0.118      0.279      0.762      0.543      0.506 
2     1.2305       4409        956        281        217      0.185      0.436      0.789      0.629      0.707 
3     1.2118       4420        945        270        228      0.194      0.458      0.793      0.641      0.713 
4     1.1905       4424        941        266        232      0.198      0.466      0.794      0.645      0.715 
5     1.1816       4429        936        261        237      0.202      0.476      0.796      0.651      0.717 
6     1.1683       4431        934        259        239      0.204      0.480      0.797      0.653      0.718 
7     1.1602       4433        932        257        241      0.205      0.484      0.797      0.655      0.720 
8      1.153       4435        930        255        243      0.207      0.488      0.798      0.657      0.723 
9     1.1403       4436        929        254        244      0.208      0.490      0.798      0.658      0.727 
10     1.1447       4442        923        248        250      0.213      0.502      0.800      0.665      0.730 
11     1.1419       4438        927        252        246      0.210      0.494      0.799      0.661      0.732 
12     1.1366       4439        926        251        247      0.211      0.496      0.799      0.662      0.733 
13     1.1391       4443        922        247        251      0.214      0.504      0.801      0.666      0.734 
14      1.131       4443        922        247        251      0.214      0.504      0.801      0.666      0.734 
15     1.1271       4442        923        248        250      0.213      0.502      0.800      0.665      0.734 
16     1.1408       4442        923        248        250      0.213      0.502      0.800      0.665      0.735 
17     1.1382       4444        921        246        252      0.215      0.506      0.801      0.667      0.736 
18     1.1153       4444        921        246        252      0.215      0.506      0.801      0.667      0.737 
19     1.1242       4443        922        247        251      0.214      0.504      0.801      0.666      0.738 
20     1.1192       4443        922        247        251      0.214      0.504      0.801      0.666      0.738 
21     1.1105       4442        923        248        250      0.213      0.502      0.800      0.665      0.739 
22     1.1184       4440        925        250        248      0.211      0.498      0.800      0.663      0.739 
23     1.1232       4439        926        251        247      0.211      0.496      0.799      0.662      0.739 
24     1.1164       4443        922        247        251      0.214      0.504      0.801      0.666      0.740 
25     1.1087       4442        923        248        250      0.213      0.502      0.800      0.665      0.741 
26     1.1089       4444        921        246        252      0.215      0.506      0.801      0.667      0.741 
27     1.1053       4444        921        246        252      0.215      0.506      0.801      0.667      0.741 
28      1.106       4446        919        244        254      0.217      0.510      0.802      0.669      0.741 
29     1.1018       4444        921        246        252      0.215      0.506      0.801      0.667      0.741 
30     1.0837       4444        921        246        252      0.215      0.506      0.801      0.667      0.741 
31       1.09       4445        920        245        253      0.216      0.508      0.801      0.668      0.743 
32     1.0984       4443        922        247        251      0.214      0.504      0.801      0.666      0.744 
33     1.1011       4446        919        244        254      0.217      0.510      0.802      0.669      0.744 
34     1.0891       4442        923        248        250      0.213      0.502      0.800      0.665      0.744 
35     1.0944       4447        918        243        255      0.217      0.512      0.802      0.670      0.746 
36     1.0947       4441        924        249        249      0.212      0.500      0.800      0.664      0.746 
37     1.0907       4446        919        244        254      0.217      0.510      0.802      0.669      0.747 
38     1.0883       4448        917        242        256      0.218      0.514      0.802      0.672      0.748 
39     1.0836       4447        918        243        255      0.217      0.512      0.802      0.670      0.748 
40     1.0845       4449        916        241        257      0.219      0.516      0.803      0.673      0.749 
41     1.0823       4447        918        243        255      0.217      0.512      0.802      0.670      0.749 
42     1.0766       4453        912        237        261      0.223      0.524      0.804      0.677      0.751 
43     1.0778       4454        911        236        262      0.223      0.526      0.804      0.678      0.752 
44     1.0706       4447        918        243        255      0.217      0.512      0.802      0.670      0.751 
45      1.089       4324       1041        252        246      0.191      0.494      0.779      0.650      0.736 
46     1.0935       4450        915        240        258      0.220      0.518      0.803      0.674      0.746 
47     1.0743       4450        915        240        258      0.220      0.518      0.803      0.674      0.754 
48     1.0809       4446        919        244        254      0.217      0.510      0.802      0.669      0.753 
49     1.0902       4448        917        242        256      0.218      0.514      0.802      0.672      0.755 
50     1.0791       4453        912        237        261      0.223      0.524      0.804      0.677      0.756 
51     1.0817       4454        911        236        262      0.223      0.526      0.804      0.678      0.752 
52     1.0677       4452        913        238        260      0.222      0.522      0.804      0.676      0.757 
53     1.0633       4450        915        240        258      0.220      0.518      0.803      0.674      0.756 
54     1.0674       4448        917        242        256      0.218      0.514      0.802      0.672      0.755 
55     1.0656       4454        911        236        262      0.223      0.526      0.804      0.678      0.757 
56     1.0695       4454        911        236        262      0.223      0.526      0.804      0.678      0.755 
57     1.0561       4458        907        232        266      0.227      0.534      0.806      0.683      0.758 
58     1.0702       4456        909        234        264      0.225      0.530      0.805      0.680      0.758 
59     1.0533       4455        910        235        263      0.224      0.528      0.805      0.679      0.758 
60     1.0633       4457        908        233        265      0.226      0.532      0.805      0.681      0.756 
61     1.0611       4447        918        243        255      0.217      0.512      0.802      0.670      0.746 
62     1.0649       4451        914        239        259      0.221      0.520      0.803      0.675      0.749 
63     1.0584       4458        907        232        266      0.227      0.534      0.806      0.683      0.759 
64     1.0697       4458        907        232        266      0.227      0.534      0.806      0.683      0.760 
65     1.0584       4453        912        237        261      0.223      0.524      0.804      0.677      0.752 
66     1.0654       4454        911        236        262      0.223      0.526      0.804      0.678      0.750 
67      1.061       4458        907        232        266      0.227      0.534      0.806      0.683      0.761 
68     1.0678       4458        907        232        266      0.227      0.534      0.806      0.683      0.761 
69     1.0616       4463        902        227        271      0.231      0.544      0.807      0.688      0.762 
70     1.0644       4458        907        232        266      0.227      0.534      0.806      0.683      0.755 
71     1.0607       4463        902        227        271      0.231      0.544      0.807      0.688      0.763 
72     1.0554       4463        902        227        271      0.231      0.544      0.807      0.688      0.763 
73     1.0502       4466        899        224        274      0.234      0.550      0.808      0.691      0.765 
74     1.0521       4465        900        225        273      0.233      0.548      0.808      0.690      0.766 
75     1.0377       4466        899        224        274      0.234      0.550      0.808      0.691      0.766 
76     1.0428       4464        901        226        272      0.232      0.546      0.808      0.689      0.765 
77       1.03       4460        905        230        268      0.228      0.538      0.806      0.685      0.764 
78     1.0442       4462        903        228        270      0.230      0.542      0.807      0.687      0.765 
79     1.0563       4467        898        223        275      0.234      0.552      0.809      0.692      0.764 
80      1.068       4453        912        237        261      0.223      0.524      0.804      0.677      0.758 
81     1.0625       4452        913        238        260      0.222      0.522      0.804      0.676      0.757 
82      1.053       4462        903        228        270      0.230      0.542      0.807      0.687      0.762 
83     1.0606       4460        905        230        268      0.228      0.538      0.806      0.685      0.762 
84      1.064       4456        909        234        264      0.225      0.530      0.805      0.680      0.760 
85     1.0629       4454        911        236        262      0.223      0.526      0.804      0.678      0.757 
86     1.0606       4451        914        239        259      0.221      0.520      0.803      0.675      0.754 
87     1.0494       4453        912        237        261      0.223      0.524      0.804      0.677      0.755 
88     1.0589       4461        904        229        269      0.229      0.540      0.807      0.686      0.761 
89     1.0614       4459        906        231        267      0.228      0.536      0.806      0.684      0.762 
90     1.0577       4455        910        235        263      0.224      0.528      0.805      0.679      0.762 
91     1.0766       4461        904        229        269      0.229      0.540      0.807      0.686      0.764 
92     1.0532       4459        906        231        267      0.228      0.536      0.806      0.684      0.765 
93     1.0503       4463        902        227        271      0.231      0.544      0.807      0.688      0.766 
94     1.0452       4462        903        228        270      0.230      0.542      0.807      0.687      0.761 
95     1.0451       4467        898        223        275      0.234      0.552      0.809      0.692      0.768 
96     1.0412       4467        898        223        275      0.234      0.552      0.809      0.692      0.768 
97     1.0462       4466        899        224        274      0.234      0.550      0.808      0.691      0.768 
98     1.0407       4467        898        223        275      0.234      0.552      0.809      0.692      0.768 
99     1.0417       4465        900        225        273      0.233      0.548      0.808      0.690      0.767 
100      1.051       4469        896        221        277      0.236      0.556      0.809      0.695      0.769 
101     1.0303       4463        902        227        271      0.231      0.544      0.807      0.688      0.764 
102     1.0489       4468        897        222        276      0.235      0.554      0.809      0.694      0.770 
103     1.0385       4466        899        224        274      0.234      0.550      0.808      0.691      0.769 
104     1.0273       4468        897        222        276      0.235      0.554      0.809      0.694      0.769 
105     1.0452       4470        895        220        278      0.237      0.558      0.810      0.696      0.770 
106     1.0442       4474        891        216        282      0.240      0.566      0.811      0.700      0.773 
107     1.0357       4468        897        222        276      0.235      0.554      0.809      0.694      0.773 
108     1.0415       4454        911        236        262      0.223      0.526      0.804      0.678      0.748 
109     1.0378       4470        895        220        278      0.237      0.558      0.810      0.696      0.776 
110      1.046       4463        902        227        271      0.231      0.544      0.807      0.688      0.772 
111     1.0353       4472        893        218        280      0.239      0.562      0.811      0.698      0.775 
112     1.0384       4473        892        217        281      0.240      0.564      0.811      0.699      0.768 
113     1.0327       4470        895        220        278      0.237      0.558      0.810      0.696      0.772 
114     1.0328       4466        899        224        274      0.234      0.550      0.808      0.691      0.773 
115     1.0377       4469        896        221        277      0.236      0.556      0.809      0.695      0.771 
116      1.028       4463        902        227        271      0.231      0.544      0.807      0.688      0.757 
117     1.0181       4468        897        222        276      0.235      0.554      0.809      0.694      0.772 
118     1.0346       4466        899        224        274      0.234      0.550      0.808      0.691      0.772 
119     1.0314       4453        912        237        261      0.223      0.524      0.804      0.677      0.748 
120     1.0192       4459        906        231        267      0.228      0.536      0.806      0.684      0.765 
121     1.0494       4472        893        218        280      0.239      0.562      0.811      0.698      0.774 
122     1.0252       4470        895        220        278      0.237      0.558      0.810      0.696      0.773 
123     1.0207       4467        898        223        275      0.234      0.552      0.809      0.692      0.776 
124     1.0366       4472        893        218        280      0.239      0.562      0.811      0.698      0.777 
125     1.0165       4471        894        219        279      0.238      0.560      0.810      0.697      0.771 
126     1.0216       4472        893        218        280      0.239      0.562      0.811      0.698      0.774 
127     1.0251       4461        904        229        269      0.229      0.540      0.807      0.686      0.759 
128     1.0238       4463        902        227        271      0.231      0.544      0.807      0.688      0.764 
129     1.0142       4473        892        217        281      0.240      0.564      0.811      0.699      0.778 
130     1.0271       4415        950        275        223      0.190      0.448      0.791      0.635      0.658 
131     1.1061       4449        916        241        257      0.219      0.516      0.803      0.673      0.752 
132     1.1867       4450        915        240        258      0.220      0.518      0.803      0.674      0.746 
133     1.1789       4447        918        243        255      0.217      0.512      0.802      0.670      0.743 
134     1.1123       4440        925        250        248      0.211      0.498      0.800      0.663      0.740 
135     1.1047       4440        925        250        248      0.211      0.498      0.800      0.663      0.739 
136     1.1289       4444        921        246        252      0.215      0.506      0.801      0.667      0.740 
137     1.1509       4445        920        245        253      0.216      0.508      0.801      0.668      0.743 
138     1.1462       4450        915        240        258      0.220      0.518      0.803      0.674      0.744 
139      1.143       4452        913        238        260      0.222      0.522      0.804      0.676      0.746 
140     1.1362       4450        915        240        258      0.220      0.518      0.803      0.674      0.747 
141     1.1046       4450        915        240        258      0.220      0.518      0.803      0.674      0.749 
142     1.1055       4451        914        239        259      0.221      0.520      0.803      0.675      0.748 
143     1.1036       4452        913        238        260      0.222      0.522      0.804      0.676      0.748 
144     1.0978       4453        912        237        261      0.223      0.524      0.804      0.677      0.748 
145     1.0975       4455        910        235        263      0.224      0.528      0.805      0.679      0.749 
146     1.0962       4457        908        233        265      0.226      0.532      0.805      0.681      0.751 
147     1.0953       4460        905        230        268      0.228      0.538      0.806      0.685      0.753 
148     1.0848       4461        904        229        269      0.229      0.540      0.807      0.686      0.755 
149     1.0862       4460        905        230        268      0.228      0.538      0.806      0.685      0.756 
150     1.0756       4457        908        233        265      0.226      0.532      0.805      0.681      0.757 
151     1.0785       4457        908        233        265      0.226      0.532      0.805      0.681      0.757 
152     1.0679       4455        910        235        263      0.224      0.528      0.805      0.679      0.758 
153     1.0865       4452        913        238        260      0.222      0.522      0.804      0.676      0.758 
154     1.0799       4461        904        229        269      0.229      0.540      0.807      0.686      0.760 
155     1.0789       4467        898        223        275      0.234      0.552      0.809      0.692      0.760 
156     1.0719       4463        902        227        271      0.231      0.544      0.807      0.688      0.761 
157     1.0782       4464        901        226        272      0.232      0.546      0.808      0.689      0.761 
158     1.0724       4463        902        227        271      0.231      0.544      0.807      0.688      0.761 
159     1.0652       4461        904        229        269      0.229      0.540      0.807      0.686      0.761 
160      1.058       4459        906        231        267      0.228      0.536      0.806      0.684      0.761 
161      1.082       4460        905        230        268      0.228      0.538      0.806      0.685      0.761 
162     1.0677       4459        906        231        267      0.228      0.536      0.806      0.684      0.761 
163     1.0665       4458        907        232        266      0.227      0.534      0.806      0.683      0.761 
164      1.069       4459        906        231        267      0.228      0.536      0.806      0.684      0.761 
165     1.0767       4460        905        230        268      0.228      0.538      0.806      0.685      0.762 
166     1.0647       4464        901        226        272      0.232      0.546      0.808      0.689      0.764 
167     1.0497       4461        904        229        269      0.229      0.540      0.807      0.686      0.765 
168     1.0611       4458        907        232        266      0.227      0.534      0.806      0.683      0.766 
169     1.0667       4457        908        233        265      0.226      0.532      0.805      0.681      0.767 
170      1.056       4459        906        231        267      0.228      0.536      0.806      0.684      0.767 
171     1.0545       4460        905        230        268      0.228      0.538      0.806      0.685      0.767 
172     1.0528       4461        904        229        269      0.229      0.540      0.807      0.686      0.767 
173     1.0447       4464        901        226        272      0.232      0.546      0.808      0.689      0.767 
174      1.057       4465        900        225        273      0.233      0.548      0.808      0.690      0.767 
175     1.0503       4466        899        224        274      0.234      0.550      0.808      0.691      0.767 
176     1.0495       4463        902        227        271      0.231      0.544      0.807      0.688      0.768 
177     1.0516       4465        900        225        273      0.233      0.548      0.808      0.690      0.768 
178     1.0514       4466        899        224        274      0.234      0.550      0.808      0.691      0.768 
179     1.0512       4466        899        224        274      0.234      0.550      0.808      0.691      0.769 
180     1.0306       4467        898        223        275      0.234      0.552      0.809      0.692      0.769 
181     1.0533       4467        898        223        275      0.234      0.552      0.809      0.692      0.770 
182     1.0616       4468        897        222        276      0.235      0.554      0.809      0.694      0.771 
183     1.0509       4470        895        220        278      0.237      0.558      0.810      0.696      0.772 
184     1.0544       4468        897        222        276      0.235      0.554      0.809      0.694      0.773 
185     1.0368       4470        895        220        278      0.237      0.558      0.810      0.696      0.774 
186     1.0505       4470        895        220        278      0.237      0.558      0.810      0.696      0.774 
187     1.0357       4471        894        219        279      0.238      0.560      0.810      0.697      0.774 
188     1.0382       4471        894        219        279      0.238      0.560      0.810      0.697      0.774 
189     1.0405       4470        895        220        278      0.237      0.558      0.810      0.696      0.775 
190     1.0283       4473        892        217        281      0.240      0.564      0.811      0.699      0.774 
191     1.0397       4474        891        216        282      0.240      0.566      0.811      0.700      0.773 
192     1.0389       4474        891        216        282      0.240      0.566      0.811      0.700      0.773 
193     1.0422       4474        891        216        282      0.240      0.566      0.811      0.700      0.773 
194     1.0453       4471        894        219        279      0.238      0.560      0.810      0.697      0.774 
195     1.0326       4471        894        219        279      0.238      0.560      0.810      0.697      0.774 
196     1.0257       4471        894        219        279      0.238      0.560      0.810      0.697      0.774 
197     1.0402       4470        895        220        278      0.237      0.558      0.810      0.696      0.775 
198     1.0294       4470        895        220        278      0.237      0.558      0.810      0.696      0.775 
199     1.0197       4471        894        219        279      0.238      0.560      0.810      0.697      0.775 
200     1.0209       4474        891        216        282      0.240      0.566      0.811      0.700      0.776 
201     1.0316       4472        893        218        280      0.239      0.562      0.811      0.698      0.777 
202     1.0367       4470        895        220        278      0.237      0.558      0.810      0.696      0.778 
203      1.032       4471        894        219        279      0.238      0.560      0.810      0.697      0.777 
204      1.037       4472        893        218        280      0.239      0.562      0.811      0.698      0.774 
205      1.025       4472        893        218        280      0.239      0.562      0.811      0.698      0.767 
206     1.0356       4476        889        214        284      0.242      0.570      0.812      0.702      0.769 
207     1.0301       4475        890        215        283      0.241      0.568      0.812      0.701      0.779 
208       1.02       4471        894        219        279      0.238      0.560      0.810      0.697      0.779 
209     1.0402       4473        892        217        281      0.240      0.564      0.811      0.699      0.779 
210     1.0375       4478        887        212        286      0.244      0.574      0.813      0.704      0.780 
211     1.0251       4476        889        214        284      0.242      0.570      0.812      0.702      0.778 
212     1.0203       4479        886        211        287      0.245      0.576      0.813      0.706      0.776 
213     1.0198       4478        887        212        286      0.244      0.574      0.813      0.704      0.777 
214     1.0331       4476        889        214        284      0.242      0.570      0.812      0.702      0.781 
215     1.0172       4476        889        214        284      0.242      0.570      0.812      0.702      0.782 
216     1.0191       4473        892        217        281      0.240      0.564      0.811      0.699      0.783 
217      1.015       4477        888        213        285      0.243      0.572      0.812      0.703      0.783 
218     1.0225       4478        887        212        286      0.244      0.574      0.813      0.704      0.782 
219     1.0182       4479        886        211        287      0.245      0.576      0.813      0.706      0.782 
220      1.026       4480        885        210        288      0.246      0.578      0.813      0.707      0.782 
221     1.0203       4484        881        206        292      0.249      0.586      0.815      0.711      0.782 
222     1.0149       4483        882        207        291      0.248      0.584      0.814      0.710      0.782 
223     1.0204       4482        883        208        290      0.247      0.582      0.814      0.709      0.782 
224      1.015       4479        886        211        287      0.245      0.576      0.813      0.706      0.780 
225     1.0122       4479        886        211        287      0.245      0.576      0.813      0.706      0.781 
226     1.0051       4480        885        210        288      0.246      0.578      0.813      0.707      0.784 
227     1.0088       4473        892        217        281      0.240      0.564      0.811      0.699      0.785 
228     1.0063       4475        890        215        283      0.241      0.568      0.812      0.701      0.783 
229     1.0315       4475        890        215        283      0.241      0.568      0.812      0.701      0.784 
230     1.0079       4474        891        216        282      0.240      0.566      0.811      0.700      0.782 
231    0.99954       4475        890        215        283      0.241      0.568      0.812      0.701      0.784 
232     1.0203       4478        887        212        286      0.244      0.574      0.813      0.704      0.785 
233     1.0083       4478        887        212        286      0.244      0.574      0.813      0.704      0.786 
234     1.0116       4480        885        210        288      0.246      0.578      0.813      0.707      0.784 
235     1.0135       4480        885        210        288      0.246      0.578      0.813      0.707      0.783 
236     1.0096       4478        887        212        286      0.244      0.574      0.813      0.704      0.782 
237     1.0141       4486        879        204        294      0.251      0.590      0.815      0.713      0.783 
238    0.99832       4471        894        219        279      0.238      0.560      0.810      0.697      0.778 
239     1.0208       4481        884        209        289      0.246      0.580      0.814      0.708      0.786 
240     1.0073       4481        884        209        289      0.246      0.580      0.814      0.708      0.786 
241     1.0029       4480        885        210        288      0.246      0.578      0.813      0.707      0.787 
242     1.0069       4464        901        207        291      0.244      0.584      0.811      0.708      0.781 
243     1.0115       4485        880        205        293      0.250      0.588      0.815      0.712      0.788 
244     1.0072       4483        882        207        291      0.248      0.584      0.814      0.710      0.787 
245    0.99509       4481        884        209        289      0.246      0.580      0.814      0.708      0.786 
246    0.98484       4483        882        207        291      0.248      0.584      0.814      0.710      0.786 
247     1.0053       4473        892        217        281      0.240      0.564      0.811      0.699      0.778 
248     1.0018       4481        884        209        289      0.246      0.580      0.814      0.708      0.786 
249     1.0026       4486        879        204        294      0.251      0.590      0.815      0.713      0.788 
250     1.0092       4485        880        205        293      0.250      0.588      0.815      0.712      0.791 
251     1.0164       4480        885        210        288      0.246      0.578      0.813      0.707      0.785 
252     1.0006       4482        883        208        290      0.247      0.582      0.814      0.709      0.790 
253    0.98279       4481        884        209        289      0.246      0.580      0.814      0.708      0.789 
254    0.98663       4481        884        209        289      0.246      0.580      0.814      0.708      0.790 
255    0.97562       4454        911        205        293      0.243      0.588      0.810      0.709      0.790 
256     1.0029       4483        882        207        291      0.248      0.584      0.814      0.710      0.787 
257    0.99055       4480        885        210        288      0.246      0.578      0.813      0.707      0.788 
258    0.99388       4482        883        208        290      0.247      0.582      0.814      0.709      0.789 
259    0.99514       4477        888        213        285      0.243      0.572      0.812      0.703      0.788 
