# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gin.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.2723       3470        822        282        116      0.124      0.291      0.765      0.550      0.511 
2     1.2305       3532        760        220        178      0.190      0.447      0.791      0.635      0.710 
3     1.2118       3538        754        214        184      0.196      0.462      0.794      0.643      0.718 
4     1.1905       3544        748        208        190      0.203      0.477      0.796      0.652      0.720 
5     1.1816       3547        745        205        193      0.206      0.485      0.797      0.656      0.722 
6     1.1683       3548        744        204        194      0.207      0.487      0.798      0.657      0.723 
7     1.1602       3550        742        202        196      0.209      0.492      0.799      0.660      0.725 
8      1.153       3552        740        200        198      0.211      0.497      0.800      0.663      0.728 
9     1.1403       3554        738        198        200      0.213      0.503      0.800      0.665      0.732 
10     1.1447       3557        735        195        203      0.216      0.510      0.802      0.669      0.736 
11     1.1419       3553        739        199        199      0.212      0.500      0.800      0.664      0.739 
12     1.1366       3553        739        199        199      0.212      0.500      0.800      0.664      0.740 
13     1.1391       3557        735        195        203      0.216      0.510      0.802      0.669      0.741 
14      1.131       3558        734        194        204      0.217      0.513      0.802      0.671      0.741 
15     1.1271       3558        734        194        204      0.217      0.513      0.802      0.671      0.741 
16     1.1408       3558        734        194        204      0.217      0.513      0.802      0.671      0.742 
17     1.1382       3558        734        194        204      0.217      0.513      0.802      0.671      0.744 
18     1.1153       3557        735        195        203      0.216      0.510      0.802      0.669      0.745 
19     1.1242       3558        734        194        204      0.217      0.513      0.802      0.671      0.746 
20     1.1192       3558        734        194        204      0.217      0.513      0.802      0.671      0.747 
21     1.1105       3557        735        195        203      0.216      0.510      0.802      0.669      0.747 
22     1.1184       3559        733        193        205      0.219      0.515      0.803      0.672      0.747 
23     1.1232       3557        735        195        203      0.216      0.510      0.802      0.669      0.748 
24     1.1164       3557        735        195        203      0.216      0.510      0.802      0.669      0.749 
25     1.1087       3557        735        195        203      0.216      0.510      0.802      0.669      0.750 
26     1.1089       3558        734        194        204      0.217      0.513      0.802      0.671      0.750 
27     1.1053       3559        733        193        205      0.219      0.515      0.803      0.672      0.750 
28      1.106       3563        729        189        209      0.223      0.525      0.804      0.678      0.750 
29     1.1018       3562        730        190        208      0.222      0.523      0.804      0.676      0.750 
30     1.0837       3562        730        190        208      0.222      0.523      0.804      0.676      0.751 
31       1.09       3559        733        193        205      0.219      0.515      0.803      0.672      0.753 
32     1.0984       3558        734        194        204      0.217      0.513      0.802      0.671      0.754 
33     1.1011       3562        730        190        208      0.222      0.523      0.804      0.676      0.754 
34     1.0891       3561        731        191        207      0.221      0.520      0.803      0.675      0.754 
35     1.0944       3563        729        189        209      0.223      0.525      0.804      0.678      0.757 
36     1.0947       3559        733        193        205      0.219      0.515      0.803      0.672      0.755 
37     1.0907       3560        732        192        206      0.220      0.518      0.803      0.674      0.757 
38     1.0883       3563        729        189        209      0.223      0.525      0.804      0.678      0.759 
39     1.0836       3563        729        189        209      0.223      0.525      0.804      0.678      0.759 
40     1.0845       3563        729        189        209      0.223      0.525      0.804      0.678      0.761 
41     1.0823       3562        730        190        208      0.222      0.523      0.804      0.676      0.760 
42     1.0766       3569        723        183        215      0.229      0.540      0.807      0.686      0.764 
43     1.0778       3566        726        186        212      0.226      0.533      0.806      0.682      0.764 
44     1.0706       3562        730        190        208      0.222      0.523      0.804      0.676      0.762 
45      1.089       3549        743        203        195      0.208      0.490      0.798      0.658      0.751 
46     1.0935       3563        729        189        209      0.223      0.525      0.804      0.678      0.760 
47     1.0743       3564        728        188        210      0.224      0.528      0.805      0.679      0.765 
48     1.0809       3561        731        191        207      0.221      0.520      0.803      0.675      0.763 
49     1.0902       3564        728        188        210      0.224      0.528      0.805      0.679      0.765 
50     1.0791       3567        725        185        213      0.227      0.535      0.806      0.683      0.768 
51     1.0817       3567        725        185        213      0.227      0.535      0.806      0.683      0.765 
52     1.0677       3566        726        186        212      0.226      0.533      0.806      0.682      0.769 
53     1.0633       3562        730        190        208      0.222      0.523      0.804      0.676      0.766 
54     1.0674       3562        730        190        208      0.222      0.523      0.804      0.676      0.765 
55     1.0656       3569        723        183        215      0.229      0.540      0.807      0.686      0.768 
56     1.0695       3569        723        183        215      0.229      0.540      0.807      0.686      0.768 
57     1.0561       3572        720        180        218      0.232      0.548      0.808      0.690      0.769 
58     1.0702       3571        721        181        217      0.231      0.545      0.808      0.689      0.769 
59     1.0533       3571        721        181        217      0.231      0.545      0.808      0.689      0.770 
60     1.0633       3570        722        182        216      0.230      0.543      0.807      0.687      0.770 
61     1.0611       3565        727        187        211      0.225      0.530      0.805      0.680      0.762 
62     1.0649       3568        724        184        214      0.228      0.538      0.806      0.685      0.763 
63     1.0584       3572        720        180        218      0.232      0.548      0.808      0.690      0.771 
64     1.0697       3572        720        180        218      0.232      0.548      0.808      0.690      0.772 
65     1.0584       3569        723        183        215      0.229      0.540      0.807      0.686      0.766 
66     1.0654       3569        723        183        215      0.229      0.540      0.807      0.686      0.764 
67      1.061       3572        720        180        218      0.232      0.548      0.808      0.690      0.772 
68     1.0678       3572        720        180        218      0.232      0.548      0.808      0.690      0.772 
69     1.0616       3577        715        175        223      0.238      0.560      0.810      0.697      0.774 
70     1.0644       3573        719        179        219      0.233      0.550      0.809      0.691      0.768 
71     1.0607       3573        719        179        219      0.233      0.550      0.809      0.691      0.776 
72     1.0554       3575        717        177        221      0.236      0.555      0.809      0.694      0.775 
73     1.0502       3577        715        175        223      0.238      0.560      0.810      0.697      0.776 
74     1.0521       3577        715        175        223      0.238      0.560      0.810      0.697      0.777 
75     1.0377       3578        714        174        224      0.239      0.563      0.811      0.698      0.777 
76     1.0428       3578        714        174        224      0.239      0.563      0.811      0.698      0.777 
77       1.03       3573        719        179        219      0.233      0.550      0.809      0.691      0.776 
78     1.0442       3573        719        179        219      0.233      0.550      0.809      0.691      0.776 
79     1.0563       3578        714        174        224      0.239      0.563      0.811      0.698      0.776 
80      1.068       3565        727        187        211      0.225      0.530      0.805      0.680      0.767 
81     1.0625       3566        726        186        212      0.226      0.533      0.806      0.682      0.768 
82      1.053       3574        718        178        220      0.235      0.553      0.809      0.693      0.774 
83     1.0606       3573        719        179        219      0.233      0.550      0.809      0.691      0.775 
84      1.064       3571        721        181        217      0.231      0.545      0.808      0.689      0.772 
85     1.0629       3567        725        185        213      0.227      0.535      0.806      0.683      0.768 
86     1.0606       3565        727        187        211      0.225      0.530      0.805      0.680      0.764 
87     1.0494       3567        725        185        213      0.227      0.535      0.806      0.683      0.766 
88     1.0589       3574        718        178        220      0.235      0.553      0.809      0.693      0.773 
89     1.0614       3576        716        176        222      0.237      0.558      0.810      0.695      0.777 
90     1.0577       3570        722        182        216      0.230      0.543      0.807      0.687      0.777 
91     1.0766       3577        715        175        223      0.238      0.560      0.810      0.697      0.778 
92     1.0532       3571        721        181        217      0.231      0.545      0.808      0.689      0.777 
93     1.0503       3575        717        177        221      0.236      0.555      0.809      0.694      0.779 
94     1.0452       3577        715        175        223      0.238      0.560      0.810      0.697      0.773 
95     1.0451       3580        712        172        226      0.241      0.568      0.812      0.701      0.781 
96     1.0412       3580        712        172        226      0.241      0.568      0.812      0.701      0.781 
97     1.0462       3578        714        174        224      0.239      0.563      0.811      0.698      0.781 
98     1.0407       3581        711        171        227      0.242      0.570      0.812      0.702      0.781 
99     1.0417       3579        713        173        225      0.240      0.565      0.811      0.700      0.781 
100      1.051       3581        711        171        227      0.242      0.570      0.812      0.702      0.784 
101     1.0303       3576        716        176        222      0.237      0.558      0.810      0.695      0.779 
102     1.0489       3578        714        174        224      0.239      0.563      0.811      0.698      0.783 
103     1.0385       3578        714        174        224      0.239      0.563      0.811      0.698      0.783 
104     1.0273       3580        712        172        226      0.241      0.568      0.812      0.701      0.784 
105     1.0452       3584        708        168        230      0.245      0.578      0.813      0.706      0.785 
106     1.0442       3585        707        167        231      0.246      0.580      0.814      0.708      0.788 
107     1.0357       3579        713        173        225      0.240      0.565      0.811      0.700      0.784 
108     1.0415       3570        722        182        216      0.230      0.543      0.807      0.687      0.763 
109     1.0378       3582        710        170        228      0.243      0.573      0.812      0.704      0.788 
110      1.046       3574        718        178        220      0.235      0.553      0.809      0.693      0.782 
111     1.0353       3586        706        166        232      0.247      0.583      0.814      0.709      0.789 
112     1.0384       3586        706        166        232      0.247      0.583      0.814      0.709      0.784 
113     1.0327       3584        708        168        230      0.245      0.578      0.813      0.706      0.789 
114     1.0328       3578        714        174        224      0.239      0.563      0.811      0.698      0.788 
115     1.0377       3583        709        169        229      0.244      0.575      0.813      0.705      0.786 
116      1.028       3573        719        179        219      0.233      0.550      0.809      0.691      0.771 
117     1.0181       3581        711        171        227      0.242      0.570      0.812      0.702      0.787 
118     1.0346       3580        712        172        226      0.241      0.568      0.812      0.701      0.787 
119     1.0314       3567        725        185        213      0.227      0.535      0.806      0.683      0.762 
120     1.0192       3573        719        178        220      0.234      0.553      0.809      0.693      0.780 
121     1.0494       3585        707        167        231      0.246      0.580      0.814      0.708      0.790 
122     1.0252       3583        709        169        229      0.244      0.575      0.813      0.705      0.788 
123     1.0207       3578        714        174        224      0.239      0.563      0.811      0.698      0.788 
124     1.0366       3587        705        165        233      0.248      0.585      0.814      0.711      0.792 
125     1.0165       3582        710        170        228      0.243      0.573      0.812      0.704      0.787 
126     1.0216       3584        708        168        230      0.245      0.578      0.813      0.706      0.791 
127     1.0251       3574        718        178        220      0.235      0.553      0.809      0.693      0.775 
128     1.0238       3577        715        175        223      0.238      0.560      0.810      0.697      0.781 
129     1.0142       3586        706        166        232      0.247      0.583      0.814      0.709      0.795 
130     1.0271       3537        755        215        183      0.195      0.460      0.793      0.642      0.675 
131     1.1061       3561        731        191        207      0.221      0.520      0.803      0.675      0.761 
132     1.1867       3564        728        188        210      0.224      0.528      0.805      0.679      0.756 
133     1.1789       3561        731        191        207      0.221      0.520      0.803      0.675      0.752 
134     1.1123       3556        736        196        202      0.215      0.508      0.801      0.668      0.748 
135     1.1047       3556        736        196        202      0.215      0.508      0.801      0.668      0.746 
136     1.1289       3560        732        192        206      0.220      0.518      0.803      0.674      0.748 
137     1.1509       3562        730        190        208      0.222      0.523      0.804      0.676      0.751 
138     1.1462       3563        729        189        209      0.223      0.525      0.804      0.678      0.753 
139      1.143       3564        728        188        210      0.224      0.528      0.805      0.679      0.755 
140     1.1362       3564        728        188        210      0.224      0.528      0.805      0.679      0.757 
141     1.1046       3562        730        190        208      0.222      0.523      0.804      0.676      0.758 
142     1.1055       3562        730        190        208      0.222      0.523      0.804      0.676      0.757 
143     1.1036       3562        730        190        208      0.222      0.523      0.804      0.676      0.757 
144     1.0978       3564        728        188        210      0.224      0.528      0.805      0.679      0.758 
145     1.0975       3566        726        186        212      0.226      0.533      0.806      0.682      0.759 
146     1.0962       3567        725        185        213      0.227      0.535      0.806      0.683      0.761 
147     1.0953       3572        720        180        218      0.232      0.548      0.808      0.690      0.763 
148     1.0848       3573        719        179        219      0.233      0.550      0.809      0.691      0.765 
149     1.0862       3574        718        178        220      0.235      0.553      0.809      0.693      0.767 
150     1.0756       3571        721        181        217      0.231      0.545      0.808      0.689      0.768 
151     1.0785       3571        721        181        217      0.231      0.545      0.808      0.689      0.768 
152     1.0679       3570        722        182        216      0.230      0.543      0.807      0.687      0.769 
153     1.0865       3567        725        185        213      0.227      0.535      0.806      0.683      0.769 
154     1.0799       3575        717        177        221      0.236      0.555      0.809      0.694      0.771 
155     1.0789       3580        712        172        226      0.241      0.568      0.812      0.701      0.771 
156     1.0719       3579        713        173        225      0.240      0.565      0.811      0.700      0.772 
157     1.0782       3578        714        174        224      0.239      0.563      0.811      0.698      0.772 
158     1.0724       3577        715        175        223      0.238      0.560      0.810      0.697      0.771 
159     1.0652       3574        718        178        220      0.235      0.553      0.809      0.693      0.771 
160      1.058       3574        718        178        220      0.235      0.553      0.809      0.693      0.771 
161      1.082       3573        719        179        219      0.233      0.550      0.809      0.691      0.772 
162     1.0677       3572        720        180        218      0.232      0.548      0.808      0.690      0.772 
163     1.0665       3571        721        181        217      0.231      0.545      0.808      0.689      0.772 
164      1.069       3573        719        179        219      0.233      0.550      0.809      0.691      0.772 
165     1.0767       3574        718        178        220      0.235      0.553      0.809      0.693      0.774 
166     1.0647       3575        717        177        221      0.236      0.555      0.809      0.694      0.775 
167     1.0497       3573        719        179        219      0.233      0.550      0.809      0.691      0.776 
168     1.0611       3571        721        181        217      0.231      0.545      0.808      0.689      0.777 
169     1.0667       3572        720        180        218      0.232      0.548      0.808      0.690      0.778 
170      1.056       3573        719        179        219      0.233      0.550      0.809      0.691      0.779 
