# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gtn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.7287       4398        967        292        206      0.176      0.414      0.785      0.617      0.682 
2     2.6996       4396        969        294        204      0.174      0.410      0.785      0.615      0.661 
3     1.8156       4373        992        317        181      0.154      0.363      0.777      0.589      0.616 
4     1.3331       4359       1006        331        167      0.142      0.335      0.772      0.574      0.578 
5      1.398       4343       1022        347        151      0.129      0.303      0.767      0.556      0.574 
6     1.4635       4361       1004        329        169      0.144      0.339      0.773      0.576      0.613 
7     1.3241       4387        978        303        195      0.166      0.392      0.782      0.605      0.667 
8     1.1955       4404        961        286        212      0.181      0.426      0.787      0.623      0.706 
9     1.1824       4417        948        273        225      0.192      0.452      0.792      0.638      0.725 
10     1.1694       4426        939        264        234      0.199      0.470      0.795      0.647      0.733 
11     1.2071       4428        937        262        236      0.201      0.474      0.795      0.650      0.736 
12     1.2162       4431        934        259        239      0.204      0.480      0.797      0.653      0.738 
13     1.2403       4433        932        257        241      0.205      0.484      0.797      0.655      0.739 
14      1.174       4428        937        262        236      0.201      0.474      0.795      0.650      0.738 
15      1.142       4425        940        265        233      0.199      0.468      0.794      0.646      0.735 
16     1.1423       4425        940        265        233      0.199      0.468      0.794      0.646      0.730 
17     1.1376       4425        940        265        233      0.199      0.468      0.794      0.646      0.725 
18     1.1323       4423        942        267        231      0.197      0.464      0.794      0.644      0.722 
19     1.1466       4426        939        264        234      0.199      0.470      0.795      0.647      0.723 
20      1.149       4434        931        256        242      0.206      0.486      0.798      0.656      0.726 
21     1.1274       4440        925        250        248      0.211      0.498      0.800      0.663      0.730 
22     1.1261       4439        926        251        247      0.211      0.496      0.799      0.662      0.733 
23     1.1267       4438        927        252        246      0.210      0.494      0.799      0.661      0.736 
24     1.1036       4442        923        248        250      0.213      0.502      0.800      0.665      0.739 
25     1.0996       4444        921        246        252      0.215      0.506      0.801      0.667      0.741 
26     1.1027       4441        924        249        249      0.212      0.500      0.800      0.664      0.743 
27     1.1099       4445        920        245        253      0.216      0.508      0.801      0.668      0.744 
28     1.1226       4445        920        245        253      0.216      0.508      0.801      0.668      0.746 
29     1.1209       4447        918        243        255      0.217      0.512      0.802      0.670      0.747 
30     1.1019       4446        919        244        254      0.217      0.510      0.802      0.669      0.748 
31     1.0821       4446        919        244        254      0.217      0.510      0.802      0.669      0.750 
32     1.1002       4446        919        244        254      0.217      0.510      0.802      0.669      0.750 
33     1.0774       4449        916        241        257      0.219      0.516      0.803      0.673      0.751 
34     1.0779       4450        915        240        258      0.220      0.518      0.803      0.674      0.751 
35     1.0743       4454        911        236        262      0.223      0.526      0.804      0.678      0.752 
36     1.0844       4455        910        235        263      0.224      0.528      0.805      0.679      0.753 
37     1.0728       4456        909        234        264      0.225      0.530      0.805      0.680      0.755 
38     1.0857       4457        908        233        265      0.226      0.532      0.805      0.681      0.756 
39     1.0619       4455        910        235        263      0.224      0.528      0.805      0.679      0.757 
40     1.0676       4453        912        237        261      0.223      0.524      0.804      0.677      0.759 
41     1.0672       4457        908        233        265      0.226      0.532      0.805      0.681      0.760 
42     1.0626       4456        909        234        264      0.225      0.530      0.805      0.680      0.761 
43     1.0564       4454        911        236        262      0.223      0.526      0.804      0.678      0.762 
44     1.0727       4454        911        236        262      0.223      0.526      0.804      0.678      0.762 
45     1.0558       4451        914        239        259      0.221      0.520      0.803      0.675      0.763 
46      1.056       4453        912        237        261      0.223      0.524      0.804      0.677      0.763 
47     1.0613       4454        911        236        262      0.223      0.526      0.804      0.678      0.764 
48     1.0597       4455        910        235        263      0.224      0.528      0.805      0.679      0.764 
49     1.0492       4456        909        234        264      0.225      0.530      0.805      0.680      0.765 
50     1.0591       4456        909        234        264      0.225      0.530      0.805      0.680      0.766 
51     1.0422       4456        909        234        264      0.225      0.530      0.805      0.680      0.766 
52     1.0456       4457        908        233        265      0.226      0.532      0.805      0.681      0.767 
53     1.0223       4457        908        233        265      0.226      0.532      0.805      0.681      0.768 
54     1.0357       4457        908        233        265      0.226      0.532      0.805      0.681      0.769 
55     1.0392       4458        907        232        266      0.227      0.534      0.806      0.683      0.770 
56     1.0393       4461        904        229        269      0.229      0.540      0.807      0.686      0.771 
57     1.0466       4461        904        229        269      0.229      0.540      0.807      0.686      0.772 
58     1.0245       4461        904        229        269      0.229      0.540      0.807      0.686      0.773 
59     1.0406       4461        904        229        269      0.229      0.540      0.807      0.686      0.773 
60     1.0271       4461        904        229        269      0.229      0.540      0.807      0.686      0.774 
61     1.0262       4461        904        229        269      0.229      0.540      0.807      0.686      0.774 
62     1.0366       4462        903        228        270      0.230      0.542      0.807      0.687      0.775 
63     1.0231       4462        903        228        270      0.230      0.542      0.807      0.687      0.775 
64     1.0274       4462        903        228        270      0.230      0.542      0.807      0.687      0.776 
65     1.0114       4463        902        227        271      0.231      0.544      0.807      0.688      0.777 
66      1.022       4463        902        227        271      0.231      0.544      0.807      0.688      0.777 
67     1.0166       4462        903        228        270      0.230      0.542      0.807      0.687      0.778 
68      1.004       4461        904        229        269      0.229      0.540      0.807      0.686      0.779 
69      1.035       4461        904        229        269      0.229      0.540      0.807      0.686      0.780 
70     1.0189       4465        900        225        273      0.233      0.548      0.808      0.690      0.780 
71     1.0094       4466        899        224        274      0.234      0.550      0.808      0.691      0.781 
72     1.0047       4468        897        222        276      0.235      0.554      0.809      0.694      0.782 
73     1.0135       4469        896        221        277      0.236      0.556      0.809      0.695      0.783 
74     1.0201       4471        894        219        279      0.238      0.560      0.810      0.697      0.784 
75     1.0054       4471        894        219        279      0.238      0.560      0.810      0.697      0.785 
76     1.0138       4472        893        218        280      0.239      0.562      0.811      0.698      0.786 
77     1.0117       4475        890        215        283      0.241      0.568      0.812      0.701      0.787 
78     1.0019       4475        890        215        283      0.241      0.568      0.812      0.701      0.787 
79     1.0044       4475        890        215        283      0.241      0.568      0.812      0.701      0.788 
80     1.0162       4474        891        216        282      0.240      0.566      0.811      0.700      0.789 
81     1.0026       4475        890        215        283      0.241      0.568      0.812      0.701      0.789 
82     1.0115       4474        891        216        282      0.240      0.566      0.811      0.700      0.790 
83     1.0066       4476        889        214        284      0.242      0.570      0.812      0.702      0.791 
84     1.0008       4475        890        215        283      0.241      0.568      0.812      0.701      0.791 
85     0.9879       4476        889        214        284      0.242      0.570      0.812      0.702      0.792 
86      0.995       4478        887        212        286      0.244      0.574      0.813      0.704      0.792 
87    0.98838       4480        885        210        288      0.246      0.578      0.813      0.707      0.793 
88    0.98671       4480        885        210        288      0.246      0.578      0.813      0.707      0.794 
89      0.986       4479        886        211        287      0.245      0.576      0.813      0.706      0.794 
90    0.98859       4478        887        212        286      0.244      0.574      0.813      0.704      0.795 
91     1.0012       4478        887        212        286      0.244      0.574      0.813      0.704      0.796 
92    0.98019       4479        886        211        287      0.245      0.576      0.813      0.706      0.796 
93    0.98765       4478        887        212        286      0.244      0.574      0.813      0.704      0.797 
94    0.98701       4480        885        210        288      0.246      0.578      0.813      0.707      0.797 
95    0.98395       4482        883        208        290      0.247      0.582      0.814      0.709      0.798 
96    0.97294       4483        882        207        291      0.248      0.584      0.814      0.710      0.799 
97    0.97651       4481        884        209        289      0.246      0.580      0.814      0.708      0.799 
98    0.96706       4479        886        211        287      0.245      0.576      0.813      0.706      0.800 
99    0.97852       4481        884        209        289      0.246      0.580      0.814      0.708      0.801 
100     0.9825       4482        883        208        290      0.247      0.582      0.814      0.709      0.801 
101    0.97135       4481        884        209        289      0.246      0.580      0.814      0.708      0.802 
102    0.97723       4484        881        206        292      0.249      0.586      0.815      0.711      0.803 
103     0.9782       4486        879        204        294      0.251      0.590      0.815      0.713      0.804 
104    0.97717       4487        878        203        295      0.251      0.592      0.816      0.714      0.805 
105    0.97011       4488        877        202        296      0.252      0.594      0.816      0.715      0.806 
106    0.96484       4492        873        198        300      0.256      0.602      0.817      0.720      0.807 
107    0.95978       4492        873        198        300      0.256      0.602      0.817      0.720      0.807 
108    0.96298       4490        875        200        298      0.254      0.598      0.817      0.718      0.807 
109    0.97462       4489        876        201        297      0.253      0.596      0.816      0.717      0.808 
110    0.96313       4490        875        200        298      0.254      0.598      0.817      0.718      0.808 
111    0.96668       4488        877        202        296      0.252      0.594      0.816      0.715      0.808 
112     0.9515       4490        875        200        298      0.254      0.598      0.817      0.718      0.808 
113    0.94937       4493        872        197        301      0.257      0.604      0.818      0.721      0.809 
114    0.95349       4497        868        193        305      0.260      0.612      0.819      0.725      0.810 
115    0.96999       4499        866        191        307      0.262      0.616      0.820      0.728      0.811 
116    0.97619       4496        869        194        304      0.259      0.610      0.819      0.724      0.811 
117    0.95467       4497        868        193        305      0.260      0.612      0.819      0.725      0.812 
118    0.96055       4497        868        193        305      0.260      0.612      0.819      0.725      0.813 
119     0.9485       4495        870        195        303      0.258      0.608      0.818      0.723      0.813 
120    0.96606       4497        868        193        305      0.260      0.612      0.819      0.725      0.814 
121    0.96863       4499        866        191        307      0.262      0.616      0.820      0.728      0.815 
122    0.95428       4500        865        190        308      0.263      0.618      0.820      0.729      0.816 
123    0.94699       4501        864        189        309      0.263      0.620      0.820      0.730      0.817 
124    0.95011       4500        865        190        308      0.263      0.618      0.820      0.729      0.818 
125    0.95298       4502        863        188        310      0.264      0.622      0.821      0.731      0.818 
126    0.90941       4504        861        186        312      0.266      0.627      0.821      0.733      0.819 
127    0.93381       4503        862        187        311      0.265      0.624      0.821      0.732      0.820 
128    0.93415       4503        862        187        311      0.265      0.624      0.821      0.732      0.820 
129    0.92569       4503        862        187        311      0.265      0.624      0.821      0.732      0.821 
130    0.92303       4502        863        188        310      0.264      0.622      0.821      0.731      0.821 
131    0.92445       4502        863        188        310      0.264      0.622      0.821      0.731      0.822 
132     0.9227       4502        863        188        310      0.264      0.622      0.821      0.731      0.823 
133    0.91799       4504        861        186        312      0.266      0.627      0.821      0.733      0.825 
134    0.93273       4510        855        180        318      0.271      0.639      0.823      0.740      0.826 
135    0.90891       4513        852        177        321      0.274      0.645      0.824      0.743      0.827 
136    0.91319       4515        850        175        323      0.275      0.649      0.825      0.745      0.828 
137    0.92293       4516        849        174        324      0.276      0.651      0.826      0.746      0.828 
138    0.91013       4517        848        173        325      0.277      0.653      0.826      0.747      0.829 
139    0.91087       4516        849        174        324      0.276      0.651      0.826      0.746      0.830 
140    0.93003       4518        847        172        326      0.278      0.655      0.826      0.748      0.831 
141    0.89997       4516        849        174        324      0.276      0.651      0.826      0.746      0.832 
142    0.91278       4516        849        174        324      0.276      0.651      0.826      0.746      0.832 
143    0.90726       4518        847        172        326      0.278      0.655      0.826      0.748      0.832 
144    0.91951       4519        846        171        327      0.279      0.657      0.827      0.749      0.832 
145    0.91632       4520        845        170        328      0.280      0.659      0.827      0.751      0.833 
146    0.90401       4518        847        172        326      0.278      0.655      0.826      0.748      0.834 
147    0.91094       4518        847        172        326      0.278      0.655      0.826      0.748      0.834 
148    0.89315       4518        847        172        326      0.278      0.655      0.826      0.748      0.834 
149    0.90554       4517        848        173        325      0.277      0.653      0.826      0.747      0.835 
150    0.88409       4521        844        169        329      0.280      0.661      0.827      0.752      0.835 
151    0.91088       4522        843        168        330      0.281      0.663      0.828      0.753      0.835 
152    0.88403       4522        843        168        330      0.281      0.663      0.828      0.753      0.837 
153    0.89736       4521        844        169        329      0.280      0.661      0.827      0.752      0.838 
154    0.90505       4517        848        173        325      0.277      0.653      0.826      0.747      0.838 
155    0.89301       4519        846        171        327      0.279      0.657      0.827      0.749      0.839 
156    0.87919       4521        844        169        329      0.280      0.661      0.827      0.752      0.840 
157    0.90094       4518        847        172        326      0.278      0.655      0.826      0.748      0.840 
158    0.90694       4517        848        173        325      0.277      0.653      0.826      0.747      0.840 
159    0.87417       4520        845        170        328      0.280      0.659      0.827      0.751      0.840 
160    0.89079       4519        846        171        327      0.279      0.657      0.827      0.749      0.841 
161    0.86999       4521        844        169        329      0.280      0.661      0.827      0.752      0.841 
162     0.8793       4521        844        169        329      0.280      0.661      0.827      0.752      0.842 
163    0.87165       4524        841        166        332      0.283      0.667      0.828      0.755      0.843 
164    0.91029       4526        839        164        334      0.285      0.671      0.829      0.757      0.843 
165    0.87133       4526        839        164        334      0.285      0.671      0.829      0.757      0.844 
166    0.87886       4526        839        164        334      0.285      0.671      0.829      0.757      0.844 
167      0.872       4532        833        158        340      0.290      0.683      0.831      0.764      0.845 
168    0.88003       4531        834        159        339      0.289      0.681      0.831      0.763      0.845 
169    0.87477       4533        832        157        341      0.291      0.685      0.831      0.765      0.846 
170     0.8794       4534        831        156        342      0.292      0.687      0.832      0.766      0.846 
171    0.86957       4530        835        160        338      0.288      0.679      0.830      0.762      0.847 
172    0.87508       4534        831        156        342      0.292      0.687      0.832      0.766      0.848 
173    0.85322       4534        831        156        342      0.292      0.687      0.832      0.766      0.849 
174    0.85579       4532        833        158        340      0.290      0.683      0.831      0.764      0.849 
175    0.87834       4528        837        162        336      0.286      0.675      0.830      0.759      0.850 
176    0.86387       4530        835        160        338      0.288      0.679      0.830      0.762      0.850 
177    0.85792       4535        830        155        343      0.292      0.689      0.832      0.767      0.849 
178     0.8566       4536        829        154        344      0.293      0.691      0.832      0.768      0.849 
179    0.86457       4542        823        148        350      0.298      0.703      0.834      0.775      0.850 
