# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gtn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.3614       3524        768        228        170      0.181      0.427      0.788      0.624      0.701 
2     2.0878       3514        778        238        160      0.171      0.402      0.783      0.610      0.681 
3     1.3414       3506        786        246        152      0.162      0.382      0.780      0.599      0.621 
4     1.2752       3475        817        277        121      0.129      0.304      0.767      0.557      0.590 
5     1.4052       3487        805        265        133      0.142      0.334      0.772      0.573      0.611 
6     1.3395       3504        788        248        150      0.160      0.377      0.779      0.597      0.645 
7     1.2417       3518        774        234        164      0.175      0.412      0.785      0.616      0.674 
8     1.1957       3527        765        225        173      0.184      0.435      0.789      0.628      0.692 
9     1.2091       3525        767        227        171      0.182      0.430      0.788      0.625      0.702 
10     1.2316       3528        764        224        174      0.186      0.437      0.789      0.630      0.706 
11     1.2336       3534        758        218        180      0.192      0.452      0.792      0.638      0.707 
12     1.2184       3533        759        219        179      0.191      0.450      0.791      0.636      0.708 
13     1.1988       3534        758        218        180      0.192      0.452      0.792      0.638      0.707 
14     1.1791       3532        760        220        178      0.190      0.447      0.791      0.635      0.705 
15     1.1659       3531        761        221        177      0.189      0.445      0.791      0.634      0.703 
16     1.1639       3531        761        221        177      0.189      0.445      0.791      0.634      0.702 
17     1.1702       3531        761        221        177      0.189      0.445      0.791      0.634      0.704 
18      1.167       3537        755        215        183      0.195      0.460      0.793      0.642      0.709 
19      1.159       3544        748        208        190      0.203      0.477      0.796      0.652      0.714 
20     1.1598       3549        743        203        195      0.208      0.490      0.798      0.658      0.719 
21     1.1462       3548        744        204        194      0.207      0.487      0.798      0.657      0.724 
22     1.1414       3549        743        203        195      0.208      0.490      0.798      0.658      0.728 
23     1.1332       3553        739        199        199      0.212      0.500      0.800      0.664      0.732 
24     1.1341       3555        737        197        201      0.214      0.505      0.801      0.667      0.735 
25     1.1208       3553        739        199        199      0.212      0.500      0.800      0.664      0.738 
26      1.121       3552        740        200        198      0.211      0.497      0.800      0.663      0.740 
27      1.123       3557        735        195        203      0.216      0.510      0.802      0.669      0.743 
28     1.1206       3555        737        197        201      0.214      0.505      0.801      0.667      0.745 
29       1.12       3554        738        198        200      0.213      0.503      0.800      0.665      0.747 
30     1.1088       3559        733        193        205      0.219      0.515      0.803      0.672      0.749 
31     1.1082       3557        735        195        203      0.216      0.510      0.802      0.669      0.750 
32     1.1013       3559        733        193        205      0.219      0.515      0.803      0.672      0.751 
33     1.1116       3561        731        191        207      0.221      0.520      0.803      0.675      0.753 
34     1.0986       3565        727        187        211      0.225      0.530      0.805      0.680      0.755 
35     1.0895       3566        726        186        212      0.226      0.533      0.806      0.682      0.758 
36     1.0876       3566        726        186        212      0.226      0.533      0.806      0.682      0.760 
37      1.093       3566        726        186        212      0.226      0.533      0.806      0.682      0.763 
38     1.0916       3566        726        186        212      0.226      0.533      0.806      0.682      0.766 
