# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: gtn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.3614        896        177         53         47      0.210      0.470      0.804      0.653      0.747 
Train:          1     1.3614       3524        768        228        170      0.181      0.427      0.788      0.624      0.701 
All:          1     1.3614       4411        954        279        219      0.187      0.440      0.790      0.631      0.710 
Test:          2     2.0878        884        189         53         47      0.199      0.470      0.794      0.647      0.728 
Train:          2     2.0878       3514        778        238        160      0.171      0.402      0.783      0.610      0.681 
All:          2     2.0878       4399        966        291        207      0.176      0.416      0.786      0.618      0.691 
Test:          3     1.3414        849        224         57         43      0.161      0.430      0.760      0.611      0.622 
Train:          3     1.3414       3506        786        246        152      0.162      0.382      0.780      0.599      0.621 
All:          3     1.3414       4385        980        305        193      0.165      0.388      0.781      0.602      0.621 
Test:          4     1.2752        827        246         65         35      0.125      0.350      0.735      0.560      0.568 
Train:          4     1.2752       3475        817        277        121      0.129      0.304      0.767      0.557      0.590 
All:          4     1.2752       4346       1019        344        154      0.131      0.309      0.768      0.560      0.585 
Test:          5     1.4052        833        240         64         36      0.130      0.360      0.741      0.568      0.580 
Train:          5     1.4052       3487        805        265        133      0.142      0.334      0.772      0.573      0.611 
All:          5     1.4052       4354       1011        336        162      0.138      0.325      0.770      0.568      0.604 
Test:          6     1.3395        852        221         62         38      0.147      0.380      0.759      0.587      0.602 
Train:          6     1.3395       3504        788        248        150      0.160      0.377      0.779      0.597      0.645 
All:          6     1.3395       4379        986        311        187      0.159      0.376      0.779      0.596      0.636 
Test:          7     1.2417        868        205         61         39      0.160      0.390      0.773      0.599      0.629 
Train:          7     1.2417       3518        774        234        164      0.175      0.412      0.785      0.616      0.674 
All:          7     1.2417       4394        971        296        202      0.172      0.406      0.784      0.612      0.665 
Test:          8     1.1957        874        199         59         41      0.171      0.410      0.780      0.612      0.658 
Train:          8     1.1957       3527        765        225        173      0.184      0.435      0.789      0.628      0.692 
All:          8     1.1957       4406        959        284        214      0.182      0.430      0.788      0.625      0.685 
Test:          9     1.2091        879        194         57         43      0.181      0.430      0.786      0.625      0.677 
Train:          9     1.2091       3525        767        227        171      0.182      0.430      0.788      0.625      0.702 
All:          9     1.2091       4405        960        285        213      0.182      0.428      0.788      0.624      0.697 
Test:         10     1.2316        878        195         56         44      0.184      0.440      0.786      0.629      0.683 
Train:         10     1.2316       3528        764        224        174      0.186      0.437      0.789      0.630      0.706 
All:         10     1.2316       4410        955        280        218      0.186      0.438      0.789      0.630      0.701 
Test:         11     1.2336        877        196         56         44      0.183      0.440      0.785      0.629      0.684 
