# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: hgcn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1      1.311        867        206         60         40      0.163      0.400      0.773      0.604      0.621 
Train:          1      1.311       3517        775        235        163      0.174      0.410      0.785      0.614      0.667 
All:          1      1.311       4395        970        295        203      0.173      0.408      0.784      0.613      0.658 
Test:          2     1.2819        869        204         60         40      0.164      0.400      0.775      0.605      0.635 
Train:          2     1.2819       3520        772        232        166      0.177      0.417      0.786      0.619      0.679 
All:          2     1.2819       4397        968        293        205      0.175      0.412      0.785      0.616      0.671 
Test:          3     1.2662        862        211         61         39      0.156      0.390      0.768      0.597      0.638 
Train:          3     1.2662       3519        773        233        165      0.176      0.415      0.786      0.617      0.679 
All:          3     1.2662       4394        971        296        202      0.172      0.406      0.784      0.612      0.671 
Test:          4      1.248        851        222         62         38      0.146      0.380      0.758      0.587      0.637 
Train:          4      1.248       3513        779        239        159      0.170      0.399      0.783      0.609      0.670 
All:          4      1.248       4389        976        301        197      0.168      0.396      0.782      0.607      0.664 
Test:          5     1.2352        855        218         61         39      0.152      0.390      0.762      0.593      0.641 
Train:          5     1.2352       3515        777        237        161      0.172      0.405      0.784      0.612      0.670 
All:          5     1.2352       4390        975        300        198      0.169      0.398      0.783      0.608      0.664 
Test:          6     1.2236        854        219         61         39      0.151      0.390      0.761      0.593      0.651 
Train:          6     1.2236       3516        776        236        162      0.173      0.407      0.784      0.613      0.683 
All:          6     1.2236       4391        974        298        200      0.170      0.402      0.783      0.610      0.677 
Test:          7     1.2202        861        212         60         40      0.159      0.400      0.768      0.601      0.660 
Train:          7     1.2202       3527        765        225        173      0.184      0.435      0.789      0.628      0.694 
All:          7     1.2202       4403        962        287        211      0.180      0.424      0.787      0.622      0.687 
Test:          8     1.2035        862        211         62         38      0.153      0.380      0.767      0.592      0.666 
Train:          8     1.2035       3531        761        221        177      0.189      0.445      0.791      0.634      0.700 
All:          8     1.2035       4406        959        284        214      0.182      0.430      0.788      0.625      0.693 
Test:          9     1.1898        864        209         61         39      0.157      0.390      0.770      0.598      0.670 
Train:          9     1.1898       3531        761        221        177      0.189      0.445      0.791      0.634      0.704 
All:          9     1.1898       4404        961        286        212      0.181      0.426      0.787      0.623      0.697 
Test:         10     1.1929        864        209         61         39      0.157      0.390      0.770      0.598      0.673 
Train:         10     1.1929       3531        761        221        177      0.189      0.445      0.791      0.634      0.706 
All:         10     1.1929       4407        958        283        215      0.183      0.432      0.788      0.627      0.699 
Test:         11     1.1804        863        210         59         41      0.163      0.410      0.771      0.607      0.676 
Train:         11     1.1804       3532        760        220        178      0.190      0.447      0.791      0.635      0.707 
All:         11     1.1804       4410        955        280        218      0.186      0.438      0.789      0.630      0.700 
Test:         12      1.175        862        211         58         42      0.166      0.420      0.771      0.612      0.678 
