# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: hgcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.2648       4427        938        263        235      0.200      0.472      0.795      0.649      0.714 
2     1.2508       4424        941        266        232      0.198      0.466      0.794      0.645      0.712 
3     1.2234       4427        938        263        235      0.200      0.472      0.795      0.649      0.707 
4     1.2138       4422        943        268        230      0.196      0.462      0.793      0.643      0.707 
5     1.2027       4418        947        272        226      0.193      0.454      0.792      0.639      0.711 
6      1.196       4417        948        273        225      0.192      0.452      0.792      0.638      0.714 
7     1.1893       4418        947        272        226      0.193      0.454      0.792      0.639      0.715 
8     1.1789       4423        942        267        231      0.197      0.464      0.794      0.644      0.716 
9     1.1668       4424        941        266        232      0.198      0.466      0.794      0.645      0.716 
10     1.1627       4427        938        263        235      0.200      0.472      0.795      0.649      0.719 
11     1.1589       4430        935        260        238      0.203      0.478      0.796      0.652      0.722 
12     1.1431       4430        935        260        238      0.203      0.478      0.796      0.652      0.724 
13     1.1393       4430        935        260        238      0.203      0.478      0.796      0.652      0.726 
14     1.1337       4431        934        259        239      0.204      0.480      0.797      0.653      0.728 
15     1.1335       4433        932        257        241      0.205      0.484      0.797      0.655      0.729 
16     1.1373       4430        935        260        238      0.203      0.478      0.796      0.652      0.730 
17     1.1176       4429        936        261        237      0.202      0.476      0.796      0.651      0.730 
18     1.1284       4429        936        261        237      0.202      0.476      0.796      0.651      0.730 
19     1.1432       4426        939        263        235      0.200      0.472      0.795      0.648      0.730 
20     1.1413       4429        936        261        237      0.202      0.476      0.796      0.651      0.731 
21     1.1166       4429        936        261        237      0.202      0.476      0.796      0.651      0.731 
22     1.1354       4429        936        261        237      0.202      0.476      0.796      0.651      0.731 
23     1.1324       4427        938        263        235      0.200      0.472      0.795      0.649      0.732 
24      1.136       4428        937        262        236      0.201      0.474      0.795      0.650      0.732 
25     1.1317       4430        935        260        238      0.203      0.478      0.796      0.652      0.732 
26     1.1252       4431        934        259        239      0.204      0.480      0.797      0.653      0.732 
27     1.1267       4429        936        261        237      0.202      0.476      0.796      0.651      0.732 
28      1.116       4429        936        261        237      0.202      0.476      0.796      0.651      0.732 
