# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: hgcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.3005       3512        780        240        158      0.168      0.397      0.783      0.608      0.688 
2     1.2495       3530        762        222        176      0.188      0.442      0.790      0.632      0.707 
3     1.2451       3529        763        223        175      0.187      0.440      0.790      0.631      0.704 
4     1.2388       3524        768        228        170      0.181      0.427      0.788      0.624      0.695 
5     1.2259       3516        776        236        162      0.173      0.407      0.784      0.613      0.682 
6     1.2123       3510        782        242        156      0.166      0.392      0.782      0.605      0.669 
7     1.2149       3507        785        245        153      0.163      0.384      0.780      0.601      0.667 
8     1.2099       3516        776        236        162      0.173      0.407      0.784      0.613      0.675 
9     1.2055       3519        773        233        165      0.176      0.415      0.786      0.617      0.686 
10     1.1912       3524        768        228        170      0.181      0.427      0.788      0.624      0.694 
11     1.1919       3525        767        227        171      0.182      0.430      0.788      0.625      0.700 
12     1.1795       3529        763        223        175      0.187      0.440      0.790      0.631      0.704 
13     1.1664       3526        766        226        172      0.183      0.432      0.788      0.627      0.705 
14     1.1699       3531        761        221        177      0.189      0.445      0.791      0.634      0.708 
15     1.1552       3534        758        218        180      0.192      0.452      0.792      0.638      0.712 
16     1.1656       3537        755        215        183      0.195      0.460      0.793      0.642      0.717 
17     1.1472       3538        754        214        184      0.196      0.462      0.794      0.643      0.722 
18     1.1535       3536        756        216        182      0.194      0.457      0.793      0.641      0.725 
19      1.138       3540        752        212        186      0.198      0.467      0.794      0.646      0.727 
20     1.1321       3541        751        211        187      0.199      0.470      0.795      0.647      0.729 
21     1.1258       3541        751        211        187      0.199      0.470      0.795      0.647      0.730 
22      1.127       3541        751        211        187      0.199      0.470      0.795      0.647      0.732 
23     1.1217       3541        751        211        187      0.199      0.470      0.795      0.647      0.733 
24     1.1266       3541        751        211        187      0.199      0.470      0.795      0.647      0.733 
25     1.1175       3541        751        211        187      0.199      0.470      0.795      0.647      0.733 
26     1.1191       3540        752        212        186      0.198      0.467      0.794      0.646      0.733 
27     1.1234       3542        750        210        188      0.200      0.472      0.795      0.649      0.734 
28     1.1241       3542        750        210        188      0.200      0.472      0.795      0.649      0.734 
29     1.1304       3542        750        210        188      0.200      0.472      0.795      0.649      0.734 
30       1.13       3543        749        209        189      0.201      0.475      0.796      0.650      0.735 
31     1.1236       3542        750        210        188      0.200      0.472      0.795      0.649      0.735 
32     1.1119       3543        749        209        189      0.201      0.475      0.796      0.650      0.736 
33     1.1185       3543        749        209        189      0.201      0.475      0.796      0.650      0.736 
34     1.1167       3544        748        208        190      0.203      0.477      0.796      0.652      0.736 
35     1.1218       3546        746        206        192      0.205      0.482      0.797      0.654      0.736 
36     1.1141       3545        747        207        191      0.204      0.480      0.797      0.653      0.736 
37     1.1144       3543        749        209        189      0.201      0.475      0.796      0.650      0.736 
38     1.1242       3543        749        209        189      0.201      0.475      0.796      0.650      0.736 
39     1.1156       3543        749        209        189      0.201      0.475      0.796      0.650      0.736 
40     1.1115       3543        749        209        189      0.201      0.475      0.796      0.650      0.736 
41     1.1242       3542        750        210        188      0.200      0.472      0.795      0.649      0.736 
42     1.1096       3542        750        210        188      0.200      0.472      0.795      0.649      0.737 
43     1.1093       3542        750        210        188      0.200      0.472      0.795      0.649      0.737 
44     1.1093       3544        748        208        190      0.203      0.477      0.796      0.652      0.737 
45     1.1177       3545        747        207        191      0.204      0.480      0.797      0.653      0.738 
46     1.1004       3546        746        206        192      0.205      0.482      0.797      0.654      0.738 
47     1.1084       3546        746        206        192      0.205      0.482      0.797      0.654      0.738 
48     1.1155       3545        747        207        191      0.204      0.480      0.797      0.653      0.738 
49     1.0971       3545        747        207        191      0.204      0.480      0.797      0.653      0.738 
50     1.1061       3545        747        207        191      0.204      0.480      0.797      0.653      0.738 
51     1.1071       3545        747        207        191      0.204      0.480      0.797      0.653      0.738 
52     1.1106       3545        747        207        191      0.204      0.480      0.797      0.653      0.739 
53     1.1059       3544        748        208        190      0.203      0.477      0.796      0.652      0.739 
54     1.1064       3544        748        208        190      0.203      0.477      0.796      0.652      0.739 
55     1.0956       3544        748        208        190      0.203      0.477      0.796      0.652      0.739 
56     1.0985       3544        748        208        190      0.203      0.477      0.796      0.652      0.739 
57      1.109       3544        748        208        190      0.203      0.477      0.796      0.652      0.739 
58     1.1009       3544        748        208        190      0.203      0.477      0.796      0.652      0.739 
59     1.1056       3543        749        209        189      0.201      0.475      0.796      0.650      0.740 
60     1.1095       3545        747        207        191      0.204      0.480      0.797      0.653      0.740 
61     1.1066       3546        746        206        192      0.205      0.482      0.797      0.654      0.740 
62     1.0923       3545        747        207        191      0.204      0.480      0.797      0.653      0.740 
63     1.1051       3546        746        206        192      0.205      0.482      0.797      0.654      0.741 
64     1.1001       3546        746        206        192      0.205      0.482      0.797      0.654      0.741 
65     1.1014       3545        747        206        192      0.204      0.482      0.797      0.654      0.741 
66     1.1116       3547        745        205        193      0.206      0.485      0.797      0.656      0.741 
67     1.0994       3547        745        205        193      0.206      0.485      0.797      0.656      0.741 
68     1.1126       3545        747        207        191      0.204      0.480      0.797      0.653      0.741 
69     1.1063       3545        747        207        191      0.204      0.480      0.797      0.653      0.742 
70     1.1005       3547        745        205        193      0.206      0.485      0.797      0.656      0.742 
71     1.1095       3548        744        204        194      0.207      0.487      0.798      0.657      0.742 
72     1.0998       3549        743        203        195      0.208      0.490      0.798      0.658      0.742 
73     1.1049       3548        744        204        194      0.207      0.487      0.798      0.657      0.742 
74     1.1107       3549        743        203        195      0.208      0.490      0.798      0.658      0.742 
75      1.105       3549        743        203        195      0.208      0.490      0.798      0.658      0.742 
76     1.0984       3548        744        204        194      0.207      0.487      0.798      0.657      0.742 
77     1.0977       3546        746        206        192      0.205      0.482      0.797      0.654      0.742 
78     1.1066       3545        747        207        191      0.204      0.480      0.797      0.653      0.742 
79     1.1078       3546        746        206        192      0.205      0.482      0.797      0.654      0.742 
80     1.0842       3546        746        206        192      0.205      0.482      0.797      0.654      0.743 
81     1.1045       3546        746        206        192      0.205      0.482      0.797      0.654      0.743 
82     1.1067       3548        744        204        194      0.207      0.487      0.798      0.657      0.743 
83     1.0978       3547        745        205        193      0.206      0.485      0.797      0.656      0.743 
84     1.0977       3549        743        203        195      0.208      0.490      0.798      0.658      0.744 
85     1.1056       3551        741        201        197      0.210      0.495      0.799      0.661      0.744 
86     1.1059       3551        741        201        197      0.210      0.495      0.799      0.661      0.744 
87     1.1001       3549        743        203        195      0.208      0.490      0.798      0.658      0.744 
88     1.1063       3548        744        204        194      0.207      0.487      0.798      0.657      0.744 
89     1.0978       3550        742        202        196      0.209      0.492      0.799      0.660      0.744 
90     1.1028       3549        743        203        195      0.208      0.490      0.798      0.658      0.744 
91     1.0899       3548        744        204        194      0.207      0.487      0.798      0.657      0.744 
92      1.091       3548        744        204        194      0.207      0.487      0.798      0.657      0.744 
93     1.0945       3547        745        205        193      0.206      0.485      0.797      0.656      0.744 
94      1.109       3547        745        205        193      0.206      0.485      0.797      0.656      0.744 
95     1.0977       3548        744        204        194      0.207      0.487      0.798      0.657      0.744 
96     1.0888       3547        745        205        193      0.206      0.485      0.797      0.656      0.744 
97     1.0869       3547        745        205        193      0.206      0.485      0.797      0.656      0.745 
98     1.1064       3548        744        204        194      0.207      0.487      0.798      0.657      0.745 
99     1.0986       3548        744        204        194      0.207      0.487      0.798      0.657      0.745 
100     1.0996       3549        743        203        195      0.208      0.490      0.798      0.658      0.745 
101     1.0978       3550        742        202        196      0.209      0.492      0.799      0.660      0.745 
102     1.0943       3550        742        202        196      0.209      0.492      0.799      0.660      0.746 
103     1.0866       3550        742        202        196      0.209      0.492      0.799      0.660      0.746 
104     1.0957       3549        743        203        195      0.208      0.490      0.798      0.658      0.746 
105     1.1005       3548        744        204        194      0.207      0.487      0.798      0.657      0.746 
106     1.0898       3548        744        204        194      0.207      0.487      0.798      0.657      0.746 
107     1.0964       3548        744        204        194      0.207      0.487      0.798      0.657      0.746 
108     1.1024       3549        743        203        195      0.208      0.490      0.798      0.658      0.746 
109     1.0943       3550        742        202        196      0.209      0.492      0.799      0.660      0.746 
110     1.1012       3550        742        202        196      0.209      0.492      0.799      0.660      0.747 
111     1.0931       3550        742        201        197      0.210      0.495      0.799      0.661      0.747 
112     1.1037       3551        741        201        197      0.210      0.495      0.799      0.661      0.747 
113     1.1006       3548        744        204        194      0.207      0.487      0.798      0.657      0.747 
114        1.1       3548        744        204        194      0.207      0.487      0.798      0.657      0.747 
115     1.0906       3549        743        203        195      0.208      0.490      0.798      0.658      0.747 
116     1.0846       3549        743        203        195      0.208      0.490      0.798      0.658      0.747 
117     1.0924       3550        742        202        196      0.209      0.492      0.799      0.660      0.747 
118     1.0893       3551        741        201        197      0.210      0.495      0.799      0.661      0.747 
119     1.1024       3552        740        200        198      0.211      0.497      0.800      0.663      0.747 
120     1.0844       3551        741        201        197      0.210      0.495      0.799      0.661      0.747 
121      1.096       3552        740        200        198      0.211      0.497      0.800      0.663      0.747 
122     1.0955       3551        741        201        197      0.210      0.495      0.799      0.661      0.747 
123     1.1086       3550        742        202        196      0.209      0.492      0.799      0.660      0.747 
124     1.0884       3552        740        200        198      0.211      0.497      0.800      0.663      0.748 
125     1.0866       3551        741        201        197      0.210      0.495      0.799      0.661      0.748 
126     1.0893       3551        741        201        197      0.210      0.495      0.799      0.661      0.748 
127     1.0911       3551        741        201        197      0.210      0.495      0.799      0.661      0.748 
128     1.0817       3550        742        202        196      0.209      0.492      0.799      0.660      0.748 
129     1.0901       3550        742        202        196      0.209      0.492      0.799      0.660      0.749 
130     1.0923       3550        742        202        196      0.209      0.492      0.799      0.660      0.749 
131     1.0905       3548        744        204        194      0.207      0.487      0.798      0.657      0.749 
132     1.0923       3548        744        204        194      0.207      0.487      0.798      0.657      0.748 
133      1.102       3547        745        205        193      0.206      0.485      0.797      0.656      0.748 
134     1.0891       3548        744        204        194      0.207      0.487      0.798      0.657      0.749 
135     1.0902       3548        744        204        194      0.207      0.487      0.798      0.657      0.749 
136      1.088       3549        743        203        195      0.208      0.490      0.798      0.658      0.749 
137      1.101       3550        742        202        196      0.209      0.492      0.799      0.660      0.749 
138     1.0917       3550        742        202        196      0.209      0.492      0.799      0.660      0.750 
139     1.0959       3549        743        203        195      0.208      0.490      0.798      0.658      0.750 
140     1.0857       3550        742        202        196      0.209      0.492      0.799      0.660      0.750 
141     1.0999       3550        742        202        196      0.209      0.492      0.799      0.660      0.750 
142     1.0967       3551        741        201        197      0.210      0.495      0.799      0.661      0.750 
143     1.0927       3551        741        201        197      0.210      0.495      0.799      0.661      0.750 
