# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: phgcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.2886       4402        963        288        210      0.179      0.422      0.787      0.621      0.682 
2     1.2373       4409        956        281        217      0.185      0.436      0.789      0.629      0.690 
3     1.2374       4409        956        281        217      0.185      0.436      0.789      0.629      0.692 
4     1.2375       4409        956        281        217      0.185      0.436      0.789      0.629      0.693 
5     1.2232       4406        959        284        214      0.182      0.430      0.788      0.625      0.693 
6     1.2167       4403        962        287        211      0.180      0.424      0.787      0.622      0.690 
7     1.2065       4403        962        287        211      0.180      0.424      0.787      0.622      0.688 
8     1.2005       4403        962        287        211      0.180      0.424      0.787      0.622      0.688 
9     1.1903       4409        956        281        217      0.185      0.436      0.789      0.629      0.692 
10     1.1812       4413        952        277        221      0.188      0.444      0.790      0.633      0.696 
11     1.1766       4413        952        277        221      0.188      0.444      0.790      0.633      0.700 
12     1.1765       4414        951        276        222      0.189      0.446      0.791      0.634      0.702 
13     1.1732       4413        952        277        221      0.188      0.444      0.790      0.633      0.703 
14     1.1624       4417        948        273        225      0.192      0.452      0.792      0.638      0.704 
15     1.1484       4419        946        271        227      0.194      0.456      0.792      0.640      0.708 
16     1.1558       4424        941        266        232      0.198      0.466      0.794      0.645      0.712 
17     1.1451       4424        941        266        232      0.198      0.466      0.794      0.645      0.716 
18     1.1421       4425        940        265        233      0.199      0.468      0.794      0.646      0.719 
19     1.1396       4426        939        264        234      0.199      0.470      0.795      0.647      0.721 
20     1.1365       4427        938        263        235      0.200      0.472      0.795      0.649      0.722 
21     1.1459       4426        939        264        234      0.199      0.470      0.795      0.647      0.723 
22     1.1533       4424        941        266        232      0.198      0.466      0.794      0.645      0.724 
23     1.1426       4425        940        265        233      0.199      0.468      0.794      0.646      0.724 
24     1.1473       4424        941        266        232      0.198      0.466      0.794      0.645      0.724 
25     1.1431       4424        941        266        232      0.198      0.466      0.794      0.645      0.724 
26      1.131       4424        941        266        232      0.198      0.466      0.794      0.645      0.724 
27     1.1265       4427        938        263        235      0.200      0.472      0.795      0.649      0.725 
28     1.1326       4425        940        265        233      0.199      0.468      0.794      0.646      0.725 
29     1.1333       4425        940        265        233      0.199      0.468      0.794      0.646      0.725 
30     1.1331       4426        939        264        234      0.199      0.470      0.795      0.647      0.725 
31     1.1256       4429        936        261        237      0.202      0.476      0.796      0.651      0.724 
32     1.1362       4428        937        262        236      0.201      0.474      0.795      0.650      0.724 
33     1.1236       4428        937        262        236      0.201      0.474      0.795      0.650      0.724 
34     1.1235       4428        937        262        236      0.201      0.474      0.795      0.650      0.725 
35     1.1261       4430        935        260        238      0.203      0.478      0.796      0.652      0.725 
36     1.1286       4429        936        261        237      0.202      0.476      0.796      0.651      0.725 
37     1.1233       4430        935        260        238      0.203      0.478      0.796      0.652      0.725 
38     1.1242       4429        936        261        237      0.202      0.476      0.796      0.651      0.726 
39     1.1169       4429        936        261        237      0.202      0.476      0.796      0.651      0.726 
40     1.1208       4431        934        259        239      0.204      0.480      0.797      0.653      0.726 
41     1.1221       4430        935        260        238      0.203      0.478      0.796      0.652      0.727 
42     1.1258       4430        935        260        238      0.203      0.478      0.796      0.652      0.727 
43     1.1142       4431        934        259        239      0.204      0.480      0.797      0.653      0.727 
44     1.1275       4430        935        260        238      0.203      0.478      0.796      0.652      0.727 
45     1.1263       4431        934        259        239      0.204      0.480      0.797      0.653      0.728 
46     1.1237       4429        936        261        237      0.202      0.476      0.796      0.651      0.728 
47     1.1215       4429        936        261        237      0.202      0.476      0.796      0.651      0.728 
48     1.1264       4429        936        261        237      0.202      0.476      0.796      0.651      0.728 
49     1.1127       4432        933        258        240      0.205      0.482      0.797      0.654      0.728 
50     1.1194       4432        933        258        240      0.205      0.482      0.797      0.654      0.728 
51      1.116       4432        933        258        240      0.205      0.482      0.797      0.654      0.727 
52     1.1267       4432        933        258        240      0.205      0.482      0.797      0.654      0.728 
53     1.1058       4431        934        259        239      0.204      0.480      0.797      0.653      0.728 
54     1.1181       4432        933        258        240      0.205      0.482      0.797      0.654      0.728 
55     1.1128       4432        933        258        240      0.205      0.482      0.797      0.654      0.728 
56     1.1084       4431        934        259        239      0.204      0.480      0.797      0.653      0.728 
57     1.1239       4430        935        260        238      0.203      0.478      0.796      0.652      0.728 
58     1.1125       4432        933        258        240      0.205      0.482      0.797      0.654      0.728 
59     1.1251       4431        934        259        239      0.204      0.480      0.797      0.653      0.728 
60     1.1193       4432        933        258        240      0.205      0.482      0.797      0.654      0.729 
61     1.1145       4432        933        258        240      0.205      0.482      0.797      0.654      0.729 
62     1.1228       4432        933        258        240      0.205      0.482      0.797      0.654      0.729 
63     1.1223       4432        933        258        240      0.205      0.482      0.797      0.654      0.729 
64      1.116       4432        933        258        240      0.205      0.482      0.797      0.654      0.729 
65     1.1164       4433        932        257        241      0.205      0.484      0.797      0.655      0.729 
66     1.1173       4431        934        259        239      0.204      0.480      0.797      0.653      0.729 
67     1.1142       4431        934        259        239      0.204      0.480      0.797      0.653      0.728 
68     1.1147       4431        934        259        239      0.204      0.480      0.797      0.653      0.728 
69     1.1151       4433        932        257        241      0.205      0.484      0.797      0.655      0.728 
70     1.1238       4433        932        257        241      0.205      0.484      0.797      0.655      0.729 
