# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: phgcn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.3724        866        207         64         36      0.148      0.360      0.769      0.584      0.633 
Train:          1     1.3724       3477        815        275        123      0.131      0.309      0.768      0.560      0.598 
All:          1     1.3724       4350       1015        340        158      0.135      0.317      0.769      0.564      0.605 
Test:          2     1.2986        881        192         59         41      0.176      0.410      0.786      0.616      0.691 
Train:          2     1.2986       3510        782        242        156      0.166      0.392      0.782      0.605      0.663 
All:          2     1.2986       4390        975        300        198      0.169      0.398      0.783      0.608      0.669 
Test:          3      1.298        888        185         56         44      0.192      0.440      0.795      0.634      0.700 
Train:          3      1.298       3518        774        234        164      0.175      0.412      0.785      0.616      0.675 
All:          3      1.298       4400        965        290        208      0.177      0.418      0.786      0.619      0.680 
Test:          4     1.2733        890        183         56         44      0.194      0.440      0.796      0.635      0.700 
Train:          4     1.2733       3523        769        229        169      0.180      0.425      0.787      0.623      0.679 
All:          4     1.2733       4407        958        283        215      0.183      0.432      0.788      0.627      0.683 
Test:          5     1.2496        891        182         57         43      0.191      0.430      0.796      0.630      0.693 
Train:          5     1.2496       3519        773        233        165      0.176      0.415      0.786      0.617      0.676 
All:          5     1.2496       4400        965        290        208      0.177      0.418      0.786      0.619      0.679 
Test:          6     1.2403        882        191         63         37      0.162      0.370      0.783      0.596      0.671 
Train:          6     1.2403       3513        779        239        159      0.170      0.399      0.783      0.609      0.665 
All:          6     1.2403       4389        976        301        197      0.168      0.396      0.782      0.607      0.666 
Test:          7     1.2405        881        192         59         41      0.176      0.410      0.786      0.616      0.667 
Train:          7     1.2405       3516        776        236        162      0.173      0.407      0.784      0.613      0.670 
All:          7     1.2405       4395        970        295        203      0.173      0.408      0.784      0.613      0.670 
Test:          8     1.2341        881        192         60         40      0.172      0.400      0.785      0.611      0.678 
Train:          8     1.2341       3519        773        233        165      0.176      0.415      0.786      0.617      0.682 
All:          8     1.2341       4397        968        293        205      0.175      0.412      0.785      0.616      0.681 
Test:          9     1.2216        888        185         59         41      0.181      0.410      0.792      0.619      0.688 
Train:          9     1.2216       3522        770        230        168      0.179      0.422      0.787      0.621      0.690 
All:          9     1.2216       4403        962        287        211      0.180      0.424      0.787      0.622      0.690 
Test:         10     1.2068        889        184         57         43      0.189      0.430      0.795      0.629      0.695 
Train:         10     1.2068       3527        765        225        173      0.184      0.435      0.789      0.628      0.694 
All:         10     1.2068       4408        957        282        216      0.184      0.434      0.789      0.628      0.695 
