# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: phgcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.3024       3507        785        245        153      0.163      0.384      0.780      0.601      0.652 
2     1.2608       3521        771        231        167      0.178      0.420      0.786      0.620      0.684 
3     1.2522       3519        773        233        165      0.176      0.415      0.786      0.617      0.681 
4     1.2385       3511        781        241        157      0.167      0.394      0.782      0.606      0.666 
5     1.2141       3505        787        247        151      0.161      0.379      0.780      0.598      0.656 
6     1.2119       3504        788        248        150      0.160      0.377      0.779      0.597      0.664 
7     1.2012       3513        779        239        159      0.170      0.399      0.783      0.609      0.678 
8     1.1784       3519        773        233        165      0.176      0.415      0.786      0.617      0.690 
9     1.1787       3520        772        232        166      0.177      0.417      0.786      0.619      0.697 
10     1.1718       3525        767        227        171      0.182      0.430      0.788      0.625      0.699 
11     1.1692       3527        765        225        173      0.184      0.435      0.789      0.628      0.702 
12     1.1573       3536        756        216        182      0.194      0.457      0.793      0.641      0.708 
13     1.1555       3541        751        211        187      0.199      0.470      0.795      0.647      0.715 
14     1.1548       3552        740        200        198      0.211      0.497      0.800      0.663      0.720 
15     1.1419       3550        742        202        196      0.209      0.492      0.799      0.660      0.722 
16     1.1364       3548        744        204        194      0.207      0.487      0.798      0.657      0.723 
17     1.1431       3545        747        207        191      0.204      0.480      0.797      0.653      0.725 
18     1.1351       3547        745        205        193      0.206      0.485      0.797      0.656      0.727 
19     1.1392       3547        745        205        193      0.206      0.485      0.797      0.656      0.728 
20     1.1205       3551        741        201        197      0.210      0.495      0.799      0.661      0.728 
21     1.1389       3552        740        200        198      0.211      0.497      0.800      0.663      0.729 
22     1.1322       3550        742        202        196      0.209      0.492      0.799      0.660      0.729 
23     1.1236       3550        742        202        196      0.209      0.492      0.799      0.660      0.729 
24     1.1272       3547        745        205        193      0.206      0.485      0.797      0.656      0.730 
25     1.1141       3549        743        203        195      0.208      0.490      0.798      0.658      0.730 
26     1.1256       3551        741        201        197      0.210      0.495      0.799      0.661      0.731 
27     1.1232       3551        741        201        197      0.210      0.495      0.799      0.661      0.732 
28     1.1133       3553        739        199        199      0.212      0.500      0.800      0.664      0.732 
29     1.1193       3555        737        197        201      0.214      0.505      0.801      0.667      0.732 
30     1.1264       3556        736        196        202      0.215      0.508      0.801      0.668      0.733 
31     1.1198       3554        738        198        200      0.213      0.503      0.800      0.665      0.733 
32     1.1121       3555        737        197        201      0.214      0.505      0.801      0.667      0.733 
33     1.1159       3555        737        197        201      0.214      0.505      0.801      0.667      0.734 
34     1.1112       3555        737        197        201      0.214      0.505      0.801      0.667      0.734 
35     1.1363       3559        733        193        205      0.219      0.515      0.803      0.672      0.734 
36     1.1149       3558        734        194        204      0.217      0.513      0.802      0.671      0.734 
37     1.1099       3558        734        194        204      0.217      0.513      0.802      0.671      0.734 
38     1.1157       3557        735        195        203      0.216      0.510      0.802      0.669      0.734 
39     1.1193       3557        735        195        203      0.216      0.510      0.802      0.669      0.734 
40     1.1127       3558        734        194        204      0.217      0.513      0.802      0.671      0.735 
41     1.1182       3559        733        193        205      0.219      0.515      0.803      0.672      0.736 
42     1.1093       3558        734        194        204      0.217      0.513      0.802      0.671      0.736 
43     1.1027       3557        735        195        203      0.216      0.510      0.802      0.669      0.736 
44     1.1181       3557        735        195        203      0.216      0.510      0.802      0.669      0.737 
45      1.108       3557        735        195        203      0.216      0.510      0.802      0.669      0.737 
46      1.113       3557        735        195        203      0.216      0.510      0.802      0.669      0.737 
47     1.1041       3557        735        195        203      0.216      0.510      0.802      0.669      0.737 
48     1.1106       3557        735        195        203      0.216      0.510      0.802      0.669      0.737 
49     1.1101       3557        735        195        203      0.216      0.510      0.802      0.669      0.738 
50     1.1106       3559        733        193        205      0.219      0.515      0.803      0.672      0.738 
51     1.1039       3560        732        192        206      0.220      0.518      0.803      0.674      0.738 
52     1.1177       3559        733        193        205      0.219      0.515      0.803      0.672      0.738 
53     1.1107       3559        733        193        205      0.219      0.515      0.803      0.672      0.738 
54     1.1057       3561        731        191        207      0.221      0.520      0.803      0.675      0.739 
55     1.1071       3560        732        192        206      0.220      0.518      0.803      0.674      0.739 
56     1.1006       3560        732        192        206      0.220      0.518      0.803      0.674      0.740 
57     1.1043       3560        732        192        206      0.220      0.518      0.803      0.674      0.740 
58     1.1027       3560        732        192        206      0.220      0.518      0.803      0.674      0.740 
59     1.1124       3560        732        192        206      0.220      0.518      0.803      0.674      0.740 
60     1.1155       3563        729        189        209      0.223      0.525      0.804      0.678      0.740 
61     1.1046       3560        732        192        206      0.220      0.518      0.803      0.674      0.740 
62     1.1139       3560        732        192        206      0.220      0.518      0.803      0.674      0.740 
63     1.1029       3560        732        192        206      0.220      0.518      0.803      0.674      0.740 
64     1.1015       3560        732        192        206      0.220      0.518      0.803      0.674      0.740 
65     1.1058       3560        732        192        206      0.220      0.518      0.803      0.674      0.740 
66     1.1092       3561        731        191        207      0.221      0.520      0.803      0.675      0.741 
67     1.1076       3562        730        190        208      0.222      0.523      0.804      0.676      0.741 
68     1.1042       3563        729        189        209      0.223      0.525      0.804      0.678      0.741 
69     1.0995       3560        732        192        206      0.220      0.518      0.803      0.674      0.741 
70     1.1089       3560        732        192        206      0.220      0.518      0.803      0.674      0.742 
71      1.097       3562        730        190        208      0.222      0.523      0.804      0.676      0.741 
72       1.11       3560        732        192        206      0.220      0.518      0.803      0.674      0.741 
73     1.1029       3559        733        193        205      0.219      0.515      0.803      0.672      0.741 
74     1.1018       3559        733        193        205      0.219      0.515      0.803      0.672      0.741 
75     1.1037       3560        732        192        206      0.220      0.518      0.803      0.674      0.741 
76     1.0996       3562        730        190        208      0.222      0.523      0.804      0.676      0.742 
77     1.1061       3561        731        191        207      0.221      0.520      0.803      0.675      0.742 
78     1.1046       3560        732        192        206      0.220      0.518      0.803      0.674      0.743 
