# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: sage.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.4429       4334       1031        356        142      0.121      0.285      0.763      0.546      0.552 
2     1.3365       4321       1044        369        129      0.110      0.259      0.759      0.532      0.524 
3     1.3279       4318       1047        372        126      0.107      0.253      0.758      0.529      0.512 
4     1.2883       4315       1050        375        123      0.105      0.247      0.757      0.526      0.516 
5     1.3297       4316       1049        374        124      0.106      0.249      0.757      0.527      0.528 
6     1.3164       4319       1046        371        127      0.108      0.255      0.758      0.530      0.547 
7     1.2943       4331       1034        359        139      0.118      0.279      0.762      0.543      0.567 
8     1.2847       4339       1026        351        147      0.125      0.295      0.765      0.552      0.586 
9     1.2736       4348       1017        342        156      0.133      0.313      0.768      0.562      0.605 
10     1.2556       4356       1009        334        164      0.140      0.329      0.771      0.571      0.621 
11     1.2636       4365       1000        325        173      0.147      0.347      0.774      0.580      0.634 
12     1.2449       4376        989        314        184      0.157      0.369      0.778      0.593      0.644 
13      1.246       4376        989        314        184      0.157      0.369      0.778      0.593      0.653 
14     1.2471       4375        990        315        183      0.156      0.367      0.777      0.591      0.660 
15     1.2329       4371        994        319        179      0.153      0.359      0.776      0.587      0.665 
16     1.2313       4375        990        315        183      0.156      0.367      0.777      0.591      0.669 
17     1.2176       4375        990        315        183      0.156      0.367      0.777      0.591      0.671 
18     1.2164       4376        989        314        184      0.157      0.369      0.778      0.593      0.672 
19     1.2167       4379        986        311        187      0.159      0.376      0.779      0.596      0.673 
20     1.2211       4379        986        311        187      0.159      0.376      0.779      0.596      0.676 
21     1.2176       4385        980        305        193      0.165      0.388      0.781      0.602      0.680 
22     1.2048       4390        975        300        198      0.169      0.398      0.783      0.608      0.685 
23     1.2169       4392        973        298        200      0.171      0.402      0.783      0.610      0.690 
24     1.2085       4394        971        296        202      0.172      0.406      0.784      0.612      0.694 
25      1.199       4401        964        289        209      0.178      0.420      0.786      0.620      0.697 
26     1.1916       4405        960        285        213      0.182      0.428      0.788      0.624      0.698 
27     1.1989       4404        961        286        212      0.181      0.426      0.787      0.623      0.699 
28     1.2025       4403        962        287        211      0.180      0.424      0.787      0.622      0.698 
29     1.2096       4405        960        285        213      0.182      0.428      0.788      0.624      0.698 
30     1.1967       4405        960        285        213      0.182      0.428      0.788      0.624      0.699 
31     1.1954       4407        958        283        215      0.183      0.432      0.788      0.627      0.700 
32     1.1943       4407        958        283        215      0.183      0.432      0.788      0.627      0.701 
33     1.1833       4409        956        281        217      0.185      0.436      0.789      0.629      0.702 
34     1.1916       4408        957        282        216      0.184      0.434      0.789      0.628      0.704 
35     1.1913       4408        957        282        216      0.184      0.434      0.789      0.628      0.706 
36     1.1857       4409        956        281        217      0.185      0.436      0.789      0.629      0.709 
37     1.1822       4412        953        278        220      0.188      0.442      0.790      0.632      0.711 
38     1.1774       4415        950        275        223      0.190      0.448      0.791      0.635      0.713 
39     1.1792       4415        950        275        223      0.190      0.448      0.791      0.635      0.714 
40     1.1706       4418        947        272        226      0.193      0.454      0.792      0.639      0.715 
41     1.1875       4419        946        271        227      0.194      0.456      0.792      0.640      0.716 
42     1.1853       4419        946        271        227      0.194      0.456      0.792      0.640      0.716 
43     1.1821       4418        947        272        226      0.193      0.454      0.792      0.639      0.717 
44     1.1761       4418        947        272        226      0.193      0.454      0.792      0.639      0.717 
45     1.1889       4420        945        270        228      0.194      0.458      0.793      0.641      0.718 
46     1.1741       4421        944        269        229      0.195      0.460      0.793      0.642      0.720 
47     1.1732       4422        943        268        230      0.196      0.462      0.793      0.643      0.721 
48     1.1782       4425        940        265        233      0.199      0.468      0.794      0.646      0.723 
49     1.1712       4425        940        265        233      0.199      0.468      0.794      0.646      0.724 
50     1.1659       4427        938        263        235      0.200      0.472      0.795      0.649      0.725 
51     1.1701       4427        938        263        235      0.200      0.472      0.795      0.649      0.726 
52     1.1617       4429        936        261        237      0.202      0.476      0.796      0.651      0.727 
53     1.1705       4430        935        260        238      0.203      0.478      0.796      0.652      0.727 
54     1.1725       4432        933        258        240      0.205      0.482      0.797      0.654      0.728 
55     1.1638       4432        933        258        240      0.205      0.482      0.797      0.654      0.728 
56      1.174       4431        934        259        239      0.204      0.480      0.797      0.653      0.728 
57     1.1766       4430        935        260        238      0.203      0.478      0.796      0.652      0.729 
58     1.1724       4431        934        259        239      0.204      0.480      0.797      0.653      0.729 
59     1.1674       4432        933        258        240      0.205      0.482      0.797      0.654      0.730 
60      1.166       4434        931        256        242      0.206      0.486      0.798      0.656      0.730 
61     1.1633       4435        930        255        243      0.207      0.488      0.798      0.657      0.730 
62     1.1547       4436        929        254        244      0.208      0.490      0.798      0.658      0.731 
63     1.1466       4438        927        252        246      0.210      0.494      0.799      0.661      0.731 
64      1.157       4438        927        252        246      0.210      0.494      0.799      0.661      0.732 
65     1.1594       4435        930        255        243      0.207      0.488      0.798      0.657      0.732 
66     1.1651       4432        933        258        240      0.205      0.482      0.797      0.654      0.732 
67     1.1605       4432        933        258        240      0.205      0.482      0.797      0.654      0.732 
68      1.152       4432        933        258        240      0.205      0.482      0.797      0.654      0.733 
69     1.1647       4432        933        258        240      0.205      0.482      0.797      0.654      0.733 
70     1.1607       4433        932        257        241      0.205      0.484      0.797      0.655      0.734 
71     1.1664       4434        931        256        242      0.206      0.486      0.798      0.656      0.735 
72     1.1506       4434        931        256        242      0.206      0.486      0.798      0.656      0.736 
73       1.16       4436        929        254        244      0.208      0.490      0.798      0.658      0.737 
