# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: sage.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.5253        853        220         84         16      0.068      0.160      0.741      0.477      0.467 
Train:          1     1.5253       3412        880        340         58      0.062      0.146      0.740      0.470      0.450 
All:          1     1.5253       4266       1099        424         74      0.063      0.149      0.740      0.472      0.453 
Test:          2     1.5037        841        232         84         16      0.065      0.160      0.731      0.472      0.478 
Train:          2     1.5037       3422        870        330         68      0.072      0.171      0.744      0.484      0.457 
All:          2     1.5037       4275       1090        415         83      0.071      0.167      0.743      0.482      0.461 
Test:          3     1.4644        840        233         80         20      0.079      0.200      0.733      0.491      0.495 
Train:          3     1.4644       3430        862        322         76      0.081      0.191      0.748      0.495      0.471 
All:          3     1.4644       4287       1078        403         95      0.081      0.191      0.747      0.495      0.476 
Test:          4     1.4294        857        216         76         24      0.100      0.240      0.751      0.519      0.512 
Train:          4     1.4294       3439        853        313         85      0.091      0.214      0.751      0.507      0.492 
All:          4     1.4294       4300       1065        390        108      0.092      0.217      0.752      0.509      0.496 
Test:          5     1.3713        863        210         69         31      0.129      0.310      0.762      0.557      0.537 
Train:          5     1.3713       3454        838        298        100      0.107      0.251      0.758      0.528      0.523 
All:          5     1.3713       4323       1042        367        131      0.112      0.263      0.760      0.534      0.526 
Test:          6     1.3657        870        203         67         33      0.140      0.330      0.770      0.570      0.564 
Train:          6     1.3657       3467        825        285        113      0.120      0.284      0.763      0.546      0.560 
All:          6     1.3657       4338       1027        352        146      0.124      0.293      0.765      0.551      0.561 
Test:          7     1.3061        878        195         66         34      0.148      0.340      0.777      0.579      0.589 
Train:          7     1.3061       3475        817        277        121      0.129      0.304      0.767      0.557      0.596 
All:          7     1.3061       4347       1018        343        155      0.132      0.311      0.768      0.561      0.595 
Test:          8     1.3018        888        185         66         34      0.155      0.340      0.786      0.584      0.607 
Train:          8     1.3018       3487        805        265        133      0.142      0.334      0.772      0.573      0.621 
All:          8     1.3018       4361       1004        329        169      0.144      0.339      0.773      0.576      0.618 
Test:          9     1.2768        901        172         66         34      0.165      0.340      0.797      0.590      0.613 
Train:          9     1.2768       3492        800        260        138      0.147      0.347      0.774      0.580      0.632 
All:          9     1.2768       4367        998        323        175      0.149      0.351      0.775      0.583      0.628 
Test:         10     1.2692        893        180         64         36      0.167      0.360      0.792      0.596      0.611 
Train:         10     1.2692       3494        798        258        140      0.149      0.352      0.775      0.583      0.633 
All:         10     1.2692       4369        996        321        177      0.151      0.355      0.775      0.585      0.629 
Test:         11       1.29        890        183         64         36      0.164      0.360      0.789      0.595      0.606 
Train:         11       1.29       3493        799        259        139      0.148      0.349      0.774      0.582      0.630 
All:         11       1.29       4367        998        323        175      0.149      0.351      0.775      0.583      0.625 
Test:         12     1.2628        889        184         68         32      0.148      0.320      0.785      0.574      0.604 
Train:         12     1.2628       3492        800        260        138      0.147      0.347      0.774      0.580      0.629 
All:         12     1.2628       4363       1002        327        171      0.146      0.343      0.773      0.578      0.624 
Test:         13      1.261        891        182         67         33      0.153      0.330      0.788      0.580      0.608 
Train:         13      1.261       3497        795        255        143      0.152      0.359      0.776      0.587      0.634 
All:         13      1.261       4372        993        318        180      0.153      0.361      0.776      0.588      0.629 
Test:         14     1.2604        896        177         66         34      0.161      0.340      0.793      0.588      0.615 
Train:         14     1.2604       3500        792        252        146      0.156      0.367      0.777      0.591      0.643 
All:         14     1.2604       4375        990        315        183      0.156      0.367      0.777      0.591      0.638 
Test:         15     1.2437        900        173         65         35      0.168      0.350      0.797      0.594      0.624 
Train:         15     1.2437       3505        787        247        151      0.161      0.379      0.780      0.598      0.653 
All:         15     1.2437       4382        983        308        190      0.162      0.382      0.780      0.599      0.647 
Test:         16     1.2399        899        174         65         35      0.167      0.350      0.796      0.594      0.632 
Train:         16     1.2399       3508        784        244        154      0.164      0.387      0.781      0.602      0.662 
All:         16     1.2399       4383        982        307        191      0.163      0.384      0.780      0.600      0.656 
Test:         17     1.2252        906        167         63         37      0.181      0.370      0.804      0.607      0.639 
Train:         17     1.2252       3512        780        240        158      0.168      0.397      0.783      0.608      0.668 
All:         17     1.2252       4389        976        301        197      0.168      0.396      0.782      0.607      0.662 
Test:         18     1.2353        912        161         64         36      0.183      0.360      0.808      0.605      0.644 
Train:         18     1.2353       3510        782        242        156      0.166      0.392      0.782      0.605      0.672 
All:         18     1.2353       4391        974        299        199      0.170      0.400      0.783      0.609      0.666 
Test:         19      1.213        911        162         62         38      0.190      0.380      0.809      0.615      0.651 
Train:         19      1.213       3513        779        239        159      0.170      0.399      0.783      0.609      0.676 
All:         19      1.213       4393        972        297        201      0.171      0.404      0.784      0.611      0.671 
Test:         20     1.2115        918        155         62         38      0.197      0.380      0.815      0.618      0.656 
Train:         20     1.2115       3516        776        236        162      0.173      0.407      0.784      0.613      0.681 
All:         20     1.2115       4393        972        297        201      0.171      0.404      0.784      0.611      0.676 
Test:         21     1.2164        912        161         62         38      0.191      0.380      0.810      0.615      0.660 
Train:         21     1.2164       3516        776        236        162      0.173      0.407      0.784      0.613      0.686 
All:         21     1.2164       4397        968        293        205      0.175      0.412      0.785      0.616      0.681 
Test:         22     1.2111        908        165         61         39      0.191      0.390      0.807      0.618      0.666 
Train:         22     1.2111       3520        772        232        166      0.177      0.417      0.786      0.619      0.693 
All:         22     1.2111       4399        966        291        207      0.176      0.416      0.786      0.618      0.687 
Test:         23     1.2014        906        167         63         37      0.181      0.370      0.804      0.607      0.670 
Train:         23     1.2014       3521        771        231        167      0.178      0.420      0.786      0.620      0.699 
