# Number of nodes=5863; Number of edges=33322; Number of node features=5; Model: sage.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.3616       3459        833        293        105      0.112      0.264      0.760      0.535      0.551 
2     1.3382       3473        819        279        119      0.127      0.299      0.766      0.554      0.574 
3     1.3148       3486        806        266        132      0.141      0.332      0.771      0.572      0.598 
4     1.2863       3497        795        255        143      0.152      0.359      0.776      0.587      0.618 
5     1.2915       3495        797        257        141      0.150      0.354      0.775      0.584      0.633 
6     1.2669       3500        792        252        146      0.156      0.367      0.777      0.591      0.639 
7     1.2427       3503        789        249        149      0.159      0.374      0.779      0.595      0.643 
8     1.2399       3503        789        249        149      0.159      0.374      0.779      0.595      0.649 
9     1.2358       3504        788        248        150      0.160      0.377      0.779      0.597      0.658 
10      1.231       3509        783        243        155      0.165      0.389      0.781      0.604      0.666 
11     1.2284       3510        782        242        156      0.166      0.392      0.782      0.605      0.674 
12     1.2425       3510        782        242        156      0.166      0.392      0.782      0.605      0.679 
13     1.2143       3512        780        240        158      0.168      0.397      0.783      0.608      0.684 
14     1.2237       3514        778        238        160      0.171      0.402      0.783      0.610      0.686 
15     1.2185       3515        777        237        161      0.172      0.405      0.784      0.612      0.687 
16     1.1989       3513        779        239        159      0.170      0.399      0.783      0.609      0.688 
17     1.2072       3516        776        236        162      0.173      0.407      0.784      0.613      0.691 
18     1.1828       3517        775        235        163      0.174      0.410      0.785      0.614      0.694 
19     1.1919       3519        773        233        165      0.176      0.415      0.786      0.617      0.697 
20     1.1918       3519        773        233        165      0.176      0.415      0.786      0.617      0.700 
21     1.2091       3521        771        231        167      0.178      0.420      0.786      0.620      0.703 
22      1.183       3522        770        230        168      0.179      0.422      0.787      0.621      0.706 
23     1.1907       3523        769        229        169      0.180      0.425      0.787      0.623      0.709 
24     1.1939       3524        768        228        170      0.181      0.427      0.788      0.624      0.710 
25     1.1929       3524        768        228        170      0.181      0.427      0.788      0.624      0.712 
26     1.1932       3524        768        228        170      0.181      0.427      0.788      0.624      0.713 
27     1.1855       3525        767        227        171      0.182      0.430      0.788      0.625      0.714 
28     1.1886       3528        764        224        174      0.186      0.437      0.789      0.630      0.716 
29     1.1883       3527        765        225        173      0.184      0.435      0.789      0.628      0.718 
30     1.1822       3529        763        223        175      0.187      0.440      0.790      0.631      0.720 
31     1.1757       3532        760        220        178      0.190      0.447      0.791      0.635      0.722 
32     1.1786       3532        760        220        178      0.190      0.447      0.791      0.635      0.723 
33     1.1898       3531        761        221        177      0.189      0.445      0.791      0.634      0.724 
34     1.1715       3530        762        222        176      0.188      0.442      0.790      0.632      0.725 
35     1.1692       3531        761        221        177      0.189      0.445      0.791      0.634      0.726 
36     1.1791       3533        759        219        179      0.191      0.450      0.791      0.636      0.727 
37     1.1764       3534        758        218        180      0.192      0.452      0.792      0.638      0.728 
38     1.1656       3534        758        218        180      0.192      0.452      0.792      0.638      0.729 
39     1.1799       3533        759        219        179      0.191      0.450      0.791      0.636      0.730 
40     1.1651       3534        758        218        180      0.192      0.452      0.792      0.638      0.731 
41     1.1889       3534        758        218        180      0.192      0.452      0.792      0.638      0.732 
42     1.1712       3536        756        216        182      0.194      0.457      0.793      0.641      0.732 
43     1.1672       3536        756        216        182      0.194      0.457      0.793      0.641      0.732 
44     1.1676       3536        756        216        182      0.194      0.457      0.793      0.641      0.733 
45     1.1681       3537        755        215        183      0.195      0.460      0.793      0.642      0.734 
46     1.1633       3537        755        215        183      0.195      0.460      0.793      0.642      0.734 
47     1.1632       3536        756        216        182      0.194      0.457      0.793      0.641      0.735 
48     1.1624       3536        756        216        182      0.194      0.457      0.793      0.641      0.735 
49     1.1631       3535        757        217        181      0.193      0.455      0.792      0.639      0.735 
50      1.168       3536        756        216        182      0.194      0.457      0.793      0.641      0.736 
51     1.1557       3539        753        213        185      0.197      0.465      0.794      0.645      0.736 
52     1.1633       3539        753        213        185      0.197      0.465      0.794      0.645      0.737 
53     1.1619       3540        752        212        186      0.198      0.467      0.794      0.646      0.737 
54     1.1725       3541        751        211        187      0.199      0.470      0.795      0.647      0.738 
55     1.1707       3543        749        209        189      0.201      0.475      0.796      0.650      0.738 
56     1.1488       3544        748        208        190      0.203      0.477      0.796      0.652      0.739 
57     1.1548       3545        747        207        191      0.204      0.480      0.797      0.653      0.739 
58     1.1663       3544        748        208        190      0.203      0.477      0.796      0.652      0.740 
59     1.1531       3548        744        204        194      0.207      0.487      0.798      0.657      0.741 
60     1.1537       3549        743        203        195      0.208      0.490      0.798      0.658      0.741 
61     1.1528       3547        745        205        193      0.206      0.485      0.797      0.656      0.742 
62     1.1686       3546        746        206        192      0.205      0.482      0.797      0.654      0.742 
63      1.144       3547        745        205        193      0.206      0.485      0.797      0.656      0.743 
64     1.1639       3547        745        205        193      0.206      0.485      0.797      0.656      0.744 
65     1.1584       3548        744        204        194      0.207      0.487      0.798      0.657      0.744 
66     1.1701       3549        743        203        195      0.208      0.490      0.798      0.658      0.745 
67     1.1628       3551        741        201        197      0.210      0.495      0.799      0.661      0.745 
68     1.1587       3552        740        200        198      0.211      0.497      0.800      0.663      0.746 
69     1.1619       3551        741        201        197      0.210      0.495      0.799      0.661      0.746 
70     1.1423       3551        741        201        197      0.210      0.495      0.799      0.661      0.746 
71     1.1563       3551        741        201        197      0.210      0.495      0.799      0.661      0.746 
72     1.1598       3550        742        202        196      0.209      0.492      0.799      0.660      0.746 
73     1.1536       3550        742        202        196      0.209      0.492      0.799      0.660      0.746 
74     1.1559       3551        741        201        197      0.210      0.495      0.799      0.661      0.746 
75     1.1634       3554        738        198        200      0.213      0.503      0.800      0.665      0.747 
76     1.1434       3552        740        200        198      0.211      0.497      0.800      0.663      0.747 
77     1.1548       3550        742        202        196      0.209      0.492      0.799      0.660      0.747 
78     1.1431       3550        742        202        196      0.209      0.492      0.799      0.660      0.748 
79     1.1419       3550        742        202        196      0.209      0.492      0.799      0.660      0.748 
80     1.1619       3552        740        200        198      0.211      0.497      0.800      0.663      0.748 
81     1.1548       3552        740        200        198      0.211      0.497      0.800      0.663      0.749 
82     1.1502       3553        739        199        199      0.212      0.500      0.800      0.664      0.749 
83     1.1607       3556        736        196        202      0.215      0.508      0.801      0.668      0.749 
84     1.1491       3555        737        197        201      0.214      0.505      0.801      0.667      0.749 
85     1.1528       3556        736        196        202      0.215      0.508      0.801      0.668      0.749 
