# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gat.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.3796       6575       1632        103         38      0.023      0.270      0.792      0.535      0.644 
2      1.306       6591       1616         87         54      0.032      0.383      0.796      0.593      0.713 
3     1.2742       6595       1612         83         58      0.035      0.411      0.797      0.607      0.729 
4     1.2566       6600       1607         78         63      0.038      0.447      0.798      0.626      0.738 
5     1.2511       6600       1607         78         63      0.038      0.447      0.798      0.626      0.744 
6     1.2399       6601       1606         77         64      0.038      0.454      0.798      0.629      0.749 
7      1.243       6603       1604         75         66      0.040      0.468      0.799      0.636      0.751 
8     1.2201       6601       1606         77         64      0.038      0.454      0.798      0.629      0.747 
9     1.2239       6598       1609         80         61      0.037      0.433      0.798      0.618      0.742 
10     1.2183       6597       1610         81         60      0.036      0.426      0.797      0.615      0.740 
11     1.2162       6594       1613         84         57      0.034      0.404      0.797      0.604      0.739 
12     1.2255       6594       1613         84         57      0.034      0.404      0.797      0.604      0.740 
13     1.2188       6594       1613         84         57      0.034      0.404      0.797      0.604      0.742 
14     1.2139       6595       1612         83         58      0.035      0.411      0.797      0.607      0.744 
15     1.2058       6597       1610         81         60      0.036      0.426      0.797      0.615      0.746 
16     1.1942       6600       1607         78         63      0.038      0.447      0.798      0.626      0.748 
17     1.1805       6599       1608         79         62      0.037      0.440      0.798      0.622      0.749 
18     1.1836       6600       1607         78         63      0.038      0.447      0.798      0.626      0.750 
19     1.1745       6603       1604         75         66      0.040      0.468      0.799      0.636      0.753 
20     1.1736       6601       1606         77         64      0.038      0.454      0.798      0.629      0.757 
21      1.149       6605       1602         73         68      0.041      0.482      0.799      0.644      0.763 
22     1.1501       6609       1598         69         72      0.043      0.511      0.800      0.658      0.771 
23     1.1417       6618       1589         60         81      0.049      0.574      0.802      0.690      0.782 
24     1.1357       6617       1590         61         80      0.048      0.567      0.802      0.687      0.793 
25     1.1376       6618       1589         60         81      0.049      0.574      0.802      0.690      0.799 
26     1.1344       6623       1584         55         86      0.051      0.610      0.804      0.708      0.799 
27     1.1157       6624       1583         54         87      0.052      0.617      0.804      0.712      0.798 
28     1.1512       6628       1579         50         91      0.054      0.645      0.805      0.726      0.804 
29     1.1048       6632       1575         46         95      0.057      0.674      0.806      0.741      0.807 
30       1.09       6633       1574         45         96      0.057      0.681      0.806      0.745      0.805 
31     1.0822       6630       1577         48         93      0.056      0.660      0.805      0.734      0.804 
32     1.0879       6630       1577         48         93      0.056      0.660      0.805      0.734      0.808 
33     1.0754       6631       1576         47         94      0.056      0.667      0.806      0.737      0.810 
34     1.0594       6630       1577         48         93      0.056      0.660      0.805      0.734      0.811 
35     1.0584       6630       1577         48         93      0.056      0.660      0.805      0.734      0.813 
36      1.071       6631       1576         47         94      0.056      0.667      0.806      0.737      0.814 
37     1.0478       6632       1575         46         95      0.057      0.674      0.806      0.741      0.815 
38     1.0481       6632       1575         46         95      0.057      0.674      0.806      0.741      0.818 
39     1.0479       6632       1575         46         95      0.057      0.674      0.806      0.741      0.823 
40     1.0446       6631       1576         47         94      0.056      0.667      0.806      0.737      0.824 
41      1.036       6633       1574         45         96      0.057      0.681      0.806      0.745      0.825 
42     1.0292       6634       1573         44         97      0.058      0.688      0.806      0.748      0.828 
43     1.0166       6635       1572         43         98      0.059      0.695      0.807      0.752      0.831 
44     1.0124       6633       1574         45         96      0.057      0.681      0.806      0.745      0.832 
