# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gat.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.3796       1658        394         23         13      0.032      0.361      0.800      0.585      0.680 
Train:          1     1.3796       6575       1632        103         38      0.023      0.270      0.792      0.535      0.644 
All:          1     1.3796       8222       2037        126         51      0.024      0.288      0.793      0.545      0.651 
Test:          2      1.306       1665        387         23         13      0.033      0.361      0.804      0.586      0.738 
Train:          2      1.306       6591       1616         87         54      0.032      0.383      0.796      0.593      0.713 
All:          2      1.306       8238       2021        110         67      0.032      0.379      0.796      0.591      0.718 
Test:          3     1.2742       1663        389         22         14      0.035      0.389      0.803      0.600      0.743 
Train:          3     1.2742       6595       1612         83         58      0.035      0.411      0.797      0.607      0.729 
All:          3     1.2742       8243       2016        105         72      0.034      0.407      0.797      0.605      0.732 
Test:          4     1.2566       1673        379         22         14      0.036      0.389      0.808      0.602      0.745 
Train:          4     1.2566       6600       1607         78         63      0.038      0.447      0.798      0.626      0.738 
All:          4     1.2566       8249       2010         99         78      0.037      0.441      0.798      0.622      0.740 
Test:          5     1.2511       1666        386         21         15      0.037      0.417      0.805      0.614      0.748 
Train:          5     1.2511       6600       1607         78         63      0.038      0.447      0.798      0.626      0.744 
All:          5     1.2511       8249       2010         99         78      0.037      0.441      0.798      0.622      0.745 
Test:          6     1.2399       1663        389         23         13      0.032      0.361      0.803      0.586      0.751 
Train:          6     1.2399       6601       1606         77         64      0.038      0.454      0.798      0.629      0.749 
All:          6     1.2399       8248       2011        100         77      0.037      0.435      0.798      0.620      0.750 
Test:          7      1.243       1667        385         22         14      0.035      0.389      0.805      0.601      0.757 
Train:          7      1.243       6603       1604         75         66      0.040      0.468      0.799      0.636      0.751 
All:          7      1.243       8252       2007         96         81      0.039      0.458      0.798      0.631      0.752 
Test:          8     1.2201       1667        385         21         15      0.037      0.417      0.806      0.615      0.759 
Train:          8     1.2201       6601       1606         77         64      0.038      0.454      0.798      0.629      0.747 
All:          8     1.2201       8252       2007         96         81      0.039      0.458      0.798      0.631      0.749 
Test:          9     1.2239       1675        377         23         13      0.033      0.361      0.808      0.589      0.759 
Train:          9     1.2239       6598       1609         80         61      0.037      0.433      0.798      0.618      0.742 
All:          9     1.2239       8246       2013        102         75      0.036      0.424      0.797      0.614      0.745 
Test:         10     1.2183       1673        379         23         13      0.033      0.361      0.807      0.588      0.759 
Train:         10     1.2183       6597       1610         81         60      0.036      0.426      0.797      0.615      0.740 
All:         10     1.2183       8244       2015        104         73      0.035      0.412      0.797      0.608      0.743 
Test:         11     1.2162       1669        383         23         13      0.033      0.361      0.806      0.587      0.757 
Train:         11     1.2162       6594       1613         84         57      0.034      0.404      0.797      0.604      0.739 
All:         11     1.2162       8243       2016        105         72      0.034      0.407      0.797      0.605      0.743 
Test:         12     1.2255       1675        377         23         13      0.033      0.361      0.808      0.589      0.756 
