# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gat.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1      3.599       8179       2080        169          8      0.004      0.045      0.784      0.421      0.263 
2     2.5877       8182       2077        166         11      0.005      0.062      0.785      0.430      0.285 
3     2.1702       8184       2075        164         13      0.006      0.073      0.785      0.436      0.330 
4      1.808       8188       2071        160         17      0.008      0.096      0.786      0.447      0.403 
5     1.6385       8201       2058        147         30      0.014      0.169      0.789      0.484      0.471 
6     1.5332       8213       2046        135         42      0.020      0.237      0.791      0.519      0.528 
7     1.5743       8217       2042        131         46      0.022      0.260      0.792      0.530      0.573 
8     1.5283       8220       2039        128         49      0.023      0.277      0.792      0.539      0.605 
9     1.5016       8220       2039        128         49      0.023      0.277      0.792      0.539      0.626 
10     1.4018       8221       2038        127         50      0.024      0.282      0.793      0.542      0.642 
11     1.3793       8225       2034        123         54      0.026      0.305      0.793      0.553      0.652 
12     1.4029       8227       2032        121         56      0.027      0.316      0.794      0.559      0.659 
13        1.4       8228       2031        120         57      0.027      0.322      0.794      0.562      0.664 
14     1.4044       8232       2027        116         61      0.029      0.345      0.795      0.574      0.668 
15     1.3621       8234       2025        114         63      0.030      0.356      0.795      0.579      0.671 
16     1.3475       8232       2027        116         61      0.029      0.345      0.795      0.574      0.672 
17     1.3619       8232       2027        116         61      0.029      0.345      0.795      0.574      0.673 
18     1.3112       8232       2027        116         61      0.029      0.345      0.795      0.574      0.674 
19     1.3698       8233       2026        115         62      0.030      0.350      0.795      0.576      0.675 
20     1.3302       8234       2025        114         63      0.030      0.356      0.795      0.579      0.677 
21     1.2966       8235       2024        113         64      0.031      0.362      0.795      0.582      0.679 
22     1.2992       8236       2023        112         65      0.031      0.367      0.795      0.585      0.681 
23     1.3086       8235       2024        113         64      0.031      0.362      0.795      0.582      0.684 
24     1.3079       8234       2025        114         63      0.030      0.356      0.795      0.579      0.687 
25       1.29       8236       2023        112         65      0.031      0.367      0.795      0.585      0.690 
26     1.3153       8238       2021        110         67      0.032      0.379      0.796      0.591      0.694 
27     1.2898       8238       2021        110         67      0.032      0.379      0.796      0.591      0.698 
28     1.2872       8240       2019        108         69      0.033      0.390      0.796      0.597      0.702 
29     1.2585       8242       2017        106         71      0.034      0.401      0.797      0.602      0.707 
30     1.2718       8241       2018        107         70      0.034      0.395      0.796      0.599      0.712 
31     1.2358       8245       2014        103         74      0.035      0.418      0.797      0.611      0.718 
32     1.2512       8247       2012        101         76      0.036      0.429      0.798      0.617      0.724 
33     1.2489       8247       2012        101         76      0.036      0.429      0.798      0.617      0.730 
34     1.2201       8251       2008         97         80      0.038      0.452      0.798      0.628      0.737 
35     1.2161       8254       2005         94         83      0.040      0.469      0.799      0.637      0.744 
36     1.2137       8260       1999         88         89      0.043      0.503      0.800      0.654      0.751 
37     1.1943       8261       1998         87         90      0.043      0.508      0.800      0.657      0.757 
38      1.208       8264       1995         84         93      0.045      0.525      0.801      0.665      0.761 
39      1.191       8264       1995         84         93      0.045      0.525      0.801      0.665      0.763 
40     1.2025       8266       1993         82         95      0.045      0.537      0.801      0.671      0.766 
41     1.1753       8268       1991         80         97      0.046      0.548      0.802      0.677      0.768 
42     1.1622       8270       1989         78         99      0.047      0.559      0.802      0.683      0.770 
43     1.1676       8269       1990         79         98      0.047      0.554      0.802      0.680      0.771 
44     1.1705       8269       1990         79         98      0.047      0.554      0.802      0.680      0.773 
45     1.1513       8267       1992         81         96      0.046      0.542      0.801      0.674      0.774 
46     1.1654       8269       1990         79         98      0.047      0.554      0.802      0.680      0.776 
47     1.1611       8269       1990         79         98      0.047      0.554      0.802      0.680      0.778 
48     1.1459       8270       1989         78         99      0.047      0.559      0.802      0.683      0.779 
49     1.1545       8273       1986         75        102      0.049      0.576      0.803      0.691      0.780 
50     1.1441       8273       1986         75        102      0.049      0.576      0.803      0.691      0.781 
51     1.1608       8273       1986         75        102      0.049      0.576      0.803      0.691      0.782 
52     1.1473       8273       1986         75        102      0.049      0.576      0.803      0.691      0.784 
