# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gat3h.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.4417       6562       1645        116         25      0.015      0.177      0.789      0.488      0.494 
2     1.3131       6584       1623         94         47      0.028      0.333      0.794      0.568      0.657 
3     1.2941       6595       1612         83         58      0.035      0.411      0.797      0.607      0.724 
4     1.2637       6599       1608         79         62      0.037      0.440      0.798      0.622      0.737 
5     1.2947       6605       1602         73         68      0.041      0.482      0.799      0.644      0.738 
6      1.161       6599       1608         79         62      0.037      0.440      0.798      0.622      0.732 
7     1.1676       6605       1602         73         68      0.041      0.482      0.799      0.644      0.727 
8     1.1536       6612       1595         66         75      0.045      0.532      0.801      0.669      0.743 
9     1.1499       6614       1593         64         77      0.046      0.546      0.802      0.676      0.768 
10     1.1518       6621       1586         57         84      0.050      0.596      0.803      0.701      0.788 
11     1.1105       6623       1584         55         86      0.051      0.610      0.804      0.708      0.795 
12     1.1035       6620       1587         58         83      0.050      0.589      0.803      0.698      0.800 
13     1.1114       6624       1583         54         87      0.052      0.617      0.804      0.712      0.803 
14     1.1118       6622       1585         56         85      0.051      0.603      0.803      0.705      0.803 
15     1.0848       6624       1583         54         87      0.052      0.617      0.804      0.712      0.802 
16     1.0827       6620       1587         58         83      0.050      0.589      0.803      0.698      0.801 
17     1.0566       6618       1589         60         81      0.049      0.574      0.802      0.690      0.801 
18      1.046       6618       1589         60         81      0.049      0.574      0.802      0.690      0.802 
19     1.0725       6618       1589         60         81      0.049      0.574      0.802      0.690      0.805 
20      1.068       6621       1586         57         84      0.050      0.596      0.803      0.701      0.808 
21     1.0708       6622       1585         56         85      0.051      0.603      0.803      0.705      0.811 
22     1.0565       6623       1584         55         86      0.051      0.610      0.804      0.708      0.812 
23     1.0538       6624       1583         54         87      0.052      0.617      0.804      0.712      0.813 
24     1.0415       6622       1585         56         85      0.051      0.603      0.803      0.705      0.813 
25     1.0437       6620       1587         58         83      0.050      0.589      0.803      0.698      0.812 
26     1.0442       6621       1586         57         84      0.050      0.596      0.803      0.701      0.813 
27     1.0325       6621       1586         57         84      0.050      0.596      0.803      0.701      0.814 
28     1.0222       6621       1586         57         84      0.050      0.596      0.803      0.701      0.815 
29     1.0434       6621       1586         57         84      0.050      0.596      0.803      0.701      0.817 
30     1.0243       6622       1585         56         85      0.051      0.603      0.803      0.705      0.818 
31     1.0138       6623       1584         55         86      0.051      0.610      0.804      0.708      0.820 
32     1.0245       6623       1584         55         86      0.051      0.610      0.804      0.708      0.821 
33     1.0186       6623       1584         55         86      0.051      0.610      0.804      0.708      0.822 
34     1.0241       6624       1583         54         87      0.052      0.617      0.804      0.712      0.823 
35     1.0215       6625       1582         53         88      0.053      0.624      0.804      0.716      0.823 
36     1.0201       6621       1586         57         84      0.050      0.596      0.803      0.701      0.823 
