# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gat3h.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1      1.453       1649        403         17         19      0.045      0.528      0.799      0.666      0.761 
Train:          1      1.453       6628       1579         50         91      0.054      0.645      0.805      0.726      0.806 
All:          1      1.453       8280       1979         68        109      0.052      0.616      0.804      0.711      0.796 
Test:          2     1.1694       1648        404         16         20      0.047      0.556      0.799      0.679      0.769 
Train:          2     1.1694       6628       1579         50         91      0.054      0.645      0.805      0.726      0.814 
All:          2     1.1694       8282       1977         66        111      0.053      0.627      0.804      0.717      0.805 
Test:          3     1.1408       1646        406         15         21      0.049      0.583      0.798      0.693      0.773 
Train:          3     1.1408       6628       1579         50         91      0.054      0.645      0.805      0.726      0.819 
All:          3     1.1408       8283       1976         65        112      0.054      0.633      0.804      0.720      0.809 
Test:          4     1.0855       1649        403         15         21      0.050      0.583      0.800      0.693      0.777 
Train:          4     1.0855       6628       1579         50         91      0.054      0.645      0.805      0.726      0.823 
All:          4     1.0855       8283       1976         65        112      0.054      0.633      0.804      0.720      0.813 
Test:          5     1.0646       1647        405         15         21      0.049      0.583      0.799      0.693      0.781 
Train:          5     1.0646       6631       1576         47         94      0.056      0.667      0.806      0.737      0.826 
All:          5     1.0646       8286       1973         62        115      0.055      0.650      0.805      0.729      0.817 
Test:          6     1.0432       1643        409         14         22      0.051      0.611      0.797      0.706      0.786 
Train:          6     1.0432       6631       1576         47         94      0.056      0.667      0.806      0.737      0.828 
All:          6     1.0432       8287       1972         61        116      0.056      0.655      0.805      0.732      0.820 
Test:          7     1.0194       1648        404         12         24      0.056      0.667      0.801      0.735      0.789 
Train:          7     1.0194       6631       1576         47         94      0.056      0.667      0.806      0.737      0.830 
All:          7     1.0194       8289       1970         59        118      0.057      0.667      0.806      0.737      0.822 
Test:          8     1.0175       1645        407         13         23      0.053      0.639      0.799      0.720      0.789 
Train:          8     1.0175       6631       1576         47         94      0.056      0.667      0.806      0.737      0.833 
All:          8     1.0175       8287       1972         61        116      0.056      0.655      0.805      0.732      0.824 
Test:          9     1.0289       1639        413         13         23      0.053      0.639      0.796      0.719      0.791 
Train:          9     1.0289       6631       1576         47         94      0.056      0.667      0.806      0.737      0.833 
All:          9     1.0289       8287       1972         61        116      0.056      0.655      0.805      0.732      0.825 
Test:         10     1.0277       1641        411         13         23      0.053      0.639      0.797      0.719      0.791 
Train:         10     1.0277       6631       1576         47         94      0.056      0.667      0.806      0.737      0.834 
All:         10     1.0277       8288       1971         60        117      0.056      0.661      0.805      0.734      0.825 
Test:         11    0.99046       1646        406         12         24      0.056      0.667      0.800      0.734      0.793 
Train:         11    0.99046       6633       1574         45         96      0.057      0.681      0.806      0.745      0.834 
All:         11    0.99046       8289       1970         59        118      0.057      0.667      0.806      0.737      0.825 
Test:         12    0.98784       1646        406         12         24      0.056      0.667      0.800      0.734      0.795 
Train:         12    0.98784       6634       1573         44         97      0.058      0.688      0.806      0.748      0.834 
All:         12    0.98784       8292       1967         56        121      0.058      0.684      0.806      0.746      0.826 
Test:         13    0.99902       1637        415         12         24      0.055      0.667      0.795      0.732      0.797 
Train:         13    0.99902       6634       1573         44         97      0.058      0.688      0.806      0.748      0.834 
