# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gat3h.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.5512       8244       2015        104         73      0.035      0.412      0.797      0.608      0.688 
2     1.2969       8196       2063        152         25      0.012      0.141      0.788      0.470      0.331 
3     1.3029       8200       2059        148         29      0.014      0.164      0.789      0.482      0.382 
4     1.2355       8215       2044        133         44      0.021      0.249      0.791      0.525      0.596 
5     1.1452       8261       1998         87         90      0.043      0.508      0.800      0.657      0.766 
6     1.0998       8276       1983         72        105      0.050      0.593      0.803      0.700      0.804 
7     1.0865       8275       1984         73        104      0.050      0.588      0.803      0.697      0.806 
8     1.0961       8275       1984         73        104      0.050      0.588      0.803      0.697      0.806 
9     1.0672       8279       1980         69        108      0.052      0.610      0.804      0.709      0.807 
10     1.0693       8284       1975         64        113      0.054      0.638      0.805      0.723      0.811 
11     1.0056       8288       1971         60        117      0.056      0.661      0.805      0.734      0.817 
12     1.0682       8287       1972         61        116      0.056      0.655      0.805      0.732      0.824 
13     0.9818       8286       1973         62        115      0.055      0.650      0.805      0.729      0.827 
14    0.99307       8286       1973         62        115      0.055      0.650      0.805      0.729      0.830 
15      1.035       8293       1966         55        122      0.058      0.689      0.806      0.749      0.836 
16    0.99194       8292       1967         56        121      0.058      0.684      0.806      0.746      0.841 
17    0.98578       8294       1965         54        123      0.059      0.695      0.807      0.752      0.841 
18    0.97185       8293       1966         55        122      0.058      0.689      0.806      0.749      0.841 
19    0.95457       8293       1966         55        122      0.058      0.689      0.806      0.749      0.843 
20    0.97276       8293       1966         55        122      0.058      0.689      0.806      0.749      0.844 
21    0.95354       8294       1965         54        123      0.059      0.695      0.807      0.752      0.845 
22     0.9545       8294       1965         54        123      0.059      0.695      0.807      0.752      0.846 
23    0.94779       8293       1966         55        122      0.058      0.689      0.806      0.749      0.846 
24    0.96538       8296       1963         52        125      0.060      0.706      0.807      0.757      0.847 
25    0.92091       8294       1965         54        123      0.059      0.695      0.807      0.752      0.849 
26    0.94622       8295       1964         53        124      0.059      0.701      0.807      0.755      0.851 
27    0.93781       8300       1959         48        129      0.062      0.729      0.808      0.769      0.851 
28    0.91978       8299       1960         49        128      0.061      0.723      0.807      0.766      0.851 
29    0.94236       8299       1960         49        128      0.061      0.723      0.807      0.766      0.852 
30    0.92677       8300       1959         48        129      0.062      0.729      0.808      0.769      0.853 
31    0.90826       8302       1957         46        131      0.063      0.740      0.808      0.775      0.854 
32    0.92644       8304       1955         44        133      0.064      0.751      0.808      0.780      0.855 
33     0.9319       8303       1956         45        132      0.063      0.746      0.808      0.778      0.855 
34    0.92224       8299       1960         49        128      0.061      0.723      0.807      0.766      0.855 
35     0.8997       8300       1959         48        129      0.062      0.729      0.808      0.769      0.856 
36    0.88748       8303       1956         45        132      0.063      0.746      0.808      0.778      0.856 
37    0.93256       8303       1956         45        132      0.063      0.746      0.808      0.778      0.857 
38    0.91234       8305       1954         43        134      0.064      0.757      0.809      0.783      0.856 
39    0.90714       8305       1954         43        134      0.064      0.757      0.809      0.783      0.855 
40     0.9122       8305       1954         43        134      0.064      0.757      0.809      0.783      0.855 
41     0.9161       8305       1954         43        134      0.064      0.757      0.809      0.783      0.856 
42    0.90438       8305       1954         43        134      0.064      0.757      0.809      0.783      0.857 
43    0.90172       8305       1954         43        134      0.064      0.757      0.809      0.783      0.858 
44    0.90723       8306       1953         42        135      0.065      0.763      0.809      0.786      0.858 
45    0.87201       8306       1953         42        135      0.065      0.763      0.809      0.786      0.859 
46    0.88597       8308       1951         40        137      0.066      0.774      0.809      0.792      0.860 
47     0.8899       8307       1952         41        136      0.065      0.768      0.809      0.789      0.861 
48    0.89762       8306       1953         42        135      0.065      0.763      0.809      0.786      0.862 
49     0.8836       8305       1954         43        134      0.064      0.757      0.809      0.783      0.862 
50    0.87758       8303       1956         45        132      0.063      0.746      0.808      0.778      0.862 
