# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.6308       6554       1653        124         17      0.010      0.121      0.787      0.460      0.349 
2     1.4585       6573       1634        105         36      0.022      0.255      0.792      0.528      0.553 
3     1.3571       6612       1595         66         75      0.045      0.532      0.801      0.669      0.757 
4     1.2901       6621       1586         57         84      0.050      0.596      0.803      0.701      0.796 
5      1.287       6623       1584         55         86      0.051      0.610      0.804      0.708      0.806 
6     1.2981       6628       1579         50         91      0.054      0.645      0.805      0.726      0.811 
7     1.3169       6630       1577         48         93      0.056      0.660      0.805      0.734      0.813 
8     1.3276       6631       1576         47         94      0.056      0.667      0.806      0.737      0.816 
9     1.3292       6632       1575         46         95      0.057      0.674      0.806      0.741      0.818 
10     1.3169       6631       1576         47         94      0.056      0.667      0.806      0.737      0.820 
11     1.3082       6631       1576         47         94      0.056      0.667      0.806      0.737      0.822 
12     1.2866       6632       1575         46         95      0.057      0.674      0.806      0.741      0.824 
13     1.2634       6631       1576         47         94      0.056      0.667      0.806      0.737      0.826 
14     1.2524       6629       1578         49         92      0.055      0.652      0.805      0.730      0.827 
15     1.2419       6628       1579         50         91      0.054      0.645      0.805      0.726      0.826 
16     1.2319       6631       1576         47         94      0.056      0.667      0.806      0.737      0.824 
17     1.2427       6632       1575         46         95      0.057      0.674      0.806      0.741      0.820 
18     1.2485       6631       1576         47         94      0.056      0.667      0.806      0.737      0.817 
19     1.2387       6630       1577         48         93      0.056      0.660      0.805      0.734      0.817 
20      1.239       6632       1575         46         95      0.057      0.674      0.806      0.741      0.820 
21     1.2381       6633       1574         45         96      0.057      0.681      0.806      0.745      0.824 
22     1.2242       6633       1574         45         96      0.057      0.681      0.806      0.745      0.830 
23     1.2215       6636       1571         42         99      0.059      0.702      0.807      0.755      0.835 
24     1.2135       6636       1571         42         99      0.059      0.702      0.807      0.755      0.839 
25      1.205       6635       1572         43         98      0.059      0.695      0.807      0.752      0.842 
26     1.1965       6635       1572         43         98      0.059      0.695      0.807      0.752      0.844 
27     1.1986       6637       1570         41        100      0.060      0.709      0.807      0.759      0.845 
28     1.1901       6638       1569         40        101      0.060      0.716      0.807      0.763      0.846 
29     1.1876       6637       1570         41        100      0.060      0.709      0.807      0.759      0.846 
30     1.1873       6638       1569         40        101      0.060      0.716      0.807      0.763      0.847 
31     1.1819       6639       1568         39        102      0.061      0.723      0.807      0.766      0.847 
32     1.1792       6639       1568         39        102      0.061      0.723      0.807      0.766      0.848 
33      1.175       6639       1568         39        102      0.061      0.723      0.807      0.766      0.848 
34     1.1609       6639       1568         39        102      0.061      0.723      0.807      0.766      0.848 
35      1.158       6640       1567         38        103      0.062      0.730      0.808      0.770      0.847 
36     1.1516       6640       1567         38        103      0.062      0.730      0.808      0.770      0.847 
37     1.1511       6639       1568         39        102      0.061      0.723      0.807      0.766      0.846 
38     1.1531       6639       1568         39        102      0.061      0.723      0.807      0.766      0.845 
39     1.1498       6639       1568         39        102      0.061      0.723      0.807      0.766      0.845 
40     1.1393       6639       1568         39        102      0.061      0.723      0.807      0.766      0.845 
41      1.144       6639       1568         39        102      0.061      0.723      0.807      0.766      0.845 
42     1.1353       6639       1568         39        102      0.061      0.723      0.807      0.766      0.846 
43     1.1292       6640       1567         38        103      0.062      0.730      0.808      0.770      0.847 
44     1.1259       6640       1567         38        103      0.062      0.730      0.808      0.770      0.847 
45     1.1195       6640       1567         38        103      0.062      0.730      0.808      0.770      0.848 
46     1.1157       6640       1567         38        103      0.062      0.730      0.808      0.770      0.849 
47     1.1226       6641       1566         37        104      0.062      0.738      0.808      0.773      0.849 
48     1.1037       6641       1566         37        104      0.062      0.738      0.808      0.773      0.849 
49     1.1082       6641       1566         37        104      0.062      0.738      0.808      0.773      0.849 
50     1.1029       6641       1566         37        104      0.062      0.738      0.808      0.773      0.848 
51     1.1173       6641       1566         37        104      0.062      0.738      0.808      0.773      0.848 
52     1.0888       6640       1567         38        103      0.062      0.730      0.808      0.770      0.848 
53     1.0925       6642       1565         36        105      0.063      0.745      0.808      0.777      0.847 
54     1.0957       6642       1565         36        105      0.063      0.745      0.808      0.777      0.847 
55     1.0836       6642       1565         36        105      0.063      0.745      0.808      0.777      0.847 
56     1.0815       6642       1565         36        105      0.063      0.745      0.808      0.777      0.847 
57     1.0813       6641       1566         37        104      0.062      0.738      0.808      0.773      0.847 
58     1.0715       6642       1565         36        105      0.063      0.745      0.808      0.777      0.847 
59     1.0787       6641       1566         37        104      0.062      0.738      0.808      0.773      0.847 
60     1.0743       6640       1567         38        103      0.062      0.730      0.808      0.770      0.848 
61     1.0611       6640       1567         38        103      0.062      0.730      0.808      0.770      0.848 
62     1.0585       6640       1567         38        103      0.062      0.730      0.808      0.770      0.848 
63     1.0666       6640       1567         38        103      0.062      0.730      0.808      0.770      0.847 
64     1.0561       6641       1566         37        104      0.062      0.738      0.808      0.773      0.847 
65     1.0559       6641       1566         37        104      0.062      0.738      0.808      0.773      0.847 
66     1.0425       6641       1566         37        104      0.062      0.738      0.808      0.773      0.846 
67     1.0552       6641       1566         37        104      0.062      0.738      0.808      0.773      0.846 
68     1.0474       6641       1566         37        104      0.062      0.738      0.808      0.773      0.845 
69     1.0553       6641       1566         37        104      0.062      0.738      0.808      0.773      0.845 
70      1.054       6642       1565         36        105      0.063      0.745      0.808      0.777      0.845 
71     1.0356       6642       1565         36        105      0.063      0.745      0.808      0.777      0.845 
72     1.0317       6642       1565         36        105      0.063      0.745      0.808      0.777      0.846 
73     1.0336       6642       1565         36        105      0.063      0.745      0.808      0.777      0.846 
74     1.0382       6642       1565         36        105      0.063      0.745      0.808      0.777      0.846 
75     1.0308       6642       1565         36        105      0.063      0.745      0.808      0.777      0.846 
76     1.0272       6642       1565         36        105      0.063      0.745      0.808      0.777      0.845 
77     1.0375       6642       1565         36        105      0.063      0.745      0.808      0.777      0.845 
78     1.0236       6642       1565         36        105      0.063      0.745      0.808      0.777      0.844 
79     1.0429       6642       1565         36        105      0.063      0.745      0.808      0.777      0.844 
80     1.0306       6642       1565         36        105      0.063      0.745      0.808      0.777      0.844 
81     1.0346       6642       1565         36        105      0.063      0.745      0.808      0.777      0.845 
82     1.0215       6642       1565         36        105      0.063      0.745      0.808      0.777      0.845 
83     1.0237       6642       1565         36        105      0.063      0.745      0.808      0.777      0.845 
84     1.0224       6642       1565         36        105      0.063      0.745      0.808      0.777      0.845 
85     1.0222       6642       1565         36        105      0.063      0.745      0.808      0.777      0.845 
86     1.0239       6642       1565         36        105      0.063      0.745      0.808      0.777      0.845 
87      1.006       6642       1565         36        105      0.063      0.745      0.808      0.777      0.845 
88     1.0042       6642       1565         36        105      0.063      0.745      0.808      0.777      0.844 
89     1.0173       6642       1565         36        105      0.063      0.745      0.808      0.777      0.844 
90      1.003       6642       1565         36        105      0.063      0.745      0.808      0.777      0.844 
91     1.0189       6642       1565         36        105      0.063      0.745      0.808      0.777      0.844 
92     1.0182       6642       1565         36        105      0.063      0.745      0.808      0.777      0.844 
93    0.99706       6642       1565         36        105      0.063      0.745      0.808      0.777      0.845 
94     1.0032       6642       1565         36        105      0.063      0.745      0.808      0.777      0.845 
95     1.0102       6642       1565         36        105      0.063      0.745      0.808      0.777      0.845 
96     1.0101       6641       1566         37        104      0.062      0.738      0.808      0.773      0.844 
97    0.99509       6642       1565         36        105      0.063      0.745      0.808      0.777      0.843 
98     1.0054       6642       1565         36        105      0.063      0.745      0.808      0.777      0.843 
99      1.012       6642       1565         36        105      0.063      0.745      0.808      0.777      0.843 
100     1.0051       6642       1565         36        105      0.063      0.745      0.808      0.777      0.843 
101     1.0103       6641       1566         37        104      0.062      0.738      0.808      0.773      0.844 
102    0.98963       6641       1566         37        104      0.062      0.738      0.808      0.773      0.844 
103     1.0018       6641       1566         37        104      0.062      0.738      0.808      0.773      0.844 
104     1.0102       6641       1566         37        104      0.062      0.738      0.808      0.773      0.844 
105    0.99839       6641       1566         37        104      0.062      0.738      0.808      0.773      0.844 
106    0.99388       6641       1566         37        104      0.062      0.738      0.808      0.773      0.844 
107     1.0083       6641       1566         37        104      0.062      0.738      0.808      0.773      0.844 
108     1.0072       6641       1566         37        104      0.062      0.738      0.808      0.773      0.844 
109    0.99637       6641       1566         37        104      0.062      0.738      0.808      0.773      0.844 
110    0.98898       6641       1566         37        104      0.062      0.738      0.808      0.773      0.844 
111     1.0019       6641       1566         37        104      0.062      0.738      0.808      0.773      0.844 
112    0.99783       6641       1566         37        104      0.062      0.738      0.808      0.773      0.844 
113    0.99452       6641       1566         37        104      0.062      0.738      0.808      0.773      0.845 
114     1.0059       6641       1566         37        104      0.062      0.738      0.808      0.773      0.845 
115    0.99456       6641       1566         37        104      0.062      0.738      0.808      0.773      0.844 
116    0.98089       6641       1566         37        104      0.062      0.738      0.808      0.773      0.844 
117    0.99221       6641       1566         37        104      0.062      0.738      0.808      0.773      0.843 
118    0.98975       6641       1566         37        104      0.062      0.738      0.808      0.773      0.844 
119    0.98569       6641       1566         37        104      0.062      0.738      0.808      0.773      0.845 
120    0.98281       6641       1566         37        104      0.062      0.738      0.808      0.773      0.845 
121    0.98457       6641       1566         37        104      0.062      0.738      0.808      0.773      0.845 
122    0.99759       6641       1566         37        104      0.062      0.738      0.808      0.773      0.845 
123    0.98454       6641       1566         37        104      0.062      0.738      0.808      0.773      0.845 
124    0.99353       6641       1566         37        104      0.062      0.738      0.808      0.773      0.845 
125    0.98452       6641       1566         37        104      0.062      0.738      0.808      0.773      0.844 
126    0.98176       6641       1566         37        104      0.062      0.738      0.808      0.773      0.844 
127    0.98011       6641       1566         37        104      0.062      0.738      0.808      0.773      0.844 
128    0.97203       6641       1566         37        104      0.062      0.738      0.808      0.773      0.844 
129     0.9813       6641       1566         37        104      0.062      0.738      0.808      0.773      0.844 
130    0.97989       6641       1566         37        104      0.062      0.738      0.808      0.773      0.845 
131    0.98821       6641       1566         37        104      0.062      0.738      0.808      0.773      0.846 
132    0.98043       6641       1566         37        104      0.062      0.738      0.808      0.773      0.846 
133    0.98521       6641       1566         37        104      0.062      0.738      0.808      0.773      0.846 
134    0.97271       6641       1566         37        104      0.062      0.738      0.808      0.773      0.845 
135    0.98226       6641       1566         37        104      0.062      0.738      0.808      0.773      0.845 
136    0.98547       6641       1566         37        104      0.062      0.738      0.808      0.773      0.845 
137    0.97725       6641       1566         37        104      0.062      0.738      0.808      0.773      0.845 
138    0.98528       6641       1566         37        104      0.062      0.738      0.808      0.773      0.845 
139    0.97883       6641       1566         37        104      0.062      0.738      0.808      0.773      0.845 
140    0.98848       6641       1566         37        104      0.062      0.738      0.808      0.773      0.846 
141    0.96958       6640       1567         38        103      0.062      0.730      0.808      0.770      0.846 
142    0.97247       6639       1568         39        102      0.061      0.723      0.807      0.766      0.846 
143    0.96834       6640       1567         38        103      0.062      0.730      0.808      0.770      0.846 
144    0.97934       6641       1566         37        104      0.062      0.738      0.808      0.773      0.846 
145    0.96353       6641       1566         37        104      0.062      0.738      0.808      0.773      0.846 
