# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     2.8209       8174       2085        174          3      0.001      0.017      0.784      0.407      0.185 
2     2.2838       8173       2086        175          2      0.001      0.011      0.783      0.404      0.187 
3     1.8385       8177       2082        171          6      0.003      0.034      0.784      0.415      0.215 
4     1.5477       8227       2032        121         56      0.027      0.316      0.794      0.559      0.580 
5     1.3745       8265       1994         83         94      0.045      0.531      0.801      0.668      0.712 
6     1.3498       8276       1983         72        105      0.050      0.593      0.803      0.700      0.751 
7     1.4212       8279       1980         69        108      0.052      0.610      0.804      0.709      0.767 
8     1.4825       8279       1980         69        108      0.052      0.610      0.804      0.709      0.776 
9     1.5506       8281       1978         67        110      0.053      0.621      0.804      0.714      0.780 
10     1.5773       8281       1978         67        110      0.053      0.621      0.804      0.714      0.783 
11     1.5838       8282       1977         66        111      0.053      0.627      0.804      0.717      0.784 
12     1.5496       8282       1977         66        111      0.053      0.627      0.804      0.717      0.784 
13     1.5215       8282       1977         66        111      0.053      0.627      0.804      0.717      0.784 
14     1.4614       8281       1978         67        110      0.053      0.621      0.804      0.714      0.782 
15     1.4171       8280       1979         68        109      0.052      0.616      0.804      0.711      0.780 
16     1.3699       8278       1981         70        107      0.051      0.605      0.803      0.706      0.776 
17     1.3297       8278       1981         70        107      0.051      0.605      0.803      0.706      0.769 
18     1.3105       8275       1984         73        104      0.050      0.588      0.803      0.697      0.757 
19      1.296       8267       1992         80         97      0.046      0.548      0.801      0.677      0.740 
20     1.3089       8265       1994         83         94      0.045      0.531      0.801      0.668      0.715 
21     1.3042       8251       2008         97         80      0.038      0.452      0.798      0.628      0.682 
22      1.333       8244       2015        104         73      0.035      0.412      0.797      0.608      0.657 
23     1.3352       8245       2014        103         74      0.035      0.418      0.797      0.611      0.663 
24     1.3312       8254       2005         94         83      0.040      0.469      0.799      0.637      0.698 
25     1.3394       8266       1993         82         95      0.045      0.537      0.801      0.671      0.740 
26     1.3195       8279       1980         69        108      0.052      0.610      0.804      0.709      0.770 
27     1.2916       8284       1975         64        113      0.054      0.638      0.805      0.723      0.791 
28     1.2762       8284       1975         64        113      0.054      0.638      0.805      0.723      0.803 
29     1.2638       8287       1972         61        116      0.056      0.655      0.805      0.732      0.810 
30      1.255       8289       1970         59        118      0.057      0.667      0.806      0.737      0.814 
31     1.2549       8291       1968         57        120      0.057      0.678      0.806      0.743      0.816 
32     1.2578       8293       1966         55        122      0.058      0.689      0.806      0.749      0.818 
33     1.2639       8294       1965         54        123      0.059      0.695      0.807      0.752      0.820 
34     1.2566       8294       1965         54        123      0.059      0.695      0.807      0.752      0.821 
35     1.2606       8293       1966         55        122      0.058      0.689      0.806      0.749      0.823 
36     1.2558       8293       1966         55        122      0.058      0.689      0.806      0.749      0.825 
37     1.2467       8292       1967         56        121      0.058      0.684      0.806      0.746      0.826 
38      1.255       8292       1967         56        121      0.058      0.684      0.806      0.746      0.828 
39     1.2381       8293       1966         55        122      0.058      0.689      0.806      0.749      0.830 
