# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gcn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.4475       1665        387         14         22      0.054      0.611      0.808      0.711      0.787 
Train:          1     1.4475       6612       1595         66         75      0.045      0.532      0.801      0.669      0.749 
All:          1     1.4475       8268       1991         80         97      0.046      0.548      0.802      0.677      0.756 
Test:          2     1.3557       1660        392         16         20      0.049      0.556      0.805      0.682      0.762 
Train:          2     1.3557       6607       1600         71         70      0.042      0.496      0.800      0.651      0.725 
All:          2     1.3557       8261       1998         87         90      0.043      0.508      0.800      0.657      0.732 
Test:          3     1.3172       1625        427         19         17      0.038      0.472      0.786      0.632      0.707 
Train:          3     1.3172       6593       1614         85         56      0.034      0.397      0.796      0.600      0.681 
All:          3     1.3172       8244       2015        104         73      0.035      0.412      0.797      0.608      0.687 
Test:          4     1.3218       1633        419         25         11      0.026      0.306      0.787      0.551      0.647 
Train:          4     1.3218       6578       1629        100         41      0.025      0.291      0.793      0.546      0.646 
All:          4     1.3218       8223       2036        125         52      0.025      0.294      0.793      0.548      0.646 
Test:          5     1.3244       1640        412         25         11      0.026      0.306      0.791      0.552      0.657 
Train:          5     1.3244       6582       1625         96         45      0.027      0.319      0.794      0.561      0.663 
All:          5     1.3244       8227       2032        121         56      0.027      0.316      0.794      0.559      0.662 
Test:          6     1.3144       1628        424         18         18      0.041      0.500      0.788      0.647      0.719 
Train:          6     1.3144       6599       1608         79         62      0.037      0.440      0.798      0.622      0.712 
All:          6     1.3144       8251       2008         97         80      0.038      0.452      0.798      0.628      0.713 
Test:          7     1.3052       1642        410         16         20      0.047      0.556      0.796      0.678      0.773 
Train:          7     1.3052       6611       1596         67         74      0.044      0.525      0.801      0.665      0.757 
All:          7     1.3052       8264       1995         84         93      0.045      0.525      0.801      0.665      0.760 
Test:          8      1.275       1644        408         14         22      0.051      0.611      0.798      0.706      0.804 
Train:          8      1.275       6618       1589         60         81      0.049      0.574      0.802      0.690      0.783 
All:          8      1.275       8274       1985         74        103      0.049      0.582      0.803      0.694      0.787 
Test:          9     1.2626       1659        393         11         25      0.060      0.694      0.807      0.751      0.821 
Train:          9     1.2626       6619       1588         59         82      0.049      0.582      0.803      0.694      0.798 
All:          9     1.2626       8278       1981         70        107      0.051      0.605      0.803      0.706      0.802 
Test:         10     1.2586       1652        400         10         26      0.061      0.722      0.804      0.764      0.830 
Train:         10     1.2586       6623       1584         55         86      0.051      0.610      0.804      0.708      0.807 
All:         10     1.2586       8283       1976         65        112      0.054      0.633      0.804      0.720      0.812 
Test:         11      1.251       1655        397         10         26      0.061      0.722      0.805      0.764      0.835 
Train:         11      1.251       6625       1582         53         88      0.053      0.624      0.804      0.716      0.813 
All:         11      1.251       8285       1974         63        114      0.055      0.644      0.805      0.726      0.818 
Test:         12     1.2431       1657        395         11         25      0.060      0.694      0.806      0.751      0.839 
Train:         12     1.2431       6630       1577         48         93      0.056      0.660      0.805      0.734      0.818 
All:         12     1.2431       8289       1970         59        118      0.057      0.667      0.806      0.737      0.823 
Test:         13     1.2472       1655        397         11         25      0.059      0.694      0.805      0.750      0.842 
Train:         13     1.2472       6630       1577         48         93      0.056      0.660      0.805      0.734      0.823 
All:         13     1.2472       8289       1970         59        118      0.057      0.667      0.806      0.737      0.827 
Test:         14     1.2376       1645        407         11         25      0.058      0.694      0.800      0.748      0.846 
Train:         14     1.2376       6632       1575         46         95      0.057      0.674      0.806      0.741      0.827 
All:         14     1.2376       8291       1968         57        120      0.057      0.678      0.806      0.743      0.831 
Test:         15     1.2155       1647        405         11         25      0.058      0.694      0.801      0.749      0.847 
Train:         15     1.2155       6630       1577         48         93      0.056      0.660      0.805      0.734      0.831 
All:         15     1.2155       8289       1970         59        118      0.057      0.667      0.806      0.737      0.834 
Test:         16     1.2144       1642        410         11         25      0.057      0.694      0.798      0.747      0.847 
Train:         16     1.2144       6631       1576         47         94      0.056      0.667      0.806      0.737      0.833 
All:         16     1.2144       8290       1969         58        119      0.057      0.672      0.806      0.740      0.836 
Test:         17     1.2071       1642        410          9         27      0.062      0.750      0.799      0.775      0.845 
Train:         17     1.2071       6633       1574         45         96      0.057      0.681      0.806      0.745      0.834 
All:         17     1.2071       8293       1966         55        122      0.058      0.689      0.806      0.749      0.837 
Test:         18      1.202       1648        404         11         25      0.058      0.694      0.801      0.749      0.843 
Train:         18      1.202       6634       1573         44         97      0.058      0.688      0.806      0.748      0.835 
All:         18      1.202       8293       1966         55        122      0.058      0.689      0.806      0.749      0.836 
Test:         19     1.1872       1645        407         11         25      0.058      0.694      0.800      0.748      0.841 
Train:         19     1.1872       6639       1568         39        102      0.061      0.723      0.807      0.766      0.835 
All:         19     1.1872       8297       1962         51        126      0.060      0.712      0.807      0.760      0.836 
Test:         20     1.1804       1653        399         10         26      0.061      0.722      0.804      0.764      0.840 
Train:         20     1.1804       6641       1566         37        104      0.062      0.738      0.808      0.773      0.835 
All:         20     1.1804       8300       1959         48        129      0.062      0.729      0.808      0.769      0.836 
Test:         21     1.1851       1649        403         11         25      0.058      0.694      0.802      0.749      0.842 
Train:         21     1.1851       6641       1566         37        104      0.062      0.738      0.808      0.773      0.836 
All:         21     1.1851       8299       1960         49        128      0.061      0.723      0.807      0.766      0.838 
Test:         22     1.1709       1650        402         10         26      0.061      0.722      0.803      0.763      0.845 
Train:         22     1.1709       6640       1567         38        103      0.062      0.730      0.808      0.770      0.838 
All:         22     1.1709       8299       1960         49        128      0.061      0.723      0.807      0.766      0.840 
Test:         23     1.1447       1657        395         10         26      0.062      0.722      0.806      0.765      0.848 
Train:         23     1.1447       6639       1568         39        102      0.061      0.723      0.807      0.766      0.840 
All:         23     1.1447       8299       1960         49        128      0.061      0.723      0.807      0.766      0.842 
Test:         24     1.1536       1666        386         10         26      0.063      0.722      0.810      0.767      0.851 
Train:         24     1.1536       6639       1568         39        102      0.061      0.723      0.807      0.766      0.841 
All:         24     1.1536       8299       1960         49        128      0.061      0.723      0.807      0.766      0.843 
Test:         25     1.1455       1658        394          9         27      0.064      0.750      0.807      0.779      0.853 
Train:         25     1.1455       6638       1569         40        101      0.060      0.716      0.807      0.763      0.842 
All:         25     1.1455       8299       1960         49        128      0.061      0.723      0.807      0.766      0.845 
Test:         26     1.1529       1654        398          8         28      0.066      0.778      0.806      0.792      0.855 
Train:         26     1.1529       6638       1569         40        101      0.060      0.716      0.807      0.763      0.843 
All:         26     1.1529       8300       1959         48        129      0.062      0.729      0.808      0.769      0.845 
Test:         27     1.1452       1655        397          8         28      0.066      0.778      0.806      0.792      0.855 
Train:         27     1.1452       6638       1569         40        101      0.060      0.716      0.807      0.763      0.843 
All:         27     1.1452       8300       1959         48        129      0.062      0.729      0.808      0.769      0.846 
Test:         28      1.133       1662        390          8         28      0.067      0.778      0.809      0.794      0.855 
Train:         28      1.133       6638       1569         40        101      0.060      0.716      0.807      0.763      0.844 
All:         28      1.133       8300       1959         48        129      0.062      0.729      0.808      0.769      0.846 
Test:         29     1.1242       1664        388          9         27      0.065      0.750      0.810      0.780      0.854 
Train:         29     1.1242       6638       1569         40        101      0.060      0.716      0.807      0.763      0.843 
All:         29     1.1242       8299       1960         49        128      0.061      0.723      0.807      0.766      0.846 
Test:         30     1.1306       1671        381         11         25      0.062      0.694      0.812      0.754      0.853 
Train:         30     1.1306       6639       1568         39        102      0.061      0.723      0.807      0.766      0.843 
All:         30     1.1306       8298       1961         50        127      0.061      0.718      0.807      0.763      0.845 
Test:         31     1.1096       1675        377         11         25      0.062      0.694      0.814      0.755      0.850 
Train:         31     1.1096       6640       1567         38        103      0.062      0.730      0.808      0.770      0.842 
All:         31     1.1096       8299       1960         49        128      0.061      0.723      0.807      0.766      0.844 
Test:         32     1.1178       1672        380         11         25      0.062      0.694      0.813      0.755      0.847 
Train:         32     1.1178       6640       1567         38        103      0.062      0.730      0.808      0.770      0.841 
All:         32     1.1178       8300       1959         48        129      0.062      0.729      0.808      0.769      0.842 
Test:         33     1.1056       1675        377         10         26      0.065      0.722      0.815      0.769      0.846 
