# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gcn2.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.3281       8277       1982         71        106      0.051      0.599      0.803      0.703      0.781 
2     1.6858       8274       1985         74        103      0.049      0.582      0.803      0.694      0.785 
3     1.3412       8264       1995         84         93      0.045      0.525      0.801      0.665      0.767 
4     1.2671       8230       2029        118         59      0.028      0.333      0.794      0.568      0.627 
5      1.434       8267       1992         81         96      0.046      0.542      0.801      0.674      0.763 
6     1.3325       8288       1971         60        117      0.056      0.661      0.805      0.734      0.820 
7     1.2676       8288       1971         60        117      0.056      0.661      0.805      0.734      0.822 
8     1.2305       8289       1970         59        118      0.057      0.667      0.806      0.737      0.820 
9     1.2726       8289       1970         59        118      0.057      0.667      0.806      0.737      0.821 
10     1.2931       8289       1970         59        118      0.057      0.667      0.806      0.737      0.823 
11     1.2635       8291       1968         57        120      0.057      0.678      0.806      0.743      0.827 
12     1.2458       8291       1968         57        120      0.057      0.678      0.806      0.743      0.831 
13     1.2202       8296       1963         52        125      0.060      0.706      0.807      0.757      0.831 
14     1.1845       8292       1967         56        121      0.058      0.684      0.806      0.746      0.825 
15     1.1856       8292       1967         56        121      0.058      0.684      0.806      0.746      0.818 
16     1.2053       8292       1967         56        121      0.058      0.684      0.806      0.746      0.818 
17     1.2055       8294       1965         54        123      0.059      0.695      0.807      0.752      0.825 
18     1.2135       8293       1966         55        122      0.058      0.689      0.806      0.749      0.830 
19     1.1535       8296       1963         52        125      0.060      0.706      0.807      0.757      0.832 
20     1.1697       8294       1965         54        123      0.059      0.695      0.807      0.752      0.833 
21     1.1763       8294       1965         54        123      0.059      0.695      0.807      0.752      0.833 
22     1.1751       8295       1964         53        124      0.059      0.701      0.807      0.755      0.834 
23      1.158       8295       1964         53        124      0.059      0.701      0.807      0.755      0.833 
24     1.1443       8293       1966         55        122      0.058      0.689      0.806      0.749      0.830 
25     1.1365       8294       1965         54        123      0.059      0.695      0.807      0.752      0.823 
26      1.149       8295       1964         53        124      0.059      0.701      0.807      0.755      0.817 
27     1.1326       8298       1961         50        127      0.061      0.718      0.807      0.763      0.821 
28     1.1173       8296       1963         52        125      0.060      0.706      0.807      0.757      0.828 
29     1.0972       8295       1964         53        124      0.059      0.701      0.807      0.755      0.833 
30     1.1188       8296       1963         52        125      0.060      0.706      0.807      0.757      0.835 
31     1.1261       8298       1961         50        127      0.061      0.718      0.807      0.763      0.835 
32     1.1202       8298       1961         50        127      0.061      0.718      0.807      0.763      0.833 
33     1.0809       8301       1958         47        130      0.062      0.734      0.808      0.772      0.826 
34     1.0951       8300       1959         48        129      0.062      0.729      0.808      0.769      0.821 
35     1.0985       8302       1957         46        131      0.063      0.740      0.808      0.775      0.827 
36     1.0945       8304       1955         44        133      0.064      0.751      0.808      0.780      0.836 
37      1.075       8302       1957         46        131      0.063      0.740      0.808      0.775      0.840 
38     1.0988       8305       1954         43        134      0.064      0.757      0.809      0.783      0.839 
39     1.0865       8306       1953         42        135      0.065      0.763      0.809      0.786      0.834 
40     1.0494       8299       1960         49        128      0.061      0.723      0.807      0.766      0.823 
41     1.0723       8299       1960         49        128      0.061      0.723      0.807      0.766      0.824 
42     1.0793       8306       1953         42        135      0.065      0.763      0.809      0.786      0.839 
43     1.0429       8306       1953         42        135      0.065      0.763      0.809      0.786      0.846 
44     1.0662       8305       1954         43        134      0.064      0.757      0.809      0.783      0.847 
